Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.6691,34.8734,Warrior,76.8971,65.0293,45.1867,7.7713,5.1157,1.4606,200,57.2246,525.6355,450.7968,279.8168,461.4651,567.0405,0.0415,0.0539,Population structure converged. Difference: 0.0088
1,1,47.6691,42.9879,Warrior,76.8971,65.0293,45.1867,7.7713,5.1157,1.4606,200,57.2246,178.8663,246.2181,116.5901,196.4603,205.6889,0.0215,0.0539,Population structure converged. Difference: 0.0088
1,2,53.3962,45.8305,Warrior,70.2454,81.8359,30.9246,10.2480,6.7460,1.9005,200,57.2246,40.9696,54.7118,53.9907,88.3714,65.7242,0.0147,0.0539,Population structure converged. Difference: 0.0088
1,3,53.8269,48.0931,Warrior,66.8511,77.8815,43.0032,7.3958,4.8685,1.9005,200,57.2246,19.0530,43.1189,39.2862,1.3497,20.6793,0.0264,0.0539,Population structure converged. Difference: 0.0088
1,4,54.9984,50.1020,Warrior,76.8971,65.0293,45.1867,7.7713,5.1157,1.9005,200,57.2246,18.0114,73.5264,54.3071,2.2374,13.5307,0.0502,0.0539,Population structure converged. Difference: 0.0088
1,5,55.0740,52.1169,Warrior,76.9923,65.1098,45.2426,7.7809,4.8745,1.9005,200,57.2246,14.3828,69.3294,47.5177,1.8378,7.7534,0.0352,0.0539,Population structure converged. Difference: 0.0088
1,6,55.0740,53.2131,Warrior,76.9923,65.1098,45.2426,7.7809,4.8745,1.9005,200,57.2246,12.6856,68.7992,45.0317,1.9505,5.7926,0.0178,0.0539,Population structure converged. Difference: 0.0088
1,7,55.8251,54.2241,Warrior,78.9500,66.7653,42.0641,5.2974,6.9231,1.9005,200,57.2246,9.5494,66.8869,46.6773,1.5770,0.6323,0.0057,0.0539,Population structure converged. Difference: 0.0088
1,8,55.9314,54.5850,Warrior,83.4482,70.5693,32.4849,8.1634,5.3342,1.9005,200,57.2246,9.9960,52.6535,44.3054,1.4849,0.6721,0.0019,0.0539,Population structure converged. Difference: 0.0088
1,9,55.9509,54.8744,Warrior,78.1025,79.1500,29.9096,7.8931,4.9448,1.9005,200,57.2246,8.4998,44.0829,45.2531,1.2620,0.5896,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,10,56.0191,55.1031,Warrior,78.1705,79.2189,29.9357,7.7016,4.9733,1.9005,200,57.2246,8.1603,44.3022,49.7394,1.1070,0.4920,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,11,56.1732,55.3498,Warrior,79.8783,77.9463,29.4548,7.6809,5.0398,1.9005,200,57.2246,6.2011,44.5905,45.3136,1.2228,0.5119,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,12,57.0936,55.5195,Warrior,80.8417,78.8864,29.8100,5.3613,5.1006,1.9005,200,57.2246,7.7298,36.9104,32.5245,1.4847,0.6677,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,13,57.0936,55.7498,Warrior,80.8417,78.8864,29.8100,5.3613,5.1006,1.9005,200,57.2246,9.8058,26.9364,23.8936,1.8943,0.7238,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,14,57.0936,55.9305,Warrior,80.8417,78.8864,29.8100,5.3613,5.1006,1.9005,200,57.2246,8.7542,23.7731,19.5716,1.4172,0.5339,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,15,57.2246,56.1264,Warrior,82.1042,78.0505,29.4942,5.3045,5.0466,1.9005,200,57.2246,9.0845,17.6157,11.1093,1.7081,0.4233,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,16,57.2246,56.4074,Warrior,82.1042,78.0505,29.4942,5.3045,5.0466,1.9005,200,57.2246,7.2426,13.8609,7.9691,1.5835,0.3264,0.0000,0.0539,Population structure converged. Difference: 0.0088
1,17,57.2246,56.7270,Warrior,82.1042,78.0505,29.4942,5.3045,5.0466,1.9005,200,57.2246,4.3225,10.2659,2.5740,1.1992,0.2049,0.0000,0.0539,Population structure converged. Difference: 0.0088
2,0,43.0171,34.3149,Warrior,90.3555,76.1263,3.9413,16.8317,12.7452,1.7669,200,55.6411,418.4591,369.8878,424.6977,499.7756,257.6549,0.0522,0.0505,Population structure converged. Difference: 0.0097
2,1,46.6587,39.7851,Warrior,72.2395,58.2561,30.0457,7.0521,32.4066,1.9073,200,55.6411,217.1482,296.8145,492.3102,127.6463,151.5321,0.0450,0.0505,Population structure converged. Difference: 0.0097
2,2,52.8890,41.9459,Warrior,83.8087,67.5858,34.8575,8.1815,5.5666,1.9746,200,55.6411,142.8497,187.8709,435.4924,49.6936,156.6765,0.0322,0.0505,Population structure converged. Difference: 0.0097
2,3,52.8890,46.0099,Warrior,83.8087,67.5858,34.8575,8.1815,5.5666,1.9746,200,55.6411,84.7771,113.3337,248.8440,23.8878,164.8622,0.0242,0.0505,Population structure converged. Difference: 0.0097
2,4,53.3519,50.0765,Warrior,86.3745,69.6550,30.9656,7.2680,5.7370,1.9746,200,55.6411,41.8217,66.9505,124.6601,16.7446,97.7066,0.0189,0.0505,Population structure converged. Difference: 0.0097
2,5,53.6527,51.8135,Warrior,91.4077,64.3614,33.1945,4.9652,6.0713,1.9746,200,55.6411,34.0386,25.1549,40.3257,8.1049,37.2403,0.0049,0.0505,Population structure converged. Difference: 0.0097
2,6,54.3541,52.5152,Warrior,83.8087,67.5858,34.8575,8.1815,5.5666,1.9584,200,55.6411,19.8880,5.6014,16.8786,1.2548,14.9626,0.0000,0.0505,Population structure converged. Difference: 0.0097
2,7,54.3541,52.9658,Warrior,83.8087,67.5858,34.8575,8.1815,5.5666,1.9584,200,55.6411,1.6831,1.0667,3.3854,0.6640,0.0351,0.0000,0.0505,Population structure converged. Difference: 0.0097
2,8,55.2993,53.0714,Warrior,91.6389,64.5242,33.2785,4.9777,5.5807,1.9584,200,55.6411,2.0538,1.4519,4.4881,0.6684,0.0478,0.0000,0.0505,Population structure converged. Difference: 0.0097
2,9,55.2993,53.2377,Warrior,91.6389,64.5242,33.2785,4.9777,5.5807,1.9584,200,55.6411,2.3615,1.4085,3.2687,0.6111,0.0559,0.0000,0.0505,Population structure converged. Difference: 0.0097
2,10,55.2993,53.5790,Warrior,91.6389,64.5242,33.2785,4.9777,5.5807,1.9584,200,55.6411,4.1535,1.7910,1.8848,1.1670,0.0472,0.0001,0.0505,Population structure converged. Difference: 0.0097
2,11,55.6069,54.0629,Warrior,90.0206,66.9167,32.6908,4.8898,5.4821,1.9584,200,55.6411,9.8256,3.6171,1.4478,1.9787,0.0370,0.0001,0.0505,Population structure converged. Difference: 0.0097
2,12,55.6411,54.4272,Warrior,85.9025,69.2743,34.1335,5.1056,5.5840,1.9584,200,55.6411,11.0281,3.4309,1.0350,2.1072,0.0240,0.0001,0.0505,Population structure converged. Difference: 0.0097
2,13,55.6411,54.7613,Warrior,85.9025,69.2743,34.1335,5.1056,5.5840,1.9584,200,55.6411,10.1478,3.1605,0.9617,1.7511,0.0330,0.0000,0.0505,Population structure converged. Difference: 0.0097
2,14,55.6411,55.1049,Warrior,85.9025,69.2743,34.1335,5.1056,5.5840,1.9584,200,55.6411,7.8331,2.6958,0.8147,1.3289,0.0274,0.0000,0.0505,Population structure converged. Difference: 0.0097
3,0,39.4771,31.1779,Warrior,86.0244,37.2721,26.3697,19.1033,31.2305,1.8891,200,46.5898,468.7365,376.9439,267.1341,345.8917,254.8050,0.0421,0.1150,Population structure converged. Difference: 0.0099
3,1,39.4771,35.4989,Warrior,86.0244,37.2721,26.3697,19.1033,31.2305,1.8891,200,46.5898,453.1515,208.7095,133.7899,106.6485,106.1317,0.0349,0.1150,Population structure converged. Difference: 0.0099
3,2,42.5999,37.9264,Warrior,63.6768,65.3251,19.9937,19.3578,31.6466,1.8891,200,46.5898,237.8191,79.5672,91.5069,34.0559,46.1962,0.0252,0.1150,Population structure converged. Difference: 0.0099
3,3,43.2362,38.9200,Warrior,79.6782,49.2770,24.4243,17.6940,28.9265,1.8891,200,46.5898,185.4323,88.9145,53.7452,22.0436,42.5851,0.0191,0.1150,Population structure converged. Difference: 0.0099
3,4,43.2362,40.3732,Warrior,79.6782,49.2770,24.4243,17.6940,28.9265,1.8891,200,46.5898,96.0351,105.1686,32.7514,5.3693,3.5463,0.0023,0.1150,Population structure converged. Difference: 0.0099
3,5,45.2999,41.3673,Warrior,74.2270,59.5887,22.7533,16.4834,26.9475,1.8891,200,46.5898,90.5301,116.9486,43.1602,6.2074,5.3243,0.0003,0.1150,Population structure converged. Difference: 0.0099
3,6,45.4273,42.2534,Warrior,73.7705,60.4675,22.6081,16.3782,26.7756,1.8891,200,46.5898,65.0319,91.3488,22.1380,3.9515,3.8566,0.0003,0.1150,Population structure converged. Difference: 0.0099
3,7,45.9386,43.3540,Warrior,77.6989,61.8306,18.9242,15.7681,25.7782,1.8891,200,46.5898,39.5049,57.0995,14.5203,1.8567,4.2632,0.0003,0.1150,Population structure converged. Difference: 0.0099
3,8,45.9386,44.1952,Warrior,77.6989,61.8306,18.9242,15.7681,25.7782,1.8891,200,46.5898,19.0117,32.5702,14.0036,2.2388,4.4427,0.0001,0.1150,Population structure converged. Difference: 0.0099
3,9,46.2131,44.7845,Warrior,76.1956,60.6343,22.4277,15.4631,25.2794,1.8891,200,46.5898,11.6285,20.9715,5.4017,2.0712,3.3955,0.0000,0.1150,Population structure converged. Difference: 0.0099
3,10,46.4177,45.2113,Warrior,74.7145,59.4557,25.8793,15.1625,24.7880,1.8891,200,46.5898,6.6839,11.5950,3.5968,1.5768,1.3592,0.0000,0.1150,Population structure converged. Difference: 0.0099
3,11,46.4177,45.3919,Warrior,74.7145,59.4557,25.8793,15.1625,24.7880,1.8891,200,46.5898,7.7267,15.1970,4.3627,0.8457,1.8129,0.0000,0.1150,Population structure converged. Difference: 0.0099
3,12,46.4177,45.6356,Warrior,74.7145,59.4557,25.8793,15.1625,24.7880,1.8891,200,46.5898,4.4757,7.0060,4.2724,0.4484,0.7410,0.0000,0.1150,Population structure converged. Difference: 0.0099
3,13,46.4177,45.7612,Warrior,74.7145,59.4557,25.8793,15.1625,24.7880,1.8891,200,46.5898,2.6406,2.5885,3.8831,0.1556,0.5474,0.0000,0.1150,Population structure converged. Difference: 0.0099
3,14,46.4237,45.8511,Warrior,76.6144,60.9675,22.2829,15.2326,24.9026,1.8891,200,46.5898,1.3779,2.1618,4.1118,0.1961,0.3822,0.0000,0.1150,Population structure converged. Difference: 0.0099
3,15,46.5526,45.9645,Warrior,76.4784,58.6186,25.5149,14.9490,24.4390,1.8891,200,46.5898,1.1717,1.4638,3.7315,0.1826,0.3717,0.0000,0.1150,Population structure converged. Difference: 0.0099
