Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.5570,29.7998,Warrior,99.8845,97.6145,0.0733,0.8446,1.5831,1.6449,200,60.9744,639.8557,420.4484,499.7677,395.6153,411.3320,0.0472,0.1003,Population structure converged. Difference: 0.0092
1,1,45.5570,33.9169,Warrior,99.8845,97.6145,0.0733,0.8446,1.5831,1.6449,200,60.9744,411.7836,432.8231,379.5126,188.6820,226.5476,0.0520,0.1003,Population structure converged. Difference: 0.0092
1,2,45.8601,36.6030,Warrior,75.4897,73.7741,48.9014,0.6383,1.1965,1.6449,200,60.9744,298.4516,404.4327,389.6768,180.7998,231.0545,0.0457,0.1003,Population structure converged. Difference: 0.0092
1,3,57.4540,39.6778,Warrior,71.6951,70.0658,56.4965,0.6062,1.1363,1.9120,200,60.9744,332.6996,421.6959,487.8731,207.7982,198.3222,0.0411,0.1003,Population structure converged. Difference: 0.0092
1,4,57.4540,42.8297,Warrior,71.6951,70.0658,56.4965,0.6062,1.1363,1.9120,200,60.9744,400.0806,478.1676,649.7663,111.6180,163.9844,0.0347,0.1003,Population structure converged. Difference: 0.0092
1,5,57.4540,44.7272,Warrior,71.6951,70.0658,56.4965,0.6062,1.1363,1.9120,200,60.9744,342.6073,419.7133,723.8745,83.6204,136.8909,0.0224,0.1003,Population structure converged. Difference: 0.0092
1,6,57.4540,46.6549,Warrior,71.6951,70.0658,56.4965,0.6062,1.1363,1.9120,200,60.9744,297.6960,330.7830,708.4759,49.8955,66.6632,0.0250,0.1003,Population structure converged. Difference: 0.0092
1,7,57.4540,49.4279,Warrior,71.6951,70.0658,56.4965,0.6062,1.1363,1.9120,200,60.9744,267.1109,309.6349,664.7494,46.2437,44.6509,0.0307,0.1003,Population structure converged. Difference: 0.0092
1,8,58.2146,51.7251,Warrior,99.3958,97.1369,0.1016,1.1709,2.1948,1.9120,200,60.9744,238.0570,216.4116,599.3039,21.1780,28.3154,0.0208,0.1003,Population structure converged. Difference: 0.0092
1,9,58.2146,53.4688,Warrior,99.3958,97.1369,0.1016,1.1709,2.1948,1.9120,200,60.9744,180.4633,197.8013,531.2044,14.3496,16.3278,0.0108,0.1003,Population structure converged. Difference: 0.0092
1,10,59.6966,54.4205,Warrior,88.4977,65.9367,43.0495,0.5619,1.9542,1.9120,200,60.9744,125.4864,252.2273,500.7182,10.8291,13.4490,0.0055,0.1003,Population structure converged. Difference: 0.0092
1,11,60.0684,55.4290,Warrior,88.9762,66.2931,43.2823,0.5650,0.8835,1.9120,200,60.9744,124.1716,223.2750,453.1329,0.0882,3.1516,0.0057,0.1003,Population structure converged. Difference: 0.0092
1,12,60.0684,56.2149,Warrior,88.9762,66.2931,43.2823,0.5650,0.8835,1.9120,200,60.9744,128.2895,214.9951,422.1803,0.0710,0.3179,0.0026,0.1003,Population structure converged. Difference: 0.0092
1,13,60.3557,57.0310,Warrior,85.7399,78.3097,33.3870,0.6701,1.8933,1.9120,200,60.9744,114.9619,229.9285,491.5018,0.0720,0.1836,0.0023,0.1003,Population structure converged. Difference: 0.0092
1,14,60.9742,57.8643,Warrior,89.8981,79.5624,29.2723,0.3821,0.8851,1.9120,200,60.9744,98.6043,206.7483,439.8999,0.0760,0.2576,0.0018,0.1003,Population structure converged. Difference: 0.0092
1,15,60.9742,58.5690,Warrior,89.8981,79.5624,29.2723,0.3821,0.8851,1.9120,200,60.9744,51.2156,173.7825,274.0187,0.0785,0.1921,0.0009,0.1003,Population structure converged. Difference: 0.0092
