Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.3564,34.8858,Warrior,74.6621,69.2499,35.0245,2.6245,18.4391,1.7841,200,47.3564,365.7455,359.6148,320.0285,405.5242,230.1047,0.0367,0.0102,Population structure converged. Difference: 0.0463
1,1,47.3564,42.5216,Warrior,74.6621,69.2499,35.0245,2.6245,18.4391,1.7841,200,47.3564,138.7593,214.8537,172.1215,86.6486,150.2276,0.0215,0.0102,Population structure converged. Difference: 0.0463
1,2,47.3564,45.2602,Warrior,74.6621,69.2499,35.0245,2.6245,18.4391,1.7841,200,47.3564,43.8477,114.0540,63.5554,34.7563,83.4632,0.0107,0.0102,Population structure converged. Difference: 0.0463
2,0,47.4678,34.2403,Warrior,91.3210,41.4984,44.3128,22.0121,0.8557,1.9302,200,54.4942,563.5706,342.9419,281.9639,247.3078,546.8949,0.0405,0.0165,Population structure converged. Difference: 0.0382
2,1,53.7850,42.1991,Warrior,85.2003,62.6951,35.5723,15.7340,0.7983,1.9302,200,54.4942,281.0494,186.8338,147.7158,90.3563,259.8769,0.0330,0.0165,Population structure converged. Difference: 0.0382
2,2,53.7850,47.5811,Warrior,85.2003,62.6951,35.5723,15.7340,0.7983,1.9302,200,54.4942,89.2351,94.1159,72.3503,21.3861,42.6092,0.0081,0.0165,Population structure converged. Difference: 0.0382
2,3,54.3795,50.5194,Warrior,81.7552,68.2471,34.1339,15.0978,0.7660,1.9302,200,54.4942,62.6844,100.3908,28.0925,13.0456,8.3326,0.0063,0.0165,Population structure converged. Difference: 0.0382
2,4,54.4942,52.4866,Warrior,83.7442,67.0808,33.5505,14.8398,0.7847,1.9302,200,54.4942,28.0775,47.8878,19.5129,5.3663,7.5849,0.0025,0.0165,Population structure converged. Difference: 0.0382
3,0,48.6789,35.2410,Warrior,57.3707,66.0108,62.6074,2.9428,11.0683,1.8717,200,55.4599,289.2534,420.9224,371.1180,465.9465,431.5309,0.0371,0.0256,Population structure converged. Difference: 0.0414
3,1,51.6614,43.0652,Warrior,70.6075,97.5328,14.6159,3.6218,13.6220,1.8717,200,55.4599,108.3509,286.0090,273.4568,242.8771,239.2677,0.0191,0.0256,Population structure converged. Difference: 0.0414
3,2,51.6614,48.1020,Warrior,70.6075,97.5328,14.6159,3.6218,13.6220,1.8717,200,55.4599,25.1415,81.3080,121.5338,24.2685,40.7093,0.0011,0.0256,Population structure converged. Difference: 0.0414
3,3,52.8878,49.3971,Warrior,82.1499,80.7822,17.0052,4.2138,15.8489,1.8717,200,55.4599,35.1133,130.2006,200.3716,4.4549,3.5762,0.0006,0.0256,Population structure converged. Difference: 0.0414
3,4,53.2704,50.3515,Warrior,72.4571,100.0877,14.9988,2.6163,9.8402,1.8717,200,55.4599,51.5269,260.3677,402.2087,4.5060,2.8344,0.0004,0.0256,Population structure converged. Difference: 0.0414
3,5,54.8730,51.2603,Warrior,84.8670,83.1145,17.5677,3.0351,11.4156,1.8717,200,55.4599,57.9122,277.3896,457.9195,4.5393,3.4694,0.0004,0.0256,Population structure converged. Difference: 0.0414
3,6,55.4599,52.1641,Warrior,85.6293,83.8611,17.7255,2.6851,10.0990,1.8717,200,55.4599,57.8592,214.0897,342.2450,4.5096,3.8276,0.0004,0.0256,Population structure converged. Difference: 0.0414
3,7,55.4599,53.2542,Warrior,85.6293,83.8611,17.7255,2.6851,10.0990,1.8717,200,55.4599,52.4387,125.9715,158.6798,0.3148,1.9878,0.0000,0.0256,Population structure converged. Difference: 0.0414
4,0,48.5760,34.1173,Warrior,111.2836,53.6792,18.3327,11.7937,4.9109,1.9554,200,54.9697,1031.9191,574.3789,588.8727,415.0527,562.3965,0.0499,0.0224,Population structure converged. Difference: 0.0285
4,1,50.8324,42.9317,Warrior,96.4970,46.5467,42.4714,10.2266,4.2584,1.9554,200,54.9697,746.8689,215.5166,360.6058,103.8702,363.4708,0.0338,0.0224,Population structure converged. Difference: 0.0285
4,2,53.7672,47.4842,Warrior,82.1252,84.1118,17.6660,11.3648,4.7323,1.9554,200,54.9697,127.5882,66.8743,94.4303,30.1033,45.3246,0.0087,0.0224,Population structure converged. Difference: 0.0285
4,3,53.7672,49.0733,Warrior,82.1252,84.1118,17.6660,11.3648,4.7323,1.9554,200,54.9697,66.3234,59.4112,50.9706,0.2581,0.0444,0.0000,0.0224,Population structure converged. Difference: 0.0285
4,4,54.2078,50.4722,Warrior,82.6443,84.6434,17.7776,10.1725,4.7622,1.9554,200,54.9697,158.1646,199.1900,88.9597,0.6665,0.1032,0.0000,0.0224,Population structure converged. Difference: 0.0285
4,5,54.9697,52.2196,Warrior,79.0487,72.3806,36.7048,8.3775,3.4884,1.9554,200,54.9697,146.9917,222.7338,77.9878,1.0435,0.1638,0.0000,0.0224,Population structure converged. Difference: 0.0285
4,6,54.9697,53.4444,Warrior,79.0487,72.3806,36.7048,8.3775,3.4884,1.9554,200,54.9697,67.9138,101.3961,49.1408,0.7410,0.1402,0.0000,0.0224,Population structure converged. Difference: 0.0285
5,0,42.4026,31.5223,Warrior,74.8335,48.1850,51.8857,8.9520,16.1438,1.7459,200,50.5314,353.5928,234.7615,340.4077,412.9952,339.5771,0.0325,0.0230,Population structure converged. Difference: 0.0413
5,1,46.6304,36.7636,Warrior,63.7584,47.4976,67.3622,7.6272,13.7546,1.8665,200,50.5314,164.2439,134.7991,185.1761,207.5222,177.8817,0.0197,0.0230,Population structure converged. Difference: 0.0413
5,2,46.9434,40.3053,Warrior,61.5013,71.8573,36.6219,15.2866,14.7329,1.8665,200,50.5314,52.7494,74.7718,100.3036,65.1839,80.1438,0.0107,0.0230,Population structure converged. Difference: 0.0413
