Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.6689,34.7341,Warrior,80.3693,65.1512,31.2918,5.1029,18.0848,1.9053,200,56.8104,742.0242,426.2862,499.3801,458.8887,327.2538,0.0423,0.0251,Population structure converged. Difference: 0.0423
1,1,53.6412,40.9883,Warrior,90.1314,76.8057,17.0054,10.0136,6.0440,1.8623,200,56.8104,542.4277,344.7534,345.3569,354.0893,277.9270,0.0399,0.0251,Population structure converged. Difference: 0.0423
1,2,53.6412,46.4388,Warrior,90.1314,76.8057,17.0054,10.0136,6.0440,1.8623,200,56.8104,278.4423,140.2656,228.1467,142.6086,86.3453,0.0271,0.0251,Population structure converged. Difference: 0.0423
1,3,53.6412,48.4849,Warrior,90.1314,76.8057,17.0054,10.0136,6.0440,1.8623,200,56.8104,141.5394,117.4800,139.0755,53.3221,93.1148,0.0130,0.0251,Population structure converged. Difference: 0.0423
1,4,55.6884,51.2007,Warrior,97.6247,79.1393,10.5265,6.1985,6.5111,1.9053,200,56.8104,49.1500,48.6794,111.3903,19.2717,55.8203,0.0004,0.0251,Population structure converged. Difference: 0.0423
1,5,56.5439,52.0051,Warrior,85.3293,69.1720,33.2230,5.4178,6.8579,1.9053,200,56.8104,43.9470,69.3212,139.6344,12.8187,55.0291,0.0003,0.0251,Population structure converged. Difference: 0.0423
1,6,56.7710,52.9944,Warrior,82.1922,73.9819,32.0015,5.2186,6.6058,1.9053,200,56.8104,31.4684,59.7128,127.6397,4.2306,58.7942,0.0003,0.0251,Population structure converged. Difference: 0.0423
1,7,56.8104,54.5071,Warrior,85.6780,69.4547,33.3587,5.4400,6.0687,1.9053,200,56.8104,40.1384,56.0896,134.5910,3.5921,27.7816,0.0002,0.0251,Population structure converged. Difference: 0.0423
2,0,40.7523,30.2245,Warrior,61.8416,54.8850,70.1217,4.8918,8.2599,1.7148,200,55.7167,430.8420,337.8617,444.7007,400.2418,318.0260,0.0401,0.0260,Population structure converged. Difference: 0.0342
2,1,42.7552,34.5849,Warrior,76.0736,49.5356,25.8546,6.6144,41.9218,1.9073,200,55.7167,314.2412,269.5706,449.3219,310.2004,180.9475,0.0250,0.0260,Population structure converged. Difference: 0.0342
2,2,48.4130,38.2654,Warrior,84.4369,54.9814,28.6970,19.1537,12.7310,1.9073,200,55.7167,140.9710,136.2752,344.1857,147.9019,127.4934,0.0173,0.0260,Population structure converged. Difference: 0.0342
2,3,50.0073,41.5249,Warrior,74.0229,80.3346,29.9621,5.8323,9.8481,1.8066,200,55.7167,140.9885,103.5789,295.9020,95.4800,166.0074,0.0125,0.0260,Population structure converged. Difference: 0.0342
2,4,54.7781,44.2866,Warrior,74.0229,80.3346,29.9621,5.8323,9.8481,1.9073,200,55.7167,132.3087,111.7676,239.7050,78.9824,156.6427,0.0079,0.0260,Population structure converged. Difference: 0.0342
2,5,54.7781,47.8744,Warrior,74.0229,80.3346,29.9621,5.8323,9.8481,1.9073,200,55.7167,73.2226,178.0473,206.5108,47.7515,102.4207,0.0037,0.0260,Population structure converged. Difference: 0.0342
2,6,55.6457,50.8345,Warrior,74.9708,81.3633,30.3458,4.9544,8.3657,1.9073,200,55.7167,45.4887,234.5031,192.3427,26.8126,65.8623,0.0020,0.0260,Population structure converged. Difference: 0.0342
2,7,55.7167,52.8858,Warrior,80.2579,76.3586,28.4792,5.5436,9.3607,1.9073,200,55.7167,27.2190,141.1518,113.6375,17.1385,18.1256,0.0007,0.0260,Population structure converged. Difference: 0.0342
2,8,55.7167,53.8767,Warrior,80.2579,76.3586,28.4792,5.5436,9.3607,1.9073,200,55.7167,18.6371,91.1998,104.1762,5.6661,1.6538,0.0005,0.0260,Population structure converged. Difference: 0.0342
3,0,50.5889,33.7405,Warrior,79.7438,67.6303,26.1065,9.2142,17.3051,1.8688,200,53.3502,513.6666,543.4375,371.5971,396.9274,420.5249,0.0335,0.0163,Population structure converged. Difference: 0.0487
3,1,52.3667,40.9152,Warrior,82.2798,69.7810,26.9368,12.3248,8.6776,1.9532,200,53.3502,303.9419,413.4534,291.3564,325.6938,194.4837,0.0305,0.0163,Population structure converged. Difference: 0.0487
3,2,52.3667,45.6941,Warrior,82.2798,69.7810,26.9368,12.3248,8.6776,1.9532,200,53.3502,214.4061,156.4815,172.7200,137.4022,144.7724,0.0213,0.0163,Population structure converged. Difference: 0.0487
3,3,53.1984,48.8676,Warrior,83.9112,70.2623,27.1225,9.5727,9.1311,1.8688,200,53.3502,98.2316,70.8089,88.2758,70.3123,76.7985,0.0070,0.0163,Population structure converged. Difference: 0.0487
