Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.9329,35.7792,Warrior,83.8511,70.0296,11.2406,3.5397,31.3390,1.9004,200,57.5236,217.8806,377.7372,339.1013,280.3790,196.7751,0.0321,0.0344,Population structure converged. Difference: 0.0093
1,1,51.7741,41.7773,Warrior,88.9869,74.3188,11.9290,3.7565,21.0088,1.9078,200,57.5236,209.0540,243.2440,623.4413,136.4613,92.8947,0.0177,0.0344,Population structure converged. Difference: 0.0093
1,2,54.4404,45.4269,Warrior,74.4773,62.0134,49.4698,2.6679,11.3716,1.9078,200,57.5236,242.9683,207.4704,635.3419,62.7799,75.6925,0.0024,0.0344,Population structure converged. Difference: 0.0093
1,3,54.6159,49.3620,Warrior,91.7182,76.3691,14.6231,3.2855,14.0041,1.9078,200,57.5236,108.9407,116.5258,338.3874,4.4097,55.2691,0.0013,0.0344,Population structure converged. Difference: 0.0093
1,4,55.2984,52.0671,Warrior,93.9847,78.4929,12.5990,2.8358,12.0876,1.9078,200,57.5236,57.8419,84.7048,278.8684,0.3076,16.2387,0.0003,0.0344,Population structure converged. Difference: 0.0093
1,5,56.2575,53.9652,Warrior,79.6525,66.5231,41.9259,2.2610,9.6375,1.9078,200,57.5236,59.4739,56.8169,283.0350,0.4267,9.4988,0.0001,0.0344,Population structure converged. Difference: 0.0093
1,6,57.0695,55.0590,Warrior,82.5483,68.9416,37.7863,2.0378,8.6860,1.9078,200,57.5236,57.1323,54.9726,196.1879,0.3587,1.7756,0.0000,0.0344,Population structure converged. Difference: 0.0093
1,7,57.0695,55.7436,Warrior,82.5483,68.9416,37.7863,2.0378,8.6860,1.9078,200,57.5236,52.8281,43.2346,180.1008,0.1553,1.7506,0.0000,0.0344,Population structure converged. Difference: 0.0093
1,8,57.4288,56.4393,Warrior,84.0110,70.1632,35.6955,1.9250,8.2053,1.9078,200,57.5236,49.1602,35.9458,129.7587,0.0905,0.6502,0.0000,0.0344,Population structure converged. Difference: 0.0093
1,9,57.5236,56.9916,Warrior,82.1431,73.0499,34.9018,1.8822,8.0229,1.9078,200,57.5236,16.6114,19.0207,53.6665,0.0268,0.3491,0.0000,0.0344,Population structure converged. Difference: 0.0093
2,0,42.3541,32.6717,Warrior,56.0611,52.6148,58.6917,22.7294,9.9031,1.8672,200,53.4428,287.1290,243.7214,278.4790,312.5968,322.1963,0.0421,0.0292,Population structure converged. Difference: 0.0093
2,1,46.3183,37.9252,Warrior,61.7774,47.8675,65.4842,2.0118,22.8591,1.9510,200,53.4428,214.7320,143.4430,158.1067,189.7777,194.3633,0.0411,0.0292,Population structure converged. Difference: 0.0093
2,2,49.7064,42.3952,Warrior,62.5394,58.6948,65.4740,2.2443,11.0475,1.8672,200,53.4428,154.1335,56.3195,99.2223,71.4165,97.5498,0.0435,0.0292,Population structure converged. Difference: 0.0093
