Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.9520,32.4740,Warrior,46.6768,69.2737,79.9985,0.3298,3.7212,1.8064,200,59.6229,207.2431,389.5456,473.2640,246.2881,275.7637,0.0442,0.0358,Population structure converged. Difference: 0.0074
1,1,50.0982,37.0184,Warrior,64.2127,79.4487,50.7657,0.4537,5.1192,1.8064,200,59.6229,124.1076,223.1860,383.1382,136.6810,273.0889,0.0387,0.0358,Population structure converged. Difference: 0.0074
1,2,51.7127,40.4538,Warrior,61.8675,66.8843,64.3822,4.2046,2.6614,1.8811,200,59.6229,144.6569,179.3421,476.9546,109.2070,255.4757,0.0327,0.0358,Population structure converged. Difference: 0.0074
1,3,55.3156,44.6866,Warrior,80.8533,74.4199,38.6943,0.5453,5.4872,1.8329,200,59.6229,162.1244,189.8856,361.5915,87.9291,109.7125,0.0146,0.0358,Population structure converged. Difference: 0.0074
1,4,55.3156,49.7238,Warrior,80.8533,74.4199,38.6943,0.5453,5.4872,1.8329,200,59.6229,148.0332,224.8867,166.8378,23.4064,49.2844,0.0042,0.0358,Population structure converged. Difference: 0.0074
1,5,57.2754,52.8028,Warrior,88.0057,58.6409,48.4813,0.5295,4.3426,1.8811,200,59.6229,101.8744,185.8072,127.3445,3.2940,1.9155,0.0022,0.0358,Population structure converged. Difference: 0.0074
1,6,59.2399,54.6868,Warrior,82.9810,76.5247,37.5899,0.4662,2.4382,1.8811,200,59.6229,128.6777,163.1843,132.4600,2.5901,1.9082,0.0011,0.0358,Population structure converged. Difference: 0.0074
1,7,59.4886,56.0410,Warrior,88.8977,72.6555,35.6893,0.4427,2.3149,1.8811,200,59.6229,93.6064,129.3537,97.9727,1.6273,1.6156,0.0007,0.0358,Population structure converged. Difference: 0.0074
1,8,59.4886,57.6683,Warrior,88.8977,72.6555,35.6893,0.4427,2.3149,1.8811,200,59.6229,60.8508,75.6993,58.9886,0.0617,1.4549,0.0001,0.0358,Population structure converged. Difference: 0.0074
1,9,59.6229,58.6650,Warrior,87.8537,77.1146,32.2367,0.4487,2.3464,1.8811,200,59.6229,28.1231,29.0564,13.4278,0.0338,0.9680,0.0000,0.0358,Population structure converged. Difference: 0.0074
1,10,59.6229,59.1877,Warrior,87.8537,77.1146,32.2367,0.4487,2.3464,1.8811,200,59.6229,10.7919,11.6843,4.5683,0.0059,0.3381,0.0000,0.0358,Population structure converged. Difference: 0.0074
2,0,42.7884,31.1207,Warrior,45.3888,60.9328,85.9510,0.1269,7.6006,1.9200,200,58.3655,175.2169,447.3505,387.5283,218.8039,374.7346,0.0380,0.0461,Population structure converged. Difference: 0.0085
2,1,46.9573,35.6563,Warrior,65.5389,37.1469,86.1561,0.1832,10.9748,1.9200,200,58.3655,107.3641,348.4244,367.3786,142.7986,287.7953,0.0253,0.0461,Population structure converged. Difference: 0.0085
2,2,52.6782,39.6500,Warrior,60.2900,87.4145,42.0311,0.1685,10.0959,1.9200,200,58.3655,65.9560,150.0924,468.0467,104.7793,116.6617,0.0127,0.0461,Population structure converged. Difference: 0.0085
2,3,54.3170,43.0847,Warrior,66.0515,83.1129,39.0300,0.1938,11.6118,1.9200,200,58.3655,43.6679,137.6901,509.1982,138.2714,72.7215,0.0012,0.0461,Population structure converged. Difference: 0.0085
2,4,54.6750,47.1874,Warrior,69.1317,68.9887,50.2753,0.2016,11.4028,1.9200,200,58.3655,52.2618,190.1851,319.2353,69.7911,28.3177,0.0008,0.0461,Population structure converged. Difference: 0.0085
2,5,57.0959,50.9835,Warrior,75.0650,78.1700,37.5861,0.1507,9.0282,1.9200,200,58.3655,44.5736,259.3586,234.3187,18.5945,5.4783,0.0003,0.0461,Population structure converged. Difference: 0.0085
2,6,57.0959,53.3928,Warrior,75.0650,78.1700,37.5861,0.1507,9.0282,1.9200,200,58.3655,44.9381,155.6836,74.5145,0.0006,1.9740,0.0000,0.0461,Population structure converged. Difference: 0.0085
2,7,57.6689,54.8589,Warrior,75.6877,78.8186,37.8979,0.1247,7.4711,1.9200,200,58.3655,43.8306,102.3984,33.7138,0.0008,2.2023,0.0000,0.0461,Population structure converged. Difference: 0.0085
