Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.3418,33.4757,Warrior,63.9769,61.8798,41.6956,6.4301,26.0176,1.8518,200,56.5613,287.6843,377.6720,343.6528,347.3092,372.8649,0.0364,0.0231,Population structure converged. Difference: 0.0456
1,1,55.2728,41.1597,Warrior,73.4551,71.0473,47.8728,7.3827,0.2421,1.8749,200,56.5613,107.5349,139.4449,179.6247,182.3668,210.1397,0.0221,0.0231,Population structure converged. Difference: 0.0456
1,2,55.2728,47.2579,Warrior,73.4551,71.0473,47.8728,7.3827,0.2421,1.8749,200,56.5613,37.9839,48.4048,98.4599,97.2693,158.5834,0.0053,0.0231,Population structure converged. Difference: 0.0456
1,3,56.5613,51.4516,Warrior,77.0127,74.4884,41.7990,6.4460,0.2539,1.8749,200,56.5613,35.6935,24.6595,28.8686,14.9840,150.3633,0.0014,0.0231,Population structure converged. Difference: 0.0456
1,4,56.5613,54.0933,Warrior,77.0127,74.4884,41.7990,6.4460,0.2539,1.8749,200,56.5613,25.1037,19.8180,24.9802,9.1474,80.4897,0.0008,0.0231,Population structure converged. Difference: 0.0456
2,0,46.5680,34.0400,Warrior,93.3232,92.7542,5.7462,6.2468,1.9297,1.5474,200,57.1157,509.8281,478.3684,550.3496,512.6292,422.5669,0.0381,0.0213,Population structure converged. Difference: 0.0321
2,1,51.3382,41.0833,Warrior,75.5818,76.7846,23.3468,22.6856,1.6012,1.9156,200,57.1157,363.2271,547.6852,542.1447,197.1665,337.6926,0.0258,0.0213,Population structure converged. Difference: 0.0321
2,2,56.3445,44.6498,Warrior,97.1829,85.2092,7.2671,7.9002,2.4405,1.9005,200,57.1157,239.1639,314.6391,259.6250,80.2954,188.8975,0.0212,0.0213,Population structure converged. Difference: 0.0321
2,3,57.8211,48.6105,Warrior,82.3506,83.6610,25.4376,6.8062,1.7446,1.9156,200,57.1157,166.0575,130.4701,147.9220,57.6067,39.1296,0.0348,0.0213,Population structure converged. Difference: 0.0321
2,4,57.0933,52.6296,Warrior,98.2822,86.1730,7.3493,6.3198,1.8756,1.9005,200,57.1157,113.0001,78.4575,79.5803,39.5261,6.7920,0.0281,0.0213,Population structure converged. Difference: 0.0321
2,5,57.1157,55.3392,Warrior,97.7200,86.6493,7.3900,6.3547,1.8860,1.9005,200,57.1157,34.1007,13.2756,24.4269,20.8487,0.0752,0.0093,0.0213,Population structure converged. Difference: 0.0321
3,0,44.4794,32.4341,Warrior,49.4594,64.2536,63.7901,1.3517,21.1451,1.8927,200,58.8315,300.3718,376.7837,351.0578,328.4936,283.7672,0.0409,0.0270,Population structure converged. Difference: 0.0350
3,1,49.1941,38.3120,Warrior,69.5864,57.5290,67.8543,2.2106,2.8198,1.8059,200,58.8315,194.7848,250.1924,401.3723,239.1636,199.3014,0.0313,0.0270,Population structure converged. Difference: 0.0350
3,2,53.5232,43.0753,Warrior,83.6360,69.1442,42.1904,1.6403,3.3891,1.8059,200,58.8315,190.7173,210.9844,400.3565,146.4954,155.3104,0.0136,0.0270,Population structure converged. Difference: 0.0350
3,3,54.6872,46.7865,Warrior,89.1829,99.0928,5.3561,2.5587,3.8096,1.8402,200,58.8315,205.2069,206.8933,506.1619,75.8602,113.0097,0.0062,0.0270,Population structure converged. Difference: 0.0350
3,4,57.6906,50.3285,Warrior,89.7415,99.7135,5.3897,1.4550,3.7003,1.8927,200,58.8315,166.1536,188.1790,515.4222,49.0303,35.9645,0.0014,0.0270,Population structure converged. Difference: 0.0350
3,5,58.7867,53.1220,Warrior,83.9236,69.3820,42.3355,1.6459,2.7130,1.8927,200,58.8315,128.6343,258.8530,496.4728,12.9690,17.7995,0.0014,0.0270,Population structure converged. Difference: 0.0350
3,6,58.8315,55.4852,Warrior,83.9791,69.4278,42.3635,1.6470,2.5827,1.8927,200,58.8315,75.9059,255.1236,438.3119,9.7395,5.2738,0.0012,0.0270,Population structure converged. Difference: 0.0350
