Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.5425,30.7762,Warrior,100.2959,60.4405,26.1617,7.6929,5.4089,1.8052,200,53.7975,422.3107,510.5428,323.9797,272.2555,415.2376,0.0470,0.0258,Population structure converged. Difference: 0.0429
1,1,50.2875,36.0781,Warrior,87.9302,56.5039,37.0907,9.6121,8.8631,1.9763,200,53.7975,230.8960,292.4159,253.8229,164.8640,329.8296,0.0438,0.0258,Population structure converged. Difference: 0.0429
1,2,50.2875,40.5916,Warrior,87.9302,56.5039,37.0907,9.6121,8.8631,1.9763,200,53.7975,267.3245,182.1382,185.0158,96.6221,241.7079,0.0381,0.0258,Population structure converged. Difference: 0.0429
1,3,51.3253,45.3510,Warrior,100.0096,60.2679,26.0871,7.0941,6.5413,1.9763,200,53.7975,280.8464,91.9007,165.5299,57.7237,154.4619,0.0179,0.0258,Population structure converged. Difference: 0.0429
1,4,52.0203,48.7188,Warrior,79.2652,73.0057,31.7720,9.3695,6.5877,1.9763,200,53.7975,187.3715,56.7411,127.8939,13.7096,50.0412,0.0087,0.0258,Population structure converged. Difference: 0.0429
1,5,52.6717,50.1089,Warrior,74.9875,85.9622,26.7682,6.4586,5.8236,1.9763,200,53.7975,93.5078,83.4459,80.7215,1.8907,22.8992,0.0060,0.0258,Population structure converged. Difference: 0.0429
1,6,53.7975,51.0417,Warrior,83.1958,80.3179,25.0106,6.0345,5.4412,1.9763,200,53.7975,58.5857,82.9603,54.6070,1.4273,3.3948,0.0017,0.0258,Population structure converged. Difference: 0.0429
1,7,53.7975,51.5823,Warrior,83.1958,80.3179,25.0106,6.0345,5.4412,1.9763,200,53.7975,53.4718,103.5482,35.7004,1.2110,3.6739,0.0009,0.0258,Population structure converged. Difference: 0.0429
2,0,55.3349,30.4276,Warrior,82.8906,78.6804,22.9259,0.0313,15.4718,1.9382,200,56.2800,392.8287,443.8637,464.4917,478.2632,387.1423,0.0485,0.0168,Population structure converged. Difference: 0.0321
2,1,56.0351,36.3467,Warrior,83.7403,79.4870,23.1609,0.0316,13.5802,1.9382,200,56.2800,329.1503,236.3333,361.3155,455.6040,339.5532,0.0535,0.0168,Population structure converged. Difference: 0.0321
