Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.8042,26.7543,Warrior,50.7327,65.9712,60.9844,10.3267,11.9850,1.9296,200,53.5447,419.8673,319.8771,317.3906,327.9739,432.9518,0.0370,0.1878,Population structure converged. Difference: 0.0099
1,1,44.8042,28.1085,Warrior,50.7327,65.9712,60.9844,10.3267,11.9850,1.9296,200,53.5447,326.2636,268.3280,264.6438,281.7681,377.1135,0.0382,0.1878,Population structure converged. Difference: 0.0099
1,2,48.2395,31.8376,Warrior,64.0206,59.1396,49.1648,12.8091,14.8659,1.9296,200,53.5447,287.9662,177.2874,253.4626,259.6355,392.1208,0.0423,0.1878,Population structure converged. Difference: 0.0099
1,3,48.2395,32.1035,Warrior,64.0206,59.1396,49.1648,12.8091,14.8659,1.9296,200,53.5447,237.7586,167.3234,253.8243,247.2963,375.6410,0.0415,0.1878,Population structure converged. Difference: 0.0099
1,4,48.9201,33.7573,Warrior,69.4047,86.4308,13.6411,14.1274,16.3960,1.9296,200,53.5447,241.9832,160.3792,260.1144,254.7027,334.8106,0.0410,0.1878,Population structure converged. Difference: 0.0099
1,5,48.2395,36.3266,Warrior,64.0206,59.1396,49.1648,12.8091,14.8659,1.9296,200,53.5447,182.8938,159.9771,214.0877,172.5087,234.0564,0.0430,0.1878,Population structure converged. Difference: 0.0099
1,6,51.6709,37.9892,Warrior,60.9129,72.0461,55.8541,6.0659,5.1209,1.9296,200,53.5447,161.5990,145.4492,183.5468,140.8359,177.2043,0.0405,0.1878,Population structure converged. Difference: 0.0099
1,7,49.2215,39.7986,Warrior,76.0521,49.7403,45.9804,7.7860,20.4411,1.9226,200,53.5447,126.1431,115.7327,184.7559,128.6475,118.2160,0.0343,0.1878,Population structure converged. Difference: 0.0099
1,8,49.2215,40.3855,Warrior,76.0521,49.7403,45.9804,7.7860,20.4411,1.9226,200,53.5447,135.9059,115.3745,182.7881,120.1848,99.0481,0.0296,0.1878,Population structure converged. Difference: 0.0099
1,9,51.2825,42.0435,Warrior,78.8479,51.5689,47.6707,8.0723,13.8402,1.9226,200,53.5447,117.5741,105.0849,141.5802,90.1907,85.3701,0.0248,0.1878,Population structure converged. Difference: 0.0099
1,10,49.6080,43.5797,Warrior,76.1086,52.5121,44.0118,12.6667,14.7007,1.9226,200,53.5447,82.0445,86.0786,113.6147,64.1927,63.8801,0.0167,0.1878,Population structure converged. Difference: 0.0099
1,11,50.1895,44.3440,Warrior,73.5716,51.4040,52.4127,10.4655,12.1461,1.9296,200,53.5447,55.0390,59.5344,129.1216,69.4913,36.6674,0.0121,0.1878,Population structure converged. Difference: 0.0099
1,12,51.5679,45.6104,Warrior,66.8038,77.7300,33.5601,7.1034,14.8026,1.9296,200,53.5447,70.2289,61.7851,64.5438,42.4613,17.2870,0.0097,0.1878,Population structure converged. Difference: 0.0099
1,13,51.8218,46.7270,Warrior,72.3806,67.5228,36.3618,7.6965,16.0384,1.9296,200,53.5447,62.7864,61.4249,69.3223,30.3131,12.0854,0.0044,0.1878,Population structure converged. Difference: 0.0099
1,14,51.7198,47.3321,Warrior,78.4866,54.1528,45.3869,7.1254,14.8483,1.9226,200,53.5447,67.1917,56.6067,62.5444,18.0502,10.3856,0.0027,0.1878,Population structure converged. Difference: 0.0099
1,15,51.7384,47.6829,Warrior,78.5190,54.1752,45.4057,7.2328,14.6673,1.9226,200,53.5447,63.7051,58.9000,62.1301,19.5856,8.6389,0.0054,0.1878,Population structure converged. Difference: 0.0099
1,16,52.8906,47.9650,Warrior,76.7463,67.7321,34.1321,9.8999,11.4896,1.9296,200,53.5447,56.6858,51.6478,52.1785,9.9499,6.9118,0.0027,0.1878,Population structure converged. Difference: 0.0099
1,17,52.8906,48.4700,Warrior,76.7463,67.7321,34.1321,9.8999,11.4896,1.9296,200,53.5447,45.3227,47.3317,35.7373,9.2232,5.4177,0.0000,0.1878,Population structure converged. Difference: 0.0099
1,18,52.8906,48.8663,Warrior,76.7463,67.7321,34.1321,9.8999,11.4896,1.9296,200,53.5447,42.4827,46.1382,35.2114,8.1663,4.6675,0.0000,0.1878,Population structure converged. Difference: 0.0099
1,19,52.8906,49.2829,Warrior,76.7463,67.7321,34.1321,9.8999,11.4896,1.9296,200,53.5447,34.3749,41.9583,32.0946,5.7099,3.6993,0.0000,0.1878,Population structure converged. Difference: 0.0099
1,20,52.7320,49.6201,Warrior,74.1395,66.0863,39.2737,9.4010,11.0994,1.9296,200,53.5447,27.0627,33.8376,29.3347,6.4772,3.5616,0.0000,0.1878,Population structure converged. Difference: 0.0099
1,21,52.5402,49.7872,Warrior,73.4286,63.8633,41.7529,7.4798,13.4753,1.9226,200,53.5447,27.3577,30.8557,23.2773,5.0499,3.0852,0.0000,0.1878,Population structure converged. Difference: 0.0099
