Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.1123,31.1432,Warrior,75.9669,77.3632,13.1777,6.2591,27.2331,1.5246,200,59.6413,279.6781,376.7002,333.3936,393.6383,401.5530,0.0378,0.0325,Population structure converged. Difference: 0.0376
1,1,43.3611,35.4052,Warrior,76.0798,57.1384,24.4240,12.0274,30.3305,1.9791,200,59.6413,206.1453,363.3510,309.7091,282.7277,287.5331,0.0403,0.0325,Population structure converged. Difference: 0.0376
1,2,51.0581,38.6802,Warrior,68.8694,86.6334,20.4835,7.6457,16.3681,1.9032,200,59.6413,207.0816,303.4160,286.0356,202.9781,191.9161,0.0423,0.0325,Population structure converged. Difference: 0.0376
1,3,52.8655,41.5923,Warrior,82.1616,83.6719,14.2523,6.7695,13.1446,1.9509,200,59.6413,223.1256,229.9859,241.2844,141.3428,125.2908,0.0375,0.0325,Population structure converged. Difference: 0.0376
1,4,56.9469,44.6139,Warrior,90.1791,64.2240,35.4270,3.0847,7.0853,1.9032,200,59.6413,239.2063,290.2749,243.3192,91.3731,118.8623,0.0357,0.0325,Population structure converged. Difference: 0.0376
1,5,57.3557,47.9941,Warrior,81.4084,73.8159,34.7889,3.0291,6.9577,1.9032,200,59.6413,171.3038,284.6280,208.6204,54.4291,70.2021,0.0239,0.0325,Population structure converged. Difference: 0.0376
1,6,57.8920,51.8282,Warrior,105.7553,76.3906,13.0950,1.8927,2.8663,1.9032,200,59.6413,140.1798,176.7249,169.3012,26.9152,49.1484,0.0076,0.0325,Population structure converged. Difference: 0.0376
1,7,58.8041,54.5824,Warrior,88.2569,80.0256,24.8703,2.1655,4.6818,1.9032,200,59.6413,77.8804,101.3200,118.5971,14.1770,19.2393,0.0030,0.0325,Population structure converged. Difference: 0.0376
1,8,59.5585,56.2013,Warrior,87.2892,79.1481,28.7762,1.4277,3.3588,1.9032,200,59.6413,22.9770,100.7413,108.6118,15.8779,6.0301,0.0024,0.0325,Population structure converged. Difference: 0.0376
1,9,59.6413,57.4808,Warrior,88.5538,80.2948,26.5467,1.3735,3.2312,1.9032,200,59.6413,14.3806,77.1426,92.0717,9.8443,3.5265,0.0002,0.0325,Population structure converged. Difference: 0.0376
