Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.8408,28.9381,Warrior,51.6978,109.9363,31.1449,3.0525,4.1685,1.9306,200,60.3038,542.3265,597.9426,480.4452,544.5058,435.5044,0.0411,0.1145,Population structure converged. Difference: 0.0094
1,1,47.8408,31.6205,Warrior,51.6978,109.9363,31.1449,3.0525,4.1685,1.9306,200,60.3038,412.3087,514.6932,352.5967,426.8904,329.9292,0.0417,0.1145,Population structure converged. Difference: 0.0094
1,2,50.5905,34.4514,Warrior,76.7916,73.4290,46.9966,0.3186,2.4642,1.4705,200,60.3038,377.4887,594.8522,345.2257,354.7611,340.7243,0.0427,0.1145,Population structure converged. Difference: 0.0094
1,3,55.2668,36.0131,Warrior,92.8698,44.5280,59.1025,0.4006,3.0990,1.9213,200,60.3038,318.1821,549.3853,390.9412,367.5598,388.7635,0.0395,0.1145,Population structure converged. Difference: 0.0094
1,4,53.6414,37.8885,Warrior,76.5640,52.6915,60.0502,4.5207,6.1736,1.9306,200,60.3038,272.0414,341.5560,320.2528,300.9003,357.8036,0.0420,0.1145,Population structure converged. Difference: 0.0094
1,5,53.6404,40.7334,Warrior,63.5035,77.8197,49.8068,3.7496,5.1205,1.9306,200,60.3038,233.6507,341.7037,302.6312,186.6077,277.7590,0.0362,0.1145,Population structure converged. Difference: 0.0094
1,6,53.7147,41.5209,Warrior,78.3863,50.3667,61.4795,3.4470,6.3205,1.9306,200,60.3038,185.1698,377.7554,357.0840,183.5112,246.3226,0.0424,0.1145,Population structure converged. Difference: 0.0094
1,7,53.3752,43.4863,Warrior,78.0412,50.1450,61.2089,4.3123,6.2927,1.9306,200,60.3038,177.5787,326.8171,238.9135,136.3879,165.0462,0.0393,0.1145,Population structure converged. Difference: 0.0094
1,8,56.6614,44.6255,Warrior,71.1313,81.0519,41.1425,2.8213,3.8529,1.9306,200,60.3038,142.8615,351.0455,239.9745,103.7250,120.0245,0.0403,0.1145,Population structure converged. Difference: 0.0094
1,9,58.2485,45.6628,Warrior,75.5187,83.8693,35.6795,0.4328,4.4997,1.9306,200,60.3038,138.0717,301.0015,187.9898,86.9774,98.8853,0.0405,0.1145,Population structure converged. Difference: 0.0094
1,10,58.2485,47.1526,Warrior,75.5187,83.8693,35.6795,0.4328,4.4997,1.9306,200,60.3038,170.5949,346.3780,187.5040,73.9124,87.8297,0.0415,0.1145,Population structure converged. Difference: 0.0094
1,11,58.9909,48.9265,Warrior,89.7479,74.3374,30.2562,3.7256,1.9328,1.9306,200,60.3038,161.3306,318.4945,184.1666,56.9767,34.3782,0.0398,0.1145,Population structure converged. Difference: 0.0094
1,12,59.1070,49.9042,Warrior,86.1204,79.4167,29.0333,3.5750,1.8547,1.9306,200,60.3038,175.9966,297.3267,197.9289,51.4254,25.4773,0.0311,0.1145,Population structure converged. Difference: 0.0094
1,13,58.9909,50.7532,Warrior,89.7479,74.3374,30.2562,3.7256,1.9328,1.9306,200,60.3038,157.4821,288.1043,231.6506,54.1473,19.7257,0.0216,0.1145,Population structure converged. Difference: 0.0094
1,14,58.9909,51.7174,Warrior,89.7479,74.3374,30.2562,3.7256,1.9328,1.9306,200,60.3038,161.2779,296.9718,199.2820,38.9772,18.2881,0.0208,0.1145,Population structure converged. Difference: 0.0094
1,15,58.9909,53.1877,Warrior,89.7479,74.3374,30.2562,3.7256,1.9328,1.9306,200,60.3038,150.6882,261.0650,173.9175,30.4686,17.4388,0.0210,0.1145,Population structure converged. Difference: 0.0094
1,16,59.2208,53.8741,Warrior,89.4867,74.1211,31.3351,3.1068,1.9503,1.9306,200,60.3038,165.5962,232.6638,121.0323,16.3355,25.3795,0.0138,0.1145,Population structure converged. Difference: 0.0094
1,17,59.3626,54.1583,Warrior,86.1008,67.4854,43.1925,0.2130,3.0082,1.9306,200,60.3038,181.1877,285.3235,113.2008,10.8082,17.2477,0.0119,0.1145,Population structure converged. Difference: 0.0094
1,18,59.4509,54.6795,Warrior,85.6563,70.9484,39.5664,0.3845,3.4444,1.9306,200,60.3038,171.2617,287.9783,98.7009,5.1949,17.7782,0.0045,0.1145,Population structure converged. Difference: 0.0094
