Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,39.3282,28.0419,Warrior,55.3587,50.9519,53.9617,39.3555,0.3723,1.9311,200,59.5194,475.8461,425.8912,454.5125,403.5697,424.3292,0.0376,0.1591,Population structure converged. Difference: 0.0096
1,1,44.5098,30.6637,Warrior,60.6029,51.8764,52.6702,20.7565,14.0940,1.9311,200,59.5194,337.9995,415.9739,523.9714,281.3875,439.2059,0.0354,0.1591,Population structure converged. Difference: 0.0096
1,2,45.0317,31.4951,Warrior,79.7157,77.4323,3.6072,18.2900,20.9548,1.8489,200,59.5194,323.7579,490.1561,559.7637,326.6882,345.6017,0.0319,0.1591,Population structure converged. Difference: 0.0096
1,3,53.2976,33.0700,Warrior,95.7829,63.5590,27.8126,6.5904,6.2552,1.8489,200,59.5194,305.7487,400.1901,477.9821,234.6776,348.7165,0.0268,0.1591,Population structure converged. Difference: 0.0096
1,4,53.2976,34.5107,Warrior,95.7829,63.5590,27.8126,6.5904,6.2552,1.8489,200,59.5194,256.5582,297.5630,452.7196,225.6857,324.8696,0.0227,0.1591,Population structure converged. Difference: 0.0096
1,5,53.2976,35.0584,Warrior,95.7829,63.5590,27.8126,6.5904,6.2552,1.8489,200,59.5194,221.3840,263.0364,532.7654,191.2235,244.3819,0.0237,0.1591,Population structure converged. Difference: 0.0096
1,6,54.1695,36.6919,Warrior,76.0836,70.0269,36.8636,8.7350,8.2908,1.9311,200,59.5194,170.7797,265.0229,504.8883,200.3758,225.2706,0.0162,0.1591,Population structure converged. Difference: 0.0096
1,7,54.1695,37.7769,Warrior,76.0836,70.0269,36.8636,8.7350,8.2908,1.9311,200,59.5194,167.0845,262.7743,421.1261,209.3162,128.5871,0.0136,0.1591,Population structure converged. Difference: 0.0096
1,8,54.1695,39.9568,Warrior,76.0836,70.0269,36.8636,8.7350,8.2908,1.9311,200,59.5194,111.3050,256.1543,429.2904,205.6791,102.3412,0.0147,0.1591,Population structure converged. Difference: 0.0096
1,9,54.1695,41.4658,Warrior,76.0836,70.0269,36.8636,8.7350,8.2908,1.9311,200,59.5194,100.1638,254.5883,391.9526,184.7113,88.7076,0.0121,0.1591,Population structure converged. Difference: 0.0096
1,10,57.4824,43.3725,Warrior,81.8398,59.3554,55.6623,2.6731,0.4694,1.9311,200,59.5194,97.8120,236.7770,283.5599,153.3109,72.6694,0.0108,0.1591,Population structure converged. Difference: 0.0096
1,11,57.4824,44.8740,Warrior,81.8398,59.3554,55.6623,2.6731,0.4694,1.9311,200,59.5194,72.9792,228.0697,259.6849,147.2294,78.8856,0.0066,0.1591,Population structure converged. Difference: 0.0096
1,12,57.4824,45.9180,Warrior,81.8398,59.3554,55.6623,2.6731,0.4694,1.9311,200,59.5194,66.1505,164.8563,123.6007,119.8860,92.3495,0.0049,0.1591,Population structure converged. Difference: 0.0096
1,13,55.7117,46.7853,Warrior,76.8374,69.5729,40.9511,3.8140,8.8246,1.9311,200,59.5194,80.4154,140.8235,130.5627,84.4290,89.7763,0.0072,0.1591,Population structure converged. Difference: 0.0096
1,14,55.7117,48.3058,Warrior,76.8374,69.5729,40.9511,3.8140,8.8246,1.9311,200,59.5194,74.9897,119.7286,112.8382,71.6609,75.3425,0.0051,0.1591,Population structure converged. Difference: 0.0096
1,15,56.7551,49.1610,Warrior,78.9349,74.2043,37.5180,8.8901,0.4527,1.9311,200,59.5194,90.7144,124.6991,124.7547,44.4975,77.6439,0.0055,0.1591,Population structure converged. Difference: 0.0096
1,16,55.7554,50.0998,Warrior,76.8889,69.6195,40.9785,3.8166,8.6964,1.9311,200,59.5194,47.6004,110.3165,131.7512,31.0275,58.7244,0.0023,0.1591,Population structure converged. Difference: 0.0096
