Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,56.3414,32.3221,Warrior,81.9943,75.6424,29.8327,4.1096,8.4209,1.9369,200,57.7887,405.5298,417.3914,335.8444,525.4317,424.3331,0.0253,0.0349,Population structure converged. Difference: 0.0082
1,1,56.3414,38.5038,Warrior,81.9943,75.6424,29.8327,4.1096,8.4209,1.9369,200,57.7887,318.9339,274.4474,269.3205,206.5020,328.8983,0.0196,0.0349,Population structure converged. Difference: 0.0082
1,2,56.3414,45.0807,Warrior,81.9943,75.6424,29.8327,4.1096,8.4209,1.9369,200,57.7887,207.4646,226.7211,180.3831,118.6758,160.8036,0.0125,0.0349,Population structure converged. Difference: 0.0082
1,3,57.6858,50.2522,Warrior,83.6720,77.1901,30.4431,4.1937,4.5012,1.9369,200,57.7887,115.1857,155.9204,113.4622,57.5236,60.3397,0.0102,0.0349,Population structure converged. Difference: 0.0082
1,4,57.7457,53.5682,Warrior,83.7474,77.2596,30.4705,4.1975,4.3251,1.9369,200,57.7887,41.2567,106.9120,92.6664,16.6018,24.7465,0.0047,0.0349,Population structure converged. Difference: 0.0082
1,5,57.7457,55.2250,Warrior,83.7474,77.2596,30.4705,4.1975,4.3251,1.9369,200,57.7887,16.7443,49.9444,46.9441,7.4903,7.8272,0.0021,0.0349,Population structure converged. Difference: 0.0082
1,6,57.7583,56.0466,Warrior,84.1602,77.6405,29.6348,4.2182,4.3464,1.9369,200,57.7887,13.6959,28.3524,17.3193,3.1624,2.3396,0.0009,0.0349,Population structure converged. Difference: 0.0082
1,7,57.7583,56.9034,Warrior,84.1602,77.6405,29.6348,4.2182,4.3464,1.9369,200,57.7887,3.5043,9.1387,12.5562,1.7404,3.9986,0.0000,0.0349,Population structure converged. Difference: 0.0082
1,8,57.7887,57.3161,Warrior,84.0523,77.5410,29.9413,4.1246,4.3408,1.9369,200,57.7887,1.4531,1.1690,0.2663,2.7594,2.5953,0.0000,0.0349,Population structure converged. Difference: 0.0082
2,0,40.3118,29.4123,Warrior,57.1538,75.4593,45.1227,11.0835,11.1807,1.7262,200,59.4044,239.6459,364.0775,231.5024,394.3610,333.6982,0.0365,0.0538,Population structure converged. Difference: 0.0084
2,1,40.3118,33.5503,Warrior,57.1538,75.4593,45.1227,11.0835,11.1807,1.7262,200,59.4044,139.1244,300.2646,173.8962,275.8477,323.7344,0.0323,0.0538,Population structure converged. Difference: 0.0084
2,2,48.0834,37.3915,Warrior,62.9695,70.1303,46.7313,17.8142,2.3547,1.9638,200,59.4044,75.9285,233.4726,145.6677,166.0756,202.2056,0.0231,0.0538,Population structure converged. Difference: 0.0084
2,3,48.0834,39.7879,Warrior,62.9695,70.1303,46.7313,17.8142,2.3547,1.9638,200,59.4044,53.0644,113.6327,108.4489,57.0855,139.3624,0.0200,0.0538,Population structure converged. Difference: 0.0084
2,4,48.4104,41.8326,Warrior,78.1021,69.0261,20.9323,14.9732,16.9663,1.8618,200,59.4044,62.2137,44.3867,126.7483,35.6021,101.8057,0.0214,0.0538,Population structure converged. Difference: 0.0084
2,5,52.2957,44.1772,Warrior,65.1624,72.5726,48.3588,11.4695,2.4367,1.9291,200,59.4044,71.3658,16.8883,156.0727,17.9957,68.6953,0.0223,0.0538,Population structure converged. Difference: 0.0084
2,6,52.8748,46.7749,Warrior,73.5594,66.7930,39.9405,9.8106,9.8966,1.9291,200,59.4044,66.5600,13.5263,150.2537,19.3513,56.6166,0.0196,0.0538,Population structure converged. Difference: 0.0084
2,7,54.0190,49.4370,Warrior,81.3640,78.6108,21.8066,15.5985,2.6201,1.9291,200,59.4044,69.7977,12.7021,151.1373,17.0586,42.4539,0.0084,0.0538,Population structure converged. Difference: 0.0084
2,8,55.0760,51.4449,Warrior,80.5262,65.3462,49.0592,2.6406,2.4278,1.8402,200,59.4044,50.8455,19.2384,138.0382,18.3938,24.6221,0.0049,0.0538,Population structure converged. Difference: 0.0084
2,9,56.7540,52.4466,Warrior,73.1139,69.4267,52.1226,2.8055,2.5312,1.9291,200,59.4044,50.5185,27.1235,131.0368,16.2861,18.1251,0.0013,0.0538,Population structure converged. Difference: 0.0084
2,10,56.7801,53.8716,Warrior,74.0896,67.6843,52.8182,2.8430,2.5650,1.9291,200,59.4044,40.6515,33.8121,143.9192,27.8354,13.9945,0.0011,0.0538,Population structure converged. Difference: 0.0084
2,11,59.0738,55.0650,Warrior,87.0069,84.0628,23.3189,2.8881,2.7232,1.9291,200,59.4044,38.5797,44.9150,155.3264,23.5559,14.4412,0.0007,0.0538,Population structure converged. Difference: 0.0084
2,12,59.1685,56.1995,Warrior,90.3720,79.8550,24.2208,2.9998,2.5523,1.9291,200,59.4044,40.9249,42.1148,157.7156,12.6344,12.9521,0.0003,0.0538,Population structure converged. Difference: 0.0084
2,13,59.1685,57.1970,Warrior,90.3720,79.8550,24.2208,2.9998,2.5523,1.9291,200,59.4044,39.5768,42.1478,155.3649,7.7476,9.0303,0.0001,0.0538,Population structure converged. Difference: 0.0084
2,14,59.2345,58.1756,Warrior,86.8809,83.9410,23.9578,2.4575,2.7629,1.9291,200,59.4044,37.1780,40.7336,116.7030,2.8020,4.8233,0.0000,0.0538,Population structure converged. Difference: 0.0084
2,15,59.4044,58.7227,Warrior,87.0965,84.1494,24.0172,2.4636,2.2732,1.9291,200,59.4044,28.1068,18.8597,58.1690,1.2911,1.8502,0.0000,0.0538,Population structure converged. Difference: 0.0084
2,16,59.4044,58.9105,Warrior,87.0965,84.1494,24.0172,2.4636,2.2732,1.9291,200,59.4044,21.0890,11.5603,38.9143,1.2665,1.0106,0.0000,0.0538,Population structure converged. Difference: 0.0084
3,0,44.3968,31.1796,Warrior,52.3831,70.8920,44.3518,1.3561,31.0170,1.9431,200,59.2801,257.5809,441.8579,404.0555,298.7081,404.6912,0.0406,0.0461,Population structure converged. Difference: 0.0084
3,1,46.2752,35.6150,Warrior,80.8882,63.9184,38.2426,14.9047,2.0460,1.4253,200,59.2801,177.4426,284.6689,271.3866,167.9779,384.3430,0.0438,0.0461,Population structure converged. Difference: 0.0084
3,2,47.1780,38.7017,Warrior,65.6343,56.3066,45.1230,1.3797,31.5564,1.9431,200,59.2801,99.9579,193.9871,256.2086,168.4823,282.5584,0.0466,0.0461,Population structure converged. Difference: 0.0084
3,3,50.8911,42.0203,Warrior,79.1157,59.7441,44.2255,14.8731,2.0417,1.8474,200,59.2801,63.4362,122.1964,193.5556,76.4079,183.7474,0.0530,0.0461,Population structure converged. Difference: 0.0084
3,4,50.8911,43.7621,Warrior,79.1157,59.7441,44.2255,14.8731,2.0417,1.8474,200,59.2801,73.0004,110.9045,145.2045,53.6119,170.6301,0.0559,0.0461,Population structure converged. Difference: 0.0084
3,5,53.2564,46.0518,Warrior,80.8882,63.9184,38.2426,14.9047,2.0460,1.9431,200,59.2801,57.0547,72.9141,94.7408,48.4112,194.8083,0.0621,0.0461,Population structure converged. Difference: 0.0084
3,6,53.2564,48.1008,Warrior,80.8882,63.9184,38.2426,14.9047,2.0460,1.9431,200,59.2801,74.7585,55.4753,70.4699,40.6619,154.6179,0.0495,0.0461,Population structure converged. Difference: 0.0084
