Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.9135,30.3125,Warrior,56.3079,88.8007,17.1175,12.7224,25.0515,1.8913,200,56.6028,298.4704,370.4699,586.2028,346.4404,474.0867,0.0456,0.0333,Population structure converged. Difference: 0.0449
1,1,45.5360,34.1561,Warrior,58.0730,91.5843,17.6541,11.3213,21.3673,1.8913,200,56.6028,195.6386,271.9132,423.7608,331.5592,306.9479,0.0439,0.0333,Population structure converged. Difference: 0.0449
1,2,53.3555,36.6910,Warrior,105.8392,68.1497,12.5658,3.3873,10.0580,1.9435,200,56.6028,274.1051,324.7981,357.1254,251.7147,308.8451,0.0460,0.0333,Population structure converged. Difference: 0.0449
1,3,54.2882,40.3314,Warrior,101.8973,65.6115,19.5466,3.2611,9.6834,1.9435,200,56.6028,303.3967,432.3726,333.9735,295.3277,157.6044,0.0491,0.0333,Population structure converged. Difference: 0.0449
1,4,55.5329,44.7759,Warrior,89.1206,59.2799,40.2781,2.8522,8.4692,1.9435,200,56.6028,298.4745,348.7890,269.5009,95.0709,64.2722,0.0379,0.0333,Population structure converged. Difference: 0.0449
1,5,55.6060,47.7917,Warrior,88.1124,74.8310,22.2932,3.7193,11.0441,1.8913,200,56.6028,298.7861,311.0559,214.2430,63.7385,46.8041,0.0230,0.0333,Population structure converged. Difference: 0.0449
1,6,56.2575,50.4540,Warrior,86.4604,64.3630,38.3868,2.7183,8.0715,1.9435,200,56.6028,312.7216,198.5031,92.1897,31.6493,27.5845,0.0143,0.0333,Population structure converged. Difference: 0.0449
1,7,56.2575,52.0903,Warrior,86.4604,64.3630,38.3868,2.7183,8.0715,1.9435,200,56.6028,200.5489,166.3213,68.2605,16.4907,23.9906,0.0106,0.0333,Population structure converged. Difference: 0.0449
1,8,56.4649,53.0968,Warrior,76.2379,79.6215,34.4558,2.4399,7.2450,1.9435,200,56.6028,144.3022,128.8990,67.8310,12.4805,21.0930,0.0082,0.0333,Population structure converged. Difference: 0.0449
1,9,56.6028,54.1719,Warrior,80.3306,72.9632,36.3055,2.5709,7.8298,1.9435,200,56.6028,91.8179,101.0553,87.1651,10.3830,8.5857,0.0057,0.0333,Population structure converged. Difference: 0.0449
2,0,45.9836,30.3694,Warrior,80.1157,43.7440,39.5081,8.6079,28.0243,1.9217,200,57.8392,336.9944,413.0192,336.7688,367.2147,383.5905,0.0425,0.0392,Population structure converged. Difference: 0.0387
2,1,48.3034,33.9610,Warrior,61.7886,53.6467,70.9961,6.4752,7.0933,1.9509,200,57.8392,301.1807,426.3781,369.2810,234.2359,345.2551,0.0469,0.0392,Population structure converged. Difference: 0.0387
2,2,55.9713,36.1040,Warrior,90.7597,64.9147,34.0799,4.8895,5.3562,1.9509,200,57.8392,214.1735,322.3570,296.9821,245.2401,321.9963,0.0430,0.0392,Population structure converged. Difference: 0.0387
2,3,55.9713,39.3866,Warrior,90.7597,64.9147,34.0799,4.8895,5.3562,1.9509,200,57.8392,203.6274,208.1346,197.2269,267.7766,235.2579,0.0360,0.0392,Population structure converged. Difference: 0.0387
2,4,56.3614,42.2977,Warrior,92.0876,55.0826,45.5361,5.5944,1.6994,1.9217,200,57.8392,227.6044,198.0104,210.7532,179.8742,213.8475,0.0263,0.0392,Population structure converged. Difference: 0.0387
2,5,56.3614,45.8116,Warrior,92.0876,55.0826,45.5361,5.5944,1.6994,1.9217,200,57.8392,205.0736,152.5771,223.0265,110.0210,124.5358,0.0135,0.0392,Population structure converged. Difference: 0.0387
2,6,56.3614,48.6454,Warrior,92.0876,55.0826,45.5361,5.5944,1.6994,1.9217,200,57.8392,184.9672,145.2448,152.6289,67.3473,69.6814,0.0081,0.0392,Population structure converged. Difference: 0.0387
2,7,56.3614,51.0144,Warrior,92.0876,55.0826,45.5361,5.5944,1.6994,1.9217,200,57.8392,170.4173,122.4363,89.6673,22.4758,56.7208,0.0003,0.0392,Population structure converged. Difference: 0.0387
2,8,56.9380,52.4945,Warrior,90.7597,64.9147,34.0799,4.8895,5.3562,1.9217,200,57.8392,168.8656,77.3403,99.9597,16.1003,53.8372,0.0002,0.0392,Population structure converged. Difference: 0.0387
2,9,57.6580,53.9350,Warrior,86.9206,63.2138,42.9811,5.2805,1.6040,1.9217,200,57.8392,171.6160,87.9124,79.3384,5.0125,38.9500,0.0002,0.0392,Population structure converged. Difference: 0.0387
2,10,57.6580,54.8589,Warrior,86.9206,63.2138,42.9811,5.2805,1.6040,1.9217,200,57.8392,116.5393,60.5309,75.8254,1.7199,35.8663,0.0002,0.0392,Population structure converged. Difference: 0.0387
2,11,57.8392,55.6828,Warrior,92.1044,65.8764,34.5849,5.7513,1.6830,1.9217,200,57.8392,78.2062,40.4503,85.3346,1.4081,12.6691,0.0001,0.0392,Population structure converged. Difference: 0.0387
3,0,48.1043,29.5231,Warrior,84.1691,57.7403,38.3961,2.2058,17.4888,1.9956,200,57.1965,434.2505,335.1439,476.5588,375.9424,360.2420,0.0531,0.0404,Population structure converged. Difference: 0.0498
3,1,48.1043,33.0671,Warrior,84.1691,57.7403,38.3961,2.2058,17.4888,1.9956,200,57.1965,382.1778,278.7663,400.6540,322.3868,344.1234,0.0566,0.0404,Population structure converged. Difference: 0.0498
3,2,49.4348,36.1493,Warrior,76.7353,37.8968,76.6033,2.0099,6.7547,1.9508,200,57.1965,305.1707,205.7318,399.0816,273.7819,258.9711,0.0563,0.0404,Population structure converged. Difference: 0.0498
3,3,49.7957,40.0181,Warrior,91.1560,41.9864,46.1623,2.2005,18.4948,1.9354,200,57.1965,183.8132,181.5068,282.2946,246.7085,203.8719,0.0513,0.0404,Population structure converged. Difference: 0.0498
3,4,51.9432,43.4546,Warrior,71.7375,67.1054,40.4229,2.3222,18.4119,1.9508,200,57.1965,131.4027,125.5899,197.7280,191.6898,74.9802,0.0485,0.0404,Population structure converged. Difference: 0.0498
3,5,52.4573,45.9148,Warrior,84.1691,57.7403,38.3961,2.2058,17.4888,1.9508,200,57.1965,84.4434,96.8925,155.3894,109.0797,55.9343,0.0458,0.0404,Population structure converged. Difference: 0.0498
3,6,52.4893,47.3774,Warrior,84.2115,57.7693,38.4154,2.1956,17.4082,1.9508,200,57.1965,83.2978,85.7631,142.1480,58.0336,45.6003,0.0408,0.0404,Population structure converged. Difference: 0.0498
3,7,56.1812,49.3894,Warrior,76.6433,71.6944,43.1872,2.4810,5.9940,1.9508,200,57.1965,60.0804,81.6525,125.0596,13.7926,41.5889,0.0272,0.0404,Population structure converged. Difference: 0.0498
3,8,56.3638,50.4941,Warrior,77.8835,72.8545,40.3695,2.1396,6.7528,1.9508,200,57.1965,50.7870,75.0809,94.9738,5.8866,34.3198,0.0144,0.0404,Population structure converged. Difference: 0.0498
3,9,56.3638,51.7025,Warrior,77.8835,72.8545,40.3695,2.1396,6.7528,1.9508,200,57.1965,49.8582,70.2417,63.3882,4.1433,28.6115,0.0108,0.0404,Population structure converged. Difference: 0.0498
3,10,56.3638,53.2407,Warrior,77.8835,72.8545,40.3695,2.1396,6.7528,1.9508,200,57.1965,39.9436,60.3695,35.6359,3.0501,32.5544,0.0061,0.0404,Population structure converged. Difference: 0.0498
3,11,57.1965,54.4823,Warrior,77.7221,72.9508,40.4228,2.1425,6.7618,1.9007,200,57.1965,31.0417,42.2020,17.7926,2.2564,27.9869,0.0003,0.0404,Population structure converged. Difference: 0.0498
4,0,44.2611,30.0931,Warrior,78.5854,58.5748,18.3820,32.1641,12.2937,1.9061,200,58.8196,324.3222,449.7759,308.7005,430.2487,347.7200,0.0381,0.0406,Population structure converged. Difference: 0.0431
4,1,45.6945,34.0644,Warrior,75.3153,39.3966,68.3393,2.3544,14.5944,1.9876,200,58.8196,246.4498,337.5809,292.2770,343.8888,286.2426,0.0438,0.0406,Population structure converged. Difference: 0.0431
4,2,49.9537,37.4957,Warrior,83.7990,60.6391,40.8151,12.3698,2.3769,1.9876,200,58.8196,222.8223,232.0612,289.0404,218.6959,199.2159,0.0445,0.0406,Population structure converged. Difference: 0.0431
4,3,54.1264,40.0552,Warrior,83.7990,60.6391,40.8151,12.3698,2.3769,1.8920,200,58.8196,220.3846,195.2816,292.2518,152.3719,150.7208,0.0464,0.0406,Population structure converged. Difference: 0.0431
4,4,54.1644,43.2710,Warrior,86.1807,59.3962,39.9786,12.1163,2.3282,1.8920,200,58.8196,143.7662,197.5885,340.3154,144.9296,102.8359,0.0397,0.0406,Population structure converged. Difference: 0.0431
4,5,58.1537,45.7560,Warrior,91.0863,62.7772,41.0930,2.5828,2.4607,1.8920,200,58.8196,129.8942,224.0086,340.7072,129.5053,64.2688,0.0317,0.0406,Population structure converged. Difference: 0.0431
4,6,58.1537,48.4297,Warrior,91.0863,62.7772,41.0930,2.5828,2.4607,1.8920,200,58.8196,122.1176,185.2735,252.1075,95.6392,48.4469,0.0177,0.0406,Population structure converged. Difference: 0.0431
4,7,58.1537,50.1849,Warrior,91.0863,62.7772,41.0930,2.5828,2.4607,1.8920,200,58.8196,96.7927,154.3638,223.0652,79.5712,48.2262,0.0089,0.0406,Population structure converged. Difference: 0.0431
4,8,58.7474,52.2427,Warrior,82.1662,84.9634,26.8710,3.3888,2.6105,1.9061,200,58.8196,61.2347,98.3571,135.1287,46.3417,48.2505,0.0063,0.0406,Population structure converged. Difference: 0.0431
4,9,58.7474,53.6622,Warrior,82.1662,84.9634,26.8710,3.3888,2.6105,1.9061,200,58.8196,73.4380,98.8041,114.8429,26.5681,29.0505,0.0044,0.0406,Population structure converged. Difference: 0.0431
4,10,58.7474,55.3530,Warrior,82.1662,84.9634,26.8710,3.3888,2.6105,1.9061,200,58.8196,46.4384,84.8164,90.7602,22.1456,19.1478,0.0032,0.0406,Population structure converged. Difference: 0.0431
4,11,58.8196,56.3898,Warrior,82.2537,85.0539,26.8996,3.3925,2.4003,1.9061,200,58.8196,39.0229,81.4617,69.3172,17.4082,12.0561,0.0001,0.0406,Population structure converged. Difference: 0.0431
5,0,47.4482,28.9337,Warrior,77.3171,41.6752,67.5590,13.3197,0.1290,1.8468,200,55.3098,311.8091,490.1594,490.2174,379.0788,407.9105,0.0364,0.0447,Population structure converged. Difference: 0.0470
5,1,47.4482,31.9669,Warrior,77.3171,41.6752,67.5590,13.3197,0.1290,1.8468,200,55.3098,283.2235,466.4020,395.4084,295.9568,343.1308,0.0369,0.0447,Population structure converged. Difference: 0.0470
5,2,47.4482,35.6277,Warrior,77.3171,41.6752,67.5590,13.3197,0.1290,1.8468,200,55.3098,218.1531,528.0045,365.4131,197.3822,277.8848,0.0441,0.0447,Population structure converged. Difference: 0.0470
5,3,47.4482,38.8649,Warrior,77.3171,41.6752,67.5590,13.3197,0.1290,1.8468,200,55.3098,170.6746,374.0926,289.4252,78.7825,184.9200,0.0490,0.0447,Population structure converged. Difference: 0.0470
5,4,47.4482,40.7132,Warrior,77.3171,41.6752,67.5590,13.3197,0.1290,1.8468,200,55.3098,133.9048,238.0828,286.2590,30.1102,160.6294,0.0432,0.0447,Population structure converged. Difference: 0.0470
5,5,47.4482,42.7901,Warrior,77.3171,41.6752,67.5590,13.3197,0.1290,1.8468,200,55.3098,78.8879,125.1355,291.4200,16.7669,142.6949,0.0362,0.0447,Population structure converged. Difference: 0.0470
5,6,54.3473,44.5464,Warrior,86.2671,63.0171,35.7455,14.8217,0.1487,1.9308,200,55.3098,59.4680,101.8706,323.0044,11.1570,175.6005,0.0241,0.0447,Population structure converged. Difference: 0.0470
5,7,54.3473,45.7661,Warrior,86.2671,63.0171,35.7455,14.8217,0.1487,1.9308,200,55.3098,55.0514,74.3759,311.1411,10.9321,198.7266,0.0114,0.0447,Population structure converged. Difference: 0.0470
5,8,54.3473,47.1648,Warrior,86.2671,63.0171,35.7455,14.8217,0.1487,1.9308,200,55.3098,53.4713,67.0982,261.9585,11.7082,175.9908,0.0058,0.0447,Population structure converged. Difference: 0.0470
5,9,54.9485,48.2618,Warrior,86.9285,63.5003,36.0195,13.4218,0.1299,1.9308,200,55.3098,56.9228,65.8600,221.3795,14.9133,129.1369,0.0074,0.0447,Population structure converged. Difference: 0.0470
5,10,54.9485,50.2839,Warrior,86.9285,63.5003,36.0195,13.4218,0.1299,1.9308,200,55.3098,41.5086,62.9316,156.9020,12.4744,59.0078,0.0017,0.0447,Population structure converged. Difference: 0.0470
5,11,55.3098,51.6422,Warrior,81.4351,67.4752,38.2743,12.6563,0.1592,1.9308,200,55.3098,19.4926,64.1581,133.5310,5.3475,36.3941,0.0018,0.0447,Population structure converged. Difference: 0.0470
5,12,55.3098,52.8288,Warrior,81.4351,67.4752,38.2743,12.6563,0.1592,1.9308,200,55.3098,13.0517,37.3401,81.4582,1.7745,32.1894,0.0013,0.0447,Population structure converged. Difference: 0.0470
6,0,45.4090,29.3445,Warrior,61.5451,48.2663,66.9593,18.8852,4.3441,1.8998,200,53.6638,327.2952,419.8396,494.6509,568.7938,539.4982,0.0369,0.0408,Population structure converged. Difference: 0.0488
6,1,45.4090,33.6385,Warrior,61.5451,48.2663,66.9593,18.8852,4.3441,1.8998,200,53.6638,282.5573,364.2202,573.0958,318.0066,429.9814,0.0471,0.0408,Population structure converged. Difference: 0.0488
6,2,50.1778,37.0289,Warrior,74.9808,83.8093,13.8115,22.2731,5.1253,1.8998,200,53.6638,119.3243,303.5399,571.5034,93.2938,394.4522,0.0347,0.0408,Population structure converged. Difference: 0.0488
6,3,50.1778,40.6151,Warrior,74.9808,83.8093,13.8115,22.2731,5.1253,1.8998,200,53.6638,49.7165,211.4525,493.2066,70.8351,332.6651,0.0271,0.0408,Population structure converged. Difference: 0.0488
6,4,50.1778,42.0686,Warrior,74.9808,83.8093,13.8115,22.2731,5.1253,1.8998,200,53.6638,82.1030,136.3810,424.6563,60.3385,252.1070,0.0224,0.0408,Population structure converged. Difference: 0.0488
6,5,50.1778,44.8733,Warrior,74.9808,83.8093,13.8115,22.2731,5.1253,1.8998,200,53.6638,78.3444,166.6317,440.6528,33.4784,58.4648,0.0102,0.0408,Population structure converged. Difference: 0.0488
6,6,51.0732,46.4668,Warrior,87.2021,74.5098,12.2790,19.8017,6.2074,1.8998,200,53.6638,80.6735,188.4355,444.4374,19.5503,44.5298,0.0044,0.0408,Population structure converged. Difference: 0.0488
