Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.8328,32.7433,Warrior,67.1897,69.5003,47.7685,14.1384,1.4032,1.9581,200,56.9425,380.6520,300.6004,335.2200,390.4893,535.7025,0.0465,0.0591,Population structure converged. Difference: 0.0343
1,1,50.8328,38.2178,Warrior,67.1897,69.5003,47.7685,14.1384,1.4032,1.9581,200,56.9425,239.2301,278.0405,259.8610,210.2093,310.2508,0.0494,0.0591,Population structure converged. Difference: 0.0343
1,2,54.4396,43.0689,Warrior,70.3449,72.7640,50.0117,5.4103,1.4691,1.9581,200,56.9425,120.3010,228.2168,173.1917,109.4285,254.1087,0.0480,0.0591,Population structure converged. Difference: 0.0343
1,3,54.2960,46.6857,Warrior,69.9287,72.3335,50.8991,5.3783,1.4604,1.9581,200,56.9425,77.8757,136.5254,103.6520,55.5286,127.3602,0.0441,0.0591,Population structure converged. Difference: 0.0343
1,4,54.4166,49.1308,Warrior,69.9287,72.3335,50.8991,5.3783,1.4604,1.8660,200,56.9425,46.0989,116.3106,64.6530,30.7284,56.7433,0.0197,0.0591,Population structure converged. Difference: 0.0343
1,5,56.3893,50.7403,Warrior,72.0748,74.5534,51.1602,0.7064,1.5052,1.9581,200,56.9425,43.2295,60.9134,18.0586,21.9283,40.2360,0.0028,0.0591,Population structure converged. Difference: 0.0343
1,6,56.8028,51.8679,Warrior,73.3182,75.8395,48.5925,0.7186,1.5312,1.9581,200,56.9425,16.3176,19.5583,12.4333,22.2658,7.4750,0.0009,0.0591,Population structure converged. Difference: 0.0343
1,7,56.8028,53.1772,Warrior,73.3182,75.8395,48.5925,0.7186,1.5312,1.9581,200,56.9425,16.9142,22.1861,14.7936,22.4479,5.5785,0.0015,0.0591,Population structure converged. Difference: 0.0343
1,8,56.9291,54.2123,Warrior,73.3182,75.8395,48.5925,0.7186,1.5312,1.8660,200,56.9425,16.1687,29.8347,5.2981,15.0249,5.5528,0.0019,0.0591,Population structure converged. Difference: 0.0343
1,9,56.9425,55.0567,Warrior,73.3322,75.8540,48.6018,0.7066,1.5055,1.8660,200,56.9425,6.4785,11.8711,3.6203,10.5705,0.0025,0.0018,0.0591,Population structure converged. Difference: 0.0343
2,0,42.4069,29.4007,Warrior,56.0916,51.2466,51.2960,18.0799,23.2859,1.8891,200,54.3135,457.3944,358.9383,360.1414,361.3402,440.8053,0.0348,0.1083,Population structure converged. Difference: 0.0417
2,1,42.4069,33.4978,Warrior,56.0916,51.2466,51.2960,18.0799,23.2859,1.8891,200,54.3135,163.1741,141.8695,330.5196,335.1696,265.2750,0.0339,0.1083,Population structure converged. Difference: 0.0417
2,2,42.4069,36.4074,Warrior,56.0916,51.2466,51.2960,18.0799,23.2859,1.8891,200,54.3135,94.0975,121.9265,236.5216,296.3338,133.5193,0.0337,0.1083,Population structure converged. Difference: 0.0417
2,3,47.7040,38.9547,Warrior,72.7061,69.6865,21.0907,8.8881,27.6286,1.8891,200,54.3135,80.0230,110.5962,155.8957,171.2395,99.0611,0.0387,0.1083,Population structure converged. Difference: 0.0417
2,4,47.7040,41.2275,Warrior,72.7061,69.6865,21.0907,8.8881,27.6286,1.8891,200,54.3135,69.1110,94.7474,192.8225,102.3729,77.9934,0.0391,0.1083,Population structure converged. Difference: 0.0417
2,5,53.6211,42.7148,Warrior,84.1800,50.8649,51.8477,6.0413,7.0661,1.8983,200,54.3135,66.1473,85.4579,218.9194,57.9600,71.2566,0.0300,0.1083,Population structure converged. Difference: 0.0417
2,6,53.6211,44.0963,Warrior,84.1800,50.8649,51.8477,6.0413,7.0661,1.8983,200,54.3135,80.2258,83.5887,220.1942,57.9748,80.3108,0.0179,0.1083,Population structure converged. Difference: 0.0417
2,7,53.6211,46.3568,Warrior,84.1800,50.8649,51.8477,6.0413,7.0661,1.8983,200,54.3135,68.3351,55.6742,154.0253,28.0259,70.7107,0.0060,0.1083,Population structure converged. Difference: 0.0417
2,8,53.6211,47.7948,Warrior,84.1800,50.8649,51.8477,6.0413,7.0661,1.8983,200,54.3135,68.4369,51.0699,144.6310,22.7613,48.8476,0.0042,0.1083,Population structure converged. Difference: 0.0417
2,9,54.3135,49.7616,Warrior,81.9058,54.8939,50.4470,5.8781,6.8752,1.8983,200,54.3135,78.4502,43.7800,91.0808,20.5492,21.2258,0.0002,0.1083,Population structure converged. Difference: 0.0417
2,10,54.3135,51.0324,Warrior,81.9058,54.8939,50.4470,5.8781,6.8752,1.8983,200,54.3135,71.8211,31.1086,66.7297,18.5210,20.5040,0.0001,0.1083,Population structure converged. Difference: 0.0417
2,11,54.3135,52.1388,Warrior,81.9058,54.8939,50.4470,5.8781,6.8752,1.8983,200,54.3135,45.7235,25.1206,36.3043,12.7814,7.9272,0.0001,0.1083,Population structure converged. Difference: 0.0417
3,0,46.1649,30.0739,Warrior,76.2841,52.8461,56.2926,5.1097,9.4675,1.4486,200,56.1992,404.2571,553.0998,466.8120,582.6456,543.8842,0.0402,0.0586,Population structure converged. Difference: 0.0349
3,1,54.6686,34.4818,Warrior,74.5934,87.5633,25.3340,2.9642,9.5450,1.9526,200,56.1992,211.3825,507.9065,399.3211,292.2983,398.1021,0.0450,0.0586,Population structure converged. Difference: 0.0349
3,2,54.6686,38.0133,Warrior,74.5934,87.5633,25.3340,2.9642,9.5450,1.9526,200,56.1992,210.9234,397.1512,338.6603,159.3948,294.9879,0.0502,0.0586,Population structure converged. Difference: 0.0349
3,3,54.6686,42.1071,Warrior,74.5934,87.5633,25.3340,2.9642,9.5450,1.9526,200,56.1992,141.6250,306.7755,277.1210,84.7607,136.8987,0.0594,0.0586,Population structure converged. Difference: 0.0349
3,4,54.6936,46.0150,Warrior,74.6223,87.5973,25.3438,2.9654,9.4712,1.9526,200,56.1992,86.2922,326.1957,233.1392,57.3638,58.0978,0.0647,0.0586,Population structure converged. Difference: 0.0349
3,5,54.8800,48.8629,Warrior,75.6447,86.8293,25.1216,2.9394,9.4650,1.9526,200,56.1992,81.3859,278.9840,197.4315,39.3145,25.4167,0.0606,0.0586,Population structure converged. Difference: 0.0349
