Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.7243,28.7058,Warrior,103.9188,68.4145,23.0193,3.0583,1.5891,1.7288,200,59.7704,551.9345,442.8659,522.3637,452.0960,442.6296,0.0411,0.2437,Population structure converged. Difference: 0.0094
1,1,47.7944,29.6606,Warrior,93.7141,59.0210,43.0739,2.7579,1.4331,1.7288,200,59.7704,519.7926,422.9591,509.2533,398.7949,368.2606,0.0389,0.2437,Population structure converged. Difference: 0.0094
1,2,47.7944,31.9324,Warrior,93.7141,59.0210,43.0739,2.7579,1.4331,1.7288,200,59.7704,479.9152,397.7124,287.0041,326.1640,378.2112,0.0374,0.2437,Population structure converged. Difference: 0.0094
1,3,47.7944,33.9336,Warrior,93.7141,59.0210,43.0739,2.7579,1.4331,1.7288,200,59.7704,494.2210,417.4178,259.2668,290.8884,320.6893,0.0340,0.2437,Population structure converged. Difference: 0.0094
1,4,48.1594,35.0766,Warrior,97.8829,64.4408,33.2989,2.8806,1.4968,1.7288,200,59.7704,512.4954,361.9679,277.1936,257.5565,346.5639,0.0351,0.2437,Population structure converged. Difference: 0.0094
1,5,48.4052,35.7575,Warrior,82.3553,83.7687,28.1856,3.7446,1.9458,1.7288,200,59.7704,484.6859,370.8176,278.4948,249.2515,351.0652,0.0337,0.2437,Population structure converged. Difference: 0.0094
1,6,57.4436,37.2159,Warrior,96.1047,65.6436,31.8263,4.2283,2.1971,1.8828,200,59.7704,432.7334,359.3467,208.8305,212.7252,350.3514,0.0291,0.2437,Population structure converged. Difference: 0.0094
1,7,57.4436,39.2243,Warrior,96.1047,65.6436,31.8263,4.2283,2.1971,1.8828,200,59.7704,371.0400,302.6116,228.0741,178.8127,338.7981,0.0285,0.2437,Population structure converged. Difference: 0.0094
1,8,55.0814,40.8037,Warrior,101.7865,77.6892,12.3534,5.3769,2.7940,1.9643,200,59.7704,316.6183,302.4576,170.3441,163.0639,285.5624,0.0270,0.2437,Population structure converged. Difference: 0.0094
1,9,56.4934,41.8649,Warrior,84.8194,64.7389,45.9689,2.9433,1.5294,1.9643,200,59.7704,234.0094,196.1174,164.0306,158.9677,250.5501,0.0274,0.2437,Population structure converged. Difference: 0.0094
1,10,57.4381,43.2452,Warrior,81.1571,72.2074,39.7019,4.8718,2.0618,1.8828,200,59.7704,252.3992,164.6400,142.2068,169.2690,229.3591,0.0224,0.2437,Population structure converged. Difference: 0.0094
1,11,57.4936,44.2620,Warrior,94.7790,75.5681,25.4263,2.7813,1.4453,1.9643,200,59.7704,288.5395,101.6798,135.0656,153.1555,191.0281,0.0214,0.2437,Population structure converged. Difference: 0.0094
1,12,57.4936,45.9072,Warrior,94.7790,75.5681,25.4263,2.7813,1.4453,1.9643,200,59.7704,238.9702,101.9169,118.2334,72.8968,166.0231,0.0197,0.2437,Population structure converged. Difference: 0.0094
