Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,54.1832,37.8974,Warrior,77.8529,55.7115,53.3215,4.0426,9.0715,1.9191,200,55.6977,484.6809,301.0639,298.6109,328.8304,300.4993,0.0412,0.0294,Population structure converged. Difference: 0.0080
1,1,54.5963,46.7626,Warrior,70.8919,66.4479,50.7188,3.6811,8.2604,1.9191,200,55.6977,186.9633,126.2712,85.9351,161.0582,90.4846,0.0177,0.0294,Population structure converged. Difference: 0.0080
1,2,54.5963,51.3890,Warrior,70.8919,66.4479,50.7188,3.6811,8.2604,1.9191,200,55.6977,43.2794,21.3119,9.1031,46.8509,17.7984,0.0023,0.0294,Population structure converged. Difference: 0.0080
1,3,55.5909,53.4444,Warrior,76.7273,63.4445,48.4264,3.5147,7.8870,1.9191,200,55.6977,9.9672,15.1451,5.9537,13.6308,0.2071,0.0000,0.0294,Population structure converged. Difference: 0.0080
1,4,55.5909,54.1409,Warrior,76.7273,63.4445,48.4264,3.5147,7.8870,1.9191,200,55.6977,11.8196,26.5217,4.2348,2.5065,0.2295,0.0000,0.0294,Population structure converged. Difference: 0.0080
1,5,55.6751,54.4684,Warrior,75.5321,65.5717,47.6721,3.4600,7.7642,1.9191,200,55.6977,13.6865,27.3184,4.5660,0.0617,0.2402,0.0000,0.0294,Population structure converged. Difference: 0.0080
1,6,55.6751,54.7937,Warrior,75.5321,65.5717,47.6721,3.4600,7.7642,1.9191,200,55.6977,10.8807,19.4680,4.3841,0.0496,0.2179,0.0000,0.0294,Population structure converged. Difference: 0.0080
1,7,55.6977,55.0351,Warrior,77.6101,62.9902,48.0796,3.4896,7.8305,1.9191,200,55.6977,9.4175,13.1897,3.8320,0.0456,0.2005,0.0000,0.0294,Population structure converged. Difference: 0.0080
1,8,55.6977,55.2583,Warrior,77.6101,62.9902,48.0796,3.4896,7.8305,1.9191,200,55.6977,5.9151,8.3092,3.1142,0.0301,0.1837,0.0000,0.0294,Population structure converged. Difference: 0.0080
2,0,55.2302,36.7666,Warrior,78.9778,98.2451,10.7171,7.4373,4.6228,1.9240,200,58.4136,440.9005,551.6420,451.4177,442.5410,370.8152,0.0375,0.0260,Population structure converged. Difference: 0.0083
2,1,56.0420,46.8722,Warrior,85.3903,95.2167,10.3867,1.9267,7.0796,1.8730,200,58.4136,184.0280,582.4581,351.3132,167.1562,206.6168,0.0220,0.0260,Population structure converged. Difference: 0.0083
2,2,56.3139,52.7886,Warrior,87.9008,88.0338,11.9279,7.4851,4.6525,1.9240,200,58.4136,54.8107,256.1909,129.3536,18.2943,98.8491,0.0058,0.0260,Population structure converged. Difference: 0.0083
2,3,57.1095,55.0035,Warrior,81.3537,101.2006,10.6992,1.9847,4.7618,1.9240,200,58.4136,20.9091,58.2407,25.1289,10.6931,21.1637,0.0005,0.0260,Population structure converged. Difference: 0.0083
2,4,57.9673,55.8995,Warrior,90.1442,91.7783,10.7980,2.0030,5.2763,1.9240,200,58.4136,22.2787,28.8401,1.0211,8.3755,1.4525,0.0006,0.0260,Population structure converged. Difference: 0.0083
2,5,58.1355,56.3864,Warrior,91.0153,91.1529,10.9305,2.0276,4.8737,1.9240,200,58.4136,20.8955,30.2203,1.0764,7.4985,1.4950,0.0006,0.0260,Population structure converged. Difference: 0.0083
2,6,58.2454,57.0781,Warrior,94.0791,88.9001,10.4594,1.9564,4.6050,1.9240,200,58.4136,17.0974,20.0048,0.5660,4.1409,1.0187,0.0005,0.0260,Population structure converged. Difference: 0.0083
