Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.9127,37.0571,Warrior,122.0472,43.1409,31.2731,3.0531,0.4857,1.9455,200,58.9309,1681.2318,234.5351,249.6621,521.8589,534.7243,0.0478,0.0372,Population structure converged. Difference: 0.0075
1,1,57.3780,46.4052,Warrior,85.2803,63.4885,46.0233,4.4931,0.7148,1.9455,200,58.9309,885.9868,61.6964,71.7329,223.9179,183.3605,0.0185,0.0372,Population structure converged. Difference: 0.0075
1,2,58.0507,51.4089,Warrior,85.9980,64.0229,46.4106,3.0788,0.4898,1.9455,200,58.9309,319.3741,73.9359,81.0832,7.3121,12.3312,0.0036,0.0372,Population structure converged. Difference: 0.0075
1,3,58.8292,54.4773,Warrior,93.0399,69.2654,34.1187,3.0852,0.4909,1.9455,200,58.9309,251.3633,100.5234,51.3051,5.1849,0.0261,0.0000,0.0372,Population structure converged. Difference: 0.0075
1,4,58.7875,56.2642,Warrior,92.6374,68.9657,34.7543,3.1427,0.5000,1.9455,200,58.9309,165.7645,79.8173,41.4705,0.7213,0.0191,0.0000,0.0372,Population structure converged. Difference: 0.0075
1,5,58.9309,57.5566,Warrior,89.3841,71.6047,35.2709,3.2269,0.5134,1.9455,200,58.9309,36.5222,27.0603,29.8893,0.4463,0.0111,0.0000,0.0372,Population structure converged. Difference: 0.0075
1,6,58.9309,57.8790,Warrior,89.3841,71.6047,35.2709,3.2269,0.5134,1.9455,200,58.9309,20.0967,16.4919,24.6696,0.6126,0.0141,0.0000,0.0372,Population structure converged. Difference: 0.0075
1,7,58.9309,58.0385,Warrior,89.3841,71.6047,35.2709,3.2269,0.5134,1.9455,200,58.9309,8.0689,10.7567,21.3527,0.5500,0.0108,0.0000,0.0372,Population structure converged. Difference: 0.0075
1,8,58.9447,58.2443,Warrior,89.6323,71.8036,34.8134,3.2359,0.5148,1.9455,200,58.9309,4.4597,6.3225,12.4018,0.6870,0.0134,0.0000,0.0372,Population structure converged. Difference: 0.0075
1,9,58.9882,58.3692,Warrior,89.7009,71.8585,34.7937,3.1463,0.5006,1.9455,200,58.9309,2.9044,4.0387,6.3798,0.6628,0.0146,0.0000,0.0372,Population structure converged. Difference: 0.0075
1,10,58.9309,58.4943,Warrior,89.3841,71.6047,35.2709,3.2269,0.5134,1.9455,200,58.9309,2.4264,2.9846,3.1627,0.6215,0.0145,0.0000,0.0372,Population structure converged. Difference: 0.0075
2,0,44.8810,33.5899,Warrior,76.8137,76.1230,36.7165,4.9490,5.3979,1.6756,200,55.9824,772.2598,443.2258,416.1508,513.4062,556.4781,0.0235,0.0428,Population structure converged. Difference: 0.0095
2,1,48.2044,38.8175,Warrior,76.5459,54.2579,36.5885,4.9317,27.6759,1.9444,200,55.9824,463.1494,353.3536,359.0270,239.2576,440.3746,0.0122,0.0428,Population structure converged. Difference: 0.0095
2,2,55.1869,42.9733,Warrior,85.8243,60.8347,41.0236,5.5295,6.7878,1.9444,200,55.9824,184.7050,191.3216,159.6568,51.1791,95.0669,0.0105,0.0428,Population structure converged. Difference: 0.0095
2,3,55.5332,47.8199,Warrior,88.0398,62.4051,37.5330,5.0590,6.9630,1.9444,200,55.9824,117.5520,66.7596,70.6745,13.4205,57.0306,0.0205,0.0428,Population structure converged. Difference: 0.0095
2,4,55.5332,52.1572,Warrior,88.0398,62.4051,37.5330,5.0590,6.9630,1.9444,200,55.9824,10.4684,20.2049,13.1659,4.0968,12.0805,0.0164,0.0428,Population structure converged. Difference: 0.0095
2,5,55.9960,54.1031,Warrior,85.9788,66.5101,35.9302,5.5390,6.0419,1.9444,200,55.9824,6.2714,5.0029,1.8336,0.0514,6.8166,0.0098,0.0428,Population structure converged. Difference: 0.0095
2,6,55.9960,54.9801,Warrior,85.9788,66.5101,35.9302,5.5390,6.0419,1.9444,200,55.9824,1.4491,1.3293,0.4502,0.0031,0.0436,0.0014,0.0428,Population structure converged. Difference: 0.0095
2,7,55.9960,55.2275,Warrior,85.9788,66.5101,35.9302,5.5390,6.0419,1.9444,200,55.9824,0.1346,0.8321,0.8073,0.0010,0.0510,0.0000,0.0428,Population structure converged. Difference: 0.0095
2,8,55.9960,55.2625,Warrior,85.9788,66.5101,35.9302,5.5390,6.0419,1.9444,200,55.9824,0.3026,1.2466,1.0014,0.0034,0.0759,0.0000,0.0428,Population structure converged. Difference: 0.0095
2,9,55.9960,55.3278,Warrior,85.9788,66.5101,35.9302,5.5390,6.0419,1.9444,200,55.9824,0.5327,1.8014,0.9782,0.0052,0.1079,0.0000,0.0428,Population structure converged. Difference: 0.0095
2,10,55.9960,55.3913,Warrior,85.9788,66.5101,35.9302,5.5390,6.0419,1.9444,200,55.9824,0.5788,2.5146,1.9678,0.0061,0.1396,0.0000,0.0428,Population structure converged. Difference: 0.0095
2,11,55.9824,55.4573,Warrior,85.2322,66.9456,36.1654,5.5752,6.0815,1.9444,200,55.9824,0.7829,3.4059,2.9173,0.0056,0.1483,0.0000,0.0428,Population structure converged. Difference: 0.0095
3,0,48.9650,35.5238,Warrior,74.3860,72.0917,45.7885,6.5681,1.1656,1.7707,200,50.5585,378.3783,499.6682,319.1748,384.5295,495.3801,0.0364,0.0916,Population structure converged. Difference: 0.0095
3,1,49.8623,42.4480,Warrior,92.4654,89.6134,9.9326,6.7845,1.2041,1.7707,200,50.5585,196.6345,234.1252,228.6156,127.7834,232.9120,0.0127,0.0916,Population structure converged. Difference: 0.0095
