Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.9112,32.9472,Warrior,64.5091,43.1512,65.4062,8.0268,18.9067,1.9385,200,47.9085,241.8683,276.4325,436.5495,431.1806,361.5706,0.0421,0.0147,Population structure converged. Difference: 0.0480
1,1,47.6481,40.2053,Warrior,71.1358,47.5839,51.5800,8.8514,20.8489,1.9385,200,47.9085,148.2679,129.6472,298.3838,140.9940,262.8649,0.0327,0.0147,Population structure converged. Difference: 0.0480
1,2,47.6481,44.4176,Warrior,71.1358,47.5839,51.5800,8.8514,20.8489,1.9385,200,47.9085,51.8941,32.5357,127.9517,52.1420,61.3786,0.0137,0.0147,Population structure converged. Difference: 0.0480
1,3,47.9085,45.7141,Warrior,71.4303,47.7809,51.7935,8.0601,20.9352,1.9385,200,47.9085,23.7808,22.1241,61.6539,9.2349,12.4578,0.0049,0.0147,Population structure converged. Difference: 0.0480
2,0,56.6880,34.4456,Warrior,76.7246,100.6711,15.5860,3.2409,3.7774,1.9219,200,58.4695,407.6582,577.3391,433.5344,371.7591,405.7537,0.0422,0.0168,Population structure converged. Difference: 0.0431
2,1,57.6166,43.7669,Warrior,83.3526,85.5711,21.7055,4.5133,4.8575,1.9219,200,58.4695,185.3684,715.5698,333.7174,255.0940,272.9668,0.0364,0.0168,Population structure converged. Difference: 0.0431
2,2,57.9772,50.3546,Warrior,83.8052,86.0358,21.8233,4.5378,3.7979,1.9219,200,58.4695,129.0845,537.3760,279.7524,153.3997,119.9229,0.0203,0.0168,Population structure converged. Difference: 0.0431
2,3,58.4695,54.4935,Warrior,84.3538,86.5990,21.9662,3.2582,3.8227,1.9219,200,58.4695,68.3885,335.6156,137.1923,45.7440,54.0606,0.0043,0.0168,Population structure converged. Difference: 0.0431
2,4,58.4695,56.0557,Warrior,84.3538,86.5990,21.9662,3.2582,3.8227,1.9219,200,58.4695,78.5779,177.4831,65.7219,13.0238,18.8988,0.0027,0.0168,Population structure converged. Difference: 0.0431
3,0,55.8781,33.9280,Warrior,81.2359,97.4782,11.3091,2.9086,7.0682,1.9406,200,55.8781,618.5891,439.7686,436.8139,455.4887,350.5887,0.0522,0.0148,Population structure converged. Difference: 0.0444
3,1,55.8781,41.9042,Warrior,81.2359,97.4782,11.3091,2.9086,7.0682,1.9406,200,55.8781,436.6877,722.0898,477.5333,242.4886,210.7042,0.0414,0.0148,Population structure converged. Difference: 0.0444
3,2,55.8781,48.0900,Warrior,81.2359,97.4782,11.3091,2.9086,7.0682,1.9406,200,55.8781,154.0750,757.7968,401.1917,230.1797,143.9641,0.0314,0.0148,Population structure converged. Difference: 0.0444
3,3,55.8781,53.5011,Warrior,81.2359,97.4782,11.3091,2.9086,7.0682,1.9406,200,55.8781,55.3330,332.9908,161.0081,86.9513,35.5641,0.0100,0.0148,Population structure converged. Difference: 0.0444
4,0,43.6130,33.3609,Warrior,67.9942,87.8804,17.5118,8.3008,18.3128,1.4423,200,48.3083,391.5885,417.1813,400.7840,346.2502,483.2906,0.0355,0.0251,Population structure converged. Difference: 0.0446
4,1,45.8354,39.0172,Warrior,94.9595,67.5679,19.9219,9.4433,8.1074,1.7526,200,48.3083,255.4214,457.7624,305.6800,220.4687,248.6510,0.0277,0.0251,Population structure converged. Difference: 0.0446
4,2,46.8316,42.4056,Warrior,87.1579,80.6603,16.0731,8.6674,7.4413,1.7526,200,48.3083,112.7340,261.4425,98.6395,53.5074,87.4573,0.0210,0.0251,Population structure converged. Difference: 0.0446
4,3,47.5213,43.2030,Warrior,86.6076,80.1511,15.9716,7.5708,9.6990,1.4423,200,48.3083,114.4791,171.8878,62.4524,31.5881,88.7838,0.0209,0.0251,Population structure converged. Difference: 0.0446
4,4,47.9234,44.7042,Warrior,87.3961,80.8808,15.9330,7.5525,8.2376,1.4423,200,48.3083,79.1902,151.3529,57.2440,5.7477,33.0263,0.0212,0.0251,Population structure converged. Difference: 0.0446
4,5,48.3083,45.5073,Warrior,79.4733,73.5486,32.6195,6.8678,7.4908,1.4423,200,48.3083,80.3250,128.8355,56.4190,5.4540,26.8146,0.0229,0.0251,Population structure converged. Difference: 0.0446
4,6,48.3083,46.2472,Warrior,79.4733,73.5486,32.6195,6.8678,7.4908,1.4423,200,48.3083,56.9713,94.0369,42.6842,4.7800,16.7940,0.0216,0.0251,Population structure converged. Difference: 0.0446
5,0,44.8636,32.5882,Warrior,86.8492,48.9077,39.7154,12.2536,12.2741,1.7888,200,53.2022,755.0075,289.0439,324.1491,319.1090,496.5807,0.0460,0.0339,Population structure converged. Difference: 0.0475
5,1,47.2556,39.1715,Warrior,71.7515,81.7217,15.9405,15.2804,15.3059,1.8410,200,53.2022,465.1824,189.2602,219.2883,161.3499,217.4914,0.0291,0.0339,Population structure converged. Difference: 0.0475
5,2,47.6206,42.1304,Warrior,89.0028,68.2883,17.8484,9.0263,15.8342,1.9888,200,53.2022,293.0700,159.5414,202.5786,76.0127,75.6944,0.0160,0.0339,Population structure converged. Difference: 0.0475
5,3,49.0729,44.3590,Warrior,74.8501,83.3346,16.2551,9.2803,16.2799,1.8410,200,53.2022,187.5609,157.3559,146.6747,44.8618,25.7920,0.0067,0.0339,Population structure converged. Difference: 0.0475
5,4,49.7718,45.5723,Warrior,75.7582,84.3457,16.4523,7.6465,15.7973,1.8410,200,53.2022,147.2669,139.6792,116.4508,14.8088,17.9145,0.0061,0.0339,Population structure converged. Difference: 0.0475
5,5,50.4395,46.7730,Warrior,72.6751,66.8438,40.2778,7.3353,12.8680,1.8410,200,53.2022,107.2418,127.4487,100.1780,15.9620,17.0619,0.0057,0.0339,Population structure converged. Difference: 0.0475
5,6,50.5023,48.0599,Warrior,75.8926,86.4383,16.8605,8.0878,12.7209,1.8410,200,53.2022,54.3321,82.7614,107.8130,16.2342,12.8098,0.0058,0.0339,Population structure converged. Difference: 0.0475
5,7,52.4301,48.9377,Warrior,75.4843,69.0908,41.6317,7.5819,6.2112,1.8410,200,53.2022,36.2807,64.3977,120.0553,10.9725,15.9627,0.0050,0.0339,Population structure converged. Difference: 0.0475
5,8,52.6269,49.8556,Warrior,83.2917,79.7779,20.8515,8.8384,7.2405,1.8410,200,53.2022,33.6034,62.2388,142.8507,4.5044,21.4482,0.0054,0.0339,Population structure converged. Difference: 0.0475
5,9,53.2022,50.7877,Warrior,84.0483,80.5027,21.0409,7.9200,6.4882,1.8410,200,53.2022,29.8072,60.2944,130.2715,2.3655,19.0075,0.0051,0.0339,Population structure converged. Difference: 0.0475
6,0,49.6570,33.9779,Warrior,65.0848,67.7408,47.7692,15.4663,3.9388,1.9530,200,49.7779,365.4566,448.2685,556.0639,431.7551,464.5715,0.0436,0.0152,Population structure converged. Difference: 0.0354
