Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,56.5760,42.2341,Warrior,93.3379,89.3209,6.7395,2.8900,7.7117,1.9132,200,58.9086,116.9651,529.8993,195.2169,325.7066,317.6908,0.0398,0.0389,Population structure converged. Difference: 0.0091
1,1,56.5760,51.2980,Warrior,93.3379,89.3209,6.7395,2.8900,7.7117,1.9132,200,58.9086,74.9772,41.1884,125.0701,38.8834,29.0573,0.0050,0.0389,Population structure converged. Difference: 0.0091
1,2,56.5760,53.2850,Warrior,93.3379,89.3209,6.7395,2.8900,7.7117,1.9132,200,58.9086,240.4108,13.1532,327.8865,0.0793,0.5646,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,3,58.0502,55.1684,Warrior,78.3226,74.9518,39.6964,1.9161,5.1131,1.9132,200,58.9086,259.5537,20.8983,356.0123,0.1220,0.6763,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,4,58.0502,56.4366,Warrior,78.3226,74.9518,39.6964,1.9161,5.1131,1.9132,200,58.9086,55.8239,13.4419,99.2393,0.0650,0.3373,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,5,58.0502,56.6710,Warrior,78.3226,74.9518,39.6964,1.9161,5.1131,1.9132,200,58.9086,17.5605,22.5246,69.2745,0.0739,0.5081,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,6,58.0502,56.8398,Warrior,78.3226,74.9518,39.6964,1.9161,5.1131,1.9132,200,58.9086,30.1379,38.6142,150.9238,0.1380,0.9885,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,7,58.8139,57.2429,Warrior,81.3812,77.8788,34.6113,1.6707,4.4581,1.9132,200,58.9086,51.4995,65.1923,261.5527,0.2467,1.7299,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,8,58.8598,57.8681,Warrior,83.4160,74.8255,35.4766,1.7124,4.5695,1.9132,200,58.9086,28.9952,34.3869,128.7394,0.1434,0.8868,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,9,58.8598,58.0911,Warrior,83.4160,74.8255,35.4766,1.7124,4.5695,1.9132,200,58.9086,13.9697,10.9612,34.1037,0.0632,0.3074,0.0000,0.0389,Population structure converged. Difference: 0.0091
1,10,58.8776,58.2127,Warrior,84.9434,72.7693,36.0169,1.7093,4.5611,1.9132,200,58.9086,14.6130,8.7342,14.1532,0.0611,0.1019,0.0000,0.0389,Population structure converged. Difference: 0.0091
