Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.8084,34.8403,Warrior,75.1043,72.1323,43.0976,2.2874,7.3784,1.8775,200,56.6921,309.7962,306.6285,287.4257,232.9907,285.5488,0.0390,0.0122,Population structure converged. Difference: 0.0398
1,1,56.5193,41.5715,Warrior,80.3784,77.1976,32.0793,2.4481,7.8965,1.8775,200,56.6921,212.3242,307.7619,139.9308,189.4656,181.5696,0.0231,0.0122,Population structure converged. Difference: 0.0398
1,2,56.5193,48.2960,Warrior,80.3784,77.1976,32.0793,2.4481,7.8965,1.8775,200,56.6921,120.7288,135.1002,98.6380,84.2810,111.8721,0.0081,0.0122,Population structure converged. Difference: 0.0398
1,3,56.6921,54.5218,Warrior,80.5872,77.3982,32.1627,2.4544,7.3976,1.8775,200,56.6921,29.7221,56.0081,35.6374,16.2036,24.6227,0.0007,0.0122,Population structure converged. Difference: 0.0398
2,0,48.7761,31.1422,Warrior,62.6662,65.4689,49.2220,9.5864,13.0565,1.8694,200,49.6805,313.9811,197.4453,208.3943,232.1342,382.0798,0.0423,0.0147,Population structure converged. Difference: 0.0388
2,1,48.7761,35.3022,Warrior,62.6662,65.4689,49.2220,9.5864,13.0565,1.8694,200,49.6805,179.9409,114.3112,133.1979,152.3236,351.0763,0.0532,0.0147,Population structure converged. Difference: 0.0388
2,2,49.5119,39.5540,Warrior,67.1277,69.2007,37.6004,8.2694,17.8018,1.8694,200,49.6805,120.9351,85.9564,76.7381,95.4014,266.7810,0.0541,0.0147,Population structure converged. Difference: 0.0388
2,3,49.6805,43.8721,Warrior,68.6016,70.7201,34.0346,8.4510,18.1927,1.8694,200,49.6805,60.1723,78.4288,65.3085,50.6229,60.7525,0.0518,0.0147,Population structure converged. Difference: 0.0388
2,4,49.6805,47.8244,Warrior,68.6016,70.7201,34.0346,8.4510,18.1927,1.8694,200,49.6805,27.9062,32.4694,31.7342,4.8807,9.9563,0.0277,0.0147,Population structure converged. Difference: 0.0388
3,0,49.0795,33.5084,Warrior,65.5362,88.2848,19.9054,13.6744,12.5992,1.9435,200,54.9335,203.1362,414.7469,394.5520,300.0526,186.1555,0.0443,0.0204,Population structure converged. Difference: 0.0313
3,1,49.0795,39.3029,Warrior,65.5362,88.2848,19.9054,13.6744,12.5992,1.9435,200,54.9335,139.5193,324.9420,329.3992,155.5861,120.9448,0.0437,0.0204,Population structure converged. Difference: 0.0313
3,2,54.3418,43.6263,Warrior,73.4662,80.1266,30.8946,1.3888,14.1237,1.9435,200,54.9335,63.8480,229.1916,241.2097,59.1292,61.8380,0.0360,0.0204,Population structure converged. Difference: 0.0313
3,3,54.3418,47.2294,Warrior,73.4662,80.1266,30.8946,1.3888,14.1237,1.9435,200,54.9335,38.3957,188.8678,157.8941,25.1460,29.0790,0.0173,0.0204,Population structure converged. Difference: 0.0313
3,4,54.3418,48.8706,Warrior,73.4662,80.1266,30.8946,1.3888,14.1237,1.9435,200,54.9335,28.0840,89.0706,58.2523,15.5402,4.3976,0.0062,0.0204,Population structure converged. Difference: 0.0313
3,5,54.3418,50.3569,Warrior,73.4662,80.1266,30.8946,1.3888,14.1237,1.9435,200,54.9335,16.5758,35.0544,34.2903,30.3037,1.8887,0.0000,0.0204,Population structure converged. Difference: 0.0313
3,6,54.9335,53.2645,Warrior,72.2828,83.0054,32.0046,1.4387,11.2684,1.9435,200,54.9335,7.5021,10.3730,14.6406,25.4821,1.1318,0.0000,0.0204,Population structure converged. Difference: 0.0313
4,0,50.2937,32.4518,Warrior,64.8094,59.5310,55.1156,4.3421,16.2019,1.9310,200,52.8216,400.2174,382.4242,361.6926,288.2775,327.4209,0.0409,0.0208,Population structure converged. Difference: 0.0303
4,1,50.2937,39.0031,Warrior,64.8094,59.5310,55.1156,4.3421,16.2019,1.9310,200,52.8216,236.0869,215.6906,250.0272,156.9083,183.2780,0.0500,0.0208,Population structure converged. Difference: 0.0303
4,2,50.2937,43.3083,Warrior,64.8094,59.5310,55.1156,4.3421,16.2019,1.9310,200,52.8216,140.4610,151.5504,219.0356,120.8848,96.4486,0.0514,0.0208,Population structure converged. Difference: 0.0303
4,3,51.4974,46.0220,Warrior,65.7387,70.0249,43.5808,4.3657,16.2899,1.9310,200,52.8216,147.7671,67.2930,82.1257,49.4103,42.8318,0.0332,0.0208,Population structure converged. Difference: 0.0303
4,4,52.6775,47.9745,Warrior,77.4007,69.6859,31.8377,5.9707,15.1050,1.9482,200,52.8216,166.8535,39.7417,114.9890,20.8125,30.9338,0.0213,0.0208,Population structure converged. Difference: 0.0303
4,5,52.7011,50.0351,Warrior,85.4357,55.9321,38.3258,4.2919,16.0145,1.9310,200,52.8216,67.6521,25.1433,65.6145,6.2214,8.3137,0.0004,0.0208,Population structure converged. Difference: 0.0303
4,6,52.8216,51.2659,Warrior,74.0669,63.3261,42.4753,4.2549,15.8767,1.9310,200,52.8216,60.0925,32.0438,39.4747,6.6214,3.9830,0.0001,0.0208,Population structure converged. Difference: 0.0303
5,0,52.3303,33.9185,Warrior,65.6367,83.7100,35.3274,1.1146,14.2114,1.9514,200,59.5527,267.7866,427.4044,376.6520,312.0673,384.6944,0.0394,0.0243,Population structure converged. Difference: 0.0323
5,1,52.3303,41.6615,Warrior,65.6367,83.7100,35.3274,1.1146,14.2114,1.9514,200,59.5527,140.7437,244.9130,215.2014,140.8381,253.8661,0.0374,0.0243,Population structure converged. Difference: 0.0323
5,2,54.3186,47.2304,Warrior,86.3104,61.9605,36.4990,0.5474,14.6827,1.9514,200,59.5527,84.3466,200.1501,168.0916,44.2335,140.2033,0.0267,0.0243,Population structure converged. Difference: 0.0323
5,3,54.9246,50.7899,Warrior,75.4884,60.4798,56.5443,1.5315,5.9560,1.9514,200,59.5527,91.7214,161.8408,73.3684,4.6260,59.9559,0.0162,0.0243,Population structure converged. Difference: 0.0323
5,4,58.5909,52.3873,Warrior,86.9848,62.4446,46.3324,1.6785,2.5597,1.9183,200,59.5527,63.4893,108.6288,83.6031,5.2872,24.4812,0.0056,0.0243,Population structure converged. Difference: 0.0323
5,5,58.9927,54.0491,Warrior,86.7421,68.0818,40.1049,1.8595,3.2117,1.9183,200,59.5527,74.4233,74.0562,84.4124,5.8958,29.5733,0.0007,0.0243,Population structure converged. Difference: 0.0323
