Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.0412,31.7679,Warrior,69.0997,41.2451,68.6250,11.3882,9.6419,1.8957,200,59.5815,301.2713,412.3792,383.0819,409.8604,348.7921,0.0427,0.0596,Population structure converged. Difference: 0.0084
1,1,50.7831,36.7685,Warrior,76.3112,78.9459,16.8649,9.1360,18.7419,1.8957,200,59.5815,192.2203,329.0196,375.6012,286.8122,223.5718,0.0386,0.0596,Population structure converged. Difference: 0.0084
1,2,50.7831,41.0279,Warrior,76.3112,78.9459,16.8649,9.1360,18.7419,1.8957,200,59.5815,141.6419,429.8374,464.8882,197.0879,147.1618,0.0456,0.0596,Population structure converged. Difference: 0.0084
1,3,52.5026,44.6427,Warrior,71.5500,48.8362,72.2481,1.0245,6.3412,1.9101,200,59.5815,85.6379,365.2458,538.8871,119.7850,56.0072,0.0497,0.0596,Population structure converged. Difference: 0.0084
1,4,54.2338,48.2839,Warrior,80.7467,83.5345,17.8452,9.6789,8.1947,1.8957,200,59.5815,73.6167,306.4102,517.0030,53.1740,25.3156,0.0277,0.0596,Population structure converged. Difference: 0.0084
1,5,56.0775,50.5007,Warrior,79.5845,85.7682,28.6402,1.0225,4.9846,1.8461,200,59.5815,63.9902,320.3166,548.3878,21.0925,22.0819,0.0068,0.0596,Population structure converged. Difference: 0.0084
1,6,58.6760,52.0174,Warrior,89.4798,75.9545,27.0477,0.8789,6.6390,1.9101,200,59.5815,66.9391,190.1418,408.6020,16.4190,16.8738,0.0004,0.0596,Population structure converged. Difference: 0.0084
1,7,58.7179,53.5966,Warrior,89.5400,76.0056,27.0659,1.0280,6.3605,1.9101,200,59.5815,50.7631,112.4671,249.1754,17.2727,6.9096,0.0006,0.0596,Population structure converged. Difference: 0.0084
1,8,59.5062,55.1536,Warrior,88.5369,75.1542,31.1717,0.8744,4.2627,1.9101,200,59.5815,41.7693,60.9237,147.3324,20.7465,4.6713,0.0007,0.0596,Population structure converged. Difference: 0.0084
1,9,59.5062,56.6881,Warrior,88.5369,75.1542,31.1717,0.8744,4.2627,1.9101,200,59.5815,34.0650,46.3676,97.0052,10.2427,3.6010,0.0008,0.0596,Population structure converged. Difference: 0.0084
1,10,59.5062,58.0911,Warrior,88.5369,75.1542,31.1717,0.8744,4.2627,1.9101,200,59.5815,27.2713,41.3802,81.9927,0.6615,1.6536,0.0004,0.0596,Population structure converged. Difference: 0.0084
1,11,59.5266,58.7252,Warrior,89.8489,76.2395,28.7521,0.8782,4.2813,1.9101,200,59.5815,14.0456,15.0855,12.9641,0.0378,1.1488,0.0003,0.0596,Population structure converged. Difference: 0.0084
1,12,59.5815,59.0863,Warrior,90.6674,76.9340,27.3965,0.8900,4.1122,1.9101,200,59.5815,7.3811,11.8738,15.1425,0.0236,1.3109,0.0001,0.0596,Population structure converged. Difference: 0.0084
2,0,50.8738,32.3740,Warrior,79.4121,80.7481,15.2685,19.9012,4.6701,1.9498,200,58.4564,347.6636,443.9526,406.4156,370.2437,295.3187,0.0368,0.0400,Population structure converged. Difference: 0.0087
2,1,50.8738,38.4084,Warrior,79.4121,80.7481,15.2685,19.9012,4.6701,1.9498,200,58.4564,237.9702,329.2186,388.3539,250.0031,241.6309,0.0310,0.0400,Population structure converged. Difference: 0.0087
2,2,54.1691,43.1094,Warrior,98.3845,89.8255,2.0510,1.7521,7.9869,1.8529,200,58.4564,193.6682,301.0784,438.7996,191.4775,156.1082,0.0231,0.0400,Population structure converged. Difference: 0.0087
2,3,55.3047,46.6032,Warrior,98.3845,89.8255,2.0510,1.7521,7.9869,1.9498,200,58.4564,142.1665,253.5016,456.4508,181.8603,104.5133,0.0108,0.0400,Population structure converged. Difference: 0.0087
2,4,56.5361,50.1659,Warrior,81.1256,65.0660,46.0493,1.3959,6.3632,1.9498,200,58.4564,77.5603,214.0736,457.3232,74.9381,22.1500,0.0053,0.0400,Population structure converged. Difference: 0.0087
2,5,56.6252,52.0189,Warrior,90.5689,59.8972,42.3912,1.2850,5.8577,1.9498,200,58.4564,113.0791,167.8188,392.8754,79.2638,8.4401,0.0037,0.0400,Population structure converged. Difference: 0.0087
2,6,57.0036,53.5562,Warrior,82.8973,66.4870,43.3170,1.3131,5.9856,1.9498,200,58.4564,102.7682,187.0347,476.4873,55.4276,7.5642,0.0028,0.0400,Population structure converged. Difference: 0.0087
2,7,57.7838,54.9557,Warrior,99.7425,79.9647,15.1204,1.0561,4.1163,1.9498,200,58.4564,106.5021,199.1983,539.9211,27.4741,3.8928,0.0015,0.0400,Population structure converged. Difference: 0.0087
2,8,58.0986,56.2547,Warrior,90.2567,65.3238,39.8930,0.8015,3.7249,1.9498,200,58.4564,83.3703,195.5014,446.6073,2.8772,1.8592,0.0008,0.0400,Population structure converged. Difference: 0.0087
2,9,58.1897,56.7657,Warrior,84.5870,68.8946,42.0737,0.8454,3.5993,1.9498,200,58.4564,70.6469,151.6732,329.7395,0.0763,1.5180,0.0003,0.0400,Population structure converged. Difference: 0.0087
2,10,58.2616,57.3063,Warrior,89.5509,88.6570,16.7640,0.8467,4.1814,1.9498,200,58.4564,59.9899,92.3268,218.3388,0.0481,1.1580,0.0000,0.0400,Population structure converged. Difference: 0.0087
2,11,58.3461,57.6872,Warrior,79.6978,78.9022,37.4444,0.7523,3.2033,1.9498,200,58.4564,58.1542,84.7919,190.1140,0.0353,0.6407,0.0000,0.0400,Population structure converged. Difference: 0.0087
2,12,58.4564,57.9505,Warrior,89.8097,88.9132,16.8124,0.8492,3.6155,1.9498,200,58.4564,23.1847,109.5943,163.2794,0.0446,0.3589,0.0000,0.0400,Population structure converged. Difference: 0.0087
3,0,55.4046,31.7971,Warrior,74.2858,76.2710,42.6103,0.5952,6.2377,1.8523,200,56.9748,305.4601,537.5244,283.2120,432.9458,394.1636,0.0354,0.0268,Population structure converged. Difference: 0.0070
3,1,55.5275,39.2354,Warrior,73.7211,77.1867,43.1219,0.6023,5.3680,1.8523,200,56.9748,200.3052,347.4048,312.2968,223.3025,206.6765,0.0312,0.0268,Population structure converged. Difference: 0.0070
3,2,55.8934,45.2315,Warrior,74.8161,76.8154,42.9145,0.1118,5.3422,1.8523,200,56.9748,134.0895,160.0612,328.1875,125.5403,172.5857,0.0312,0.0268,Population structure converged. Difference: 0.0070
3,3,55.9462,49.3969,Warrior,80.7066,72.0547,39.4506,0.5510,7.2370,1.8523,200,56.9748,72.2420,125.5364,182.7603,57.1571,155.3892,0.0168,0.0268,Population structure converged. Difference: 0.0070
3,4,56.4635,53.6618,Warrior,78.3976,74.6177,41.6867,0.1086,5.1893,1.8523,200,56.9748,28.1583,90.5341,77.9637,16.4413,57.0258,0.0035,0.0268,Population structure converged. Difference: 0.0070
3,5,56.5420,55.0002,Warrior,81.4482,72.7168,39.8131,0.5561,5.4658,1.8523,200,56.9748,23.2182,42.9707,32.4192,3.2069,32.8191,0.0004,0.0268,Population structure converged. Difference: 0.0070
3,6,56.6834,55.7321,Warrior,82.3968,71.8182,40.1227,0.5626,5.0999,1.8523,200,56.9748,19.8337,26.8024,5.7009,2.9016,0.5318,0.0001,0.0268,Population structure converged. Difference: 0.0070
3,7,56.9585,56.1241,Warrior,83.2613,71.8384,39.8374,0.1038,4.9591,1.8523,200,56.9748,18.3296,19.1011,2.3137,0.0562,0.4770,0.0000,0.0268,Population structure converged. Difference: 0.0070
3,8,56.9748,56.3836,Warrior,83.8688,71.2605,39.8111,0.1037,4.9558,1.8523,200,56.9748,11.0230,9.3299,1.7873,0.0523,0.2082,0.0000,0.0268,Population structure converged. Difference: 0.0070
3,9,56.9748,56.5795,Warrior,83.8688,71.2605,39.8111,0.1037,4.9558,1.8523,200,56.9748,8.2531,6.8380,1.4534,0.0533,0.0753,0.0000,0.0268,Population structure converged. Difference: 0.0070
4,0,48.5896,31.4608,Warrior,80.4110,75.7160,24.8164,13.2080,5.8487,1.7968,200,57.3782,345.7984,366.6573,353.8599,310.2761,298.4668,0.0408,0.0279,Population structure converged. Difference: 0.0062
4,1,51.8698,36.4186,Warrior,88.4803,83.3142,18.6843,3.0856,6.4356,1.7968,200,57.3782,281.0540,414.2541,388.1060,282.8794,218.1762,0.0344,0.0279,Population structure converged. Difference: 0.0062
