Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.5477,31.4755,Warrior,77.1127,56.2729,33.8118,16.1644,16.6382,1.9238,200,57.0726,437.5535,617.6208,437.5042,277.1590,326.6173,0.0446,0.0323,Population structure converged. Difference: 0.0095
1,1,48.6565,36.4208,Warrior,77.9709,56.8992,34.1881,16.3443,14.5975,1.8820,200,57.0726,261.7405,486.7959,334.1721,178.9325,222.8714,0.0423,0.0323,Population structure converged. Difference: 0.0095
1,2,49.0354,41.9823,Warrior,77.6893,56.6937,34.4438,16.4665,14.7067,1.9238,200,57.0726,207.8642,305.2692,271.8589,117.2943,87.4517,0.0279,0.0323,Population structure converged. Difference: 0.0095
1,3,54.4079,45.6768,Warrior,82.1866,84.0516,15.6831,1.5455,16.5332,1.9238,200,57.0726,192.8912,224.6482,46.7286,33.5392,37.0789,0.0117,0.0323,Population structure converged. Difference: 0.0095
1,4,54.4079,48.4590,Warrior,82.1866,84.0516,15.6831,1.5455,16.5332,1.9238,200,57.0726,69.1688,120.6836,30.7086,19.1598,15.7365,0.0021,0.0323,Population structure converged. Difference: 0.0095
1,5,56.5262,50.1201,Warrior,99.4497,72.5733,18.9412,1.8665,7.1694,1.8820,200,57.0726,8.8114,119.9546,63.2378,35.2603,2.6962,0.0004,0.0323,Population structure converged. Difference: 0.0095
1,6,57.0215,52.0799,Warrior,86.2235,88.1801,16.4534,1.6214,7.5215,1.8820,200,57.0726,18.3389,171.7874,102.8851,42.4435,3.2259,0.0002,0.0323,Population structure converged. Difference: 0.0095
1,7,57.0215,54.1265,Warrior,86.2235,88.1801,16.4534,1.6214,7.5215,1.8820,200,57.0726,8.4830,45.9948,32.1697,8.6274,3.4739,0.0001,0.0323,Population structure converged. Difference: 0.0095
1,8,57.0215,54.6078,Warrior,86.2235,88.1801,16.4534,1.6214,7.5215,1.8820,200,57.0726,2.4705,23.6328,15.3949,3.6221,9.0225,0.0002,0.0323,Population structure converged. Difference: 0.0095
1,9,57.0215,55.3782,Warrior,86.2235,88.1801,16.4534,1.6214,7.5215,1.8820,200,57.0726,6.0032,8.1145,4.6349,0.0039,18.7456,0.0004,0.0323,Population structure converged. Difference: 0.0095
1,10,57.0726,56.5353,Warrior,88.0409,85.8232,16.8002,1.6555,7.6801,1.8820,200,57.0726,2.7201,2.1858,0.2383,0.0025,11.4866,0.0003,0.0323,Population structure converged. Difference: 0.0095
2,0,50.7110,32.6118,Warrior,82.0933,43.3704,56.9394,0.3270,17.2699,1.8819,200,51.6207,239.9424,297.3459,403.4572,353.5689,276.9571,0.0462,0.0212,Population structure converged. Difference: 0.0063
2,1,50.7110,39.5350,Warrior,82.0933,43.3704,56.9394,0.3270,17.2699,1.8819,200,51.6207,175.8715,166.3908,337.2388,288.5887,182.5600,0.0383,0.0212,Population structure converged. Difference: 0.0063
2,2,51.2497,46.7412,Warrior,82.0933,43.3704,56.9394,0.3270,17.2699,1.9197,200,51.6207,100.7177,111.0590,217.0315,115.7418,106.0725,0.0225,0.0212,Population structure converged. Difference: 0.0063
2,3,51.5976,50.3385,Warrior,82.5803,43.6277,57.2771,0.3311,16.1839,1.9197,200,51.6207,14.6700,30.3686,51.8575,13.0742,14.5320,0.0024,0.0212,Population structure converged. Difference: 0.0063
2,4,51.5990,50.7628,Warrior,82.5819,43.6285,57.2783,0.3270,16.1842,1.9197,200,51.6207,1.1029,4.3144,10.2655,3.3503,0.1768,0.0002,0.0212,Population structure converged. Difference: 0.0063
2,5,51.6207,50.9758,Warrior,82.7216,43.7023,57.0369,0.3276,16.2116,1.9197,200,51.6207,0.0373,0.0091,0.0143,0.0000,0.1565,0.0003,0.0212,Population structure converged. Difference: 0.0063
2,6,51.6207,51.2969,Warrior,82.7216,43.7023,57.0369,0.3276,16.2116,1.9197,200,51.6207,0.0727,0.0164,0.0244,0.0000,0.2737,0.0002,0.0212,Population structure converged. Difference: 0.0063
3,0,55.2652,33.6225,Warrior,65.4712,76.5653,53.5848,0.5633,3.8154,1.8948,200,59.4263,251.0491,479.6096,398.2483,402.0602,347.5576,0.0472,0.0296,Population structure converged. Difference: 0.0061
3,1,55.2652,41.5413,Warrior,65.4712,76.5653,53.5848,0.5633,3.8154,1.8948,200,59.4263,87.9351,349.4342,425.4885,155.3099,272.3840,0.0352,0.0296,Population structure converged. Difference: 0.0061
3,2,57.7974,49.0504,Warrior,83.8327,81.4339,26.1609,4.6464,3.9261,1.8948,200,59.4263,69.2316,273.3956,214.3137,57.1628,139.0741,0.0230,0.0296,Population structure converged. Difference: 0.0061
