Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.5867,29.4037,Warrior,82.0678,61.6748,11.9336,20.0124,24.3115,1.8565,200,58.9084,348.7312,407.6836,411.5214,317.9737,442.0153,0.0504,0.0478,Population structure converged. Difference: 0.0060
1,1,48.3557,33.0147,Warrior,74.3163,61.0150,34.1516,20.3043,10.2129,1.9504,200,58.9084,293.9656,238.1112,326.1611,256.0084,358.5837,0.0498,0.0478,Population structure converged. Difference: 0.0060
1,2,48.3557,37.8554,Warrior,74.3163,61.0150,34.1516,20.3043,10.2129,1.9504,200,58.9084,208.5693,94.2010,282.3065,150.1269,218.3999,0.0368,0.0478,Population structure converged. Difference: 0.0060
1,3,51.3250,40.6511,Warrior,81.3355,68.0565,28.6159,21.0670,0.9251,1.9504,200,58.9084,201.7633,72.9714,324.2358,138.1170,128.0854,0.0356,0.0478,Population structure converged. Difference: 0.0060
1,4,51.5494,43.3857,Warrior,79.4397,66.4702,33.3555,19.8310,0.9035,1.9504,200,58.9084,180.9867,107.4305,320.0823,82.3543,73.7651,0.0315,0.0478,Population structure converged. Difference: 0.0060
1,5,54.8547,45.8227,Warrior,85.5461,72.4757,30.7562,0.1069,11.1151,1.8459,200,58.9084,86.8791,87.6009,202.3884,50.2687,79.3044,0.0314,0.0478,Population structure converged. Difference: 0.0060
1,6,56.0165,47.2773,Warrior,83.9312,70.8837,33.2444,0.0760,11.8648,1.9504,200,58.9084,69.1697,134.0285,129.3672,57.3771,73.9433,0.0245,0.0478,Population structure converged. Difference: 0.0060
1,7,58.7824,48.8436,Warrior,93.6720,71.6929,33.6777,0.1170,0.8404,1.8565,200,58.9084,44.0286,63.3306,133.0024,46.1180,36.1037,0.0103,0.0478,Population structure converged. Difference: 0.0060
1,8,58.9037,49.9219,Warrior,88.8083,75.0026,35.1761,0.1238,0.8892,1.8565,200,58.9084,42.6970,60.5785,175.1755,37.7917,32.0034,0.0059,0.0478,Population structure converged. Difference: 0.0060
1,9,58.8904,51.1083,Warrior,91.0218,73.4798,34.5171,0.1199,0.8613,1.8565,200,58.9084,36.4011,57.7295,157.8527,32.8538,32.3983,0.0021,0.0478,Population structure converged. Difference: 0.0060
1,10,58.8915,52.9146,Warrior,91.0985,73.5418,34.3699,0.1210,0.8688,1.8565,200,58.9084,37.5396,54.8814,108.3448,37.2965,30.7348,0.0023,0.0478,Population structure converged. Difference: 0.0060
1,11,58.8913,55.1700,Warrior,91.0354,73.4908,34.4932,0.1199,0.8607,1.8565,200,58.9084,39.7159,45.3916,76.7994,21.9967,28.9859,0.0020,0.0478,Population structure converged. Difference: 0.0060
1,12,58.8982,56.9696,Warrior,91.0324,73.4884,34.5211,0.1200,0.8381,1.8565,200,58.9084,33.9570,26.6355,28.4302,4.6169,27.1537,0.0017,0.0478,Population structure converged. Difference: 0.0060
1,13,58.8982,58.2297,Warrior,91.0324,73.4884,34.5211,0.1200,0.8381,1.8565,200,58.9084,18.6442,9.6208,3.9099,0.9957,13.4747,0.0008,0.0478,Population structure converged. Difference: 0.0060
1,14,58.9084,58.5595,Warrior,92.0132,73.9572,33.0260,0.1212,0.8823,1.8565,200,58.9084,16.6383,5.8034,6.0833,1.9687,4.1154,0.0002,0.0478,Population structure converged. Difference: 0.0060
2,0,50.1397,31.1354,Warrior,67.1010,65.7679,49.6724,2.5756,14.8831,1.8422,200,59.8366,232.8515,543.1699,429.5311,218.2618,398.0299,0.0336,0.0526,Population structure converged. Difference: 0.0098
2,1,50.4009,35.7392,Warrior,68.2564,65.1962,49.2406,2.5532,14.7537,1.8422,200,59.8366,116.2592,415.3502,425.3183,164.8057,303.3179,0.0327,0.0526,Population structure converged. Difference: 0.0098
2,2,50.3144,39.2675,Warrior,67.8643,65.3902,49.3871,2.5608,14.7976,1.8422,200,59.8366,78.7307,353.2866,519.8059,111.1773,223.2988,0.0320,0.0526,Population structure converged. Difference: 0.0098
2,3,50.4302,42.3748,Warrior,64.8392,54.3987,68.6693,2.2585,9.8343,1.8821,200,59.8366,55.1182,348.1911,548.6584,84.0703,117.2786,0.0139,0.0526,Population structure converged. Difference: 0.0098
2,4,52.9385,44.8423,Warrior,67.1627,68.1094,51.4408,3.1003,10.1868,1.8821,200,59.8366,42.1341,262.5721,591.8056,94.0198,48.5604,0.0072,0.0526,Population structure converged. Difference: 0.0098
2,5,55.5464,46.4660,Warrior,67.1932,103.2230,26.2003,3.3183,0.0652,1.9013,200,59.8366,43.0490,243.6459,536.3594,107.8051,21.2587,0.0034,0.0526,Population structure converged. Difference: 0.0098
2,6,56.0396,48.4901,Warrior,70.6617,71.6577,54.1208,3.4912,0.0686,1.8821,200,59.8366,36.1943,239.8568,476.0132,97.1575,24.3360,0.0012,0.0526,Population structure converged. Difference: 0.0098
2,7,56.6577,50.4322,Warrior,70.7241,71.7210,54.1685,3.3212,0.0652,1.9013,200,59.8366,25.6549,200.3436,390.7650,61.9475,21.3993,0.0003,0.0526,Population structure converged. Difference: 0.0098
2,8,59.5188,51.7245,Warrior,89.0991,90.3550,18.4196,2.0720,0.0543,1.8821,200,59.8366,32.9460,192.6924,275.7915,12.9039,21.4009,0.0004,0.0526,Population structure converged. Difference: 0.0098
2,9,59.5188,53.0068,Warrior,89.0991,90.3550,18.4196,2.0720,0.0543,1.8821,200,59.8366,48.2867,191.7188,246.3605,1.1221,24.5271,0.0003,0.0526,Population structure converged. Difference: 0.0098
