Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.6954,29.1364,Warrior,71.4043,84.4270,32.0428,2.5696,9.5563,1.8238,200,56.2042,281.5570,461.5883,580.0407,578.7680,256.1393,0.0310,0.0778,Population structure converged. Difference: 0.0052
1,1,51.6954,33.7726,Warrior,71.4043,84.4270,32.0428,2.5696,9.5563,1.8238,200,56.2042,206.7964,335.7442,352.7474,314.3981,166.0115,0.0271,0.0778,Population structure converged. Difference: 0.0052
1,2,52.3421,37.1629,Warrior,79.5272,71.2795,35.6880,2.8619,10.6435,1.8238,200,56.2042,124.5469,224.0227,225.3282,173.2565,112.8683,0.0340,0.0778,Population structure converged. Difference: 0.0052
1,3,52.3421,40.1036,Warrior,79.5272,71.2795,35.6880,2.8619,10.6435,1.8238,200,56.2042,107.8784,174.8038,140.9666,87.7192,103.4359,0.0352,0.0778,Population structure converged. Difference: 0.0052
1,4,52.3421,43.0431,Warrior,79.5272,71.2795,35.6880,2.8619,10.6435,1.8238,200,56.2042,84.1135,134.9307,47.8121,71.3544,85.1372,0.0331,0.0778,Population structure converged. Difference: 0.0052
1,5,53.2075,45.3012,Warrior,80.3148,71.8418,36.7947,0.2999,10.7489,1.8238,200,56.2042,76.4414,102.6931,27.1302,25.2999,81.8047,0.0371,0.0778,Population structure converged. Difference: 0.0052
1,6,53.1981,47.3070,Warrior,80.5161,72.1659,36.1318,0.3037,10.8825,1.8238,200,56.2042,57.5431,43.0638,18.3464,4.2483,63.3235,0.0371,0.0778,Population structure converged. Difference: 0.0052
1,7,53.3121,49.0182,Warrior,80.6647,72.2990,36.1984,0.3042,10.5337,1.8238,200,56.2042,52.6792,12.3673,5.5899,6.4195,47.3251,0.0410,0.0778,Population structure converged. Difference: 0.0052
1,8,53.3121,50.2765,Warrior,80.6647,72.2990,36.1984,0.3042,10.5337,1.8238,200,56.2042,39.6765,7.5228,4.4096,1.5567,46.1581,0.0283,0.0778,Population structure converged. Difference: 0.0052
1,9,54.0772,51.4622,Warrior,72.1940,74.3088,38.8104,3.1123,11.5747,1.8781,200,56.2042,25.8730,4.2761,2.7563,1.1919,37.8676,0.0142,0.0778,Population structure converged. Difference: 0.0052
1,10,56.0182,52.2493,Warrior,80.2470,71.9247,36.0110,0.3026,11.5147,1.8781,200,56.2042,11.3080,1.9824,1.3023,1.0614,16.2829,0.0035,0.0778,Population structure converged. Difference: 0.0052
1,11,56.0182,52.7913,Warrior,80.2470,71.9247,36.0110,0.3026,11.5147,1.8781,200,56.2042,6.8219,1.6589,1.4328,1.3621,3.2730,0.0019,0.0778,Population structure converged. Difference: 0.0052
1,12,56.0411,53.3272,Warrior,80.4965,71.7748,35.9359,0.3020,11.4907,1.8781,200,56.2042,9.4069,2.0354,2.5215,1.7151,0.1666,0.0006,0.0778,Population structure converged. Difference: 0.0052
1,13,56.0328,53.7107,Warrior,80.4866,71.7659,35.9315,0.3026,11.5133,1.8781,200,56.2042,15.1534,2.2366,4.1361,1.8282,0.2048,0.0007,0.0778,Population structure converged. Difference: 0.0052
1,14,56.0393,54.3754,Warrior,80.3943,71.8510,35.9741,0.3017,11.4790,1.8781,200,56.2042,16.8019,2.1903,3.5280,1.8323,0.1517,0.0005,0.0778,Population structure converged. Difference: 0.0052
1,15,56.1736,54.9486,Warrior,80.9081,75.0256,32.2878,0.3018,11.4768,1.8781,200,56.2042,14.7684,2.1282,2.2075,1.8755,0.0622,0.0001,0.0778,Population structure converged. Difference: 0.0052
1,16,56.1503,55.5433,Warrior,82.2130,73.0099,32.8085,0.3067,11.6619,1.8781,200,56.2042,8.1196,1.3220,1.2007,1.3896,0.0421,0.0001,0.0778,Population structure converged. Difference: 0.0052
1,17,56.2042,55.9131,Warrior,81.5877,74.5361,32.0771,0.3101,11.4889,1.8781,200,56.2042,1.8861,0.8434,0.7056,0.5402,0.0180,0.0000,0.0778,Population structure converged. Difference: 0.0052
2,0,46.1294,31.0908,Warrior,62.1465,60.3693,45.2855,3.7828,28.4160,1.8571,200,59.4137,441.7129,383.5758,565.1059,413.5923,347.0665,0.0365,0.0449,Population structure converged. Difference: 0.0089
2,1,47.4000,35.0574,Warrior,107.1988,59.8501,24.7870,6.6522,1.5120,1.4257,200,59.4137,344.4365,332.8075,395.8969,245.6595,188.7072,0.0335,0.0449,Population structure converged. Difference: 0.0089
2,2,53.3918,38.2299,Warrior,107.1988,59.8501,24.7870,6.6522,1.5120,1.8571,200,59.4137,317.4771,288.0272,258.3007,133.4862,122.1336,0.0372,0.0449,Population structure converged. Difference: 0.0089
2,3,53.8704,41.1136,Warrior,114.4803,72.0998,8.2422,3.5630,1.6147,1.8571,200,59.4137,332.9406,205.6120,191.3316,72.7949,95.3662,0.0371,0.0449,Population structure converged. Difference: 0.0089
2,4,53.8704,44.0503,Warrior,114.4803,72.0998,8.2422,3.5630,1.6147,1.8571,200,59.4137,469.7571,124.9149,179.3050,52.3738,109.1178,0.0392,0.0449,Population structure converged. Difference: 0.0089
2,5,55.5694,47.2884,Warrior,81.8738,79.5324,29.0316,7.7913,1.7709,1.8571,200,59.4137,503.7012,62.5767,205.0726,19.6060,133.1714,0.0348,0.0449,Population structure converged. Difference: 0.0089
2,6,57.1463,50.3719,Warrior,75.0537,72.9075,45.4000,4.5684,2.0704,1.9261,200,59.4137,418.8927,57.2020,225.8443,12.8520,101.3916,0.0184,0.0449,Population structure converged. Difference: 0.0089
2,7,57.9703,52.8557,Warrior,80.1412,77.8495,34.5737,5.3089,2.1267,1.9261,200,59.4137,259.5175,62.9636,169.9337,7.5022,35.6054,0.0020,0.0449,Population structure converged. Difference: 0.0089
2,8,57.9703,54.1210,Warrior,80.1412,77.8495,34.5737,5.3089,2.1267,1.9261,200,59.4137,238.1345,50.6153,178.1019,3.6696,12.3778,0.0008,0.0449,Population structure converged. Difference: 0.0089
2,9,58.6808,55.0022,Warrior,80.8470,78.5350,34.8781,3.5944,2.1455,1.9261,200,59.4137,197.5453,49.9045,151.5827,3.2895,0.0524,0.0014,0.0449,Population structure converged. Difference: 0.0089
2,10,58.9750,56.2227,Warrior,89.0243,71.2141,34.2136,3.5259,2.0221,1.9261,200,59.4137,124.6833,43.5782,122.7233,2.7396,0.0722,0.0012,0.0449,Population structure converged. Difference: 0.0089
