Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.6069,34.0197,Warrior,65.0403,78.0088,21.6476,9.7931,25.5102,1.8256,200,56.6006,238.3570,291.2769,324.6699,223.4020,319.0328,0.0448,0.0379,Population structure converged. Difference: 0.0012
1,1,47.9634,40.7287,Warrior,71.6311,85.9138,23.8412,10.7855,7.8285,1.7984,200,56.6006,240.9673,164.6507,299.4746,65.4542,134.1967,0.0274,0.0379,Population structure converged. Difference: 0.0012
1,2,50.0609,43.9815,Warrior,58.8683,66.8683,62.9399,6.2992,5.0243,1.8929,200,56.6006,187.8781,159.2146,267.7094,44.2738,88.8633,0.0076,0.0379,Population structure converged. Difference: 0.0012
1,3,54.7007,45.6708,Warrior,73.1732,83.1172,29.6346,7.8299,6.2451,1.8929,200,56.6006,83.9892,65.8232,123.0752,9.8857,77.6835,0.0008,0.0379,Population structure converged. Difference: 0.0012
1,4,54.7007,47.7385,Warrior,73.1732,83.1172,29.6346,7.8299,6.2451,1.8929,200,56.6006,124.4945,112.8728,224.8468,5.3101,61.9811,0.0025,0.0379,Population structure converged. Difference: 0.0012
1,5,54.7007,50.1130,Warrior,73.1732,83.1172,29.6346,7.8299,6.2451,1.8929,200,56.6006,73.6516,124.5193,252.1722,4.5503,29.3052,0.0026,0.0379,Population structure converged. Difference: 0.0012
1,6,56.5925,52.4878,Warrior,86.4001,70.7719,31.3645,6.6669,4.7966,1.8929,200,56.6006,85.1330,79.3394,195.7011,3.9196,16.6106,0.0006,0.0379,Population structure converged. Difference: 0.0012
1,7,56.5925,54.4553,Warrior,86.4001,70.7719,31.3645,6.6669,4.7966,1.8929,200,56.6006,13.5490,11.8266,33.2370,0.4926,2.2710,0.0000,0.0379,Population structure converged. Difference: 0.0012
1,8,56.5925,54.8439,Warrior,86.4001,70.7719,31.3645,6.6669,4.7966,1.8929,200,56.6006,11.6701,12.9334,0.8424,0.1221,0.1701,0.0000,0.0379,Population structure converged. Difference: 0.0012
1,9,56.5925,55.2709,Warrior,86.4001,70.7719,31.3645,6.6669,4.7966,1.8929,200,56.6006,29.8394,30.9800,1.0985,0.3640,0.4839,0.0000,0.0379,Population structure converged. Difference: 0.0012
1,10,56.5945,56.0299,Warrior,87.2111,71.4362,29.7815,6.7295,4.8416,1.8929,200,56.6006,27.1924,24.6662,0.8548,0.4040,0.5144,0.0000,0.0379,Population structure converged. Difference: 0.0012
1,11,56.6006,56.5316,Warrior,86.8589,70.4860,31.2379,6.6400,4.7772,1.8929,200,56.6006,5.3530,4.9087,0.2042,0.0387,0.0549,0.0000,0.0379,Population structure converged. Difference: 0.0012
2,0,51.9658,34.8460,Warrior,65.8107,87.1562,30.4456,14.7897,1.7977,1.9287,200,59.2984,151.9117,449.7714,461.0801,256.8710,368.7508,0.0450,0.0261,Population structure converged. Difference: 0.0039
2,1,55.9365,41.1473,Warrior,70.0509,105.1044,21.5252,1.1516,2.1679,1.9382,200,59.2984,97.1259,256.1797,559.0498,221.0103,210.5495,0.0297,0.0261,Population structure converged. Difference: 0.0039
2,2,56.9736,46.7600,Warrior,70.4868,93.3490,32.6089,1.2334,2.3220,1.9382,200,59.2984,27.4189,177.5215,191.8501,204.9490,114.2894,0.0101,0.0261,Population structure converged. Difference: 0.0039
2,3,59.2984,51.8405,Warrior,84.6317,90.6199,21.4418,1.1472,2.1595,1.9382,200,59.2984,18.5119,96.6353,26.1750,47.4463,49.5323,0.0003,0.0261,Population structure converged. Difference: 0.0039
2,4,59.2984,54.2810,Warrior,84.6317,90.6199,21.4418,1.1472,2.1595,1.9382,200,59.2984,17.7779,75.3086,21.5745,47.5764,4.5985,0.0000,0.0261,Population structure converged. Difference: 0.0039
2,5,59.2984,56.6866,Warrior,84.6317,90.6199,21.4418,1.1472,2.1595,1.9382,200,59.2984,23.8005,30.8131,27.4992,9.8020,0.0226,0.0000,0.0261,Population structure converged. Difference: 0.0039
2,6,59.2984,57.8997,Warrior,84.6317,90.6199,21.4418,1.1472,2.1595,1.9382,200,59.2984,43.4081,6.6585,28.7549,0.0023,0.0090,0.0000,0.0261,Population structure converged. Difference: 0.0039
2,7,59.2984,59.0659,Warrior,84.6317,90.6199,21.4418,1.1472,2.1595,1.9382,200,59.2984,14.6340,3.1724,10.6487,0.0010,0.0057,0.0000,0.0261,Population structure converged. Difference: 0.0039
