Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.6877,29.5355,Warrior,55.9247,55.8419,51.9981,17.5781,18.6571,1.8935,200,53.9212,248.6906,322.4116,260.8510,385.2425,353.6133,0.0426,0.0401,Population structure converged. Difference: 0.0355
1,1,43.6877,33.1813,Warrior,55.9247,55.8419,51.9981,17.5781,18.6571,1.8935,200,53.9212,156.6153,292.7787,240.4696,338.6179,317.1847,0.0477,0.0401,Population structure converged. Difference: 0.0355
1,2,47.8719,36.1840,Warrior,97.8073,48.2104,33.3947,19.1180,1.4696,1.9628,200,53.9212,143.6216,165.9289,153.5742,189.8510,266.1455,0.0377,0.0401,Population structure converged. Difference: 0.0355
1,3,49.3711,39.1410,Warrior,74.1526,55.5370,51.7141,17.4821,1.1142,1.9628,200,53.9212,152.3907,112.9744,100.2559,105.6269,237.3056,0.0196,0.0401,Population structure converged. Difference: 0.0355
1,4,48.4265,41.4856,Warrior,66.0976,65.9997,42.1812,23.8854,1.8361,1.8935,200,53.9212,250.6679,95.5170,72.4943,58.8962,183.3672,0.0160,0.0401,Population structure converged. Difference: 0.0355
1,5,49.5003,43.3132,Warrior,93.9082,46.2886,43.6396,14.7525,1.4110,1.9628,200,53.9212,416.1386,85.5948,68.8514,23.3964,131.9552,0.0149,0.0401,Population structure converged. Difference: 0.0355
1,6,50.5491,45.6606,Warrior,91.4109,48.5325,45.1918,13.4913,1.3735,1.9628,200,53.9212,386.9133,83.8097,62.3061,6.0848,116.4294,0.0050,0.0401,Population structure converged. Difference: 0.0355
1,7,52.6496,47.2125,Warrior,85.0163,53.9411,44.3502,15.2352,1.4572,1.9202,200,53.9212,324.2183,91.9668,46.6100,7.8363,76.3594,0.0046,0.0401,Population structure converged. Difference: 0.0355
1,8,53.0130,48.8790,Warrior,82.6286,60.8851,38.9123,16.2159,1.3580,1.8935,200,53.9212,192.6763,81.2904,30.1336,9.4876,15.8191,0.0013,0.0401,Population structure converged. Difference: 0.0355
1,9,53.1260,50.0649,Warrior,79.6629,58.3570,46.4750,13.8744,1.6308,1.8935,200,53.9212,114.3650,67.3515,22.3729,9.6416,5.5934,0.0011,0.0401,Population structure converged. Difference: 0.0355
1,10,54.0627,51.1272,Warrior,82.8308,58.9927,43.3959,12.9552,1.8255,1.9202,200,53.9212,72.2150,50.7717,20.8574,7.3812,0.0379,0.0010,0.0401,Population structure converged. Difference: 0.0355
