Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.0086,30.9551,Warrior,76.6854,75.1285,35.3564,10.7868,2.0428,1.4469,200,58.7186,349.7808,427.3280,470.6206,256.9710,426.8315,0.0367,0.0316,Population structure converged. Difference: 0.0436
1,1,48.0086,36.7088,Warrior,76.6854,75.1285,35.3564,10.7868,2.0428,1.4469,200,58.7186,193.9914,282.0468,340.9453,208.9020,319.9441,0.0394,0.0316,Population structure converged. Difference: 0.0436
1,2,51.6948,40.3795,Warrior,80.8611,79.2194,37.2816,0.4838,2.1541,1.4469,200,58.7186,141.1000,195.3030,291.3877,161.8405,221.1833,0.0417,0.0316,Population structure converged. Difference: 0.0436
1,3,51.6948,43.7662,Warrior,80.8611,79.2194,37.2816,0.4838,2.1541,1.4469,200,58.7186,101.5863,138.6984,203.6549,120.7130,111.5800,0.0450,0.0316,Population structure converged. Difference: 0.0436
1,4,53.1969,45.8118,Warrior,70.4163,78.9479,37.1538,11.3352,2.1467,1.9534,200,58.7186,74.9281,130.6757,146.1575,114.9994,59.8570,0.0547,0.0316,Population structure converged. Difference: 0.0436
1,5,57.2676,47.3782,Warrior,81.2229,63.9429,51.8899,0.5400,2.4044,1.8681,200,58.7186,69.7852,82.8931,65.8137,96.7744,47.7092,0.0477,0.0316,Population structure converged. Difference: 0.0436
1,6,58.5524,49.7974,Warrior,80.8611,79.2194,37.2816,0.4838,2.1541,1.8681,200,58.7186,62.1727,56.7303,33.3513,48.4607,48.1177,0.0514,0.0316,Population structure converged. Difference: 0.0436
1,7,58.6011,51.9874,Warrior,81.2802,78.9407,37.1505,0.4821,2.1465,1.8681,200,58.7186,47.4771,55.0527,36.7665,32.9565,38.6988,0.0457,0.0316,Population structure converged. Difference: 0.0436
1,8,58.6011,54.0154,Warrior,81.2802,78.9407,37.1505,0.4821,2.1465,1.8681,200,58.7186,46.5130,68.5202,41.8252,28.0618,20.7454,0.0285,0.0316,Population structure converged. Difference: 0.0436
1,9,58.7186,56.2660,Warrior,84.5575,74.0596,38.6484,0.5015,2.2330,1.8681,200,58.7186,35.2057,66.7741,48.6293,16.2750,11.6268,0.0101,0.0316,Population structure converged. Difference: 0.0436
2,0,48.0877,30.6632,Warrior,64.0037,62.0807,66.2982,3.6734,3.9440,1.9884,200,55.8789,610.3446,317.9346,473.9244,494.2535,518.5029,0.0458,0.0308,Population structure converged. Difference: 0.0487
2,1,48.7196,35.5435,Warrior,77.0889,42.2287,56.1613,3.7659,20.7551,1.9319,200,55.8789,359.9399,347.5140,357.7115,300.7143,322.4846,0.0423,0.0308,Population structure converged. Difference: 0.0487
2,2,48.9963,39.6050,Warrior,67.5118,51.2922,56.5188,3.7899,20.8872,1.9319,200,55.8789,208.9490,185.7198,267.4573,174.2628,188.3216,0.0429,0.0308,Population structure converged. Difference: 0.0487
2,3,51.4156,44.1852,Warrior,74.7515,50.6673,60.5543,12.0467,1.9802,1.9319,200,55.8789,101.1904,91.8890,145.6375,85.5027,127.9071,0.0422,0.0308,Population structure converged. Difference: 0.0487
2,4,51.8866,46.8830,Warrior,67.4899,58.3799,62.3459,8.0753,3.7089,1.9319,200,55.8789,42.3667,73.4548,48.9046,23.3618,76.4375,0.0257,0.0308,Population structure converged. Difference: 0.0487
2,5,52.2875,47.9895,Warrior,64.0037,62.0807,66.2982,3.6734,3.9440,1.9319,200,55.8789,32.2254,74.7109,29.2826,14.2510,71.9257,0.0137,0.0308,Population structure converged. Difference: 0.0487
2,6,55.7336,49.3273,Warrior,80.9313,54.8560,58.1682,3.9005,2.1439,1.9319,200,55.8789,23.8255,38.1190,22.7927,12.8071,67.2267,0.0060,0.0308,Population structure converged. Difference: 0.0487
2,7,55.7336,50.8433,Warrior,80.9313,54.8560,58.1682,3.9005,2.1439,1.9319,200,55.8789,23.0693,29.2651,15.4846,14.9540,41.7585,0.0031,0.0308,Population structure converged. Difference: 0.0487
2,8,55.7846,52.1192,Warrior,73.6504,63.0580,57.4085,3.7964,2.0867,1.9319,200,55.8789,27.6929,25.4774,12.2065,10.7750,13.0190,0.0076,0.0308,Population structure converged. Difference: 0.0487
2,9,55.8789,53.2822,Warrior,81.4555,55.2113,57.2496,3.9258,2.1578,1.9319,200,55.8789,25.8366,23.2518,8.9397,6.9911,5.4559,0.0097,0.0308,Population structure converged. Difference: 0.0487
3,0,45.0157,31.2442,Warrior,72.5135,43.3390,52.8468,23.9765,7.3243,1.9451,200,56.1384,258.5249,405.5072,436.8627,335.5297,304.6544,0.0312,0.0396,Population structure converged. Difference: 0.0408
3,1,45.0157,36.0360,Warrior,72.5135,43.3390,52.8468,23.9765,7.3243,1.9451,200,56.1384,154.3883,263.7898,333.7803,203.7923,212.4485,0.0215,0.0396,Population structure converged. Difference: 0.0408
3,2,45.6034,39.3153,Warrior,72.2976,46.1223,50.3725,23.9051,7.3025,1.9451,200,56.1384,106.6644,252.5817,366.4885,107.0513,185.1672,0.0113,0.0396,Population structure converged. Difference: 0.0408
3,3,49.3784,41.9124,Warrior,78.6922,36.6559,74.0575,2.6461,7.9484,1.9451,200,56.1384,83.2985,252.8176,372.2951,87.1466,149.0064,0.0078,0.0396,Population structure converged. Difference: 0.0408
3,4,49.4652,43.4359,Warrior,71.0276,51.7663,56.5367,12.4928,8.1766,1.9451,200,56.1384,65.1971,194.0909,237.4116,55.3818,103.6088,0.0075,0.0396,Population structure converged. Difference: 0.0408
