Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.0493,30.2375,Warrior,79.4553,44.4273,39.8711,4.2383,32.0081,1.8346,200,58.9234,364.5203,712.4621,460.3134,442.0375,415.9000,0.0383,0.0510,Population structure converged. Difference: 0.0087
1,1,48.9715,35.4002,Warrior,68.8885,99.9538,6.4130,9.4955,15.2493,1.8833,200,58.9234,318.7317,824.0359,339.1666,355.5667,284.8142,0.0357,0.0510,Population structure converged. Difference: 0.0087
1,2,48.9715,38.9876,Warrior,68.8885,99.9538,6.4130,9.4955,15.2493,1.8833,200,58.9234,226.9515,764.9552,281.8921,219.4844,262.5236,0.0220,0.0510,Population structure converged. Difference: 0.0087
1,3,49.2845,41.7812,Warrior,63.0592,93.5632,20.7267,8.6920,13.9589,1.8833,200,58.9234,178.4936,769.6630,388.9567,107.4952,222.5814,0.0176,0.0510,Population structure converged. Difference: 0.0087
1,4,51.0212,45.0165,Warrior,73.5720,55.2687,49.6007,5.2725,16.2860,1.8833,200,58.9234,130.0904,676.6305,443.1095,33.7388,135.9139,0.0086,0.0510,Population structure converged. Difference: 0.0087
1,5,52.8657,46.8570,Warrior,60.3393,98.4557,35.7121,1.9228,3.5701,1.9386,200,58.9234,147.5129,583.6099,529.9421,18.0003,94.8912,0.0058,0.0510,Population structure converged. Difference: 0.0087
1,6,55.4611,48.3291,Warrior,81.3092,69.3367,36.8087,8.8267,3.7188,1.8833,200,58.9234,176.4266,438.0949,377.1598,14.8175,71.1342,0.0053,0.0510,Population structure converged. Difference: 0.0087
1,7,55.4611,50.1596,Warrior,81.3092,69.3367,36.8087,8.8267,3.7188,1.8833,200,58.9234,176.9737,364.2358,330.1471,10.9606,45.2445,0.0018,0.0510,Population structure converged. Difference: 0.0087
1,8,57.6102,51.7834,Warrior,83.5597,71.2558,37.9191,4.0308,3.2345,1.8833,200,58.9234,139.0435,267.7718,243.5223,10.4086,39.6768,0.0013,0.0510,Population structure converged. Difference: 0.0087
1,9,57.6102,53.6460,Warrior,83.5597,71.2558,37.9191,4.0308,3.2345,1.8833,200,58.9234,91.1069,238.1763,241.7541,10.3198,19.6719,0.0012,0.0510,Population structure converged. Difference: 0.0087
1,10,58.4631,55.1747,Warrior,88.1263,70.4625,35.8908,1.9324,3.5879,1.8833,200,58.9234,92.9186,176.5270,166.3334,9.6991,5.3579,0.0012,0.0510,Population structure converged. Difference: 0.0087
1,11,58.4631,56.3691,Warrior,88.1263,70.4625,35.8908,1.9324,3.5879,1.8833,200,58.9234,60.5008,123.5940,107.9825,6.5036,3.8152,0.0009,0.0510,Population structure converged. Difference: 0.0087
1,12,58.8291,57.0763,Warrior,87.5695,74.6752,32.7222,1.7618,3.2712,1.8833,200,58.9234,41.7453,101.5590,64.2950,2.9838,1.2897,0.0009,0.0510,Population structure converged. Difference: 0.0087
1,13,58.8291,57.6630,Warrior,87.5695,74.6752,32.7222,1.7618,3.2712,1.8833,200,58.9234,20.6239,51.6244,35.6612,1.7764,1.2284,0.0007,0.0510,Population structure converged. Difference: 0.0087
1,14,58.9234,58.0431,Warrior,84.5243,76.8091,33.5141,1.8045,3.3480,1.9386,200,58.9234,13.5586,24.3950,8.4810,0.8774,0.1470,0.0006,0.0510,Population structure converged. Difference: 0.0087
1,15,58.9234,58.2620,Warrior,84.5243,76.8091,33.5141,1.8045,3.3480,1.9386,200,58.9234,11.5254,19.0657,8.0974,0.4948,0.1393,0.0006,0.0510,Population structure converged. Difference: 0.0087
1,16,58.9234,58.4131,Warrior,84.5243,76.8091,33.5141,1.8045,3.3480,1.9386,200,58.9234,11.0654,13.6274,6.8879,0.1924,0.1308,0.0006,0.0510,Population structure converged. Difference: 0.0087
2,0,49.0137,32.4304,Warrior,69.4460,73.5632,28.3821,26.1192,2.4894,1.9189,200,59.3465,321.5903,407.3141,236.9001,406.7434,370.8516,0.0438,0.0280,Population structure converged. Difference: 0.0095
2,1,49.0137,37.6422,Warrior,69.4460,73.5632,28.3821,26.1192,2.4894,1.9189,200,59.3465,253.5505,303.2935,151.3002,302.7463,277.2275,0.0407,0.0280,Population structure converged. Difference: 0.0095
2,2,58.6344,43.4395,Warrior,88.7415,65.5518,40.2385,2.8473,2.6209,1.9189,200,59.3465,169.2164,182.9110,101.6088,190.7415,167.8784,0.0287,0.0280,Population structure converged. Difference: 0.0095
2,3,58.6344,48.4139,Warrior,88.7415,65.5518,40.2385,2.8473,2.6209,1.9189,200,59.3465,108.5321,173.7923,94.0647,177.2202,82.7830,0.0176,0.0280,Population structure converged. Difference: 0.0095
2,4,59.2215,51.9122,Warrior,84.5505,79.3582,30.6180,2.9762,2.4971,1.9189,200,59.3465,90.3140,107.6086,65.4925,130.3573,27.3869,0.0072,0.0280,Population structure converged. Difference: 0.0095
2,5,59.2215,54.8129,Warrior,84.5505,79.3582,30.6180,2.9762,2.4971,1.9189,200,59.3465,72.1752,62.9194,39.5135,109.7965,9.3470,0.0028,0.0280,Population structure converged. Difference: 0.0095
2,6,59.3259,57.2278,Warrior,87.1405,75.9342,31.5559,2.7959,2.5736,1.9189,200,59.3465,36.8917,58.1633,34.0624,58.8728,0.9775,0.0003,0.0280,Population structure converged. Difference: 0.0095
2,7,59.3535,58.3615,Warrior,86.9201,77.7294,29.9895,2.9151,2.4459,1.9189,200,59.3465,19.5622,40.3126,23.3093,22.0143,0.0498,0.0000,0.0280,Population structure converged. Difference: 0.0095
2,8,59.3465,58.7909,Warrior,87.9947,76.6785,29.9047,2.8233,2.5988,1.9189,200,59.3465,8.6189,21.0756,13.3138,8.6319,0.0497,0.0000,0.0280,Population structure converged. Difference: 0.0095
3,0,46.4748,30.8793,Warrior,74.7836,53.9818,41.9735,5.7823,23.4788,1.8224,200,56.6398,496.4520,398.8991,323.6168,327.0501,434.1578,0.0417,0.0473,Population structure converged. Difference: 0.0084
3,1,46.4748,35.1233,Warrior,74.7836,53.9818,41.9735,5.7823,23.4788,1.8224,200,56.6398,300.0293,235.5869,252.1338,237.6679,253.1126,0.0408,0.0473,Population structure converged. Difference: 0.0084
3,2,48.0576,40.1651,Warrior,53.6062,74.5891,57.9966,7.9897,5.8184,1.9023,200,56.6398,102.3829,133.6960,186.3413,154.9420,100.4543,0.0359,0.0473,Population structure converged. Difference: 0.0084
3,3,55.0764,43.5815,Warrior,82.0268,59.2101,46.0388,6.3424,6.3820,1.9023,200,56.6398,50.5667,78.5563,101.7887,111.8955,47.4271,0.0271,0.0473,Population structure converged. Difference: 0.0084
3,4,56.5805,46.0162,Warrior,81.9003,61.6582,47.3125,2.7482,6.3808,1.9023,200,56.6398,53.0975,32.1329,71.2330,85.6512,55.7170,0.0213,0.0473,Population structure converged. Difference: 0.0084
3,5,56.5805,49.1574,Warrior,81.9003,61.6582,47.3125,2.7482,6.3808,1.9023,200,56.6398,41.8691,23.6593,28.2497,62.1741,61.2105,0.0113,0.0473,Population structure converged. Difference: 0.0084
3,6,56.5805,52.5352,Warrior,81.9003,61.6582,47.3125,2.7482,6.3808,1.9023,200,56.6398,14.8993,12.7229,7.3237,4.7295,46.3960,0.0048,0.0473,Population structure converged. Difference: 0.0084
