Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.7572,31.4776,Warrior,66.1137,87.2263,31.0578,12.2270,3.3752,1.5241,200,58.4926,185.4967,538.4948,595.8874,408.6448,443.0853,0.0426,0.0583,Population structure converged. Difference: 0.0089
1,1,46.7479,35.0742,Warrior,60.2635,46.2440,84.2278,1.0046,8.2602,1.8710,200,58.4926,107.3785,417.3852,757.0591,196.0322,383.9025,0.0400,0.0583,Population structure converged. Difference: 0.0089
1,2,49.1404,38.1385,Warrior,76.7576,65.3702,32.9061,19.9940,4.9722,1.8503,200,58.4926,103.4534,376.9091,733.1861,162.6429,288.0112,0.0399,0.0583,Population structure converged. Difference: 0.0089
1,3,56.4287,41.1997,Warrior,84.7550,72.1811,36.3346,1.2391,5.4902,1.8503,200,58.4926,107.3412,325.6394,674.4603,151.4393,133.1761,0.0348,0.0583,Population structure converged. Difference: 0.0089
1,4,56.4287,43.1506,Warrior,84.7550,72.1811,36.3346,1.2391,5.4902,1.8503,200,58.4926,107.3580,316.8736,580.1488,124.4322,73.4842,0.0341,0.0583,Population structure converged. Difference: 0.0089
1,5,56.4287,45.2512,Warrior,84.7550,72.1811,36.3346,1.2391,5.4902,1.8503,200,58.4926,132.4139,250.2944,509.6015,74.6187,48.2433,0.0239,0.0583,Population structure converged. Difference: 0.0089
1,6,56.7533,47.1814,Warrior,84.6230,64.9366,42.9986,1.3703,6.0714,1.8710,200,58.4926,100.2145,249.0838,317.8857,63.3564,32.5992,0.0220,0.0583,Population structure converged. Difference: 0.0089
1,7,56.7533,49.6501,Warrior,84.6230,64.9366,42.9986,1.3703,6.0714,1.8710,200,58.4926,100.5383,212.1463,220.7492,46.0264,26.8138,0.0070,0.0583,Population structure converged. Difference: 0.0089
1,8,57.5316,51.6775,Warrior,84.1931,72.5330,36.5117,1.2452,5.5170,1.8710,200,58.4926,86.4601,144.1823,127.8501,37.4165,16.3027,0.0034,0.0583,Population structure converged. Difference: 0.0089
1,9,57.9552,53.7192,Warrior,85.2894,72.6363,36.5637,1.6672,3.8435,1.8710,200,58.4926,51.6720,75.9731,93.9326,21.1192,12.6081,0.0013,0.0583,Population structure converged. Difference: 0.0089
1,10,57.9298,54.8816,Warrior,84.2357,73.3577,36.9268,1.6837,3.7960,1.8710,200,58.4926,27.1497,53.8910,56.8461,9.9836,9.5393,0.0002,0.0583,Population structure converged. Difference: 0.0089
1,11,58.1610,55.7368,Warrior,86.2634,72.2970,36.3929,1.1594,3.8874,1.8710,200,58.4926,15.2812,22.7335,22.0876,4.6267,7.5946,0.0002,0.0583,Population structure converged. Difference: 0.0089
1,12,58.3334,56.1981,Warrior,89.6426,77.8835,27.2294,1.2048,4.0397,1.8710,200,58.4926,8.4279,15.8068,20.6952,3.1411,5.9726,0.0001,0.0583,Population structure converged. Difference: 0.0089
1,13,58.2327,56.6590,Warrior,89.5373,77.7920,27.1974,1.6817,3.7915,1.8710,200,58.4926,4.8793,15.6003,17.3992,2.3410,3.6062,0.0001,0.0583,Population structure converged. Difference: 0.0089
