Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.6441,29.3205,Warrior,66.1558,73.8126,49.9388,2.0146,8.0782,1.9473,200,58.4183,491.7264,510.3161,500.1650,436.3388,416.4802,0.0430,0.0515,Population structure converged. Difference: 0.0068
1,1,53.6441,35.1444,Warrior,66.1558,73.8126,49.9388,2.0146,8.0782,1.9473,200,58.4183,501.6429,372.4204,462.6258,443.4116,320.9064,0.0377,0.0515,Population structure converged. Difference: 0.0068
1,2,54.6334,38.8720,Warrior,91.5003,59.2504,38.7518,2.0954,8.4021,1.9620,200,58.4183,408.4020,365.0492,483.6781,286.1148,285.4295,0.0352,0.0515,Population structure converged. Difference: 0.0068
1,3,54.6334,42.3788,Warrior,91.5003,59.2504,38.7518,2.0954,8.4021,1.9620,200,58.4183,315.2774,351.8075,385.2556,246.2814,234.7631,0.0291,0.0515,Population structure converged. Difference: 0.0068
1,4,56.4207,46.7053,Warrior,84.6246,65.1672,44.0897,1.7787,4.3398,1.9620,200,58.4183,225.5951,266.7405,359.8281,201.1894,137.5144,0.0215,0.0515,Population structure converged. Difference: 0.0068
1,5,56.4207,50.1198,Warrior,84.6246,65.1672,44.0897,1.7787,4.3398,1.9620,200,58.4183,139.5937,171.5218,264.4592,59.5670,92.3285,0.0156,0.0515,Population structure converged. Difference: 0.0068
1,6,58.0609,52.5606,Warrior,84.0799,65.9522,44.6208,1.8001,3.5470,1.8889,200,58.4183,78.6754,121.6127,170.3463,19.9645,17.7426,0.0134,0.0515,Population structure converged. Difference: 0.0068
1,7,58.2924,53.7107,Warrior,83.6530,66.3044,45.5802,1.7432,2.7193,1.8889,200,58.4183,74.4271,126.5633,151.5111,12.4657,9.8887,0.0042,0.0515,Population structure converged. Difference: 0.0068
1,8,58.3049,54.6095,Warrior,83.9008,66.1631,45.4831,1.7395,2.7135,1.8889,200,58.4183,69.8154,90.2491,116.4035,12.8914,8.2220,0.0016,0.0515,Population structure converged. Difference: 0.0068
1,9,58.3049,55.3028,Warrior,83.9008,66.1631,45.4831,1.7395,2.7135,1.8889,200,58.4183,64.5308,69.1815,68.5333,6.3575,7.7310,0.0008,0.0515,Population structure converged. Difference: 0.0068
1,10,58.3852,56.0689,Warrior,85.6060,65.7802,44.0538,1.7772,2.7828,1.8889,200,58.4183,56.0429,71.4342,84.4965,3.0785,7.9116,0.0008,0.0515,Population structure converged. Difference: 0.0068
1,11,58.3852,56.4955,Warrior,85.6060,65.7802,44.0538,1.7772,2.7828,1.8889,200,58.4183,47.3152,44.1258,50.6379,0.0925,7.8434,0.0009,0.0515,Population structure converged. Difference: 0.0068
1,12,58.4097,57.0336,Warrior,85.3921,66.1156,43.9437,1.7728,2.7758,1.8889,200,58.4183,37.0369,44.0616,68.8350,0.0876,5.4544,0.0010,0.0515,Population structure converged. Difference: 0.0068
1,13,58.4183,57.4268,Warrior,85.4032,66.1241,43.9494,1.7730,2.7503,1.8889,200,58.4183,34.4585,58.4394,79.9901,0.0684,3.4208,0.0009,0.0515,Population structure converged. Difference: 0.0068
1,14,58.4183,57.8345,Warrior,85.4032,66.1241,43.9494,1.7730,2.7503,1.8889,200,58.4183,13.8543,56.3579,52.9318,0.0244,1.6533,0.0006,0.0515,Population structure converged. Difference: 0.0068
