Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.6147,29.6407,Warrior,73.8329,67.1565,49.5564,1.9584,7.4958,1.9790,200,58.3195,410.5760,522.4040,369.1658,547.6561,380.7276,0.0356,0.0596,Population structure converged. Difference: 0.0499
1,1,47.7737,32.6486,Warrior,63.1488,50.1735,67.6740,11.7551,7.2486,1.9224,200,58.3195,259.4210,457.9741,418.0648,380.4404,300.6033,0.0374,0.0596,Population structure converged. Difference: 0.0499
1,2,47.7737,33.9450,Warrior,63.1488,50.1735,67.6740,11.7551,7.2486,1.9224,200,58.3195,189.9707,378.4940,406.7120,255.7959,299.5299,0.0387,0.0596,Population structure converged. Difference: 0.0499
1,3,53.5183,35.4429,Warrior,63.5880,70.5065,57.4804,1.3463,7.0788,1.9224,200,58.3195,198.0787,317.8328,383.5043,241.2949,259.2748,0.0398,0.0596,Population structure converged. Difference: 0.0499
1,4,56.5133,37.6669,Warrior,80.0407,93.2528,16.1358,1.6891,8.8816,1.9224,200,58.3195,184.3340,250.2038,314.6259,222.9845,244.6883,0.0405,0.0596,Population structure converged. Difference: 0.0499
1,5,56.5133,39.2227,Warrior,80.0407,93.2528,16.1358,1.6891,8.8816,1.9224,200,58.3195,134.2444,237.0693,297.3893,202.1688,219.1573,0.0413,0.0596,Population structure converged. Difference: 0.0499
1,6,56.5133,41.1849,Warrior,80.0407,93.2528,16.1358,1.6891,8.8816,1.9224,200,58.3195,116.7481,181.7630,283.5738,167.0322,200.3621,0.0377,0.0596,Population structure converged. Difference: 0.0499
1,7,55.9724,43.5243,Warrior,79.4186,92.5281,16.0104,1.6760,10.3669,1.9240,200,58.3195,89.0591,131.8897,281.7410,99.4148,161.2673,0.0334,0.0596,Population structure converged. Difference: 0.0499
1,8,55.0586,45.6583,Warrior,72.7915,63.9970,52.1735,1.5362,9.5018,1.9240,200,58.3195,68.2241,115.1236,279.3041,98.1932,120.7358,0.0257,0.0596,Population structure converged. Difference: 0.0499
1,9,55.0586,46.2902,Warrior,72.7915,63.9970,52.1735,1.5362,9.5018,1.9240,200,58.3195,84.0539,105.9665,224.4109,64.0904,126.2712,0.0262,0.0596,Population structure converged. Difference: 0.0499
1,10,56.7821,47.9341,Warrior,77.7101,63.0635,51.6118,0.0150,7.5995,1.9240,200,58.3195,101.0161,80.9956,193.6157,33.8417,108.2263,0.0097,0.0596,Population structure converged. Difference: 0.0499
1,11,57.3023,48.8760,Warrior,78.8274,77.6581,33.5168,1.3688,8.6288,1.9240,200,58.3195,87.1541,91.9972,167.9179,29.6702,96.2911,0.0065,0.0596,Population structure converged. Difference: 0.0499
1,12,57.3023,49.3483,Warrior,78.8274,77.6581,33.5168,1.3688,8.6288,1.9240,200,58.3195,65.1970,105.6366,151.5738,23.3011,82.4840,0.0033,0.0596,Population structure converged. Difference: 0.0499
1,13,57.7690,50.7889,Warrior,90.8618,82.4532,17.3379,1.2797,8.0673,1.9224,200,58.3195,62.2016,123.1797,160.6099,17.6511,57.4448,0.0022,0.0596,Population structure converged. Difference: 0.0499
1,14,57.7690,51.7665,Warrior,90.8618,82.4532,17.3379,1.2797,8.0673,1.9224,200,58.3195,66.8062,130.1320,183.4580,17.1426,35.4627,0.0022,0.0596,Population structure converged. Difference: 0.0499
1,15,58.1002,53.0825,Warrior,91.3049,82.8553,17.4225,1.4019,7.0154,1.9224,200,58.3195,87.5376,144.9928,260.0108,15.5614,20.5291,0.0000,0.0596,Population structure converged. Difference: 0.0499
1,16,58.3326,53.9170,Warrior,91.6116,83.1337,17.4810,1.2336,6.5400,1.9224,200,58.3195,103.6036,140.9808,263.1842,16.6277,11.0222,0.0000,0.0596,Population structure converged. Difference: 0.0499
1,17,58.3326,54.8742,Warrior,91.6116,83.1337,17.4810,1.2336,6.5400,1.9224,200,58.3195,95.1125,137.7617,279.8396,12.5508,6.5586,0.0000,0.0596,Population structure converged. Difference: 0.0499
1,18,58.3195,55.5461,Warrior,91.5163,83.0472,17.6069,1.2425,6.5871,1.9224,200,58.3195,77.8452,130.8627,228.3154,8.1468,5.4400,0.0000,0.0596,Population structure converged. Difference: 0.0499
2,0,43.7732,27.7393,Warrior,65.3239,75.0190,37.4892,15.0780,7.0899,1.7633,200,57.3521,409.0797,579.7693,510.6740,363.9796,403.0528,0.0450,0.0722,Population structure converged. Difference: 0.0480
2,1,43.5128,30.1126,Warrior,65.3239,75.0190,37.4892,15.0780,7.0899,1.7585,200,57.3521,367.8056,527.7815,434.9199,224.5157,354.2588,0.0425,0.0722,Population structure converged. Difference: 0.0480
2,2,44.9816,31.6172,Warrior,59.6366,75.9055,29.2555,0.7721,34.4303,1.9611,200,57.3521,221.2106,452.3903,460.3592,153.7716,244.0495,0.0399,0.0722,Population structure converged. Difference: 0.0480
2,3,45.4543,32.7730,Warrior,56.2532,69.2473,39.4900,0.7044,34.3052,1.9155,200,57.3521,166.7537,407.1190,498.4857,160.1409,259.3247,0.0383,0.0722,Population structure converged. Difference: 0.0480
2,4,45.4543,34.2780,Warrior,56.2532,69.2473,39.4900,0.7044,34.3052,1.9155,200,57.3521,112.0361,386.0448,341.5072,200.7932,241.6723,0.0384,0.0722,Population structure converged. Difference: 0.0480
2,5,44.7777,35.3805,Warrior,51.6653,84.4909,38.8770,16.9817,7.9851,1.9433,200,57.3521,111.0961,320.1455,266.1824,156.2946,227.2313,0.0398,0.0722,Population structure converged. Difference: 0.0480
2,6,49.7420,36.9619,Warrior,105.3281,41.6918,43.5054,0.7760,8.6986,1.8459,200,57.3521,136.8276,245.2734,167.2716,175.5535,185.6226,0.0324,0.0722,Population structure converged. Difference: 0.0480
2,7,55.1148,38.0881,Warrior,69.1200,79.3784,39.6677,0.9692,10.8646,1.9155,200,57.3521,129.5436,203.8074,117.4857,167.4109,172.1664,0.0279,0.0722,Population structure converged. Difference: 0.0480
2,8,55.1148,40.4208,Warrior,69.1200,79.3784,39.6677,0.9692,10.8646,1.9155,200,57.3521,131.2820,250.4777,102.3592,134.1631,172.4575,0.0204,0.0722,Population structure converged. Difference: 0.0480
2,9,55.8793,41.7442,Warrior,73.8089,78.5604,37.0926,1.0783,9.4597,1.9433,200,57.3521,137.9654,190.4745,70.8806,131.7741,138.1063,0.0221,0.0722,Population structure converged. Difference: 0.0480
2,10,56.2082,42.7067,Warrior,70.2565,80.6836,40.3199,0.9852,7.7549,1.9155,200,57.3521,140.4406,152.5461,48.7660,125.7877,112.8568,0.0175,0.0722,Population structure converged. Difference: 0.0480
2,11,55.8793,43.9826,Warrior,73.8089,78.5604,37.0926,1.0783,9.4597,1.9433,200,57.3521,161.4550,151.9501,32.8361,109.3587,89.1919,0.0133,0.0722,Population structure converged. Difference: 0.0480
2,12,55.8872,44.8921,Warrior,73.8599,78.6147,36.9801,1.0790,9.4663,1.9433,200,57.3521,161.8422,178.5951,37.8502,106.1049,71.7435,0.0117,0.0722,Population structure converged. Difference: 0.0480
2,13,55.9333,46.6343,Warrior,71.7383,71.6103,46.9072,1.0823,8.6619,1.9155,200,57.3521,167.0014,194.3661,56.1675,81.5784,68.6984,0.0109,0.0722,Population structure converged. Difference: 0.0480
2,14,56.6064,48.0531,Warrior,88.8819,68.1501,32.0576,1.1164,9.7940,1.9433,200,57.3521,155.6911,169.3388,56.6295,84.2746,45.0880,0.0075,0.0722,Population structure converged. Difference: 0.0480
2,15,56.6064,49.7515,Warrior,88.8819,68.1501,32.0576,1.1164,9.7940,1.9433,200,57.3521,135.3452,144.4813,52.9601,61.6584,37.0947,0.0122,0.0722,Population structure converged. Difference: 0.0480
2,16,57.0654,50.0502,Warrior,89.0554,67.9071,33.5156,0.9743,8.5475,1.9433,200,57.3521,117.0242,144.4888,67.7277,62.1539,37.6442,0.0067,0.0722,Population structure converged. Difference: 0.0480
2,17,57.2234,51.6950,Warrior,77.3081,77.0787,36.2576,1.0579,8.2977,1.9007,200,57.3521,103.6324,126.2280,62.7590,48.3174,26.1933,0.0024,0.0722,Population structure converged. Difference: 0.0480
2,18,57.0793,52.5229,Warrior,82.9014,72.8999,34.4200,1.0006,8.7781,1.9433,200,57.3521,85.8305,124.1217,68.1147,35.1323,20.2598,0.0016,0.0722,Population structure converged. Difference: 0.0480
2,19,57.3281,53.5047,Warrior,86.3565,70.9410,33.4951,0.9737,8.2338,1.9433,200,57.3521,59.2159,115.6735,64.2470,24.2684,16.4646,0.0008,0.0722,Population structure converged. Difference: 0.0480
2,20,57.0963,54.2608,Warrior,82.1725,74.0174,34.1174,0.9918,8.7010,1.9433,200,57.3521,45.6382,101.4622,65.4027,16.7350,11.8370,0.0005,0.0722,Population structure converged. Difference: 0.0480
2,21,57.3521,54.7255,Warrior,80.0897,73.0364,36.7834,1.0693,9.0213,1.9155,200,57.3521,30.4572,70.8524,46.3919,10.1642,10.8891,0.0005,0.0722,Population structure converged. Difference: 0.0480
3,0,45.8678,29.1229,Warrior,78.5985,65.3331,49.4822,4.4250,2.1612,1.5686,200,55.5406,369.1417,347.0054,358.8083,518.8211,333.2382,0.0425,0.0721,Population structure converged. Difference: 0.0483
3,1,43.0295,30.1859,Warrior,60.5486,83.0466,43.3001,3.4440,9.6607,1.7255,200,55.5406,264.5041,310.3702,354.9536,466.0483,283.5855,0.0485,0.0721,Population structure converged. Difference: 0.0483
3,2,43.0295,32.1563,Warrior,60.5486,83.0466,43.3001,3.4440,9.6607,1.7255,200,55.5406,191.6569,222.7456,308.7039,337.1576,252.8323,0.0463,0.0721,Population structure converged. Difference: 0.0483
3,3,45.8372,32.9171,Warrior,58.8484,49.1876,64.8661,2.4739,24.6240,1.8965,200,55.5406,150.5423,198.6840,277.0077,319.6834,252.1779,0.0408,0.0721,Population structure converged. Difference: 0.0483
3,4,47.3879,34.6953,Warrior,58.2450,65.2338,48.5421,3.6027,24.3763,1.9340,200,55.5406,103.9901,166.0654,331.3839,278.7775,202.8611,0.0402,0.0721,Population structure converged. Difference: 0.0483
3,5,47.3879,36.8996,Warrior,58.2450,65.2338,48.5421,3.6027,24.3763,1.9340,200,55.5406,74.5154,130.9911,354.6938,229.2852,175.8174,0.0453,0.0721,Population structure converged. Difference: 0.0483
3,6,51.9709,39.3676,Warrior,63.4699,73.2688,47.1428,3.8456,12.2729,1.8965,200,55.5406,64.6405,124.0561,304.8876,152.3273,149.2239,0.0418,0.0721,Population structure converged. Difference: 0.0483
3,7,51.9709,40.6725,Warrior,63.4699,73.2688,47.1428,3.8456,12.2729,1.8965,200,55.5406,49.3706,128.1788,309.7409,114.9279,86.0201,0.0392,0.0721,Population structure converged. Difference: 0.0483
3,8,51.9709,42.5695,Warrior,63.4699,73.2688,47.1428,3.8456,12.2729,1.8965,200,55.5406,48.0924,117.1897,247.4962,54.4857,54.7632,0.0348,0.0721,Population structure converged. Difference: 0.0483
3,9,51.9709,43.9762,Warrior,63.4699,73.2688,47.1428,3.8456,12.2729,1.8965,200,55.5406,43.3317,119.5065,152.5626,45.4318,35.1460,0.0345,0.0721,Population structure converged. Difference: 0.0483
3,10,53.5947,44.8000,Warrior,66.1475,79.2083,41.2988,3.2848,10.0605,1.9340,200,55.5406,40.6590,134.8424,160.7676,32.7548,35.2003,0.0179,0.0721,Population structure converged. Difference: 0.0483
3,11,53.8977,46.3558,Warrior,66.4186,79.5329,41.4681,2.4787,10.1018,1.9340,200,55.5406,50.3031,139.2710,130.6214,14.7404,38.6442,0.0162,0.0721,Population structure converged. Difference: 0.0483
3,12,55.6709,47.4117,Warrior,76.1990,69.8473,41.3151,2.4693,10.1693,1.8965,200,55.5406,51.0400,131.5421,126.9929,5.5555,43.3406,0.0129,0.0721,Population structure converged. Difference: 0.0483
3,13,54.3495,47.9207,Warrior,75.3078,59.9301,51.8325,3.1939,9.7358,1.8965,200,55.5406,49.6027,110.4901,105.3004,7.5640,41.4148,0.0104,0.0721,Population structure converged. Difference: 0.0483
3,14,54.3395,48.5818,Warrior,72.2060,62.6547,53.1343,2.3686,9.6364,1.8965,200,55.5406,46.2900,106.6623,103.2227,6.4243,40.3575,0.0029,0.0721,Population structure converged. Difference: 0.0483
3,15,53.7827,49.2657,Warrior,74.0502,61.8937,48.3465,2.8895,12.8200,1.8965,200,55.5406,48.9948,92.8354,82.3070,7.6940,38.6821,0.0004,0.0721,Population structure converged. Difference: 0.0483
3,16,55.0313,49.8195,Warrior,70.7940,73.7187,43.6051,2.7300,9.1523,1.8965,200,55.5406,46.4552,92.2415,91.1570,8.4025,43.5619,0.0004,0.0721,Population structure converged. Difference: 0.0483
3,17,55.4723,50.6383,Warrior,71.5662,74.5228,42.7625,1.8964,9.2521,1.8965,200,55.5406,42.4256,76.1435,86.0429,6.3131,40.3106,0.0003,0.0721,Population structure converged. Difference: 0.0483
3,18,55.5142,51.2570,Warrior,77.6212,63.9071,46.5884,2.8826,9.0007,1.8965,200,55.5406,45.9883,79.5209,81.0023,4.3958,35.1868,0.0003,0.0721,Population structure converged. Difference: 0.0483
3,19,55.5142,51.6092,Warrior,77.6212,63.9071,46.5884,2.8826,9.0007,1.8965,200,55.5406,40.0020,69.3519,83.4071,1.6163,34.1896,0.0003,0.0721,Population structure converged. Difference: 0.0483
3,20,55.5164,52.1019,Warrior,77.6925,63.8595,46.5538,2.8852,9.0090,1.8965,200,55.5406,27.0814,57.4338,75.5207,0.1593,26.8299,0.0003,0.0721,Population structure converged. Difference: 0.0483
3,21,55.5164,52.6017,Warrior,77.6925,63.8595,46.5538,2.8852,9.0090,1.8965,200,55.5406,24.6983,53.4385,62.4223,0.1590,16.9717,0.0003,0.0721,Population structure converged. Difference: 0.0483
