Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.7550,29.6786,Warrior,85.3751,68.9664,15.8651,22.1982,7.5952,1.9052,200,58.7444,292.6782,349.9264,462.4133,421.9368,488.3240,0.0335,0.0934,Population structure converged. Difference: 0.0095
1,1,49.7623,32.5505,Warrior,64.8413,60.4495,65.5466,4.0863,5.0764,1.9727,200,58.7444,294.9822,315.3440,462.6851,340.9282,455.5375,0.0405,0.0934,Population structure converged. Difference: 0.0095
1,2,51.3469,35.7441,Warrior,73.0146,47.8045,65.1465,4.7604,9.2740,1.9068,200,58.7444,229.1770,255.5342,504.7474,224.2785,304.7031,0.0553,0.0934,Population structure converged. Difference: 0.0095
1,3,52.5770,39.3433,Warrior,88.8762,44.2318,54.1892,4.7962,7.9067,1.9052,200,58.7444,262.4808,254.6769,518.5122,206.6276,171.8201,0.0654,0.0934,Population structure converged. Difference: 0.0095
1,4,55.0639,42.9722,Warrior,79.0725,71.6108,34.2610,11.0410,4.0147,1.9052,200,58.7444,216.4197,235.9168,447.1700,147.8519,134.7443,0.0544,0.0934,Population structure converged. Difference: 0.0095
1,5,56.0306,47.0899,Warrior,81.1892,66.0274,40.2822,4.7571,7.7442,1.9052,200,58.7444,116.1396,258.1731,327.0204,73.9871,76.2060,0.0319,0.0934,Population structure converged. Difference: 0.0095
1,6,56.0306,50.0723,Warrior,81.1892,66.0274,40.2822,4.7571,7.7442,1.9052,200,58.7444,85.0101,277.8158,317.7836,33.1782,25.7653,0.0130,0.0934,Population structure converged. Difference: 0.0095
1,7,57.8475,52.2997,Warrior,81.9166,74.1865,35.4933,4.2444,4.1591,1.9052,200,58.7444,59.0726,322.7047,355.7874,16.9452,4.4903,0.0039,0.0934,Population structure converged. Difference: 0.0095
1,8,57.9120,53.3352,Warrior,81.9959,74.2583,35.5276,4.2485,3.9697,1.9052,200,58.7444,56.1232,250.4065,285.6304,11.8022,4.6872,0.0036,0.0934,Population structure converged. Difference: 0.0095
1,9,57.9120,54.6508,Warrior,81.9959,74.2583,35.5276,4.2485,3.9697,1.9052,200,58.7444,58.2965,137.4083,174.5181,11.4897,4.7123,0.0001,0.0934,Population structure converged. Difference: 0.0095
1,10,57.9919,55.4800,Warrior,82.9847,73.6361,35.2299,4.2129,3.9364,1.9052,200,58.7444,37.0699,105.8734,122.6984,7.7300,4.8279,0.0000,0.0934,Population structure converged. Difference: 0.0095
1,11,57.9919,56.3952,Warrior,82.9847,73.6361,35.2299,4.2129,3.9364,1.9052,200,58.7444,26.4806,31.6013,50.4754,4.1881,3.6640,0.0000,0.0934,Population structure converged. Difference: 0.0095
1,12,58.7444,56.9877,Warrior,89.0509,71.9357,32.4387,2.8557,3.7190,1.9052,200,58.7444,21.0367,28.5823,44.9440,3.5564,2.0922,0.0000,0.0934,Population structure converged. Difference: 0.0095
1,13,58.7444,57.5484,Warrior,89.0509,71.9357,32.4387,2.8557,3.7190,1.9052,200,58.7444,20.3432,20.5893,37.2586,0.3796,1.2016,0.0000,0.0934,Population structure converged. Difference: 0.0095
1,14,58.7444,57.8192,Warrior,89.0509,71.9357,32.4387,2.8557,3.7190,1.9052,200,58.7444,13.0523,15.4685,24.6347,0.2899,0.4326,0.0000,0.0934,Population structure converged. Difference: 0.0095
1,15,58.7444,58.0221,Warrior,89.0509,71.9357,32.4387,2.8557,3.7190,1.9052,200,58.7444,8.5706,9.3749,17.6645,0.3482,0.0315,0.0000,0.0934,Population structure converged. Difference: 0.0095
1,16,58.7444,58.1899,Warrior,89.0509,71.9357,32.4387,2.8557,3.7190,1.9052,200,58.7444,8.1652,9.4372,21.2181,0.3746,0.0280,0.0000,0.0934,Population structure converged. Difference: 0.0095
2,0,45.5187,29.4772,Warrior,79.5383,76.1859,20.0632,1.5764,22.6362,1.7672,200,56.4456,352.4012,493.6087,501.1029,430.9748,348.2780,0.0338,0.0626,Population structure converged. Difference: 0.0100
2,1,49.8712,32.2984,Warrior,86.0840,82.4557,21.7144,1.7061,8.0399,1.7672,200,56.4456,302.1679,402.4364,496.5471,395.5636,321.0469,0.0356,0.0626,Population structure converged. Difference: 0.0100
2,2,49.8712,35.8705,Warrior,86.0840,82.4557,21.7144,1.7061,8.0399,1.7672,200,56.4456,283.3077,261.7354,466.4357,313.2083,261.7966,0.0379,0.0626,Population structure converged. Difference: 0.0100
2,3,53.3661,39.8618,Warrior,84.4205,70.7898,30.9144,2.4289,11.4463,1.9745,200,56.4456,266.6919,233.6274,333.2886,200.0905,180.1395,0.0286,0.0626,Population structure converged. Difference: 0.0100
2,4,53.3661,43.4098,Warrior,84.4205,70.7898,30.9144,2.4289,11.4463,1.9745,200,56.4456,151.5804,231.0529,264.8611,136.3465,145.9759,0.0195,0.0626,Population structure converged. Difference: 0.0100
2,5,53.3661,45.9066,Warrior,84.4205,70.7898,30.9144,2.4289,11.4463,1.9745,200,56.4456,117.8117,188.0095,187.8413,100.0104,85.6553,0.0173,0.0626,Population structure converged. Difference: 0.0100
2,6,54.7394,48.1743,Warrior,86.0840,82.4557,21.7144,1.7061,8.0399,1.9745,200,56.4456,102.3251,178.3512,157.2920,56.6060,56.2946,0.0142,0.0626,Population structure converged. Difference: 0.0100
2,7,55.4708,50.2196,Warrior,85.6331,84.7752,22.3252,2.5719,4.6947,1.9745,200,56.4456,81.3348,150.9092,129.7313,24.1046,37.1247,0.0148,0.0626,Population structure converged. Difference: 0.0100
2,8,56.0012,52.0648,Warrior,88.0598,73.8415,32.2471,2.5336,3.3180,1.9745,200,56.4456,70.8989,74.0978,86.1281,5.3723,12.1851,0.0083,0.0626,Population structure converged. Difference: 0.0100
2,9,56.0012,53.0214,Warrior,88.0598,73.8415,32.2471,2.5336,3.3180,1.9745,200,56.4456,33.1206,49.5258,63.0787,3.4989,6.6760,0.0025,0.0626,Population structure converged. Difference: 0.0100
2,10,56.0012,53.5071,Warrior,88.0598,73.8415,32.2471,2.5336,3.3180,1.9745,200,56.4456,16.8062,40.5209,56.4821,2.5370,4.3514,0.0016,0.0626,Population structure converged. Difference: 0.0100
2,11,56.0012,54.0388,Warrior,88.0598,73.8415,32.2471,2.5336,3.3180,1.9745,200,56.4456,8.9780,34.3176,46.3819,0.3956,2.8695,0.0000,0.0626,Population structure converged. Difference: 0.0100
2,12,56.0012,54.3337,Warrior,88.0598,73.8415,32.2471,2.5336,3.3180,1.9745,200,56.4456,10.0423,29.0210,38.8381,0.1839,2.9550,0.0000,0.0626,Population structure converged. Difference: 0.0100
2,13,56.0012,54.6619,Warrior,88.0598,73.8415,32.2471,2.5336,3.3180,1.9745,200,56.4456,5.4065,19.3835,24.7325,0.1001,2.6905,0.0000,0.0626,Population structure converged. Difference: 0.0100
2,14,56.1682,54.8136,Warrior,87.6029,75.0100,31.9581,2.3851,3.0439,1.9745,200,56.4456,5.2127,18.8921,22.6124,0.1071,2.7972,0.0000,0.0626,Population structure converged. Difference: 0.0100
2,15,56.4456,55.1483,Warrior,89.2751,76.4418,29.4450,1.7665,3.0716,1.9745,200,56.4456,8.0580,17.1742,15.8155,0.1632,4.7523,0.0000,0.0626,Population structure converged. Difference: 0.0100
2,16,56.4456,55.6040,Warrior,89.2751,76.4418,29.4450,1.7665,3.0716,1.9745,200,56.4456,11.4512,21.9559,14.0136,0.1605,3.6832,0.0000,0.0626,Population structure converged. Difference: 0.0100
2,17,56.4456,55.8877,Warrior,89.2751,76.4418,29.4450,1.7665,3.0716,1.9745,200,56.4456,11.9612,19.5841,12.8078,0.1152,1.6695,0.0000,0.0626,Population structure converged. Difference: 0.0100
3,0,52.6259,30.7951,Warrior,83.3902,91.5657,5.1337,15.2744,4.6360,1.8919,200,58.0395,350.3050,425.8280,526.2509,310.2491,490.8504,0.0407,0.0515,Population structure converged. Difference: 0.0080
3,1,56.0762,34.8046,Warrior,85.2431,78.8292,26.9696,5.5946,3.3636,1.9626,200,58.0395,211.3991,472.7458,538.2622,205.5805,344.1196,0.0404,0.0515,Population structure converged. Difference: 0.0080
3,2,56.0762,38.2152,Warrior,85.2431,78.8292,26.9696,5.5946,3.3636,1.9626,200,58.0395,168.5245,356.0530,520.8081,176.3773,223.5181,0.0391,0.0515,Population structure converged. Difference: 0.0080
3,3,56.0762,41.9945,Warrior,85.2431,78.8292,26.9696,5.5946,3.3636,1.9626,200,58.0395,153.5575,364.4845,525.5577,118.3628,102.5691,0.0393,0.0515,Population structure converged. Difference: 0.0080
3,4,56.0762,45.2205,Warrior,85.2431,78.8292,26.9696,5.5946,3.3636,1.9626,200,58.0395,157.8430,394.8110,556.4442,57.3989,99.6278,0.0308,0.0515,Population structure converged. Difference: 0.0080
3,5,56.0762,48.4602,Warrior,85.2431,78.8292,26.9696,5.5946,3.3636,1.9626,200,58.0395,97.9699,406.9456,479.3130,41.6392,91.7378,0.0138,0.0515,Population structure converged. Difference: 0.0080
3,6,56.0762,50.5146,Warrior,85.2431,78.8292,26.9696,5.5946,3.3636,1.9626,200,58.0395,86.3794,334.9560,435.9735,28.2721,42.4277,0.0064,0.0515,Population structure converged. Difference: 0.0080
3,7,56.0762,52.0680,Warrior,85.2431,78.8292,26.9696,5.5946,3.3636,1.9626,200,58.0395,74.9533,227.1426,305.3556,22.9771,10.0059,0.0019,0.0515,Population structure converged. Difference: 0.0080
3,8,56.2022,53.0240,Warrior,90.0193,93.5552,6.1206,5.3004,5.0045,1.8919,200,58.0395,66.3227,128.6246,236.1086,13.9618,2.1396,0.0002,0.0515,Population structure converged. Difference: 0.0080
3,9,56.9459,53.7563,Warrior,88.2072,74.5306,26.3433,5.4985,5.4204,1.8919,200,58.0395,70.7850,130.3434,228.2404,15.9254,0.4907,0.0002,0.0515,Population structure converged. Difference: 0.0080
3,10,57.8197,54.4345,Warrior,90.1136,76.1415,25.3310,5.2547,3.1593,1.8919,200,58.0395,36.6602,142.1549,217.6800,16.5097,0.6615,0.0005,0.0515,Population structure converged. Difference: 0.0080
3,11,57.8197,55.1693,Warrior,90.1136,76.1415,25.3310,5.2547,3.1593,1.8919,200,58.0395,50.1369,128.8073,197.9986,14.6714,0.9426,0.0007,0.0515,Population structure converged. Difference: 0.0080
3,12,57.8498,56.0035,Warrior,86.3116,78.4015,26.8232,4.8627,3.6010,1.8919,200,58.0395,32.7710,75.4224,124.0479,8.6606,1.1195,0.0008,0.0515,Population structure converged. Difference: 0.0080
3,13,57.8498,56.7168,Warrior,86.3116,78.4015,26.8232,4.8627,3.6010,1.8919,200,58.0395,22.4444,42.0024,74.8035,3.3044,1.0626,0.0003,0.0515,Population structure converged. Difference: 0.0080
3,14,58.0395,57.2705,Warrior,88.1150,77.4341,26.4923,4.8027,3.1560,1.8919,200,58.0395,12.7422,21.3990,28.8545,0.3324,0.8177,0.0001,0.0515,Population structure converged. Difference: 0.0080
3,15,58.0395,57.5764,Warrior,88.1150,77.4341,26.4923,4.8027,3.1560,1.8919,200,58.0395,6.7830,7.0504,9.8634,0.1491,0.3539,0.0001,0.0515,Population structure converged. Difference: 0.0080
4,0,48.2079,31.4406,Warrior,78.7826,46.4250,62.5318,8.8700,3.3905,1.9838,200,57.8933,289.5291,465.7677,409.9460,355.1026,423.5940,0.0418,0.0812,Population structure converged. Difference: 0.0081
4,1,48.2079,35.1650,Warrior,78.7826,46.4250,62.5318,8.8700,3.3905,1.9838,200,57.8933,222.0050,305.1037,344.9681,170.8753,324.4544,0.0363,0.0812,Population structure converged. Difference: 0.0081
4,2,48.2079,38.5285,Warrior,78.7826,46.4250,62.5318,8.8700,3.3905,1.9838,200,57.8933,114.9506,154.5108,212.2012,67.2966,217.1513,0.0286,0.0812,Population structure converged. Difference: 0.0081
4,3,51.3763,41.0676,Warrior,91.3583,83.7352,10.0959,10.3597,4.4509,1.9827,200,57.8933,87.6418,144.6512,235.3131,62.5008,205.3878,0.0277,0.0812,Population structure converged. Difference: 0.0081
