Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.0089,26.3488,Warrior,71.5614,57.9122,23.3632,10.3743,36.7889,1.9318,200,57.9375,382.6704,398.1344,562.6515,485.0696,443.1463,0.0427,0.1847,Population structure converged. Difference: 0.0399
1,1,54.0147,27.8003,Warrior,85.0137,68.7987,27.7551,12.3245,6.1081,1.9318,200,57.9375,367.9840,467.7684,473.0240,443.3336,329.3740,0.0330,0.1847,Population structure converged. Difference: 0.0399
1,2,54.0147,29.5743,Warrior,85.0137,68.7987,27.7551,12.3245,6.1081,1.9318,200,57.9375,363.8661,527.5139,383.9454,322.6627,320.9205,0.0301,0.1847,Population structure converged. Difference: 0.0399
1,3,54.0147,31.2143,Warrior,85.0137,68.7987,27.7551,12.3245,6.1081,1.9318,200,57.9375,318.8297,502.3109,398.0523,249.8424,347.3419,0.0313,0.1847,Population structure converged. Difference: 0.0399
1,4,54.0147,31.8849,Warrior,85.0137,68.7987,27.7551,12.3245,6.1081,1.9318,200,57.9375,348.6150,508.5971,496.1593,319.3400,220.2248,0.0344,0.1847,Population structure converged. Difference: 0.0399
1,5,54.0147,35.1350,Warrior,85.0137,68.7987,27.7551,12.3245,6.1081,1.9318,200,57.9375,224.6292,444.7353,556.2694,197.4454,215.3214,0.0255,0.1847,Population structure converged. Difference: 0.0399
1,6,49.2579,36.4094,Warrior,71.2279,101.7368,2.8692,1.3321,22.8340,1.9312,200,57.9375,210.5174,470.1499,554.1733,181.3725,157.8698,0.0189,0.1847,Population structure converged. Difference: 0.0399
1,7,49.9963,39.4482,Warrior,86.6740,83.5800,2.3571,1.4859,25.9029,1.9312,200,57.9375,160.9479,346.6356,586.9582,137.9708,131.7786,0.0194,0.1847,Population structure converged. Difference: 0.0399
1,8,49.3891,41.0197,Warrior,71.6436,73.8836,29.8064,18.1069,6.5595,1.8537,200,57.9375,147.4843,333.5741,558.1820,105.3491,113.1072,0.0166,0.1847,Population structure converged. Difference: 0.0399
1,9,51.6236,42.8130,Warrior,88.7198,85.5528,2.4128,17.3331,5.9815,1.9312,200,57.9375,149.4258,228.5296,529.3962,94.8304,107.6984,0.0106,0.1847,Population structure converged. Difference: 0.0399
1,10,53.8521,43.5950,Warrior,83.1668,61.7406,37.7472,10.5971,6.7484,1.9318,200,57.9375,154.3318,211.9002,432.1005,72.9344,96.0180,0.0097,0.1847,Population structure converged. Difference: 0.0399
1,11,53.3972,44.8702,Warrior,75.3995,72.7079,31.3945,1.1714,19.3267,1.9318,200,57.9375,150.4253,200.5114,395.9301,67.8113,65.5943,0.0037,0.1847,Population structure converged. Difference: 0.0399
1,12,53.3972,46.2015,Warrior,75.3995,72.7079,31.3945,1.1714,19.3267,1.9318,200,57.9375,135.2877,209.2882,369.4367,45.6405,45.6520,0.0029,0.1847,Population structure converged. Difference: 0.0399
1,13,54.2428,47.6525,Warrior,93.8416,56.5275,40.0627,1.6557,7.9124,1.8537,200,57.9375,145.1024,157.6721,289.1120,27.8481,35.3546,0.0027,0.1847,Population structure converged. Difference: 0.0399
1,14,57.4178,48.0354,Warrior,80.0174,77.1610,33.3172,1.6447,7.8597,1.9318,200,57.9375,156.1543,178.2418,284.5147,29.1284,52.5876,0.0031,0.1847,Population structure converged. Difference: 0.0399
1,15,57.4178,49.1153,Warrior,80.0174,77.1610,33.3172,1.6447,7.8597,1.9318,200,57.9375,136.5247,169.0201,213.1189,25.3092,53.2550,0.0013,0.1847,Population structure converged. Difference: 0.0399
1,16,57.4178,50.0803,Warrior,80.0174,77.1610,33.3172,1.6447,7.8597,1.9318,200,57.9375,121.8560,130.9987,119.6352,15.1294,50.8467,0.0012,0.1847,Population structure converged. Difference: 0.0399
1,17,57.4178,50.6701,Warrior,80.0174,77.1610,33.3172,1.6447,7.8597,1.9318,200,57.9375,124.6028,110.0597,110.3824,11.3199,55.1991,0.0015,0.1847,Population structure converged. Difference: 0.0399
1,18,57.4738,51.6726,Warrior,86.2779,68.2968,35.9240,1.0267,8.4746,1.9318,200,57.9375,132.9326,91.2241,75.9431,3.8862,63.9691,0.0018,0.1847,Population structure converged. Difference: 0.0399
1,19,58.0545,52.0183,Warrior,81.5260,71.0514,40.3069,1.1983,5.9174,1.9318,200,57.9375,123.3762,71.8593,51.5293,3.3239,58.7521,0.0017,0.1847,Population structure converged. Difference: 0.0399
1,20,58.0545,52.3682,Warrior,81.5260,71.0514,40.3069,1.1983,5.9174,1.9318,200,57.9375,93.3896,73.0579,40.4193,3.7762,57.2480,0.0018,0.1847,Population structure converged. Difference: 0.0399
1,21,57.6552,52.7785,Warrior,80.7990,77.9147,32.2065,1.1434,7.9365,1.9318,200,57.9375,87.6992,74.5840,33.5840,2.5284,56.9701,0.0018,0.1847,Population structure converged. Difference: 0.0399
1,22,57.7447,53.0669,Warrior,84.7024,72.9832,33.0128,1.1796,8.1220,1.9312,200,57.9375,85.5104,65.1762,39.1116,2.5128,48.0722,0.0018,0.1847,Population structure converged. Difference: 0.0399
1,23,57.7447,53.7202,Warrior,84.7024,72.9832,33.0128,1.1796,8.1220,1.9312,200,57.9375,70.9195,50.3138,36.6281,1.9379,46.0162,0.0014,0.1847,Population structure converged. Difference: 0.0399
1,24,57.8120,54.4762,Warrior,79.5218,76.7666,35.6476,1.2594,6.8046,1.9318,200,57.9375,65.7092,50.7660,28.4626,1.5372,42.5257,0.0010,0.1847,Population structure converged. Difference: 0.0399
1,25,57.8120,54.8954,Warrior,79.5218,76.7666,35.6476,1.2594,6.8046,1.9318,200,57.9375,47.8324,50.3360,33.3243,2.0367,34.4991,0.0008,0.1847,Population structure converged. Difference: 0.0399
1,26,57.9375,55.1703,Warrior,84.0016,72.9178,34.5501,1.2255,7.3050,1.9318,200,57.9375,33.5457,41.1694,26.3062,0.9953,34.3064,0.0011,0.1847,Population structure converged. Difference: 0.0399
1,27,57.9375,55.7162,Warrior,84.0016,72.9178,34.5501,1.2255,7.3050,1.9318,200,57.9375,26.6512,33.9379,21.2107,0.6411,20.6566,0.0015,0.1847,Population structure converged. Difference: 0.0399
2,0,49.2612,29.0626,Warrior,77.9541,75.0550,37.5649,6.6280,2.7980,1.7687,200,58.6671,432.6397,588.2588,439.6010,470.8767,378.4959,0.0388,0.1630,Population structure converged. Difference: 0.0437
2,1,55.8611,32.5389,Warrior,77.9541,75.0550,37.5649,6.6280,2.7980,1.8705,200,58.6671,367.5571,556.6292,367.3217,388.3020,332.5460,0.0386,0.1630,Population structure converged. Difference: 0.0437
2,2,49.2612,34.9120,Warrior,77.9541,75.0550,37.5649,6.6280,2.7980,1.7687,200,58.6671,334.4649,429.6088,283.3141,269.9104,333.7112,0.0351,0.1630,Population structure converged. Difference: 0.0437
2,3,49.2612,37.5677,Warrior,77.9541,75.0550,37.5649,6.6280,2.7980,1.7687,200,58.6671,306.4827,334.6094,252.3157,272.5462,313.9792,0.0373,0.1630,Population structure converged. Difference: 0.0437
2,4,49.7242,39.8562,Warrior,86.1876,69.6868,34.8782,6.1540,3.0935,1.7687,200,58.6671,253.4724,211.6968,155.0847,206.4302,271.8350,0.0321,0.1630,Population structure converged. Difference: 0.0437
2,5,49.2612,42.0230,Warrior,77.9541,75.0550,37.5649,6.6280,2.7980,1.7687,200,58.6671,172.2507,189.9836,111.3150,135.3335,202.4332,0.0307,0.1630,Population structure converged. Difference: 0.0437
2,6,49.4527,44.0286,Warrior,80.4800,73.3335,36.5811,6.4309,3.1744,1.7687,200,58.6671,119.4785,108.3829,77.4500,99.6679,166.0056,0.0317,0.1630,Population structure converged. Difference: 0.0437
2,7,55.6476,44.7834,Warrior,73.1876,70.4657,47.5197,6.2001,2.6269,1.8918,200,58.6671,110.6910,108.2035,75.8939,76.3570,143.5941,0.0332,0.1630,Population structure converged. Difference: 0.0437
2,8,55.6476,46.0619,Warrior,73.1876,70.4657,47.5197,6.2001,2.6269,1.8918,200,58.6671,75.9498,87.8494,42.0676,19.4635,138.6973,0.0346,0.1630,Population structure converged. Difference: 0.0437
2,9,56.5315,46.4483,Warrior,77.0212,74.1568,39.5326,6.5249,2.7645,1.8918,200,58.6671,107.5690,68.5079,41.9029,12.0485,93.6097,0.0377,0.1630,Population structure converged. Difference: 0.0437
2,10,55.2513,46.7110,Warrior,82.3668,57.8366,49.8625,6.9777,2.9564,1.8918,200,58.6671,90.4719,61.0284,29.0365,12.8261,100.0868,0.0381,0.1630,Population structure converged. Difference: 0.0437
2,11,55.5382,47.5859,Warrior,79.4097,64.8659,44.5807,7.8659,3.2778,1.8918,200,58.6671,77.6143,54.8090,29.2256,8.8869,60.9070,0.0391,0.1630,Population structure converged. Difference: 0.0437
2,12,56.2017,47.4768,Warrior,86.5438,61.7232,41.8741,6.7525,3.1063,1.8918,200,58.6671,62.0272,50.5858,29.5654,9.8690,44.1284,0.0384,0.1630,Population structure converged. Difference: 0.0437
2,13,56.3182,48.0784,Warrior,76.7803,73.9248,39.4344,6.7537,3.1069,1.8918,200,58.6671,67.6853,51.6751,31.1323,6.6763,37.7348,0.0386,0.1630,Population structure converged. Difference: 0.0437
2,14,56.6740,48.6016,Warrior,83.1902,67.8743,39.1494,6.9076,2.8784,1.8918,200,58.6671,66.8435,55.0981,25.5661,6.1451,20.8176,0.0378,0.1630,Population structure converged. Difference: 0.0437
2,15,56.4465,49.2817,Warrior,81.3668,71.2120,36.6861,7.6592,3.0759,1.8918,200,58.6671,55.8486,51.5755,23.2000,4.1805,12.0196,0.0354,0.1630,Population structure converged. Difference: 0.0437
2,16,57.4864,50.4960,Warrior,74.6464,80.6258,38.8513,2.7528,3.1237,1.8918,200,58.6671,43.6094,48.2601,15.3209,1.6007,6.7076,0.0354,0.1630,Population structure converged. Difference: 0.0437
2,17,57.4864,50.6898,Warrior,74.6464,80.6258,38.8513,2.7528,3.1237,1.8918,200,58.6671,35.6559,39.9447,12.6159,1.7040,3.5018,0.0300,0.1630,Population structure converged. Difference: 0.0437
2,18,57.8504,51.4620,Warrior,81.9218,68.9910,42.6380,3.0211,3.4282,1.8918,200,58.6671,34.5158,44.4249,12.5641,2.3167,0.2262,0.0256,0.1630,Population structure converged. Difference: 0.0437
2,19,57.7013,52.8360,Warrior,78.7426,70.5939,44.6952,2.6890,3.2792,1.8918,200,58.6671,27.4925,37.6161,16.4248,2.3808,0.1619,0.0200,0.1630,Population structure converged. Difference: 0.0437
2,20,57.8044,53.8961,Warrior,87.7899,62.6119,43.7554,2.6325,3.2103,1.8918,200,58.6671,21.4068,35.5183,13.0523,2.5079,0.1360,0.0167,0.1630,Population structure converged. Difference: 0.0437
2,21,58.2309,54.2246,Warrior,84.8087,68.9182,40.1937,2.8479,3.2316,1.8918,200,58.6671,20.7867,33.6939,14.3837,2.6236,0.1282,0.0221,0.1630,Population structure converged. Difference: 0.0437
2,22,58.5009,54.7556,Warrior,83.6835,71.4030,39.3440,2.5093,3.0601,1.8918,200,58.6671,17.9225,27.2632,14.1000,2.4849,0.0832,0.0107,0.1630,Population structure converged. Difference: 0.0437
2,23,58.6671,55.4163,Warrior,85.2940,72.6488,36.3806,2.5576,3.1190,1.8918,200,58.6671,16.6772,27.9565,12.0647,2.7085,0.0614,0.0082,0.1630,Population structure converged. Difference: 0.0437
2,24,58.6671,56.2082,Warrior,85.2940,72.6488,36.3806,2.5576,3.1190,1.8918,200,58.6671,14.3734,21.9252,9.2318,3.2964,0.0532,0.0031,0.1630,Population structure converged. Difference: 0.0437
3,0,41.8360,29.5412,Warrior,59.0748,71.3808,39.6231,10.6474,19.2739,1.4503,200,57.3592,398.8273,599.9858,627.8605,374.7396,435.8658,0.0446,0.0700,Population structure converged. Difference: 0.0434
3,1,50.0179,32.4202,Warrior,65.9367,62.3963,58.6314,9.3932,3.6424,1.8525,200,57.3592,271.3505,512.4901,439.0722,340.6172,416.5667,0.0449,0.0700,Population structure converged. Difference: 0.0434
3,2,52.4972,34.5578,Warrior,60.4883,91.9686,38.4461,5.3603,3.7368,1.9021,200,57.3592,206.0951,448.9054,471.6230,293.2845,346.4624,0.0424,0.0700,Population structure converged. Difference: 0.0434
3,3,53.5218,34.9237,Warrior,83.4439,81.1639,17.2160,3.1950,14.9812,1.8706,200,57.3592,183.1625,478.4975,477.9841,287.9490,377.7210,0.0450,0.0700,Population structure converged. Difference: 0.0434
3,4,53.0945,36.5008,Warrior,65.8390,79.5540,44.1600,6.1556,4.2913,1.8706,200,57.3592,233.4309,557.0299,409.8053,241.7473,332.7888,0.0439,0.0700,Population structure converged. Difference: 0.0434
3,5,54.0714,38.9637,Warrior,74.7940,80.7673,32.8289,5.6628,5.9469,1.8525,200,57.3592,201.7010,518.0389,315.9236,155.0188,306.3741,0.0429,0.0700,Population structure converged. Difference: 0.0434
3,6,54.1181,40.4691,Warrior,81.6950,88.2195,17.4047,6.1853,6.4956,1.8525,200,57.3592,192.7332,459.9917,322.8759,141.2368,231.1080,0.0384,0.0700,Population structure converged. Difference: 0.0434
3,7,56.8366,42.4114,Warrior,86.8827,73.4965,30.7241,4.2837,4.6130,1.8706,200,57.3592,202.2335,375.1068,314.8966,96.9824,172.1704,0.0397,0.0700,Population structure converged. Difference: 0.0434
3,8,55.2043,44.4115,Warrior,83.1167,89.7548,17.7076,5.5511,3.8699,1.8525,200,57.3592,203.7610,373.2818,365.1346,50.6778,161.9624,0.0399,0.0700,Population structure converged. Difference: 0.0434
3,9,56.8339,46.3267,Warrior,82.7586,78.6015,29.8105,3.4015,5.4280,1.8706,200,57.3592,227.5529,326.5096,286.9624,41.0463,87.2897,0.0393,0.0700,Population structure converged. Difference: 0.0434
3,10,56.8339,48.3941,Warrior,82.7586,78.6015,29.8105,3.4015,5.4280,1.8706,200,57.3592,138.3273,315.4746,305.9966,38.5123,45.8427,0.0359,0.0700,Population structure converged. Difference: 0.0434
3,11,56.8062,49.3331,Warrior,76.8383,76.1308,40.4979,2.2884,4.2446,1.8706,200,57.3592,108.6438,299.2820,285.9834,39.1149,45.3848,0.0328,0.0700,Population structure converged. Difference: 0.0434
3,12,56.8062,51.0285,Warrior,76.8383,76.1308,40.4979,2.2884,4.2446,1.8706,200,57.3592,84.5524,240.1201,253.2631,37.6164,23.6891,0.0245,0.0700,Population structure converged. Difference: 0.0434
3,13,56.8062,52.0996,Warrior,76.8383,76.1308,40.4979,2.2884,4.2446,1.8706,200,57.3592,72.6758,231.4570,249.8413,30.8770,3.7387,0.0176,0.0700,Population structure converged. Difference: 0.0434
3,14,57.4466,52.5846,Warrior,84.2167,91.8815,18.1272,2.8609,2.9137,1.8706,200,57.3592,75.1045,221.7972,220.1378,19.0684,4.1056,0.0166,0.0700,Population structure converged. Difference: 0.0434
3,15,56.9438,53.1948,Warrior,76.9604,82.1532,34.3429,2.2920,4.2514,1.8706,200,57.3592,70.0167,174.5724,189.0612,10.6071,2.9866,0.0098,0.0700,Population structure converged. Difference: 0.0434
3,16,57.2990,53.9275,Warrior,85.0152,90.2345,18.1120,2.3253,4.3130,1.8706,200,57.3592,57.5165,138.6578,164.4979,7.9379,2.2126,0.0062,0.0700,Population structure converged. Difference: 0.0434
3,17,57.2990,54.5045,Warrior,85.0152,90.2345,18.1120,2.3253,4.3130,1.8706,200,57.3592,50.0526,123.9491,148.4550,6.4257,1.7410,0.0052,0.0700,Population structure converged. Difference: 0.0434
3,18,57.3592,54.9756,Warrior,84.8657,84.0844,23.6630,2.5875,4.7994,1.8706,200,57.3592,39.5595,115.8733,136.7055,5.9449,1.4354,0.0022,0.0700,Population structure converged. Difference: 0.0434
4,0,42.3204,28.2210,Warrior,67.0142,59.2014,24.7951,34.3659,14.6233,1.9437,200,51.6754,303.7191,336.7517,379.6772,331.4139,389.6226,0.0393,0.1200,Population structure converged. Difference: 0.0456
4,1,42.3204,28.2011,Warrior,67.0142,59.2014,24.7951,34.3659,14.6233,1.9437,200,51.6754,255.5737,317.8921,470.0211,316.6632,387.3910,0.0333,0.1200,Population structure converged. Difference: 0.0456
4,2,42.3204,30.1413,Warrior,67.0142,59.2014,24.7951,34.3659,14.6233,1.9437,200,51.6754,196.0943,293.7690,287.3024,240.9199,330.9578,0.0343,0.1200,Population structure converged. Difference: 0.0456
4,3,42.3204,30.8079,Warrior,67.0142,59.2014,24.7951,34.3659,14.6233,1.9437,200,51.6754,137.6860,273.6064,362.6838,225.5252,313.1312,0.0340,0.1200,Population structure converged. Difference: 0.0456
4,4,41.7837,32.1171,Warrior,64.5118,64.9330,52.1375,8.7442,9.6735,1.3764,200,51.6754,93.6538,219.6768,255.5737,259.6267,264.2771,0.0317,0.1200,Population structure converged. Difference: 0.0456
4,5,42.3516,31.7869,Warrior,75.5278,50.2079,50.7675,11.1556,12.3412,1.3910,200,51.6754,96.2130,187.9529,233.9769,290.6596,320.2736,0.0307,0.1200,Population structure converged. Difference: 0.0456
4,6,48.8100,32.8874,Warrior,69.4115,52.6750,53.2621,11.7038,12.9476,1.9437,200,51.6754,114.3977,146.2398,234.5773,251.3951,285.8036,0.0287,0.1200,Population structure converged. Difference: 0.0456
4,7,48.8100,33.9085,Warrior,69.4115,52.6750,53.2621,11.7038,12.9476,1.9437,200,51.6754,126.5129,143.1216,216.8601,201.7689,221.1854,0.0269,0.1200,Population structure converged. Difference: 0.0456
4,8,48.8100,34.4063,Warrior,69.4115,52.6750,53.2621,11.7038,12.9476,1.9437,200,51.6754,94.8351,119.8440,229.2951,172.6510,203.6521,0.0324,0.1200,Population structure converged. Difference: 0.0456
4,9,48.8100,35.8055,Warrior,69.4115,52.6750,53.2621,11.7038,12.9476,1.9437,200,51.6754,113.5450,106.0965,214.9357,144.3724,209.0919,0.0286,0.1200,Population structure converged. Difference: 0.0456
4,10,48.8100,37.4338,Warrior,69.4115,52.6750,53.2621,11.7038,12.9476,1.9437,200,51.6754,119.4783,110.6940,172.6324,121.8587,141.6777,0.0317,0.1200,Population structure converged. Difference: 0.0456
4,11,49.7728,38.0921,Warrior,74.5843,56.6005,42.3267,12.5760,13.9125,1.9437,200,51.6754,117.6613,102.4889,146.5707,86.1418,129.9279,0.0368,0.1200,Population structure converged. Difference: 0.0456
4,12,48.8100,38.3996,Warrior,69.4115,52.6750,53.2621,11.7038,12.9476,1.9437,200,51.6754,94.1941,107.1448,177.3974,64.4191,118.7736,0.0332,0.1200,Population structure converged. Difference: 0.0456
4,13,48.5702,39.1174,Warrior,75.1824,48.7864,49.3302,12.6768,14.0241,1.9437,200,51.6754,92.9981,88.1408,110.5629,50.1965,109.9094,0.0390,0.1200,Population structure converged. Difference: 0.0456
4,14,49.6139,40.0589,Warrior,71.2642,56.6670,46.7593,12.0162,13.2932,1.9437,200,51.6754,93.0903,82.9785,92.0752,40.6716,79.4572,0.0334,0.1200,Population structure converged. Difference: 0.0456
4,15,48.8771,40.7089,Warrior,67.2316,58.4421,48.2241,12.3926,13.7096,1.9437,200,51.6754,85.0888,81.1249,72.6849,27.1070,74.5080,0.0336,0.1200,Population structure converged. Difference: 0.0456
4,16,49.3175,41.1855,Warrior,65.3792,65.5502,43.6875,12.0511,13.3319,1.9437,200,51.6754,59.1425,91.6324,71.8787,34.9876,65.9987,0.0385,0.1200,Population structure converged. Difference: 0.0456
4,17,51.6447,42.4502,Warrior,79.2197,52.6621,48.4451,6.4437,13.2294,1.9437,200,51.6754,68.0161,92.5726,76.3601,18.7199,74.7724,0.0480,0.1200,Population structure converged. Difference: 0.0456
4,18,51.9923,43.1495,Warrior,82.7856,55.0326,41.6231,6.7337,13.8249,1.9437,200,51.6754,70.6736,96.6771,95.7351,13.4281,72.5021,0.0524,0.1200,Population structure converged. Difference: 0.0456
4,19,48.8432,43.2281,Warrior,78.1812,61.5039,30.1009,11.7136,18.5005,1.9582,200,51.6754,60.4460,107.5264,86.7586,12.3180,76.2357,0.0523,0.1200,Population structure converged. Difference: 0.0456
4,20,49.2623,44.0547,Warrior,73.1267,49.2622,53.7781,8.5687,15.2643,1.9437,200,51.6754,53.9070,93.7459,86.2627,8.0752,51.6624,0.0483,0.1200,Population structure converged. Difference: 0.0456
4,21,50.8250,44.3977,Warrior,81.4037,61.7756,30.5108,11.0030,15.3070,1.9437,200,51.6754,59.7654,103.8879,95.7758,6.9308,40.8801,0.0492,0.1200,Population structure converged. Difference: 0.0456
4,22,51.7558,45.8114,Warrior,78.1025,56.4046,44.7663,8.3120,12.4147,1.9437,200,51.6754,48.7974,106.5998,95.6464,7.3819,28.0035,0.0318,0.1200,Population structure converged. Difference: 0.0456
4,23,51.6100,46.5406,Warrior,77.0698,55.6589,46.8188,8.2021,12.2505,1.9437,200,51.6754,43.6664,85.5610,75.3082,7.1346,17.4074,0.0314,0.1200,Population structure converged. Difference: 0.0456
4,24,51.6100,47.4691,Warrior,77.0698,55.6589,46.8188,8.2021,12.2505,1.9437,200,51.6754,34.8623,72.8967,65.0282,5.8093,13.9131,0.0164,0.1200,Population structure converged. Difference: 0.0456
4,25,51.6905,47.6340,Warrior,70.6660,59.6197,52.1940,8.3163,9.2039,1.9437,200,51.6754,35.9359,75.6535,58.5198,5.4515,12.5931,0.0145,0.1200,Population structure converged. Difference: 0.0456
4,26,51.6905,47.7497,Warrior,70.6660,59.6197,52.1940,8.3163,9.2039,1.9437,200,51.6754,31.4090,74.1450,61.2304,4.9882,10.9181,0.0130,0.1200,Population structure converged. Difference: 0.0456
4,27,51.6905,47.9928,Warrior,70.6660,59.6197,52.1940,8.3163,9.2039,1.9437,200,51.6754,23.2355,66.4571,57.5709,4.9642,9.7983,0.0076,0.1200,Population structure converged. Difference: 0.0456
4,28,51.2576,48.4669,Warrior,70.4047,80.4191,25.7007,10.0013,13.4743,1.9437,200,51.6754,19.3656,65.1953,63.6123,4.9588,10.2096,0.0040,0.1200,Population structure converged. Difference: 0.0456
4,29,51.7739,48.7242,Warrior,69.7493,61.4327,51.5230,8.2094,9.0856,1.9437,200,51.6754,18.5912,68.3928,70.1963,5.4653,10.3745,0.0040,0.1200,Population structure converged. Difference: 0.0456
4,30,51.6754,49.1499,Warrior,80.4650,67.8870,29.6354,11.5324,10.4802,1.9582,200,51.6754,15.7442,83.8552,80.1942,4.0434,9.1516,0.0019,0.1200,Population structure converged. Difference: 0.0456
4,31,51.6754,49.4217,Warrior,80.4650,67.8870,29.6354,11.5324,10.4802,1.9582,200,51.6754,15.3795,88.6802,81.4375,4.5440,6.5086,0.0001,0.1200,Population structure converged. Difference: 0.0456
5,0,44.1859,27.0078,Warrior,61.8025,66.9990,55.7508,4.9747,10.4730,1.4806,200,54.6479,431.7080,386.2927,514.4172,376.2405,450.8525,0.0448,0.1133,Population structure converged. Difference: 0.0462
5,1,44.1859,30.7566,Warrior,61.8025,66.9990,55.7508,4.9747,10.4730,1.4806,200,54.6479,213.7526,310.8248,381.2453,336.1006,333.7565,0.0391,0.1133,Population structure converged. Difference: 0.0462
5,2,44.6852,32.9945,Warrior,59.9947,49.3160,62.6897,19.7614,8.2382,1.9289,200,54.6479,146.2924,236.0042,212.8735,276.2610,263.1118,0.0364,0.1133,Population structure converged. Difference: 0.0462
5,3,44.6852,34.6256,Warrior,59.9947,49.3160,62.6897,19.7614,8.2382,1.9289,200,54.6479,139.2871,175.5804,187.7896,260.9390,189.3665,0.0351,0.1133,Population structure converged. Difference: 0.0462
5,4,44.6852,35.6067,Warrior,59.9947,49.3160,62.6897,19.7614,8.2382,1.9289,200,54.6479,127.5861,171.4339,152.2294,213.0506,147.4993,0.0322,0.1133,Population structure converged. Difference: 0.0462
5,5,48.1227,36.9791,Warrior,71.9838,59.4257,37.0705,19.3754,12.1446,1.8837,200,54.6479,109.8539,164.5305,151.1081,176.0550,150.0159,0.0364,0.1133,Population structure converged. Difference: 0.0462
5,6,48.1227,37.8528,Warrior,71.9838,59.4257,37.0705,19.3754,12.1446,1.8837,200,54.6479,69.6415,167.2010,115.1175,168.0092,136.1444,0.0408,0.1133,Population structure converged. Difference: 0.0462
5,7,49.3885,38.7422,Warrior,64.9921,58.8930,56.0218,15.3126,4.7805,1.9048,200,54.6479,75.8829,134.9700,122.7159,120.6176,134.9601,0.0436,0.1133,Population structure converged. Difference: 0.0462
5,8,49.3885,39.3124,Warrior,64.9921,58.8930,56.0218,15.3126,4.7805,1.9048,200,54.6479,78.0687,137.0641,117.4687,133.5357,125.8229,0.0401,0.1133,Population structure converged. Difference: 0.0462
5,9,51.9182,41.2143,Warrior,73.0973,81.4704,22.8334,17.2222,5.3767,1.9048,200,54.6479,77.2397,107.9218,99.9006,86.7597,122.0079,0.0300,0.1133,Population structure converged. Difference: 0.0462
5,10,51.9182,42.0064,Warrior,73.0973,81.4704,22.8334,17.2222,5.3767,1.9048,200,54.6479,84.8672,106.8302,92.4112,55.7431,111.5534,0.0238,0.1133,Population structure converged. Difference: 0.0462
5,11,51.4631,42.9555,Warrior,73.4601,63.2211,41.3871,16.7106,5.2211,1.9048,200,54.6479,87.0865,92.3416,69.1622,32.3478,104.3271,0.0218,0.1133,Population structure converged. Difference: 0.0462
5,12,51.8560,44.0929,Warrior,69.3102,56.9733,59.8678,9.0235,4.8252,1.9289,200,54.6479,76.2445,68.2387,56.1876,29.7516,103.0613,0.0157,0.1133,Population structure converged. Difference: 0.0462
5,13,51.4631,45.2064,Warrior,73.4601,63.2211,41.3871,16.7106,5.2211,1.9048,200,54.6479,68.9938,65.7795,55.8370,18.3036,73.5223,0.0089,0.1133,Population structure converged. Difference: 0.0462
5,14,51.4316,46.1259,Warrior,74.8346,62.1424,40.6809,17.0233,5.3188,1.9048,200,54.6479,50.3213,59.9314,48.2929,16.0890,37.4725,0.0071,0.1133,Population structure converged. Difference: 0.0462
