Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.2403,33.1203,Warrior,54.6572,63.6357,44.9283,0.9904,35.7883,1.8318,200,55.4633,339.8377,373.8090,337.7078,463.9582,231.7911,0.0380,0.0462,Population structure converged. Difference: 0.0085
1,1,47.1612,39.1037,Warrior,66.4055,58.6271,41.3921,16.9265,16.6488,1.9366,200,55.4633,292.2773,326.1109,133.6671,259.1149,65.0788,0.0231,0.0462,Population structure converged. Difference: 0.0085
1,2,50.0642,41.9666,Warrior,63.2632,73.6554,51.2135,1.3428,10.5251,1.8318,200,55.4633,290.0985,195.0797,71.3360,90.1071,96.2056,0.0070,0.0462,Population structure converged. Difference: 0.0085
1,3,52.7597,45.1001,Warrior,72.1548,63.7030,44.9758,1.0762,18.0902,1.9366,200,55.4633,142.0259,81.3779,20.3202,64.1361,107.9391,0.0025,0.0462,Population structure converged. Difference: 0.0085
1,4,54.8138,47.8977,Warrior,74.4905,65.7650,46.4317,1.5063,11.8065,1.9366,200,55.4633,59.9381,49.0156,14.2610,48.2628,74.2726,0.0027,0.0462,Population structure converged. Difference: 0.0085
1,5,55.2727,50.6158,Warrior,74.9914,66.2073,46.7439,1.1185,10.9389,1.9366,200,55.4633,36.7596,25.8955,12.1192,16.9839,39.4527,0.0026,0.0462,Population structure converged. Difference: 0.0085
1,6,55.2727,51.9539,Warrior,74.9914,66.2073,46.7439,1.1185,10.9389,1.9366,200,55.4633,28.8431,12.9906,7.0101,13.0317,25.3718,0.0020,0.0462,Population structure converged. Difference: 0.0085
1,7,55.2727,53.1391,Warrior,74.9914,66.2073,46.7439,1.1185,10.9389,1.9366,200,55.4633,13.6400,7.7673,6.8380,3.2885,16.9739,0.0014,0.0462,Population structure converged. Difference: 0.0085
1,8,55.2727,53.7951,Warrior,74.9914,66.2073,46.7439,1.1185,10.9389,1.9366,200,55.4633,14.3376,5.5034,3.6162,1.3540,8.1801,0.0007,0.0462,Population structure converged. Difference: 0.0085
1,9,55.4305,54.2711,Warrior,74.2464,67.9931,46.2795,1.2990,10.1820,1.9366,200,55.4633,9.1374,3.8060,2.4455,0.0334,5.5474,0.0003,0.0462,Population structure converged. Difference: 0.0085
1,10,55.4305,54.5308,Warrior,74.2464,67.9931,46.2795,1.2990,10.1820,1.9366,200,55.4633,5.4035,2.9368,1.8920,0.0229,2.3866,0.0003,0.0462,Population structure converged. Difference: 0.0085
1,11,55.4305,54.6154,Warrior,74.2464,67.9931,46.2795,1.2990,10.1820,1.9366,200,55.4633,4.9843,2.4173,1.2168,0.0212,2.7155,0.0002,0.0462,Population structure converged. Difference: 0.0085
1,12,55.4305,54.8109,Warrior,74.2464,67.9931,46.2795,1.2990,10.1820,1.9366,200,55.4633,3.2109,1.9033,0.9439,0.0190,1.8167,0.0001,0.0462,Population structure converged. Difference: 0.0085
1,13,55.4633,54.9957,Warrior,75.3407,66.5157,46.5315,1.3138,10.2982,1.9366,200,55.4633,0.9959,1.2421,0.4443,0.0204,0.5193,0.0000,0.0462,Population structure converged. Difference: 0.0085
2,0,57.5826,41.7658,Warrior,97.1576,90.5518,5.4318,4.1813,2.6775,1.9255,200,59.5939,334.7918,1100.6450,221.5984,529.2857,575.1273,0.0338,0.0359,Population structure converged. Difference: 0.0080
2,1,57.5826,52.4641,Warrior,97.1576,90.5518,5.4318,4.1813,2.6775,1.9255,200,59.5939,97.6739,343.5908,47.3553,164.9284,178.4616,0.0120,0.0359,Population structure converged. Difference: 0.0080
2,2,58.9813,54.8039,Warrior,85.6458,79.8228,28.4852,3.6859,2.3603,1.9255,200,59.5939,36.5111,91.8974,30.1311,42.1658,22.2612,0.0038,0.0359,Population structure converged. Difference: 0.0080
2,3,59.4946,55.8606,Warrior,86.2329,80.3700,28.6805,2.8754,1.8413,1.9255,200,59.5939,76.3098,21.8237,41.4114,6.6528,0.0576,0.0000,0.0359,Population structure converged. Difference: 0.0080
2,4,59.4946,56.7208,Warrior,86.2329,80.3700,28.6805,2.8754,1.8413,1.9255,200,59.5939,105.6686,50.5170,47.2989,0.1946,0.0802,0.0000,0.0359,Population structure converged. Difference: 0.0080
2,5,59.5939,57.6805,Warrior,84.1922,83.7466,28.0017,2.4747,1.5847,1.9255,200,59.5939,91.7092,60.8676,50.3753,0.2587,0.0951,0.0000,0.0359,Population structure converged. Difference: 0.0080
2,6,59.5939,58.1634,Warrior,84.1922,83.7466,28.0017,2.4747,1.5847,1.9255,200,59.5939,72.6632,40.4403,49.9545,0.2336,0.1003,0.0000,0.0359,Population structure converged. Difference: 0.0080
2,7,59.7366,58.6640,Warrior,86.7169,80.8210,28.3519,2.5056,1.6045,1.9255,200,59.5939,39.7895,29.9341,46.0642,0.2373,0.1029,0.0000,0.0359,Population structure converged. Difference: 0.0080
