Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,39.4127,27.3887,Warrior,55.9822,54.1874,59.9236,10.3316,19.5752,1.4092,200,53.7652,378.8144,401.7041,450.5218,467.4524,584.2778,0.0464,0.1174,Population structure converged. Difference: 0.0100
1,1,43.2325,31.4741,Warrior,60.5385,64.5940,49.8047,8.5869,16.4758,1.7784,200,53.7652,270.9711,441.7231,293.8246,479.9239,462.0849,0.0424,0.1174,Population structure converged. Difference: 0.0100
1,2,43.2325,34.6238,Warrior,60.5385,64.5940,49.8047,8.5869,16.4758,1.7784,200,53.7652,169.4654,470.0449,317.9871,266.1582,321.9017,0.0447,0.1174,Population structure converged. Difference: 0.0100
1,3,49.0508,36.4742,Warrior,65.5522,71.6546,34.7022,3.6713,24.4198,1.8761,200,53.7652,149.6069,354.5671,280.2488,151.2096,287.1399,0.0432,0.1174,Population structure converged. Difference: 0.0100
1,4,49.0508,39.2050,Warrior,65.5522,71.6546,34.7022,3.6713,24.4198,1.8761,200,53.7652,115.5703,253.7720,219.6721,109.7153,189.1849,0.0414,0.1174,Population structure converged. Difference: 0.0100
1,5,49.0508,41.3218,Warrior,65.5522,71.6546,34.7022,3.6713,24.4198,1.8761,200,53.7652,103.8466,125.0899,179.0020,99.5966,96.7343,0.0441,0.1174,Population structure converged. Difference: 0.0100
1,6,52.8746,44.3372,Warrior,67.9513,78.3769,37.9578,4.0157,11.6984,1.8761,200,53.7652,50.7921,84.1694,113.2846,38.7955,51.7205,0.0387,0.1174,Population structure converged. Difference: 0.0100
1,7,52.8746,46.1440,Warrior,67.9513,78.3769,37.9578,4.0157,11.6984,1.8761,200,53.7652,39.8891,75.0735,60.5983,36.8046,37.7356,0.0256,0.1174,Population structure converged. Difference: 0.0100
1,8,53.0613,47.3420,Warrior,78.1251,90.1116,13.6965,4.6169,13.4499,1.8761,200,53.7652,26.3240,56.0624,50.2052,24.7520,38.7532,0.0210,0.1174,Population structure converged. Difference: 0.0100
1,9,53.2974,48.8849,Warrior,73.3556,68.7039,40.9766,4.3351,12.6287,1.8761,200,53.7652,17.2391,35.6255,35.7389,12.3969,46.8867,0.0106,0.1174,Population structure converged. Difference: 0.0100
1,10,53.6546,49.7771,Warrior,72.8964,74.6020,36.1296,3.8223,12.5497,1.8761,200,53.7652,18.6989,29.5579,44.9213,14.5292,47.6941,0.0066,0.1174,Population structure converged. Difference: 0.0100
