Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.0300,28.5492,Warrior,112.5521,37.3626,46.2714,2.6125,1.2014,1.7492,200,57.6992,822.4604,359.6743,447.7263,552.0377,553.5942,0.0354,0.0532,Population structure converged. Difference: 0.0334
1,1,48.8876,33.2275,Warrior,63.6892,78.0763,53.8001,3.0375,1.3969,1.7940,200,57.6992,1071.6532,286.7169,352.5706,360.1726,636.9013,0.0252,0.0532,Population structure converged. Difference: 0.0334
1,2,51.6681,37.6141,Warrior,65.8357,57.3225,70.9906,4.0081,1.8432,1.9478,200,57.6992,822.7745,346.1263,294.0187,247.9722,487.1978,0.0177,0.0532,Population structure converged. Difference: 0.0334
1,3,53.8588,40.5760,Warrior,87.8787,48.2427,56.0681,5.3501,2.4603,1.9478,200,57.6992,609.7568,336.8328,353.1237,138.1533,370.5305,0.0229,0.0532,Population structure converged. Difference: 0.0334
1,4,54.4139,44.6803,Warrior,65.1366,77.2473,53.2288,3.0053,1.3820,1.9478,200,57.6992,436.4102,234.9282,270.7411,56.6228,234.7040,0.0240,0.0532,Population structure converged. Difference: 0.0334
1,5,55.6554,46.9848,Warrior,69.8795,74.1562,51.0988,3.3328,1.5326,1.9478,200,57.6992,354.9978,141.2893,187.5709,39.9064,137.2650,0.0220,0.0532,Population structure converged. Difference: 0.0334
1,6,56.5529,49.2623,Warrior,79.5607,67.1186,46.2495,4.8437,2.2275,1.9478,200,57.6992,238.1354,111.7569,122.3796,9.4728,45.5373,0.0205,0.0532,Population structure converged. Difference: 0.0334
1,7,56.5529,50.6683,Warrior,79.5607,67.1186,46.2495,4.8437,2.2275,1.9478,200,57.6992,191.0414,146.9106,89.7933,2.0858,24.5639,0.0117,0.0532,Population structure converged. Difference: 0.0334
1,8,57.5924,52.4096,Warrior,78.9062,69.3603,47.7941,2.6984,1.2409,1.9478,200,57.6992,174.7828,146.8768,74.7903,1.6643,0.2817,0.0059,0.0532,Population structure converged. Difference: 0.0334
1,9,57.5924,53.2056,Warrior,78.9062,69.3603,47.7941,2.6984,1.2409,1.9478,200,57.6992,125.5273,140.8288,55.1287,1.4176,0.2553,0.0049,0.0532,Population structure converged. Difference: 0.0334
1,10,57.5924,54.0564,Warrior,78.9062,69.3603,47.7941,2.6984,1.2409,1.9478,200,57.6992,98.9053,132.9322,48.0183,1.2058,0.2490,0.0036,0.0532,Population structure converged. Difference: 0.0334
1,11,57.5924,54.7505,Warrior,78.9062,69.3603,47.7941,2.6984,1.2409,1.9478,200,57.6992,66.2869,110.0135,39.7756,1.2439,0.2551,0.0033,0.0532,Population structure converged. Difference: 0.0334
1,12,58.0911,55.2073,Warrior,80.8514,70.4841,45.0019,2.5408,1.1218,1.9478,200,57.6992,62.8142,98.8389,38.6191,1.0524,0.2483,0.0026,0.0532,Population structure converged. Difference: 0.0334
1,13,57.6992,55.8352,Warrior,80.6085,67.7507,47.7085,2.6936,1.2387,1.9478,200,57.6992,48.4691,66.4754,23.9205,0.9237,0.2271,0.0019,0.0532,Population structure converged. Difference: 0.0334
2,0,42.7375,30.0727,Warrior,74.9381,58.0472,34.2697,7.6305,25.1145,1.4820,200,56.9382,448.8056,396.9962,370.2418,437.7429,388.4566,0.0540,0.0279,Population structure converged. Difference: 0.0352
2,1,56.3660,33.5515,Warrior,84.7465,65.6449,38.7551,8.6293,2.2243,1.9023,200,56.9382,416.7025,329.6924,339.7027,471.2390,307.6559,0.0507,0.0279,Population structure converged. Difference: 0.0352
2,2,56.3660,40.9168,Warrior,84.7465,65.6449,38.7551,8.6293,2.2243,1.9023,200,56.9382,352.7582,251.5523,170.0021,476.3774,307.1225,0.0543,0.0279,Population structure converged. Difference: 0.0352
2,3,56.9332,46.4193,Warrior,85.3463,66.1094,39.0294,7.2748,2.2400,1.9023,200,56.9382,312.8385,208.7418,165.0717,437.9455,238.2190,0.0445,0.0279,Population structure converged. Difference: 0.0352
2,4,57.2932,50.4882,Warrior,88.9155,68.4814,33.2823,7.4107,1.9102,1.9023,200,56.9382,175.5811,126.7262,96.0451,195.9042,161.6925,0.0312,0.0279,Population structure converged. Difference: 0.0352
2,5,56.9382,52.4948,Warrior,85.3530,66.1147,39.0325,7.2754,2.2244,1.9023,200,56.9382,127.2901,113.1263,94.9212,186.4430,53.1780,0.0117,0.0279,Population structure converged. Difference: 0.0352
2,6,56.9382,55.0030,Warrior,85.3530,66.1147,39.0325,7.2754,2.2244,1.9023,200,56.9382,62.6658,48.4726,52.2788,14.4919,21.2800,0.0035,0.0279,Population structure converged. Difference: 0.0352
3,0,45.1553,31.0646,Warrior,57.5112,65.3910,48.3297,20.0799,8.6882,1.8690,200,57.9197,383.6295,635.4040,437.4640,439.4668,600.7418,0.0413,0.0428,Population structure converged. Difference: 0.0453
3,1,53.3125,36.8085,Warrior,68.8839,67.2119,52.4555,1.0423,10.4063,1.8690,200,57.9197,252.4663,516.2444,318.5406,242.1385,436.7703,0.0337,0.0428,Population structure converged. Difference: 0.0453
3,2,53.3125,39.7543,Warrior,68.8839,67.2119,52.4555,1.0423,10.4063,1.8690,200,57.9197,187.9867,379.2355,257.0870,198.9467,298.0269,0.0234,0.0428,Population structure converged. Difference: 0.0453
3,3,56.4460,44.1710,Warrior,72.4357,70.6774,55.1602,1.0961,0.6306,1.8690,200,57.9197,185.1809,206.0459,201.5577,174.7168,254.9124,0.0168,0.0428,Population structure converged. Difference: 0.0453
3,4,56.5393,47.4630,Warrior,72.5433,70.7825,55.2422,1.0977,0.3343,1.8690,200,57.9197,119.7729,131.1703,168.3063,134.9111,187.7390,0.0113,0.0428,Population structure converged. Difference: 0.0453
3,5,56.5393,50.6708,Warrior,72.5433,70.7825,55.2422,1.0977,0.3343,1.8690,200,57.9197,62.8334,51.5037,93.3310,64.5959,35.8382,0.0002,0.0428,Population structure converged. Difference: 0.0453
3,6,56.8143,51.8246,Warrior,73.4287,71.6463,53.1746,1.1111,0.6393,1.8690,200,57.9197,57.5838,35.9232,43.9197,51.3026,37.2739,0.0000,0.0428,Population structure converged. Difference: 0.0453
3,7,57.0878,52.8555,Warrior,74.3830,72.5774,51.0506,1.2625,0.7264,1.8690,200,57.9197,57.1552,25.7539,40.6777,36.0426,31.1752,0.0000,0.0428,Population structure converged. Difference: 0.0453
3,8,57.9197,53.7742,Warrior,81.6670,66.9051,49.4487,1.2563,0.7228,1.8690,200,57.9197,22.9838,17.3609,26.3315,32.2948,25.2976,0.0000,0.0428,Population structure converged. Difference: 0.0453
3,9,57.9197,55.4087,Warrior,81.6670,66.9051,49.4487,1.2563,0.7228,1.8690,200,57.9197,13.2052,7.8435,5.7773,4.4760,17.2054,0.0000,0.0428,Population structure converged. Difference: 0.0453
4,0,38.7194,27.7585,Warrior,72.3305,44.3270,45.1439,2.4829,35.7158,1.7196,200,53.8069,411.8231,611.1385,361.9867,552.6415,282.2428,0.0354,0.0470,Population structure converged. Difference: 0.0493
4,1,41.6036,30.8595,Warrior,52.5886,73.3679,34.6293,9.3492,30.0650,1.8392,200,53.8069,289.8392,575.7937,337.3536,494.2541,242.8850,0.0349,0.0470,Population structure converged. Difference: 0.0493
4,2,49.7471,34.1862,Warrior,65.5168,61.3591,62.4898,3.4369,7.1975,1.8354,200,53.8069,245.1967,426.1211,174.7158,445.3601,202.3615,0.0273,0.0470,Population structure converged. Difference: 0.0493
4,3,50.8044,37.4044,Warrior,69.9475,59.3375,60.4310,3.3237,6.9603,1.8354,200,53.8069,216.9411,315.4506,195.8633,405.9508,270.8158,0.0237,0.0470,Population structure converged. Difference: 0.0493
4,4,52.1058,40.8215,Warrior,72.9208,94.8904,20.3527,3.8253,8.0108,1.8354,200,53.8069,154.6958,226.4725,199.5448,231.1316,229.2540,0.0171,0.0470,Population structure converged. Difference: 0.0493
4,5,52.1058,44.0784,Warrior,72.9208,94.8904,20.3527,3.8253,8.0108,1.8354,200,53.8069,203.6359,200.8544,206.3688,138.3977,227.5969,0.0146,0.0470,Population structure converged. Difference: 0.0493
4,6,52.2325,46.9021,Warrior,73.0626,95.0750,20.3923,3.4436,8.0264,1.8354,200,53.8069,111.7392,165.6323,186.4050,71.8672,166.4389,0.0087,0.0470,Population structure converged. Difference: 0.0493
4,7,52.9457,49.1661,Warrior,88.8419,71.9413,24.7964,4.6605,9.7599,1.8354,200,53.8069,56.3727,80.0080,118.8143,1.8159,53.3796,0.0014,0.0470,Population structure converged. Difference: 0.0493
4,8,53.7235,49.1165,Warrior,89.9949,72.8750,25.1182,4.7210,7.2909,1.8354,200,53.8069,82.6005,114.9435,171.8447,0.4795,77.3255,0.0033,0.0470,Population structure converged. Difference: 0.0493
4,9,53.7235,50.0014,Warrior,89.9949,72.8750,25.1182,4.7210,7.2909,1.8354,200,53.8069,85.1027,99.7566,185.1025,0.3013,25.2371,0.0042,0.0470,Population structure converged. Difference: 0.0493
4,10,53.7235,50.7435,Warrior,89.9949,72.8750,25.1182,4.7210,7.2909,1.8354,200,53.8069,100.5237,96.4395,254.9009,0.4157,18.9405,0.0000,0.0470,Population structure converged. Difference: 0.0493
4,11,53.8069,51.2806,Warrior,83.6759,77.5358,26.7247,4.2449,7.8187,1.8354,200,53.8069,100.7788,107.7440,262.4814,0.6312,18.3285,0.0000,0.0470,Population structure converged. Difference: 0.0493
5,0,45.0827,31.3595,Warrior,67.6345,37.1010,68.5931,1.9136,24.7578,1.8714,200,55.0192,603.4654,505.4280,628.8336,491.4497,464.6849,0.0328,0.0355,Population structure converged. Difference: 0.0389
5,1,45.0827,36.7195,Warrior,67.6345,37.1010,68.5931,1.9136,24.7578,1.8714,200,55.0192,446.2488,420.7908,488.2249,354.7351,350.0643,0.0278,0.0355,Population structure converged. Difference: 0.0389
5,2,48.2089,39.4682,Warrior,89.5982,72.3858,24.0144,4.5231,9.4785,1.4789,200,55.0192,273.3448,355.6002,351.2463,209.0968,182.5730,0.0234,0.0355,Population structure converged. Difference: 0.0389
5,3,53.1251,41.6476,Warrior,92.9716,64.7886,21.8975,5.3370,15.0052,1.9143,200,55.0192,185.7063,187.4714,215.7190,116.0869,143.3945,0.0232,0.0355,Population structure converged. Difference: 0.0389
5,4,55.0192,43.8861,Warrior,90.7922,69.5626,23.0778,4.3467,12.2207,1.9143,200,55.0192,149.6345,160.7961,211.8236,76.9120,100.1539,0.0266,0.0355,Population structure converged. Difference: 0.0389
5,5,55.0192,46.9973,Warrior,90.7922,69.5626,23.0778,4.3467,12.2207,1.9143,200,55.0192,144.1244,96.3252,145.8981,65.1019,64.0981,0.0306,0.0355,Population structure converged. Difference: 0.0389
5,6,55.0192,49.6572,Warrior,90.7922,69.5626,23.0778,4.3467,12.2207,1.9143,200,55.0192,94.1321,65.6120,63.7449,38.9361,42.5866,0.0209,0.0355,Population structure converged. Difference: 0.0389
5,7,55.0192,51.0167,Warrior,90.7922,69.5626,23.0778,4.3467,12.2207,1.9143,200,55.0192,72.8307,54.9871,41.4580,29.9823,22.1343,0.0191,0.0355,Population structure converged. Difference: 0.0389
5,8,55.0192,52.9586,Warrior,90.7922,69.5626,23.0778,4.3467,12.2207,1.9143,200,55.0192,21.9091,17.2622,32.1558,0.3274,9.6040,0.0151,0.0355,Population structure converged. Difference: 0.0389
