Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.3320,31.8206,Warrior,70.7432,85.9165,24.3905,17.8125,1.1373,1.3893,200,55.3859,601.6844,548.3194,469.1433,268.3035,653.0748,0.0402,0.0286,Population structure converged. Difference: 0.0459
1,1,45.1156,37.8981,Warrior,67.2033,47.5424,48.0553,18.8896,18.3093,1.8990,200,55.3859,290.5451,502.1648,422.1611,147.1537,313.8830,0.0348,0.0286,Population structure converged. Difference: 0.0459
1,2,50.5482,41.5958,Warrior,79.7237,94.7074,8.0441,6.7982,10.7267,1.9774,200,55.3859,103.2873,360.5165,300.1279,65.0411,125.1562,0.0309,0.0286,Population structure converged. Difference: 0.0459
1,3,50.5482,43.6966,Warrior,79.7237,94.7074,8.0441,6.7982,10.7267,1.9774,200,55.3859,82.5565,331.8307,282.5462,48.1124,56.5453,0.0530,0.0286,Population structure converged. Difference: 0.0459
1,4,53.3504,46.5945,Warrior,83.7387,99.4770,8.4492,7.1406,1.1945,1.9774,200,55.3859,111.4534,266.1601,232.9045,32.9379,34.9130,0.0725,0.0286,Population structure converged. Difference: 0.0459
1,5,54.0553,48.8164,Warrior,80.2739,86.5095,24.5589,7.5127,1.1451,1.9774,200,55.3859,65.0480,189.1124,155.4474,20.5039,20.4524,0.0498,0.0286,Population structure converged. Difference: 0.0459
1,6,54.0553,50.2391,Warrior,80.2739,86.5095,24.5589,7.5127,1.1451,1.9774,200,55.3859,41.0997,133.4423,123.1737,12.2426,20.2739,0.0194,0.0286,Population structure converged. Difference: 0.0459
1,7,55.3859,51.7537,Warrior,105.7684,74.8250,9.5464,8.0678,1.7925,1.8990,200,55.3859,23.9174,64.1301,71.2776,5.5894,24.1400,0.0057,0.0286,Population structure converged. Difference: 0.0459
1,8,55.3859,52.9562,Warrior,105.7684,74.8250,9.5464,8.0678,1.7925,1.8990,200,55.3859,33.0888,37.8380,32.8427,0.1944,19.1278,0.0034,0.0286,Population structure converged. Difference: 0.0459
2,0,43.7321,32.7881,Warrior,76.5334,67.2679,21.2042,18.8804,16.1140,1.7922,200,49.5778,309.4278,387.2978,298.9132,319.1626,421.9459,0.0392,0.0272,Population structure converged. Difference: 0.0452
2,1,45.1874,37.2157,Warrior,76.1803,66.9576,21.1064,18.7933,16.9624,1.8230,200,49.5778,281.8920,200.6562,258.2361,146.2859,291.6038,0.0223,0.0272,Population structure converged. Difference: 0.0452
2,2,45.2066,40.9658,Warrior,76.3985,66.8396,21.0692,18.7602,16.9325,1.8230,200,49.5778,173.1419,83.2248,133.8516,36.3893,128.0989,0.0051,0.0272,Population structure converged. Difference: 0.0452
2,3,48.8917,41.6959,Warrior,72.9153,58.5931,36.6246,14.1829,17.6841,1.9199,200,49.5778,130.6446,76.4852,111.8361,13.6632,73.6822,0.0024,0.0272,Population structure converged. Difference: 0.0452
2,4,48.8917,43.0797,Warrior,72.9153,58.5931,36.6246,14.1829,17.6841,1.9199,200,49.5778,61.1929,40.7265,51.7038,8.0420,34.2238,0.0026,0.0272,Population structure converged. Difference: 0.0452
2,5,48.8917,44.4614,Warrior,72.9153,58.5931,36.6246,14.1829,17.6841,1.9199,200,49.5778,33.7401,25.8040,53.5880,8.9516,24.1272,0.0031,0.0272,Population structure converged. Difference: 0.0452
2,6,49.5778,46.4019,Warrior,70.6467,64.5722,34.6405,13.4146,16.7260,1.9199,200,49.5778,12.3073,19.8602,64.1379,10.1135,10.4619,0.0035,0.0272,Population structure converged. Difference: 0.0452
2,7,49.5778,47.4354,Warrior,70.6467,64.5722,34.6405,13.4146,16.7260,1.9199,200,49.5778,9.3448,15.5201,53.3090,10.5315,9.5170,0.0025,0.0272,Population structure converged. Difference: 0.0452
3,0,46.7810,34.5447,Warrior,62.3700,49.9843,72.1743,14.9188,0.5526,1.9422,200,58.9238,242.6480,398.1760,425.5599,360.6008,405.3704,0.0413,0.0324,Population structure converged. Difference: 0.0348
3,1,52.1712,40.4471,Warrior,82.3758,66.0171,31.1732,19.7041,0.7298,1.9422,200,58.9238,118.3872,272.2835,414.3623,243.4107,279.9776,0.0423,0.0324,Population structure converged. Difference: 0.0348
3,2,52.1712,44.0447,Warrior,82.3758,66.0171,31.1732,19.7041,0.7298,1.9422,200,58.9238,88.5225,146.6770,328.0190,158.0240,130.1756,0.0297,0.0324,Population structure converged. Difference: 0.0348
3,3,54.1081,46.9833,Warrior,89.6347,45.6575,59.3402,4.6193,0.7483,1.9422,200,58.9238,106.3044,115.1633,385.0254,57.3050,47.6274,0.0199,0.0324,Population structure converged. Difference: 0.0348
3,4,54.1081,49.7072,Warrior,89.6347,45.6575,59.3402,4.6193,0.7483,1.9422,200,58.9238,126.6808,119.9748,339.3236,38.5132,12.4260,0.0038,0.0324,Population structure converged. Difference: 0.0348
3,5,56.1959,51.3368,Warrior,77.3183,61.9640,55.6970,4.3357,0.6850,1.9422,200,58.9238,90.1056,84.0073,246.7378,49.9298,0.2634,0.0015,0.0324,Population structure converged. Difference: 0.0348
3,6,58.3673,52.6916,Warrior,89.0734,71.3848,33.7078,4.0263,1.8078,1.9422,200,58.9238,74.6640,90.8586,202.0681,58.1110,0.1464,0.0000,0.0324,Population structure converged. Difference: 0.0348
3,7,58.3673,54.3366,Warrior,89.0734,71.3848,33.7078,4.0263,1.8078,1.9422,200,58.9238,54.1062,99.5187,154.8528,43.2918,0.2960,0.0000,0.0324,Population structure converged. Difference: 0.0348
3,8,58.9238,55.9025,Warrior,92.0505,70.5504,33.3138,3.2856,0.7997,1.9422,200,58.9238,40.7254,97.2770,149.5041,20.2410,0.3474,0.0000,0.0324,Population structure converged. Difference: 0.0348
3,9,58.9238,56.9425,Warrior,92.0505,70.5504,33.3138,3.2856,0.7997,1.9422,200,58.9238,44.3972,61.0747,118.3194,13.5894,0.3952,0.0000,0.0324,Population structure converged. Difference: 0.0348
4,0,43.2492,31.4097,Warrior,65.0356,57.9528,40.3236,23.3289,13.3592,1.8265,200,53.6356,285.5774,390.8719,389.9274,300.5842,393.6018,0.0305,0.0241,Population structure converged. Difference: 0.0446
4,1,49.8034,36.7325,Warrior,71.9366,45.4353,64.8757,3.0007,14.7518,1.8885,200,53.6356,209.6131,257.8039,316.7211,180.6411,229.2670,0.0235,0.0241,Population structure converged. Difference: 0.0446
