Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.6193,28.1573,Warrior,88.0910,58.7967,24.8240,10.9753,17.3130,1.8567,200,51.5573,410.9756,403.8598,447.8020,694.0679,394.5899,0.0461,0.0549,Population structure converged. Difference: 0.0479
1,1,46.0462,30.1540,Warrior,61.2737,52.4139,67.0331,2.4611,16.8182,1.8349,200,51.5573,336.3121,402.7936,393.1457,503.7422,352.2239,0.0453,0.0549,Population structure converged. Difference: 0.0479
1,2,47.3503,31.9165,Warrior,78.0182,47.8388,49.2845,8.1727,16.6859,1.8349,200,51.5573,322.6595,429.9264,369.2549,373.9537,299.5790,0.0382,0.0549,Population structure converged. Difference: 0.0479
1,3,48.5259,34.2291,Warrior,73.8058,92.7005,10.2713,2.9645,20.2580,1.8349,200,51.5573,222.0426,472.7841,412.3914,235.4519,199.7783,0.0326,0.0549,Population structure converged. Difference: 0.0479
1,4,50.6462,35.7528,Warrior,90.0680,82.1803,8.4113,2.4689,16.8715,1.8349,200,51.5573,239.7206,437.5122,380.5907,203.4310,159.0781,0.0274,0.0549,Population structure converged. Difference: 0.0479
1,5,50.6462,37.4479,Warrior,90.0680,82.1803,8.4113,2.4689,16.8715,1.8349,200,51.5573,225.0108,319.1581,353.5046,191.5080,109.9044,0.0208,0.0549,Population structure converged. Difference: 0.0479
1,6,49.8429,38.6010,Warrior,67.1318,84.3179,29.9719,2.3716,16.2068,1.8349,200,51.5573,228.0446,309.2103,344.7213,178.2590,101.1196,0.0250,0.0549,Population structure converged. Difference: 0.0479
1,7,49.8429,40.5090,Warrior,67.1318,84.3179,29.9719,2.3716,16.2068,1.8349,200,51.5573,245.8648,404.9849,373.6556,164.4046,89.6838,0.0196,0.0549,Population structure converged. Difference: 0.0479
1,8,49.8429,42.6458,Warrior,67.1318,84.3179,29.9719,2.3716,16.2068,1.8349,200,51.5573,188.9617,358.7144,371.3549,138.4367,85.3300,0.0130,0.0549,Population structure converged. Difference: 0.0479
1,9,51.1906,43.9258,Warrior,72.9870,80.6022,28.6511,2.2671,15.4926,1.8349,200,51.5573,127.6944,319.4727,294.8022,120.5254,74.9760,0.0111,0.0549,Population structure converged. Difference: 0.0479
