Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,39.3537,30.5603,Warrior,54.9731,41.4495,59.3755,28.6107,15.5912,1.9209,200,52.8598,219.8852,425.0958,358.6215,418.3648,300.4152,0.0410,0.0227,Population structure converged. Difference: 0.0470
1,1,46.9792,32.3295,Warrior,64.6649,58.5914,73.0131,0.2115,3.5191,1.7882,200,52.8598,171.9996,541.2894,490.9334,388.0729,504.0244,0.0331,0.0227,Population structure converged. Difference: 0.0470
1,2,46.9792,35.8292,Warrior,64.6649,58.5914,73.0131,0.2115,3.5191,1.7882,200,52.8598,127.7682,401.1352,344.6483,332.3352,351.8953,0.0208,0.0227,Population structure converged. Difference: 0.0470
1,3,52.6471,40.6526,Warrior,85.3968,67.1830,43.7810,0.2063,3.4330,1.7882,200,52.8598,124.2914,236.3291,221.7836,188.4607,211.2744,0.0085,0.0227,Population structure converged. Difference: 0.0470
1,4,52.6471,44.8729,Warrior,85.3968,67.1830,43.7810,0.2063,3.4330,1.7882,200,52.8598,145.5499,137.0570,157.1803,44.5299,70.3415,0.0027,0.0227,Population structure converged. Difference: 0.0470
1,5,52.8581,47.2930,Warrior,64.6649,58.5914,73.0131,0.2115,3.5191,1.9209,200,52.8598,164.9698,147.3754,237.3536,19.2458,37.4988,0.0023,0.0227,Population structure converged. Difference: 0.0470
1,6,52.8581,48.6721,Warrior,64.6649,58.5914,73.0131,0.2115,3.5191,1.9209,200,52.8598,151.3697,118.9016,271.7441,16.6458,17.6413,0.0019,0.0227,Population structure converged. Difference: 0.0470
1,7,52.8598,50.4865,Warrior,64.6654,58.5934,73.0156,0.2063,3.5192,1.9209,200,52.8598,104.2356,58.1625,202.0055,6.3642,13.6564,0.0008,0.0227,Population structure converged. Difference: 0.0470
2,0,54.0214,33.2996,Warrior,67.7340,76.4944,42.7558,6.5283,6.4875,1.9063,200,54.8844,447.8069,648.9925,489.7218,603.5290,542.1246,0.0421,0.0146,Population structure converged. Difference: 0.0429
2,1,54.0214,42.0650,Warrior,67.7340,76.4944,42.7558,6.5283,6.4875,1.9063,200,54.8844,238.7477,553.6134,227.8651,509.9927,309.2680,0.0256,0.0146,Population structure converged. Difference: 0.0429
2,2,54.6848,47.4663,Warrior,70.7136,79.8595,35.8385,6.8155,6.7729,1.9063,200,54.8844,100.1533,338.5537,177.8655,179.3439,261.9022,0.0138,0.0146,Population structure converged. Difference: 0.0429
2,3,54.8844,50.3040,Warrior,70.9167,80.0888,35.9413,6.5471,6.5061,1.9063,200,54.8844,48.8411,217.8454,177.4896,93.2277,95.7572,0.0049,0.0146,Population structure converged. Difference: 0.0429
2,4,54.8844,52.6267,Warrior,70.9167,80.0888,35.9413,6.5471,6.5061,1.9063,200,54.8844,20.0403,98.0868,89.7492,32.4963,7.6156,0.0028,0.0146,Population structure converged. Difference: 0.0429
3,0,50.3084,32.5300,Warrior,89.4328,83.2170,3.2533,12.3282,11.7687,1.8625,200,53.0202,671.5876,715.5667,615.5573,429.6612,384.6633,0.0358,0.0226,Population structure converged. Difference: 0.0412
3,1,51.2390,39.9036,Warrior,89.4328,83.2170,3.2533,12.3282,11.7687,1.9411,200,53.0202,447.2560,616.8698,458.2805,323.1671,322.8739,0.0324,0.0226,Population structure converged. Difference: 0.0412
3,2,51.9671,45.6778,Warrior,76.9881,71.6372,30.6310,10.6127,10.1311,1.8625,200,53.0202,294.8454,298.7473,245.7670,113.8960,194.0652,0.0123,0.0226,Population structure converged. Difference: 0.0412
3,3,52.0406,47.6831,Warrior,92.1930,85.7853,3.3537,6.5359,12.1319,1.8625,200,53.0202,182.6027,176.9996,167.2817,61.0124,53.4813,0.0106,0.0226,Population structure converged. Difference: 0.0412
3,4,53.0202,48.8428,Warrior,86.3854,91.2259,3.5664,13.5147,5.3077,1.9372,200,53.0202,126.3593,80.8744,150.3953,46.5189,19.5669,0.0043,0.0226,Population structure converged. Difference: 0.0412
3,5,53.0202,49.2610,Warrior,86.3854,91.2259,3.5664,13.5147,5.3077,1.9372,200,53.0202,94.9327,74.8536,151.4501,48.1424,24.5623,0.0047,0.0226,Population structure converged. Difference: 0.0412
