Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.4230,31.7035,Warrior,85.4936,54.7733,42.5039,12.1549,5.0743,1.9448,200,57.8186,286.3820,608.7186,307.5624,330.6424,365.8068,0.0396,0.0470,Population structure converged. Difference: 0.0451
1,1,52.4230,34.8194,Warrior,85.4936,54.7733,42.5039,12.1549,5.0743,1.9448,200,57.8186,237.6275,539.5567,194.2078,273.9298,309.3630,0.0393,0.0470,Population structure converged. Difference: 0.0451
1,2,53.3946,37.8716,Warrior,76.2637,50.9688,64.8715,3.7619,4.1340,1.9412,200,57.8186,220.9817,564.7687,253.7072,273.8182,268.8990,0.0425,0.0470,Population structure converged. Difference: 0.0451
1,3,53.3946,41.0073,Warrior,76.2637,50.9688,64.8715,3.7619,4.1340,1.9412,200,57.8186,285.2857,483.6426,280.0054,134.3778,191.9951,0.0397,0.0470,Population structure converged. Difference: 0.0451
1,4,55.8628,43.8543,Warrior,86.2309,57.6301,47.2111,4.2536,4.6743,1.9412,200,57.8186,244.9525,380.4171,247.2896,84.9389,155.6480,0.0349,0.0470,Population structure converged. Difference: 0.0451
1,5,53.9983,47.1852,Warrior,75.3462,67.6066,42.3479,10.3701,4.3292,1.9412,200,57.8186,217.6535,321.6101,192.6448,62.9206,91.8623,0.0252,0.0470,Population structure converged. Difference: 0.0451
1,6,56.2496,48.6134,Warrior,78.0351,86.2316,25.9834,7.2248,2.5251,1.9448,200,57.8186,199.4277,278.1856,158.0532,40.9825,85.7035,0.0274,0.0470,Population structure converged. Difference: 0.0451
1,7,57.5846,50.2244,Warrior,79.4100,87.7509,26.4412,3.8282,2.5696,1.9448,200,57.8186,133.9514,194.9953,173.9297,32.2059,51.2676,0.0226,0.0470,Population structure converged. Difference: 0.0451
1,8,57.5846,51.6289,Warrior,79.4100,87.7509,26.4412,3.8282,2.5696,1.9448,200,57.8186,64.0222,134.9912,165.0359,31.1554,21.7096,0.0155,0.0470,Population structure converged. Difference: 0.0451
1,9,57.5846,52.7613,Warrior,79.4100,87.7509,26.4412,3.8282,2.5696,1.9448,200,57.8186,61.6513,148.8696,167.6708,22.7985,15.6951,0.0066,0.0470,Population structure converged. Difference: 0.0451
1,10,57.5846,53.8173,Warrior,79.4100,87.7509,26.4412,3.8282,2.5696,1.9448,200,57.8186,74.3606,173.4045,162.7139,19.7348,10.8231,0.0023,0.0470,Population structure converged. Difference: 0.0451
1,11,57.8186,54.7116,Warrior,79.4398,87.7838,26.4511,3.0136,3.3117,1.9412,200,57.8186,55.8929,197.7288,156.1164,8.6286,10.5123,0.0022,0.0470,Population structure converged. Difference: 0.0451
1,12,57.8186,55.3226,Warrior,79.4398,87.7838,26.4511,3.0136,3.3117,1.9412,200,57.8186,43.8817,241.7258,161.1688,7.7738,8.4992,0.0022,0.0470,Population structure converged. Difference: 0.0451
2,0,43.6052,27.9615,Warrior,119.8602,51.2270,7.3137,7.2059,14.3932,1.9526,200,54.8169,506.3259,338.3810,279.2035,483.0136,367.5185,0.0421,0.0500,Population structure converged. Difference: 0.0467
2,1,52.2645,32.1450,Warrior,65.7346,72.5836,51.3091,4.6226,5.7502,1.8585,200,54.8169,665.3652,265.5046,220.8527,425.8242,417.3479,0.0445,0.0500,Population structure converged. Difference: 0.0467
2,2,52.2645,36.8035,Warrior,65.7346,72.5836,51.3091,4.6226,5.7502,1.8585,200,54.8169,692.4729,226.3376,233.7397,211.3418,417.4000,0.0243,0.0500,Population structure converged. Difference: 0.0467
2,3,52.2645,39.3571,Warrior,65.7346,72.5836,51.3091,4.6226,5.7502,1.8585,200,54.8169,641.8856,187.5222,276.0870,156.3418,282.7970,0.0185,0.0500,Population structure converged. Difference: 0.0467
2,4,51.8977,41.3030,Warrior,79.6951,50.2114,58.3061,5.2530,6.5343,1.8585,200,54.8169,616.2314,123.4971,359.7258,107.6426,153.1959,0.0101,0.0500,Population structure converged. Difference: 0.0467
