Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.8252,30.9965,Warrior,70.0133,73.4950,30.6842,2.7434,23.0642,1.8215,200,57.0934,526.6370,341.1015,376.3696,350.1348,468.8081,0.0371,0.0577,Population structure converged. Difference: 0.0094
1,1,49.6955,34.8996,Warrior,69.3981,47.2975,76.0182,3.5392,3.7470,1.9606,200,57.0934,641.5911,348.7964,510.3258,273.4918,485.9782,0.0362,0.0577,Population structure converged. Difference: 0.0094
1,2,49.6955,38.8003,Warrior,69.3981,47.2975,76.0182,3.5392,3.7470,1.9606,200,57.0934,533.0404,342.8038,348.9188,295.6647,382.5473,0.0372,0.0577,Population structure converged. Difference: 0.0094
1,3,53.7717,42.7494,Warrior,80.5348,54.8876,56.1221,4.1071,4.3483,1.9606,200,57.0934,314.6398,315.9809,384.0167,102.5976,218.3331,0.0281,0.0577,Population structure converged. Difference: 0.0094
1,4,55.1703,44.7939,Warrior,89.7393,61.1609,39.6780,4.5765,4.8453,1.9606,200,57.0934,319.7844,275.0324,386.4445,85.6427,141.8160,0.0284,0.0577,Population structure converged. Difference: 0.0094
1,5,56.1873,46.9636,Warrior,77.0801,81.6304,34.0807,3.0470,4.1618,1.9606,200,57.0934,243.0436,224.2682,346.3772,79.7533,98.7000,0.0203,0.0577,Population structure converged. Difference: 0.0094
1,6,56.1873,49.1023,Warrior,77.0801,81.6304,34.0807,3.0470,4.1618,1.9606,200,57.0934,162.6900,240.0646,287.6407,58.9318,56.5566,0.0221,0.0577,Population structure converged. Difference: 0.0094
1,7,56.1873,51.3189,Warrior,77.0801,81.6304,34.0807,3.0470,4.1618,1.9606,200,57.0934,140.1011,233.4970,229.0299,53.9229,31.2718,0.0160,0.0577,Population structure converged. Difference: 0.0094
1,8,56.8398,53.4805,Warrior,84.8096,76.0306,31.7428,2.8380,4.5791,1.9606,200,57.0934,99.6276,188.9401,123.8640,17.4517,12.9424,0.0102,0.0577,Population structure converged. Difference: 0.0094
1,9,56.9462,55.0267,Warrior,88.1631,73.8171,30.8186,2.7554,4.4458,1.9606,200,57.0934,46.0425,103.4126,52.6146,2.4449,4.3317,0.0060,0.0577,Population structure converged. Difference: 0.0094
1,10,56.9720,55.7868,Warrior,83.5831,77.3118,32.2777,2.8858,3.9416,1.9606,200,57.0934,31.8439,48.9236,9.4632,2.2546,0.8938,0.0014,0.0577,Population structure converged. Difference: 0.0094
1,11,56.9758,56.1655,Warrior,84.9869,76.1896,31.8091,2.8439,4.1705,1.9606,200,57.0934,25.7895,34.1744,8.0849,0.6488,0.4253,0.0008,0.0577,Population structure converged. Difference: 0.0094
1,12,57.0060,56.4267,Warrior,84.2518,76.8420,32.0815,2.8847,3.9400,1.9606,200,57.0934,17.1635,15.9780,6.4635,0.1075,0.5049,0.0009,0.0577,Population structure converged. Difference: 0.0094
1,13,57.0934,56.5636,Warrior,83.7550,77.4231,32.3242,2.7464,3.7512,1.9606,200,57.0934,14.7007,11.9975,5.5461,0.1106,0.1740,0.0006,0.0577,Population structure converged. Difference: 0.0094
2,0,43.6376,30.7195,Warrior,72.2896,57.2406,41.6414,0.7769,28.0515,1.4716,200,55.9890,386.3501,376.4114,460.4132,456.2958,363.2994,0.0431,0.0744,Population structure converged. Difference: 0.0097
2,1,51.4827,34.8048,Warrior,74.9364,59.3364,43.1660,0.8053,21.7559,1.8796,200,55.9890,338.0756,362.1687,360.6577,274.6105,240.8032,0.0374,0.0744,Population structure converged. Difference: 0.0097
2,2,51.4827,37.4772,Warrior,74.9364,59.3364,43.1660,0.8053,21.7559,1.8796,200,55.9890,206.6863,288.4543,324.2804,236.9788,205.6678,0.0334,0.0744,Population structure converged. Difference: 0.0097
2,3,51.4827,40.6407,Warrior,74.9364,59.3364,43.1660,0.8053,21.7559,1.8796,200,55.9890,116.9522,219.9942,150.0458,137.7827,164.7278,0.0244,0.0744,Population structure converged. Difference: 0.0097
2,4,51.4827,43.9282,Warrior,74.9364,59.3364,43.1660,0.8053,21.7559,1.8796,200,55.9890,60.5777,95.2621,77.5158,36.6060,88.3631,0.0306,0.0744,Population structure converged. Difference: 0.0097
2,5,51.6586,46.2516,Warrior,73.7059,61.6461,42.4572,0.7921,21.3987,1.8796,200,55.9890,50.0133,34.6175,63.9108,20.9304,76.8125,0.0371,0.0744,Population structure converged. Difference: 0.0097
2,6,53.5152,48.3268,Warrior,75.5989,58.2842,52.5435,3.3787,10.1946,1.8796,200,55.9890,23.6270,25.7655,49.6284,10.6090,47.9507,0.0366,0.0744,Population structure converged. Difference: 0.0097
2,7,54.5030,50.0420,Warrior,78.5446,62.1935,45.2444,0.9451,13.0723,1.8796,200,55.9890,16.1600,18.0501,31.6490,1.3060,23.7806,0.0274,0.0744,Population structure converged. Difference: 0.0097
2,8,54.9740,50.8160,Warrior,79.1103,62.6414,45.5703,0.8502,11.8279,1.8796,200,55.9890,7.9430,17.8905,34.3177,0.5948,19.1214,0.0174,0.0744,Population structure converged. Difference: 0.0097
2,9,55.4691,51.7465,Warrior,81.2577,63.2008,43.6428,0.8440,11.0546,1.8796,200,55.9890,7.5624,13.2233,25.9977,1.1047,24.9179,0.0112,0.0744,Population structure converged. Difference: 0.0097
2,10,55.4691,52.6967,Warrior,81.2577,63.2008,43.6428,0.8440,11.0546,1.8796,200,55.9890,7.6030,11.3203,25.3912,1.1696,24.2626,0.0070,0.0744,Population structure converged. Difference: 0.0097
2,11,55.6101,53.4747,Warrior,83.0803,65.7849,38.4198,0.9212,11.7938,1.8796,200,55.9890,5.9272,6.4946,17.8839,0.9857,16.8284,0.0070,0.0744,Population structure converged. Difference: 0.0097
2,12,55.6101,54.0652,Warrior,83.0803,65.7849,38.4198,0.9212,11.7938,1.8796,200,55.9890,5.8665,7.8747,19.1219,0.7056,10.9309,0.0043,0.0744,Population structure converged. Difference: 0.0097
