Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.6966,28.1973,Warrior,68.0874,73.5198,21.0268,0.5813,36.7847,1.8615,200,58.5826,575.3736,396.0819,411.1869,527.0162,444.4767,0.0414,0.0580,Population structure converged. Difference: 0.0448
1,1,45.6966,31.0447,Warrior,68.0874,73.5198,21.0268,0.5813,36.7847,1.8615,200,58.5826,497.2423,434.1223,441.6814,463.0493,387.2442,0.0381,0.0580,Population structure converged. Difference: 0.0448
1,2,57.9443,33.5732,Warrior,82.2807,88.8455,25.4099,0.7024,2.7615,1.8615,200,58.5826,384.5958,315.4117,460.9371,384.9740,393.4880,0.0336,0.0580,Population structure converged. Difference: 0.0448
1,3,57.9594,34.2056,Warrior,82.4711,89.0511,25.4687,0.7041,2.3050,1.8591,200,58.5826,365.8644,261.1503,527.3330,262.6904,408.3988,0.0269,0.0580,Population structure converged. Difference: 0.0448
1,4,57.9594,35.8733,Warrior,82.4711,89.0511,25.4687,0.7041,2.3050,1.8591,200,58.5826,349.7264,288.3299,501.9201,226.4662,433.3131,0.0261,0.0580,Population structure converged. Difference: 0.0448
1,5,57.9594,36.9783,Warrior,82.4711,89.0511,25.4687,0.7041,2.3050,1.8591,200,58.5826,343.9730,262.9011,385.1550,250.4513,391.4042,0.0231,0.0580,Population structure converged. Difference: 0.0448
1,6,57.9594,40.5716,Warrior,82.4711,89.0511,25.4687,0.7041,2.3050,1.8591,200,58.5826,252.7463,295.8470,305.0878,253.5209,255.6200,0.0085,0.0580,Population structure converged. Difference: 0.0448
1,7,57.9594,43.0658,Warrior,82.4711,89.0511,25.4687,0.7041,2.3050,1.8591,200,58.5826,227.2848,328.9539,244.5418,255.0575,251.3954,0.0039,0.0580,Population structure converged. Difference: 0.0448
1,8,57.9594,44.1460,Warrior,82.4711,89.0511,25.4687,0.7041,2.3050,1.8591,200,58.5826,187.6110,352.6968,149.7909,222.7981,285.1005,0.0030,0.0580,Population structure converged. Difference: 0.0448
1,9,57.9594,47.1388,Warrior,82.4711,89.0511,25.4687,0.7041,2.3050,1.8591,200,58.5826,195.9333,356.6247,107.4922,186.7267,228.0926,0.0026,0.0580,Population structure converged. Difference: 0.0448
1,10,58.3757,48.6472,Warrior,88.0893,85.8396,22.7244,0.6787,2.6681,1.8615,200,58.5826,197.5673,341.6800,81.1470,154.0965,253.9308,0.0059,0.0580,Population structure converged. Difference: 0.0448
1,11,58.3757,49.5293,Warrior,88.0893,85.8396,22.7244,0.6787,2.6681,1.8615,200,58.5826,170.4008,325.8489,101.0346,132.3808,228.5213,0.0040,0.0580,Population structure converged. Difference: 0.0448
1,12,58.5066,51.8063,Warrior,92.9231,80.8133,23.1127,0.6389,2.5118,1.8615,200,58.5826,135.4718,255.7638,110.8825,87.2941,153.8697,0.0093,0.0580,Population structure converged. Difference: 0.0448
1,13,58.6423,53.7019,Warrior,88.4389,86.1802,22.8145,0.6814,1.8850,1.8615,200,58.5826,125.4352,215.3003,114.2333,79.2821,93.3367,0.0091,0.0580,Population structure converged. Difference: 0.0448
1,14,58.5883,54.0998,Warrior,86.0989,86.6093,24.7704,0.6863,1.8351,1.8615,200,58.5826,99.2497,217.9553,130.5849,63.2032,78.2246,0.0057,0.0580,Population structure converged. Difference: 0.0448
1,15,58.5883,55.7795,Warrior,86.0989,86.6093,24.7704,0.6863,1.8351,1.8615,200,58.5826,73.2683,177.0182,77.8013,41.4473,31.9054,0.0000,0.0580,Population structure converged. Difference: 0.0448
1,16,58.5826,56.0690,Warrior,88.9910,83.4310,24.9707,0.6923,1.9151,1.8591,200,58.5826,73.3754,157.9473,75.3557,28.8386,29.4072,0.0000,0.0580,Population structure converged. Difference: 0.0448
2,0,42.3417,27.6990,Warrior,55.6989,54.2767,44.5802,10.6292,34.8150,1.9267,200,55.3521,579.1403,498.4241,492.0523,383.0825,425.2092,0.0380,0.1482,Population structure converged. Difference: 0.0480
2,1,43.2191,29.8687,Warrior,83.4731,33.1228,45.6925,2.9065,34.8052,1.9276,200,55.3521,416.5022,326.6450,434.9039,406.5444,313.3553,0.0316,0.1482,Population structure converged. Difference: 0.0480
2,2,42.3417,31.6738,Warrior,55.6989,54.2767,44.5802,10.6292,34.8150,1.9267,200,55.3521,247.5058,282.6361,518.1814,405.4877,164.0941,0.0290,0.1482,Population structure converged. Difference: 0.0480
2,3,44.5602,33.4274,Warrior,65.4563,42.8896,54.8809,13.0852,23.6879,1.9102,200,55.3521,231.3509,287.0974,399.3543,328.3897,137.8826,0.0258,0.1482,Population structure converged. Difference: 0.0480
2,4,44.5602,33.5090,Warrior,65.4563,42.8896,54.8809,13.0852,23.6879,1.9102,200,55.3521,278.6268,259.9861,342.2740,363.7466,131.5699,0.0209,0.1482,Population structure converged. Difference: 0.0480
2,5,49.3244,35.5399,Warrior,65.9342,51.8788,66.9226,4.2569,11.0075,1.8704,200,55.3521,260.4834,271.4101,298.5277,262.1295,160.9104,0.0213,0.1482,Population structure converged. Difference: 0.0480
2,6,49.3244,36.5340,Warrior,65.9342,51.8788,66.9226,4.2569,11.0075,1.8704,200,55.3521,270.1735,245.1751,263.9505,196.3778,161.7892,0.0221,0.1482,Population structure converged. Difference: 0.0480
2,7,50.7398,36.4572,Warrior,73.2005,49.0670,63.2954,4.0262,10.4109,1.8704,200,55.3521,331.7588,270.9927,286.2073,174.6412,164.9976,0.0224,0.1482,Population structure converged. Difference: 0.0480
2,8,50.7398,37.5099,Warrior,73.2005,49.0670,63.2954,4.0262,10.4109,1.8704,200,55.3521,354.3245,259.9026,305.5932,177.5514,151.7271,0.0208,0.1482,Population structure converged. Difference: 0.0480
2,9,50.2048,38.8825,Warrior,73.9487,45.8930,65.9330,3.7080,10.5173,1.8704,200,55.3521,281.8496,296.4357,244.8319,162.6826,143.2011,0.0206,0.1482,Population structure converged. Difference: 0.0480
2,10,50.2048,39.8479,Warrior,73.9487,45.8930,65.9330,3.7080,10.5173,1.8704,200,55.3521,204.2321,233.2559,212.0602,168.9320,135.1981,0.0173,0.1482,Population structure converged. Difference: 0.0480
2,11,50.2141,40.3121,Warrior,69.4662,50.4450,65.8758,3.7048,10.5082,1.8704,200,55.3521,151.4412,119.1272,119.4378,187.8086,155.9150,0.0235,0.1482,Population structure converged. Difference: 0.0480
2,12,51.6184,42.4214,Warrior,79.1655,49.1305,56.4752,3.9696,11.2592,1.8704,200,55.3521,123.6244,120.7454,137.5154,160.6686,101.6265,0.0242,0.1482,Population structure converged. Difference: 0.0480
2,13,51.2475,43.4194,Warrior,72.1441,50.5060,60.2915,5.7842,11.2742,1.9149,200,55.3521,110.4905,126.4979,141.4099,138.8206,92.5975,0.0199,0.1482,Population structure converged. Difference: 0.0480
2,14,52.0621,44.9705,Warrior,82.8946,51.4448,49.0081,4.6441,12.0085,1.8704,200,55.3521,109.1250,88.6444,142.4486,118.7239,52.0100,0.0095,0.1482,Population structure converged. Difference: 0.0480
2,15,51.9739,45.3991,Warrior,80.0993,52.6728,50.1780,4.7549,12.2951,1.8704,200,55.3521,109.6687,104.2108,149.0896,125.9746,43.8237,0.0061,0.1482,Population structure converged. Difference: 0.0480
2,16,51.7016,46.1446,Warrior,79.3030,49.4996,55.9191,3.9995,11.2788,1.8704,200,55.3521,102.2872,99.1534,159.3521,106.5275,40.4101,0.0016,0.1482,Population structure converged. Difference: 0.0480
2,17,53.1269,47.0901,Warrior,74.7421,57.3387,56.9178,5.4605,5.5408,1.8704,200,55.3521,72.5517,93.0068,131.5150,86.7619,46.6279,0.0010,0.1482,Population structure converged. Difference: 0.0480
2,18,53.1269,47.7325,Warrior,74.7421,57.3387,56.9178,5.4605,5.5408,1.8704,200,55.3521,66.2904,77.2349,139.7572,63.3668,50.9504,0.0007,0.1482,Population structure converged. Difference: 0.0480
2,19,53.1269,48.6284,Warrior,74.7421,57.3387,56.9178,5.4605,5.5408,1.8704,200,55.3521,59.9638,85.0903,132.5586,47.9594,36.3547,0.0007,0.1482,Population structure converged. Difference: 0.0480
2,20,53.1269,48.3612,Warrior,74.7421,57.3387,56.9178,5.4605,5.5408,1.8704,200,55.3521,55.3555,83.7661,110.5427,47.5931,34.7671,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,21,53.0267,48.4983,Warrior,76.8252,58.4760,49.9464,4.7666,9.9858,1.8704,200,55.3521,62.0369,70.4881,139.1329,53.1165,25.1996,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,22,53.9157,48.9192,Warrior,98.4904,52.1803,36.6129,4.4528,8.2637,1.9149,200,55.3521,59.1536,51.2820,119.7443,42.3360,18.8990,0.0007,0.1482,Population structure converged. Difference: 0.0480
2,23,53.6315,48.8964,Warrior,81.3585,52.1571,51.7742,3.6782,11.0319,1.9149,200,55.3521,41.8107,46.4424,111.9733,63.2639,17.4248,0.0007,0.1482,Population structure converged. Difference: 0.0480
2,24,53.6315,49.3532,Warrior,81.3585,52.1571,51.7742,3.6782,11.0319,1.9149,200,55.3521,39.9243,54.4843,120.5925,69.3857,11.8802,0.0007,0.1482,Population structure converged. Difference: 0.0480
2,25,54.0956,49.7930,Warrior,84.8391,54.3884,45.4331,3.8356,11.5039,1.9149,200,55.3521,37.9685,53.5678,118.6635,55.2149,8.0105,0.0007,0.1482,Population structure converged. Difference: 0.0480
2,26,54.4202,50.0401,Warrior,75.4623,63.9835,44.8948,3.7330,11.9264,1.9149,200,55.3521,41.1445,54.4876,112.0464,58.4418,7.4706,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,27,54.4202,50.5764,Warrior,75.4623,63.9835,44.8948,3.7330,11.9264,1.9149,200,55.3521,30.6924,55.9127,91.5231,21.4841,6.8943,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,28,54.4202,50.9585,Warrior,75.4623,63.9835,44.8948,3.7330,11.9264,1.9149,200,55.3521,25.2442,55.0314,93.8275,16.8698,7.8955,0.0004,0.1482,Population structure converged. Difference: 0.0480
2,29,54.5761,51.0585,Warrior,78.7665,59.9536,51.2085,4.1582,5.9131,1.8704,200,55.3521,24.7715,56.6159,86.7413,16.2615,7.1831,0.0005,0.1482,Population structure converged. Difference: 0.0480
2,30,54.5761,51.4586,Warrior,78.7665,59.9536,51.2085,4.1582,5.9131,1.8704,200,55.3521,15.5025,44.8681,52.4703,5.3987,6.7241,0.0004,0.1482,Population structure converged. Difference: 0.0480
2,31,54.5761,51.7659,Warrior,78.7665,59.9536,51.2085,4.1582,5.9131,1.8704,200,55.3521,16.5267,38.1271,43.7123,1.2928,7.0960,0.0004,0.1482,Population structure converged. Difference: 0.0480
2,32,54.5761,51.7349,Warrior,78.7665,59.9536,51.2085,4.1582,5.9131,1.8704,200,55.3521,23.7184,36.2013,37.4324,1.0897,6.5567,0.0004,0.1482,Population structure converged. Difference: 0.0480
2,33,55.5016,51.7674,Warrior,81.0111,62.5837,43.9126,6.3778,6.1148,1.9267,200,55.3521,27.6537,34.9443,44.2458,1.2385,8.2837,0.0005,0.1482,Population structure converged. Difference: 0.0480
2,34,55.5016,52.0504,Warrior,81.0111,62.5837,43.9126,6.3778,6.1148,1.9267,200,55.3521,28.1950,34.4101,49.6698,1.4122,8.9332,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,35,55.5016,52.3315,Warrior,81.0111,62.5837,43.9126,6.3778,6.1148,1.9267,200,55.3521,24.1536,31.9394,41.1164,1.4456,8.2438,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,36,55.5016,52.4288,Warrior,81.0111,62.5837,43.9126,6.3778,6.1148,1.9267,200,55.3521,28.1716,30.7415,30.9995,1.5222,8.1063,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,37,55.6933,52.6561,Warrior,82.5096,63.4565,44.5250,3.4692,6.0398,1.8704,200,55.3521,17.3278,24.0927,23.5045,1.4763,8.2118,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,38,55.6933,52.7512,Warrior,82.5096,63.4565,44.5250,3.4692,6.0398,1.8704,200,55.3521,15.0308,23.6773,21.6688,1.5357,7.3217,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,39,55.5382,52.7571,Warrior,80.7828,62.4073,43.7888,3.1963,9.8247,1.9267,200,55.3521,14.6296,26.2652,25.0045,1.6048,7.5171,0.0006,0.1482,Population structure converged. Difference: 0.0480
2,40,55.3521,52.8174,Warrior,82.7379,60.9486,42.7653,3.6903,9.8578,1.9267,200,55.3521,16.7360,22.1539,22.0380,1.6671,7.2766,0.0005,0.1482,Population structure converged. Difference: 0.0480
3,0,42.7686,26.6225,Warrior,72.2359,59.5175,44.9038,0.3841,22.9588,1.3781,200,57.6142,391.8160,446.1166,342.2612,489.4961,435.7486,0.0421,0.1186,Population structure converged. Difference: 0.0472
3,1,42.7686,28.1076,Warrior,72.2359,59.5175,44.9038,0.3841,22.9588,1.3781,200,57.6142,408.4574,385.7525,352.4405,341.0753,342.1894,0.0453,0.1186,Population structure converged. Difference: 0.0472
3,2,43.4384,29.5490,Warrior,75.5005,51.1956,38.6252,0.3304,34.3485,1.7980,200,57.6142,388.4320,429.8190,346.8785,298.3281,309.4957,0.0432,0.1186,Population structure converged. Difference: 0.0472
3,3,43.5220,30.7146,Warrior,67.4075,60.4163,45.5819,0.3899,26.2046,1.7594,200,57.6142,450.4461,389.1799,343.4079,333.2113,297.1209,0.0475,0.1186,Population structure converged. Difference: 0.0472
3,4,43.5220,32.5143,Warrior,67.4075,60.4163,45.5819,0.3899,26.2046,1.7594,200,57.6142,316.7486,322.5087,340.4354,292.7408,297.0605,0.0463,0.1186,Population structure converged. Difference: 0.0472
3,5,53.6234,34.2956,Warrior,78.6131,64.7718,48.8679,0.4180,7.3293,1.9793,200,57.6142,256.9217,252.1740,325.6843,295.1871,246.2768,0.0547,0.1186,Population structure converged. Difference: 0.0472
3,6,53.6234,36.8598,Warrior,78.6131,64.7718,48.8679,0.4180,7.3293,1.9793,200,57.6142,164.1196,204.3822,267.6697,304.8751,185.3422,0.0530,0.1186,Population structure converged. Difference: 0.0472
3,7,53.6234,37.7930,Warrior,78.6131,64.7718,48.8679,0.4180,7.3293,1.9793,200,57.6142,175.9955,179.2630,299.3836,323.8784,181.5387,0.0495,0.1186,Population structure converged. Difference: 0.0472
3,8,53.6234,39.4701,Warrior,78.6131,64.7718,48.8679,0.4180,7.3293,1.9793,200,57.6142,140.6976,175.5553,276.7221,331.5190,150.7673,0.0494,0.1186,Population structure converged. Difference: 0.0472
3,9,53.6234,41.0963,Warrior,78.6131,64.7718,48.8679,0.4180,7.3293,1.9793,200,57.6142,138.8093,129.6200,236.8585,339.9172,151.2987,0.0402,0.1186,Population structure converged. Difference: 0.0472
3,10,54.1795,41.4929,Warrior,89.4335,62.1686,40.8656,0.8280,6.7044,1.9793,200,57.6142,113.2028,122.4497,206.3710,309.3038,122.4051,0.0324,0.1186,Population structure converged. Difference: 0.0472
3,11,54.1795,43.6393,Warrior,89.4335,62.1686,40.8656,0.8280,6.7044,1.9793,200,57.6142,115.3126,101.2386,196.0112,271.2453,136.3540,0.0260,0.1186,Population structure converged. Difference: 0.0472
3,12,56.1041,45.6620,Warrior,70.6529,70.7593,51.0676,0.5011,7.0191,1.9193,200,57.6142,107.4883,101.3637,165.5555,224.2122,116.6496,0.0117,0.1186,Population structure converged. Difference: 0.0472
3,13,56.8248,46.7492,Warrior,74.0951,68.8763,49.7086,0.4878,6.8323,1.9193,200,57.6142,100.2297,75.6248,103.3526,192.1008,108.3942,0.0209,0.1186,Population structure converged. Difference: 0.0472
3,14,56.8248,47.6822,Warrior,74.0951,68.8763,49.7086,0.4878,6.8323,1.9193,200,57.6142,113.6389,71.4877,78.5157,140.8378,111.6948,0.0128,0.1186,Population structure converged. Difference: 0.0472
3,15,56.8248,48.5832,Warrior,74.0951,68.8763,49.7086,0.4878,6.8323,1.9193,200,57.6142,120.0177,78.0352,82.8749,111.6985,86.1939,0.0055,0.1186,Population structure converged. Difference: 0.0472
3,16,56.8248,49.3738,Warrior,74.0951,68.8763,49.7086,0.4878,6.8323,1.9193,200,57.6142,144.0897,75.5610,111.6223,113.8402,50.2468,0.0054,0.1186,Population structure converged. Difference: 0.0472
3,17,56.8808,50.5070,Warrior,76.8937,71.9994,41.5366,0.5163,9.0539,1.8986,200,57.6142,112.4509,72.0093,93.5914,73.1161,33.1402,0.0021,0.1186,Population structure converged. Difference: 0.0472
3,18,56.8248,50.8041,Warrior,74.0951,68.8763,49.7086,0.4878,6.8323,1.9193,200,57.6142,136.0387,74.5691,151.3692,52.1180,27.4564,0.0016,0.1186,Population structure converged. Difference: 0.0472
3,19,56.8540,51.2262,Warrior,80.4658,66.1392,43.7749,1.2354,8.3846,1.8986,200,57.6142,109.3235,83.5363,90.3573,45.6858,26.2602,0.0014,0.1186,Population structure converged. Difference: 0.0472
3,20,57.0091,51.5315,Warrior,81.2558,63.0648,47.5801,0.9632,7.1361,1.8986,200,57.6142,98.5835,80.5515,46.4362,47.9785,24.6342,0.0012,0.1186,Population structure converged. Difference: 0.0472
3,21,57.0976,51.6792,Warrior,79.1677,64.0035,49.0038,0.6334,7.1916,1.9193,200,57.6142,89.3106,87.0020,54.7411,55.2623,23.1547,0.0011,0.1186,Population structure converged. Difference: 0.0472
3,22,57.0976,52.2310,Warrior,79.1677,64.0035,49.0038,0.6334,7.1916,1.9193,200,57.6142,96.8113,62.8045,33.7755,43.2050,24.6266,0.0011,0.1186,Population structure converged. Difference: 0.0472
