Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.7662,25.9071,Warrior,81.6445,37.4616,69.3751,8.9228,2.5961,1.8132,200,53.6967,465.9729,575.0294,376.0728,371.6246,450.7694,0.0440,0.5826,Population structure converged. Difference: 0.0100
1,1,44.6327,27.9689,Warrior,81.6445,37.4616,69.3751,8.9228,2.5961,1.9957,200,53.6967,337.1408,475.8993,400.5739,319.4211,372.1219,0.0410,0.5826,Population structure converged. Difference: 0.0100
1,2,44.6327,28.2438,Warrior,81.6445,37.4616,69.3751,8.9228,2.5961,1.9957,200,53.6967,455.2743,567.2197,374.3538,255.3070,355.0335,0.0382,0.5826,Population structure converged. Difference: 0.0100
1,3,44.6327,29.7763,Warrior,81.6445,37.4616,69.3751,8.9228,2.5961,1.9957,200,53.6967,630.2370,537.6685,319.1084,232.9966,484.8582,0.0427,0.5826,Population structure converged. Difference: 0.0100
1,4,46.2836,31.2470,Warrior,80.9789,43.0231,64.7810,8.3319,2.8851,1.7957,200,53.6967,747.7810,520.0755,344.3271,236.3577,442.5459,0.0445,0.5826,Population structure converged. Difference: 0.0100
1,5,49.1941,32.5915,Warrior,67.6541,66.1724,41.4349,19.1631,5.5755,1.9469,200,53.6967,731.0063,539.9757,345.9131,208.7558,453.8520,0.0434,0.5826,Population structure converged. Difference: 0.0100
1,6,52.8521,33.2704,Warrior,67.1988,80.4061,36.9232,10.3237,5.1482,1.9369,200,53.6967,698.6088,420.8627,307.9048,159.2670,461.8709,0.0355,0.5826,Population structure converged. Difference: 0.0100
1,7,52.8521,34.3288,Warrior,67.1988,80.4061,36.9232,10.3237,5.1482,1.9369,200,53.6967,663.1184,364.9913,175.8079,146.9142,468.0287,0.0305,0.5826,Population structure converged. Difference: 0.0100
1,8,52.8521,35.3289,Warrior,67.1988,80.4061,36.9232,10.3237,5.1482,1.9369,200,53.6967,670.3524,267.1278,184.0349,124.0594,507.1902,0.0217,0.5826,Population structure converged. Difference: 0.0100
1,9,52.8521,36.7916,Warrior,67.1988,80.4061,36.9232,10.3237,5.1482,1.9369,200,53.6967,578.5137,313.9597,174.3720,107.3647,414.4794,0.0167,0.5826,Population structure converged. Difference: 0.0100
1,10,52.8521,38.7310,Warrior,67.1988,80.4061,36.9232,10.3237,5.1482,1.9369,200,53.6967,434.9047,338.3712,181.3063,105.6295,335.3317,0.0106,0.5826,Population structure converged. Difference: 0.0100
1,11,52.6786,39.7976,Warrior,90.5165,56.7875,36.0215,10.0716,6.6028,1.9517,200,53.6967,385.2442,353.5734,127.7052,85.6046,296.4085,0.0092,0.5826,Population structure converged. Difference: 0.0100
1,12,52.6863,39.8036,Warrior,89.8781,56.3870,37.1781,10.0005,6.5563,1.9517,200,53.6967,381.9444,377.3409,119.9193,68.6175,304.3559,0.0093,0.5826,Population structure converged. Difference: 0.0100
1,13,52.6863,41.0941,Warrior,89.8781,56.3870,37.1781,10.0005,6.5563,1.9517,200,53.6967,288.8997,325.8683,117.6333,68.4428,229.2370,0.0098,0.5826,Population structure converged. Difference: 0.0100
1,14,53.5686,41.8360,Warrior,71.5395,75.1351,38.5524,6.2392,8.5337,1.9517,200,53.6967,245.8353,221.1795,103.1674,67.0048,198.1607,0.0083,0.5826,Population structure converged. Difference: 0.0100
1,15,53.5698,42.9818,Warrior,71.5531,75.1115,38.5597,6.2404,8.5353,1.9517,200,53.6967,196.3013,202.1696,127.0865,62.7445,177.5321,0.0066,0.5826,Population structure converged. Difference: 0.0100
1,16,53.4628,42.9781,Warrior,70.9783,74.5457,39.8189,6.1902,8.4668,1.9517,200,53.6967,209.3269,199.4234,102.0908,57.3209,159.9586,0.0078,0.5826,Population structure converged. Difference: 0.0100
1,17,54.6406,43.4105,Warrior,80.3232,66.6499,39.3193,9.4494,4.2582,1.9469,200,53.6967,176.5293,186.9189,112.3091,56.0133,141.2038,0.0084,0.5826,Population structure converged. Difference: 0.0100
1,18,53.4628,44.4381,Warrior,70.9783,74.5457,39.8189,6.1902,8.4668,1.9517,200,53.6967,156.2210,144.8608,85.5910,52.9104,122.7035,0.0094,0.5826,Population structure converged. Difference: 0.0100
1,19,54.6704,45.2442,Warrior,90.7479,64.7912,31.1000,8.6955,4.6654,1.9517,200,53.6967,156.4595,144.6546,96.4262,38.1539,110.9810,0.0095,0.5826,Population structure converged. Difference: 0.0100
1,20,53.6537,45.5860,Warrior,71.2011,74.7797,39.9439,6.2097,7.8657,1.9517,200,53.6967,108.3257,147.1551,75.6585,36.5223,98.3706,0.0083,0.5826,Population structure converged. Difference: 0.0100
1,21,54.2670,46.1517,Warrior,78.6431,63.4622,45.6149,8.4651,3.8146,1.9517,200,53.6967,96.5023,118.9484,48.3520,38.5320,96.6161,0.0088,0.5826,Population structure converged. Difference: 0.0100
1,22,54.6757,46.5300,Warrior,90.4295,59.3259,38.5212,7.3370,4.3864,1.9517,200,53.6967,100.0369,109.7403,52.6640,27.9963,95.3014,0.0084,0.5826,Population structure converged. Difference: 0.0100
1,23,54.6757,46.5143,Warrior,90.4295,59.3259,38.5212,7.3370,4.3864,1.9517,200,53.6967,101.3691,86.8473,52.0288,25.6878,97.9939,0.0083,0.5826,Population structure converged. Difference: 0.0100
1,24,54.5703,46.3298,Warrior,88.3541,57.9643,42.2272,7.1687,4.2857,1.9517,200,53.6967,102.2123,84.2020,42.6830,28.6703,95.1470,0.0088,0.5826,Population structure converged. Difference: 0.0100
1,25,53.9520,46.4476,Warrior,74.5836,66.5584,46.2991,7.8599,4.6990,1.9517,200,53.6967,89.1920,92.3763,35.6688,30.1199,92.9541,0.0081,0.5826,Population structure converged. Difference: 0.0100
1,26,53.6537,46.9093,Warrior,71.2011,74.7797,39.9439,6.2097,7.8657,1.9517,200,53.6967,94.6538,91.5610,41.5985,28.2109,98.9780,0.0072,0.5826,Population structure converged. Difference: 0.0100
1,27,54.4485,47.0925,Warrior,75.1351,68.2764,44.5392,6.5197,5.5296,1.9517,200,53.6967,59.9274,90.3604,37.8882,32.7425,92.8722,0.0066,0.5826,Population structure converged. Difference: 0.0100
1,28,53.7437,47.3817,Warrior,79.9213,59.6888,46.2833,8.9216,5.1850,1.9469,200,53.6967,56.5025,80.4130,39.3172,37.8530,74.3947,0.0080,0.5826,Population structure converged. Difference: 0.0100
1,29,55.2995,47.6442,Warrior,78.1808,70.1103,40.5259,6.2804,4.9025,1.9517,200,53.6967,55.4791,75.1473,47.0940,32.6925,74.1185,0.0072,0.5826,Population structure converged. Difference: 0.0100
1,30,55.2995,47.8476,Warrior,78.1808,70.1103,40.5259,6.2804,4.9025,1.9517,200,53.6967,53.5207,83.9363,36.0880,37.6597,74.3205,0.0061,0.5826,Population structure converged. Difference: 0.0100
1,31,53.7255,48.0298,Warrior,84.5321,63.1324,35.3376,8.9693,8.0287,1.9469,200,53.6967,58.7374,67.2330,37.1081,36.5100,52.7029,0.0061,0.5826,Population structure converged. Difference: 0.0100
