Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.6271,31.9379,Warrior,84.0503,67.7586,30.7180,7.6694,9.8036,1.7705,200,57.7234,515.4193,410.5686,355.2550,352.9616,385.3000,0.0378,0.0475,Population structure converged. Difference: 0.0088
1,1,47.6302,39.2731,Warrior,82.6833,66.6566,33.4713,7.5447,9.6442,1.7705,200,57.7234,478.9078,239.4446,152.8997,238.3058,300.7738,0.0297,0.0475,Population structure converged. Difference: 0.0088
1,2,47.9820,44.2177,Warrior,56.5150,78.0709,41.6964,10.4104,13.3074,1.9091,200,57.7234,262.3957,105.7498,79.2724,126.4343,171.5877,0.0078,0.0475,Population structure converged. Difference: 0.0088
1,3,48.7626,46.6375,Warrior,59.6682,82.4268,32.8639,10.9912,14.0499,1.9091,200,57.7234,114.8348,15.1126,17.4013,7.6001,77.2935,0.0043,0.0475,Population structure converged. Difference: 0.0088
1,4,51.1510,47.2307,Warrior,62.0149,85.6686,34.1563,7.9710,10.1892,1.9091,200,57.7234,89.3426,23.6789,23.1745,4.2063,28.2142,0.0049,0.0475,Population structure converged. Difference: 0.0088
1,5,52.7784,47.8419,Warrior,73.1166,69.0379,36.8720,9.2059,11.7677,1.9091,200,57.7234,132.7455,59.4465,23.5349,4.5081,19.1449,0.0076,0.0475,Population structure converged. Difference: 0.0088
1,6,57.1696,49.4246,Warrior,86.8885,70.0467,31.7553,0.7177,10.5917,1.9091,200,57.7234,118.1160,70.4305,16.5447,6.8005,9.4145,0.0084,0.0475,Population structure converged. Difference: 0.0088
1,7,57.3355,51.3056,Warrior,79.7429,78.7066,31.1711,0.6587,9.7207,1.9091,200,57.7234,112.8787,71.8400,10.9159,10.2126,8.2803,0.0045,0.0475,Population structure converged. Difference: 0.0088
1,8,57.4923,54.1219,Warrior,87.5514,70.5811,31.4089,0.6637,9.7948,1.9091,200,57.7234,103.9254,54.5157,3.0799,15.5105,1.4271,0.0007,0.0475,Population structure converged. Difference: 0.0088
1,9,57.5049,55.8771,Warrior,86.7224,71.1083,31.6946,0.7240,9.7507,1.9091,200,57.7234,47.9955,28.9595,1.4201,10.6736,0.8170,0.0007,0.0475,Population structure converged. Difference: 0.0088
1,10,57.7234,56.5857,Warrior,83.8913,75.9916,30.0958,0.6360,9.3854,1.9091,200,57.7234,22.3153,16.9209,0.6281,5.6679,0.4014,0.0006,0.0475,Population structure converged. Difference: 0.0088
1,11,57.7234,56.9997,Warrior,83.8913,75.9916,30.0958,0.6360,9.3854,1.9091,200,57.7234,10.7211,10.2657,0.6656,2.9974,0.3060,0.0004,0.0475,Population structure converged. Difference: 0.0088
1,12,57.7234,57.2202,Warrior,83.8913,75.9916,30.0958,0.6360,9.3854,1.9091,200,57.7234,9.4433,8.1104,0.6936,1.1359,0.2885,0.0002,0.0475,Population structure converged. Difference: 0.0088
2,0,45.5968,32.5656,Warrior,64.2614,47.0292,55.1347,0.6638,32.9108,1.9422,200,54.4768,424.9724,278.9771,434.2798,416.6512,364.2859,0.0518,0.0461,Population structure converged. Difference: 0.0066
2,1,48.4877,38.7678,Warrior,74.7532,40.1468,64.1364,0.7722,20.1914,1.9422,200,54.4768,215.6081,123.5550,273.9809,328.8253,158.2768,0.0536,0.0461,Population structure converged. Difference: 0.0066
2,2,49.4264,42.9678,Warrior,72.4489,45.0743,62.1594,0.7484,19.5690,1.9422,200,54.4768,115.8109,77.9868,164.0590,105.8992,102.3383,0.0383,0.0461,Population structure converged. Difference: 0.0066
2,3,53.1210,45.3297,Warrior,82.0734,64.2019,33.1474,0.7273,19.8500,1.9422,200,54.4768,52.6605,66.5195,151.6692,64.7148,56.1285,0.0206,0.0461,Population structure converged. Difference: 0.0066
2,4,53.1210,48.2745,Warrior,82.0734,64.2019,33.1474,0.7273,19.8500,1.9422,200,54.4768,37.3165,86.9023,150.7297,9.8083,26.4607,0.0083,0.0461,Population structure converged. Difference: 0.0066
2,5,54.1424,49.9121,Warrior,78.2360,68.6812,35.4600,0.7304,16.8924,1.9422,200,54.4768,44.0116,99.9695,159.2869,3.6125,16.2128,0.0056,0.0461,Population structure converged. Difference: 0.0066
