Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.4250,29.2738,Warrior,83.1348,73.5633,26.8705,12.5951,3.8364,1.4614,200,54.0287,251.2567,408.9438,326.1318,306.6218,493.5596,0.0440,0.0579,Population structure converged. Difference: 0.0062
1,1,46.9574,32.2969,Warrior,73.7851,65.2901,23.8485,11.1786,25.8976,1.9546,200,54.0287,198.4560,243.6497,285.5324,186.2966,332.1300,0.0472,0.0579,Population structure converged. Difference: 0.0062
1,2,46.9574,33.6562,Warrior,73.7851,65.2901,23.8485,11.1786,25.8976,1.9546,200,54.0287,172.4324,178.8765,212.4284,178.4482,263.0373,0.0487,0.0579,Population structure converged. Difference: 0.0062
1,3,46.9574,35.5215,Warrior,73.7851,65.2901,23.8485,11.1786,25.8976,1.9546,200,54.0287,177.8302,175.2308,230.8042,151.3230,269.9318,0.0610,0.0579,Population structure converged. Difference: 0.0062
1,4,51.4461,37.8655,Warrior,79.8452,70.6525,25.8072,12.0967,11.5984,1.9546,200,54.0287,174.7956,185.8431,232.9027,133.0128,217.3763,0.0665,0.0579,Population structure converged. Difference: 0.0062
1,5,51.4461,39.8481,Warrior,79.8452,70.6525,25.8072,12.0967,11.5984,1.9546,200,54.0287,152.0796,126.1841,144.9855,146.9714,163.6905,0.0644,0.0579,Population structure converged. Difference: 0.0062
1,6,51.7708,42.1195,Warrior,74.6297,73.4166,31.6722,15.5463,4.7353,1.9546,200,54.0287,101.5509,114.2943,133.1399,109.0358,125.6266,0.0698,0.0579,Population structure converged. Difference: 0.0062
1,7,51.7708,43.2321,Warrior,74.6297,73.4166,31.6722,15.5463,4.7353,1.9546,200,54.0287,60.1753,122.9040,127.9045,68.7000,109.9689,0.0696,0.0579,Population structure converged. Difference: 0.0062
1,8,52.4116,45.4839,Warrior,75.5214,74.2938,32.0506,15.7320,2.4021,1.9546,200,54.0287,51.8907,69.5940,65.3674,44.5364,51.6015,0.0647,0.0579,Population structure converged. Difference: 0.0062
1,9,53.6740,47.0189,Warrior,83.0054,73.4488,26.8286,12.5755,4.1417,1.9546,200,54.0287,52.6871,33.6663,39.3974,31.6850,36.8481,0.0576,0.0579,Population structure converged. Difference: 0.0062
1,10,53.8935,48.5099,Warrior,83.2532,73.6681,26.9087,12.0160,4.1540,1.9546,200,54.0287,49.2360,26.5199,21.1602,19.6297,26.7627,0.0412,0.0579,Population structure converged. Difference: 0.0062
1,11,53.8935,49.7734,Warrior,83.2532,73.6681,26.9087,12.0160,4.1540,1.9546,200,54.0287,34.9780,18.4174,13.8428,8.3990,19.5805,0.0261,0.0579,Population structure converged. Difference: 0.0062
1,12,53.9153,50.8415,Warrior,80.4356,78.2829,25.4336,11.9216,3.9263,1.9546,200,54.0287,17.1751,18.1921,11.0606,6.5371,15.3865,0.0122,0.0579,Population structure converged. Difference: 0.0062
1,13,54.0962,51.8480,Warrior,82.8409,70.9969,30.7544,10.8537,4.5542,1.9546,200,54.0287,13.3046,20.0366,15.4940,4.2808,14.2849,0.0025,0.0579,Population structure converged. Difference: 0.0062
1,14,53.9390,52.5320,Warrior,82.5729,74.7004,26.6889,11.9178,4.1201,1.9546,200,54.0287,6.7466,9.7515,9.0292,2.0357,11.0036,0.0025,0.0579,Population structure converged. Difference: 0.0062
1,15,54.0283,53.1288,Warrior,83.4056,73.8029,26.9580,11.6719,4.1616,1.9546,200,54.0287,5.1660,4.9471,5.5566,1.6034,5.5777,0.0000,0.0579,Population structure converged. Difference: 0.0062
1,16,54.1697,53.4538,Warrior,82.5258,74.7332,27.2978,11.1869,4.2564,1.9546,200,54.0287,3.0092,2.2833,0.8046,0.8729,2.0916,0.0000,0.0579,Population structure converged. Difference: 0.0062
1,17,54.1697,53.6142,Warrior,82.5258,74.7332,27.2978,11.1869,4.2564,1.9546,200,54.0287,1.5509,1.0073,0.3030,0.9965,0.1701,0.0000,0.0579,Population structure converged. Difference: 0.0062
1,18,54.0287,53.6940,Warrior,83.3812,73.7814,27.0085,11.6685,4.1604,1.9546,200,54.0287,0.6177,0.6892,0.2070,0.3805,0.0907,0.0000,0.0579,Population structure converged. Difference: 0.0062
2,0,39.9210,28.1266,Warrior,72.8376,65.5583,26.2540,0.8665,34.4837,1.7144,200,55.5504,343.4003,449.7759,470.6540,450.4105,365.3074,0.0485,0.0870,Population structure converged. Difference: 0.0071
2,1,43.3439,30.0272,Warrior,69.1934,89.8052,2.2645,13.2673,25.4697,1.9769,200,55.5504,284.1039,452.7918,440.6920,428.5309,266.7846,0.0497,0.0870,Population structure converged. Difference: 0.0071
2,2,43.2010,31.9872,Warrior,72.0735,64.8706,25.9786,12.6989,24.3784,1.9973,200,55.5504,183.9484,394.0835,347.0641,328.7078,194.9777,0.0577,0.0870,Population structure converged. Difference: 0.0071
2,3,46.3999,33.8263,Warrior,76.2354,68.6166,27.4787,0.9069,26.7623,1.9938,200,55.5504,167.4808,361.9649,357.8485,286.1105,141.2303,0.0573,0.0870,Population structure converged. Difference: 0.0071
2,4,46.3999,35.2452,Warrior,76.2354,68.6166,27.4787,0.9069,26.7623,1.9938,200,55.5504,196.1363,357.8796,377.3647,217.3817,144.7144,0.0572,0.0870,Population structure converged. Difference: 0.0071
2,5,46.3999,36.2949,Warrior,76.2354,68.6166,27.4787,0.9069,26.7623,1.9938,200,55.5504,120.1347,306.3239,355.4720,172.9932,131.8223,0.0593,0.0870,Population structure converged. Difference: 0.0071
2,6,47.0093,38.1291,Warrior,72.8166,76.5871,28.1642,1.0853,21.3467,1.9985,200,55.5504,136.5249,236.0294,305.9417,96.2399,114.7536,0.0597,0.0870,Population structure converged. Difference: 0.0071
2,7,47.9504,40.4432,Warrior,78.0108,70.2146,28.8201,1.1106,21.8439,1.9938,200,55.5504,100.4259,201.5949,235.3953,52.9609,96.6404,0.0613,0.0870,Population structure converged. Difference: 0.0071
2,8,48.2139,41.8812,Warrior,71.3503,72.4771,34.3493,1.1973,20.6260,1.9905,200,55.5504,97.0029,132.8437,210.7607,33.6128,90.0190,0.0546,0.0870,Population structure converged. Difference: 0.0071
2,9,48.2139,43.2118,Warrior,71.3503,72.4771,34.3493,1.1973,20.6260,1.9905,200,55.5504,78.0153,119.5239,164.7140,35.5951,55.2420,0.0632,0.0870,Population structure converged. Difference: 0.0071
2,10,49.6995,44.3356,Warrior,80.7035,72.6381,29.0892,1.1562,16.4130,1.9938,200,55.5504,58.0984,72.3577,142.1812,36.8332,29.5917,0.0511,0.0870,Population structure converged. Difference: 0.0071
2,11,51.0965,45.4356,Warrior,76.2354,68.6166,27.4787,0.9069,26.7623,1.9198,200,55.5504,49.7035,51.2323,106.5585,20.1062,24.6603,0.0515,0.0870,Population structure converged. Difference: 0.0071
2,12,51.0965,46.4795,Warrior,76.2354,68.6166,27.4787,0.9069,26.7623,1.9198,200,55.5504,35.1702,34.7596,78.0735,17.9824,23.8642,0.0441,0.0870,Population structure converged. Difference: 0.0071
2,13,52.3101,47.2270,Warrior,75.2162,67.5167,33.3792,1.1016,22.7863,1.9198,200,55.5504,24.5607,20.8094,34.1178,17.9706,20.7297,0.0331,0.0870,Population structure converged. Difference: 0.0071
2,14,52.3101,47.8348,Warrior,75.2162,67.5167,33.3792,1.1016,22.7863,1.9198,200,55.5504,19.7118,18.7366,25.7024,13.0054,15.5981,0.0140,0.0870,Population structure converged. Difference: 0.0071
2,15,53.3609,48.6063,Warrior,76.2312,68.4278,34.5629,5.6998,15.0782,1.9198,200,55.5504,15.8194,11.1700,21.2858,4.2778,10.0428,0.0039,0.0870,Population structure converged. Difference: 0.0071
2,16,55.1115,49.0738,Warrior,78.0454,74.6824,30.6540,1.1813,15.4371,1.9198,200,55.5504,12.5298,10.0417,16.3702,2.9093,8.6648,0.0004,0.0870,Population structure converged. Difference: 0.0071
2,17,54.4451,49.5641,Warrior,80.1278,72.1199,28.8817,0.9532,17.9174,1.9198,200,55.5504,9.2327,10.3828,15.1289,1.6910,5.8752,0.0005,0.0870,Population structure converged. Difference: 0.0071
2,18,54.9032,49.9711,Warrior,80.6692,72.6073,29.0769,1.2405,16.4061,1.9198,200,55.5504,8.5098,8.4662,11.8362,1.3263,4.6103,0.0007,0.0870,Population structure converged. Difference: 0.0071
2,19,55.4872,50.4347,Warrior,81.4744,73.3320,29.0954,1.1673,14.9309,1.9198,200,55.5504,5.1700,6.1481,11.0048,1.8845,8.7346,0.0011,0.0870,Population structure converged. Difference: 0.0071
2,20,55.4872,50.9714,Warrior,81.4744,73.3320,29.0954,1.1673,14.9309,1.9198,200,55.5504,5.7512,5.3844,7.5195,1.1646,10.5184,0.0013,0.0870,Population structure converged. Difference: 0.0071
2,21,55.4872,51.6365,Warrior,81.4744,73.3320,29.0954,1.1673,14.9309,1.9198,200,55.5504,6.3318,6.1115,6.9064,1.5279,11.5685,0.0014,0.0870,Population structure converged. Difference: 0.0071
2,22,55.4872,52.5655,Warrior,81.4744,73.3320,29.0954,1.1673,14.9309,1.9198,200,55.5504,5.4251,5.2908,6.5118,2.7578,11.1241,0.0010,0.0870,Population structure converged. Difference: 0.0071
2,23,55.4872,53.1668,Warrior,81.4744,73.3320,29.0954,1.1673,14.9309,1.9198,200,55.5504,4.7199,4.6398,8.1856,2.7502,9.4209,0.0007,0.0870,Population structure converged. Difference: 0.0071
2,24,55.4872,53.9323,Warrior,81.4744,73.3320,29.0954,1.1673,14.9309,1.9198,200,55.5504,4.8112,4.5787,9.7256,2.8849,5.5038,0.0003,0.0870,Population structure converged. Difference: 0.0071
