Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.2396,31.0044,Warrior,78.6814,54.3133,45.1729,5.5290,16.3034,1.8173,200,57.1375,415.0416,360.6805,486.8763,387.3667,464.8696,0.0347,0.0669,Population structure converged. Difference: 0.0068
1,1,48.2396,36.3299,Warrior,78.6814,54.3133,45.1729,5.5290,16.3034,1.8173,200,57.1375,290.2905,234.1730,482.3606,213.3200,443.3704,0.0288,0.0669,Population structure converged. Difference: 0.0068
1,2,50.6701,41.3497,Warrior,82.7523,57.1234,47.5102,7.6807,4.9334,1.8173,200,57.1375,184.6958,156.5523,348.7380,97.6817,174.4996,0.0220,0.0669,Population structure converged. Difference: 0.0068
1,3,51.3909,44.4220,Warrior,75.1838,56.4970,46.9892,5.7513,15.5787,1.8814,200,57.1375,100.4881,84.4862,110.8731,50.1098,44.4870,0.0155,0.0669,Population structure converged. Difference: 0.0068
1,4,52.3825,46.8890,Warrior,80.5730,55.6191,44.4634,3.6851,15.6594,1.8814,200,57.1375,85.1268,59.3755,105.5175,32.7134,30.6381,0.0093,0.0669,Population structure converged. Difference: 0.0068
1,5,52.5004,48.8027,Warrior,81.6097,56.3346,42.5730,3.7325,15.7502,1.8814,200,57.1375,33.2543,20.8054,17.7763,4.0468,21.0822,0.0031,0.0669,Population structure converged. Difference: 0.0068
1,6,53.8498,49.8554,Warrior,80.9016,60.7936,43.2953,9.1392,5.8702,1.8814,200,57.1375,23.4826,20.6930,18.6937,3.0606,23.0559,0.0022,0.0669,Population structure converged. Difference: 0.0068
1,7,55.3229,51.0002,Warrior,82.7611,58.5392,48.6877,4.0611,5.9510,1.8814,200,57.1375,12.1460,7.8575,14.9317,3.0702,25.4730,0.0011,0.0669,Population structure converged. Difference: 0.0068
1,8,55.8283,52.1724,Warrior,82.8784,61.2290,46.2718,4.0568,5.5640,1.8814,200,57.1375,8.7969,6.7311,10.5908,3.6909,23.9953,0.0009,0.0669,Population structure converged. Difference: 0.0068
1,9,55.8283,53.1105,Warrior,82.8784,61.2290,46.2718,4.0568,5.5640,1.8814,200,57.1375,7.7930,5.7780,9.5208,4.5257,21.2019,0.0006,0.0669,Population structure converged. Difference: 0.0068
1,10,56.7592,54.0364,Warrior,83.0118,70.4188,36.7535,3.2223,6.5937,1.8814,200,57.1375,7.1853,5.9792,7.5360,4.6913,16.1727,0.0001,0.0669,Population structure converged. Difference: 0.0068
1,11,56.9713,54.7683,Warrior,83.2794,70.6458,36.8720,3.2327,5.9701,1.8814,200,57.1375,3.6342,6.3277,6.1598,3.8038,9.6624,0.0000,0.0669,Population structure converged. Difference: 0.0068
1,12,56.9713,55.4584,Warrior,83.2794,70.6458,36.8720,3.2327,5.9701,1.8814,200,57.1375,1.8164,9.0859,6.6152,1.3502,4.1777,0.0000,0.0669,Population structure converged. Difference: 0.0068
1,13,56.9713,55.7917,Warrior,83.2794,70.6458,36.8720,3.2327,5.9701,1.8814,200,57.1375,1.3619,8.7979,6.6875,0.0962,1.9023,0.0000,0.0669,Population structure converged. Difference: 0.0068
1,14,57.0796,56.0213,Warrior,83.4163,70.7620,36.9326,3.2380,5.6512,1.8814,200,57.1375,1.3917,14.0641,11.7753,0.1137,0.8874,0.0000,0.0669,Population structure converged. Difference: 0.0068
1,15,57.0949,56.2365,Warrior,83.3854,70.7927,36.9870,3.2427,5.5922,1.8814,200,57.1375,1.7671,18.1716,15.6338,0.1389,0.8827,0.0000,0.0669,Population structure converged. Difference: 0.0068
1,16,57.1057,56.5212,Warrior,83.3969,70.8025,36.9921,3.2156,5.5929,1.8814,200,57.1375,1.3039,17.5293,16.0112,0.1715,0.0505,0.0000,0.0669,Population structure converged. Difference: 0.0068
1,17,57.1375,56.7506,Warrior,84.3952,70.1003,36.7349,3.2206,5.5489,1.8814,200,57.1375,0.5026,12.3924,10.8461,0.1484,0.0427,0.0000,0.0669,Population structure converged. Difference: 0.0068
2,0,43.4758,31.3856,Warrior,61.6426,51.0328,53.0335,30.1635,4.1276,1.9217,200,59.0285,250.6888,534.4809,369.8081,246.2077,421.0089,0.0378,0.0813,Population structure converged. Difference: 0.0097
2,1,47.9066,34.5971,Warrior,67.1802,81.3624,21.7292,21.8103,7.9179,1.9525,200,59.0285,189.8430,472.3456,348.0251,184.9364,328.7623,0.0410,0.0813,Population structure converged. Difference: 0.0097
2,2,48.8109,38.5114,Warrior,68.9293,48.4010,59.1637,8.6915,14.8145,1.9217,200,59.0285,123.8781,357.5516,266.5936,93.3653,215.1541,0.0385,0.0813,Population structure converged. Difference: 0.0097
2,3,49.4918,41.5896,Warrior,68.1235,82.5048,22.0343,22.1166,5.2208,1.9217,200,59.0285,103.9477,276.7086,302.6101,104.1445,147.1688,0.0321,0.0813,Population structure converged. Difference: 0.0097
2,4,51.7780,44.1926,Warrior,92.7600,69.6429,13.6633,8.8497,15.0841,1.9217,200,59.0285,99.6040,230.4218,327.0060,116.6311,84.0780,0.0260,0.0813,Population structure converged. Difference: 0.0097
2,5,54.4174,47.0444,Warrior,73.0253,88.4415,23.6198,9.3169,5.5965,1.9217,200,59.0285,81.7099,157.1380,330.3272,115.4238,41.9301,0.0045,0.0813,Population structure converged. Difference: 0.0097
2,6,56.0050,48.4410,Warrior,81.5799,61.9172,46.0513,6.7652,3.6864,1.9217,200,59.0285,83.3436,146.9500,315.1047,92.6304,40.6004,0.0023,0.0813,Population structure converged. Difference: 0.0097
2,7,56.0050,50.6838,Warrior,81.5799,61.9172,46.0513,6.7652,3.6864,1.9217,200,59.0285,63.0428,125.1795,311.9698,81.0184,24.2391,0.0001,0.0813,Population structure converged. Difference: 0.0097
2,8,56.3330,52.3282,Warrior,85.8003,84.9825,16.6728,7.4538,5.0905,1.9283,200,59.0285,77.8417,107.5454,230.9565,32.8031,17.7816,0.0001,0.0813,Population structure converged. Difference: 0.0097
2,9,57.2008,53.4919,Warrior,82.0335,73.3510,34.3033,5.6871,4.6251,1.9217,200,59.0285,85.7291,97.2755,182.3312,18.2133,14.2402,0.0001,0.0813,Population structure converged. Difference: 0.0097
2,10,57.1394,54.7818,Warrior,85.4266,86.2735,17.7782,6.4654,4.0564,1.9217,200,59.0285,82.1053,71.5254,120.7345,3.8347,5.8347,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,11,57.9568,55.4413,Warrior,91.1078,83.1845,17.1417,4.8726,3.6934,1.9217,200,59.0285,68.5548,69.4081,110.6101,0.5147,3.7136,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,12,57.9568,56.0162,Warrior,91.1078,83.1845,17.1417,4.8726,3.6934,1.9217,200,59.0285,51.6801,87.4785,114.7038,0.7011,2.0110,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,13,58.5026,56.5843,Warrior,81.6735,74.5116,37.4335,3.6300,2.7515,1.9217,200,59.0285,40.7271,93.4435,120.2800,1.0876,1.2178,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,14,58.6657,57.0879,Warrior,83.6595,73.2820,36.7872,3.5673,2.7040,1.9217,200,59.0285,24.6775,85.5812,107.6978,1.2092,0.8001,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,15,58.7661,57.5364,Warrior,85.6199,72.0265,36.1850,3.5089,2.6597,1.9217,200,59.0285,18.2731,68.6999,80.9821,1.5133,0.4876,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,16,58.7661,57.9215,Warrior,85.6199,72.0265,36.1850,3.5089,2.6597,1.9217,200,59.0285,17.4509,51.7181,67.8111,1.1560,0.3358,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,17,58.9302,58.1929,Warrior,90.8070,83.0786,19.8996,3.5352,2.6796,1.9217,200,59.0285,16.7027,41.4895,67.1529,0.8231,0.3188,0.0000,0.0813,Population structure converged. Difference: 0.0097
2,18,59.0285,58.4637,Warrior,83.9875,76.8395,33.4676,3.2454,2.4600,1.9217,200,59.0285,17.2552,30.4404,62.4723,0.4276,0.1987,0.0000,0.0813,Population structure converged. Difference: 0.0097
3,0,48.1133,28.8176,Warrior,68.4880,64.6419,41.7845,11.5469,13.5386,1.8383,200,53.2863,362.2912,299.7331,344.3912,412.1223,459.0623,0.0322,0.0695,Population structure converged. Difference: 0.0072
3,1,48.1133,32.9768,Warrior,68.4880,64.6419,41.7845,11.5469,13.5386,1.8383,200,53.2863,360.7972,189.2332,221.1855,250.3909,328.7358,0.0344,0.0695,Population structure converged. Difference: 0.0072
3,2,48.7663,36.9176,Warrior,68.4880,64.6419,41.7845,11.5469,13.5386,1.8513,200,53.2863,256.2607,135.9519,210.2374,217.0373,181.3379,0.0298,0.0695,Population structure converged. Difference: 0.0072
3,3,50.2596,39.5142,Warrior,81.5298,58.2315,37.6408,10.4019,12.1960,1.8513,200,53.2863,236.4922,116.0154,189.5795,169.0551,126.4361,0.0220,0.0695,Population structure converged. Difference: 0.0072
