Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.6551,30.1829,Warrior,63.6809,66.2598,51.4401,8.4487,10.1705,1.9900,200,57.5345,279.9419,376.0553,468.0058,336.0348,316.1174,0.0530,0.0666,Population structure converged. Difference: 0.0080
1,1,46.6551,33.3100,Warrior,63.6809,66.2598,51.4401,8.4487,10.1705,1.9900,200,57.5345,207.9976,338.0541,439.0987,341.2700,260.9493,0.0474,0.0666,Population structure converged. Difference: 0.0080
1,2,48.5940,37.8025,Warrior,68.4500,56.5703,48.2369,16.8644,9.8784,1.8927,200,57.5345,96.4335,205.3514,388.7572,295.3728,190.2755,0.0459,0.0666,Population structure converged. Difference: 0.0080
1,3,51.8457,41.1652,Warrior,71.5989,59.1727,50.4559,8.4396,10.3328,1.8927,200,57.5345,71.5567,149.7208,316.4184,219.4503,78.5857,0.0306,0.0666,Population structure converged. Difference: 0.0080
1,4,54.6087,43.5683,Warrior,71.9774,81.5076,30.8702,1.2862,14.3586,1.9139,200,57.5345,83.8557,165.4458,308.1521,144.2386,72.1545,0.0300,0.0666,Population structure converged. Difference: 0.0080
1,5,55.4028,45.9326,Warrior,76.0776,78.8972,29.8815,1.2450,13.8987,1.9139,200,57.5345,91.0351,143.2677,324.6213,65.3230,61.5949,0.0177,0.0666,Population structure converged. Difference: 0.0080
1,6,55.3415,47.5351,Warrior,75.7602,62.6118,49.6164,1.0781,10.9333,1.9139,200,57.5345,84.7640,165.7174,326.9439,18.6386,50.0926,0.0087,0.0666,Population structure converged. Difference: 0.0080
1,7,55.3650,49.2230,Warrior,77.8334,77.7794,29.4581,1.2273,13.7018,1.8927,200,57.5345,56.2874,163.7708,276.0808,15.9211,32.6214,0.0033,0.0666,Population structure converged. Difference: 0.0080
1,8,56.4202,51.4462,Warrior,84.2521,69.6299,32.7601,1.1990,12.1588,1.9139,200,57.5345,37.2555,100.1869,173.6876,15.4553,16.5473,0.0021,0.0666,Population structure converged. Difference: 0.0080
1,9,56.7649,52.8403,Warrior,80.4946,75.9566,31.2667,1.3766,10.9056,1.9139,200,57.5345,33.1226,80.1926,128.4246,13.1584,10.0526,0.0014,0.0666,Population structure converged. Difference: 0.0080
1,10,56.8034,54.0857,Warrior,80.5364,75.9961,31.2829,1.2733,10.9113,1.9139,200,57.5345,15.8390,59.5344,71.4496,6.5803,4.9045,0.0010,0.0666,Population structure converged. Difference: 0.0080
1,11,56.8308,54.8652,Warrior,85.0089,69.5449,33.2687,1.2432,10.9344,1.9139,200,57.5345,18.2975,64.1090,63.1498,5.0529,3.2207,0.0003,0.0666,Population structure converged. Difference: 0.0080
1,12,57.0977,55.4650,Warrior,86.4291,70.7067,31.2483,1.3019,10.3140,1.9139,200,57.5345,19.1869,44.5553,33.8624,2.7136,3.5190,0.0001,0.0666,Population structure converged. Difference: 0.0080
1,13,57.2641,56.0372,Warrior,84.1968,74.0461,30.4412,1.2683,10.0476,1.9139,200,57.5345,19.8490,29.3302,17.5959,0.5263,2.4607,0.0001,0.0666,Population structure converged. Difference: 0.0080
1,14,57.3315,56.3586,Warrior,85.1921,72.2009,31.5509,1.1900,9.8661,1.9139,200,57.5345,19.8388,26.0942,18.1630,0.0167,1.9782,0.0001,0.0666,Population structure converged. Difference: 0.0080
1,15,57.3727,56.6414,Warrior,83.7178,73.3854,31.9651,0.7895,10.1422,1.9139,200,57.5345,17.4649,18.3782,5.7408,0.0282,1.6152,0.0001,0.0666,Population structure converged. Difference: 0.0080
1,16,57.4699,56.8662,Warrior,84.6291,71.7238,33.0694,0.7768,9.8009,1.9139,200,57.5345,14.9437,14.6060,2.6877,0.0451,1.3627,0.0000,0.0666,Population structure converged. Difference: 0.0080
1,17,57.5345,57.0800,Warrior,84.3165,73.6019,31.5380,0.7789,9.7647,1.9139,200,57.5345,10.0685,9.3193,1.6930,0.0570,0.3060,0.0000,0.0666,Population structure converged. Difference: 0.0080
2,0,46.5528,30.4200,Warrior,62.7349,69.3256,32.7398,10.1946,25.0051,1.8762,200,56.8249,338.2144,457.7851,551.3872,428.3557,370.3430,0.0402,0.0592,Population structure converged. Difference: 0.0099
2,1,48.4608,34.5098,Warrior,77.4315,61.4881,32.6462,26.1499,2.2843,1.8756,200,56.8249,266.6347,398.4859,444.4671,285.6063,287.0485,0.0415,0.0592,Population structure converged. Difference: 0.0099
2,2,48.6686,38.0885,Warrior,77.9185,75.9652,15.0024,29.2801,1.8338,1.9352,200,56.8249,208.4087,396.1404,424.5281,215.2304,212.3524,0.0408,0.0592,Population structure converged. Difference: 0.0099
2,3,52.4979,41.7830,Warrior,73.7890,75.5183,35.6643,11.1052,3.9231,1.8514,200,56.8249,112.2862,471.2760,411.6074,119.6271,168.7053,0.0333,0.0592,Population structure converged. Difference: 0.0099
2,4,55.9046,44.3189,Warrior,82.8533,71.1392,33.5963,10.4613,1.9500,1.9352,200,56.8249,96.3634,318.6013,318.0322,125.4737,124.3265,0.0208,0.0592,Population structure converged. Difference: 0.0099
