Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.8279,31.3120,Warrior,77.0604,82.8387,20.5786,5.5550,13.9673,1.9171,200,57.1294,470.4020,312.5219,401.9612,357.1221,440.3189,0.0369,0.0262,Population structure converged. Difference: 0.0366
1,1,55.4098,36.3428,Warrior,79.5172,85.4796,19.8073,0.7834,14.4125,1.9171,200,57.1294,402.2129,325.5645,341.3075,265.6556,255.2550,0.0247,0.0262,Population structure converged. Difference: 0.0366
1,2,55.5190,41.4983,Warrior,77.9115,83.7535,23.4460,0.7675,14.1215,1.9171,200,57.1294,209.7738,362.9473,411.1372,166.4085,136.0058,0.0160,0.0262,Population structure converged. Difference: 0.0366
1,3,55.5190,45.8752,Warrior,77.9115,83.7535,23.4460,0.7675,14.1215,1.9171,200,57.1294,142.4499,288.4549,325.5745,72.1207,77.6029,0.0080,0.0262,Population structure converged. Difference: 0.0366
1,4,55.5618,50.3203,Warrior,79.6946,85.6704,19.8515,0.7851,13.9984,1.9171,200,57.1294,105.5116,221.5861,178.9130,26.6580,40.1533,0.0037,0.0262,Population structure converged. Difference: 0.0366
1,5,55.9685,52.3710,Warrior,73.7523,81.4195,32.7753,2.4377,9.6152,1.9171,200,57.1294,71.1961,144.6660,108.4610,16.0988,29.7482,0.0028,0.0262,Population structure converged. Difference: 0.0366
1,6,57.0717,54.3018,Warrior,81.4714,87.5804,20.2941,0.8026,9.8515,1.9171,200,57.1294,50.1514,75.3366,88.7108,4.7704,13.8829,0.0005,0.0262,Population structure converged. Difference: 0.0366
1,7,57.1294,55.1135,Warrior,82.4485,86.6978,20.0896,0.7945,9.9696,1.9171,200,57.1294,27.8217,29.3858,25.2939,3.2228,10.3688,0.0004,0.0262,Population structure converged. Difference: 0.0366
2,0,45.2519,31.0561,Warrior,62.4279,58.4708,46.3751,28.5512,4.1749,1.9145,200,53.5644,301.0029,322.8229,533.1415,271.8800,426.8434,0.0400,0.0301,Population structure converged. Difference: 0.0424
2,1,50.0113,34.4304,Warrior,64.2027,60.1331,58.3435,13.0271,4.2936,1.9145,200,53.5644,251.4310,249.6259,436.9405,236.8720,270.2970,0.0340,0.0301,Population structure converged. Difference: 0.0424
2,2,50.0113,38.2481,Warrior,64.2027,60.1331,58.3435,13.0271,4.2936,1.9145,200,53.5644,185.7072,130.9845,257.5739,166.0159,161.0620,0.0281,0.0301,Population structure converged. Difference: 0.0424
2,3,50.0113,41.6298,Warrior,64.2027,60.1331,58.3435,13.0271,4.2936,1.9145,200,53.5644,121.6437,91.8753,122.3996,99.0268,116.8069,0.0139,0.0301,Population structure converged. Difference: 0.0424
2,4,52.4497,44.0150,Warrior,70.3701,70.6305,40.0149,14.2785,4.7060,1.9145,200,53.5644,91.6870,90.7349,66.8703,87.7869,75.8241,0.0144,0.0301,Population structure converged. Difference: 0.0424
2,5,52.4497,46.6534,Warrior,70.3701,70.6305,40.0149,14.2785,4.7060,1.9145,200,53.5644,56.9782,70.0943,68.9475,69.6011,55.1272,0.0056,0.0301,Population structure converged. Difference: 0.0424
2,6,53.3070,48.4614,Warrior,79.3795,57.9191,45.9375,11.4554,5.3086,1.9145,200,53.5644,45.8922,46.7960,64.1638,43.8230,26.9300,0.0031,0.0301,Population structure converged. Difference: 0.0424
2,7,53.5644,50.1150,Warrior,72.1446,77.2185,33.1468,12.6898,4.8004,1.9145,200,53.5644,28.0257,36.6814,54.9916,16.0243,8.6519,0.0008,0.0301,Population structure converged. Difference: 0.0424
2,8,53.5644,51.3863,Warrior,72.1446,77.2185,33.1468,12.6898,4.8004,1.9145,200,53.5644,25.9761,37.7153,58.6587,6.9537,3.1631,0.0004,0.0301,Population structure converged. Difference: 0.0424
3,0,49.4763,32.8975,Warrior,81.8322,38.2725,66.8921,9.2066,3.7966,1.8879,200,56.2241,383.4852,323.7954,335.2668,292.4625,477.8293,0.0415,0.0235,Population structure converged. Difference: 0.0376
3,1,54.3115,39.5278,Warrior,91.7181,60.9342,32.7736,10.3188,4.2553,1.8879,200,56.2241,262.7668,245.0381,335.0894,143.3225,298.9892,0.0213,0.0235,Population structure converged. Difference: 0.0376
3,2,54.7205,44.2634,Warrior,79.9982,70.7237,34.1099,10.7395,4.4288,1.8879,200,56.2241,191.3076,240.5095,304.5226,99.0413,149.9388,0.0170,0.0235,Population structure converged. Difference: 0.0376
3,3,55.5381,48.2055,Warrior,77.5775,83.6736,26.1994,8.9502,3.5992,1.8879,200,56.2241,112.9533,225.6244,311.9040,74.8724,32.4644,0.0095,0.0235,Population structure converged. Difference: 0.0376
3,4,55.6941,50.6263,Warrior,79.8684,80.2385,26.9731,9.2145,3.7055,1.8879,200,56.2241,95.7709,205.9226,257.2216,40.0345,13.7952,0.0017,0.0235,Population structure converged. Difference: 0.0376
3,5,55.8338,52.8362,Warrior,86.2735,74.5620,25.9049,9.2570,4.0027,1.8879,200,56.2241,66.4346,143.5211,157.4829,32.3065,4.2274,0.0005,0.0235,Population structure converged. Difference: 0.0376
3,6,56.2241,54.1879,Warrior,83.4553,79.5517,24.9088,8.6184,3.4658,1.8879,200,56.2241,40.6460,112.1351,133.6146,13.3083,1.1148,0.0002,0.0235,Population structure converged. Difference: 0.0376
4,0,46.7493,30.8339,Warrior,52.5036,70.8300,56.8673,6.2948,13.5043,1.9258,200,52.4929,305.7300,421.3675,378.0638,356.1112,323.1006,0.0414,0.0327,Population structure converged. Difference: 0.0384
4,1,46.7493,35.4273,Warrior,52.5036,70.8300,56.8673,6.2948,13.5043,1.9258,200,52.4929,141.4446,280.3968,277.4559,173.2518,248.1726,0.0375,0.0327,Population structure converged. Difference: 0.0384
4,2,49.3353,38.8052,Warrior,59.0175,65.0878,57.7006,5.7845,12.4095,1.9258,200,52.4929,79.5936,261.8177,226.7735,80.8786,181.2121,0.0308,0.0327,Population structure converged. Difference: 0.0384
4,3,49.3353,41.9632,Warrior,59.0175,65.0878,57.7006,5.7845,12.4095,1.9258,200,52.4929,56.4319,187.9143,130.4070,63.6269,141.1867,0.0099,0.0327,Population structure converged. Difference: 0.0384
4,4,50.6506,44.5539,Warrior,62.9336,63.2798,56.0979,5.6238,12.0649,1.9258,200,52.4929,41.5487,134.3745,68.9560,30.8976,31.5165,0.0023,0.0327,Population structure converged. Difference: 0.0384
4,5,50.6506,46.1870,Warrior,62.9336,63.2798,56.0979,5.6238,12.0649,1.9258,200,52.4929,33.8121,97.5366,38.4523,10.3335,20.9614,0.0013,0.0327,Population structure converged. Difference: 0.0384
4,6,51.2672,47.5040,Warrior,64.8477,71.4817,43.0201,7.5053,13.1453,1.9258,200,52.4929,28.1627,78.5257,52.6512,4.4322,10.1818,0.0008,0.0327,Population structure converged. Difference: 0.0384
4,7,51.4144,48.4320,Warrior,65.7630,64.0108,51.3924,5.6888,13.1450,1.9258,200,52.4929,28.9633,73.6275,45.8221,2.9202,7.1299,0.0008,0.0327,Population structure converged. Difference: 0.0384
4,8,52.4929,49.6096,Warrior,67.0097,71.6721,43.1347,5.7812,12.4024,1.9258,200,52.4929,15.4590,59.5389,56.5254,1.3348,4.7913,0.0002,0.0327,Population structure converged. Difference: 0.0384
4,9,52.4929,50.5512,Warrior,67.0097,71.6721,43.1347,5.7812,12.4024,1.9258,200,52.4929,8.0011,58.9847,55.5531,1.0249,4.5487,0.0000,0.0327,Population structure converged. Difference: 0.0384
5,0,53.3730,30.8188,Warrior,71.0907,73.7067,38.7693,13.7885,2.6447,1.9147,200,58.9244,329.7853,404.2662,471.3276,291.8038,458.2264,0.0367,0.0299,Population structure converged. Difference: 0.0437
5,1,53.3730,35.8028,Warrior,71.0907,73.7067,38.7693,13.7885,2.6447,1.9147,200,58.9244,232.5285,312.4758,338.1902,200.6643,367.9563,0.0288,0.0299,Population structure converged. Difference: 0.0437
5,2,56.2112,40.2739,Warrior,67.4150,83.5035,43.9224,2.1629,2.9963,1.9147,200,58.9244,210.2353,330.0290,356.2288,207.1836,282.4409,0.0149,0.0299,Population structure converged. Difference: 0.0437
5,3,56.2112,45.4364,Warrior,67.4150,83.5035,43.9224,2.1629,2.9963,1.9147,200,58.9244,182.1346,195.4867,232.0613,178.4737,119.6821,0.0044,0.0299,Population structure converged. Difference: 0.0437
5,4,56.2112,50.1360,Warrior,67.4150,83.5035,43.9224,2.1629,2.9963,1.9147,200,58.9244,52.3480,147.4939,94.2748,122.0690,31.3149,0.0010,0.0299,Population structure converged. Difference: 0.0437
5,5,58.0721,52.3717,Warrior,76.0458,73.8135,45.0912,2.2204,2.8291,1.9147,200,58.9244,23.6689,112.4436,57.2249,59.5973,4.5041,0.0006,0.0299,Population structure converged. Difference: 0.0437
5,6,58.2728,53.9612,Warrior,87.2141,62.3623,45.1234,2.2220,3.0782,1.9147,200,58.9244,23.8672,92.4794,44.0610,54.0777,4.6282,0.0003,0.0299,Population structure converged. Difference: 0.0437
5,7,58.9244,55.5411,Warrior,82.0186,75.3868,37.0002,2.3454,3.2491,1.9147,200,58.9244,29.0632,53.0334,20.5993,38.0160,1.5868,0.0001,0.0299,Population structure converged. Difference: 0.0437
5,8,58.9244,56.4584,Warrior,82.0186,75.3868,37.0002,2.3454,3.2491,1.9147,200,58.9244,30.5919,50.0384,12.6841,24.0422,1.1451,0.0001,0.0299,Population structure converged. Difference: 0.0437
6,0,43.4378,30.0187,Warrior,61.8577,69.8399,37.1349,12.3566,18.8109,1.7937,200,52.6234,412.8262,351.2384,375.1024,313.4968,420.8232,0.0405,0.0336,Population structure converged. Difference: 0.0376
6,1,46.0350,34.8943,Warrior,57.1548,61.1282,52.4572,12.0605,17.1992,1.8929,200,52.6234,315.4585,315.0349,367.5730,286.1087,251.2072,0.0421,0.0336,Population structure converged. Difference: 0.0376
6,2,46.3214,39.0799,Warrior,63.9621,57.6117,41.1539,9.4618,27.8106,1.9066,200,52.6234,245.8476,258.0785,349.6463,163.0518,95.7336,0.0328,0.0336,Population structure converged. Difference: 0.0376
6,3,48.1613,41.8857,Warrior,69.9770,53.4264,45.8479,10.5410,20.2077,1.8929,200,52.6234,128.2202,201.4128,273.1474,104.9423,73.7030,0.0255,0.0336,Population structure converged. Difference: 0.0376
6,4,48.1613,43.9610,Warrior,69.9770,53.4264,45.8479,10.5410,20.2077,1.8929,200,52.6234,86.8953,107.3137,264.0991,37.7727,33.8313,0.0145,0.0336,Population structure converged. Difference: 0.0376
6,5,51.2216,45.3575,Warrior,69.9854,63.0369,44.4078,8.0099,14.5600,1.8929,200,52.6234,63.5270,80.0754,190.4015,19.6040,28.9761,0.0080,0.0336,Population structure converged. Difference: 0.0376
6,6,52.4271,46.6718,Warrior,76.8162,59.7250,42.0747,7.5890,13.7951,1.9066,200,52.6234,60.8464,52.6791,128.6048,16.6111,24.2288,0.0027,0.0336,Population structure converged. Difference: 0.0376
6,7,52.4271,48.2091,Warrior,76.8162,59.7250,42.0747,7.5890,13.7951,1.9066,200,52.6234,49.3721,51.6606,119.9419,25.7377,14.1794,0.0049,0.0336,Population structure converged. Difference: 0.0376
6,8,52.4271,49.6500,Warrior,76.8162,59.7250,42.0747,7.5890,13.7951,1.9066,200,52.6234,36.0124,51.3117,117.5671,4.7755,10.7873,0.0001,0.0336,Population structure converged. Difference: 0.0376
6,9,52.6234,50.7162,Warrior,79.0782,61.4837,37.4243,7.8125,14.2013,1.9066,200,52.6234,41.7971,48.9982,82.4628,4.5888,3.4895,0.0001,0.0336,Population structure converged. Difference: 0.0376
7,0,45.3648,29.4155,Warrior,64.0171,57.0622,46.1240,0.4152,32.3814,1.8400,200,55.2550,460.2911,495.3263,419.5297,451.8753,418.7382,0.0345,0.0304,Population structure converged. Difference: 0.0444
7,1,45.7698,33.9744,Warrior,72.0137,64.1900,51.8856,10.1572,1.7535,1.4959,200,55.2550,213.4885,421.5581,336.6088,381.4002,288.3367,0.0301,0.0304,Population structure converged. Difference: 0.0444
7,2,46.2701,37.9255,Warrior,72.0137,64.1900,51.8856,10.1572,1.7535,1.4769,200,55.2550,131.8237,313.4855,243.7443,287.3808,268.9388,0.0231,0.0304,Population structure converged. Difference: 0.0444
7,3,53.0558,41.2333,Warrior,73.0651,65.1272,52.6431,0.4739,8.6908,1.8400,200,55.2550,106.3758,140.5965,159.9576,98.0962,223.1818,0.0199,0.0304,Population structure converged. Difference: 0.0444
7,4,54.9880,43.6814,Warrior,75.4645,67.2659,54.3718,0.4895,2.4083,1.8400,200,55.2550,67.0207,70.5288,83.3560,63.8322,194.5672,0.0237,0.0304,Population structure converged. Difference: 0.0444
7,5,54.9880,46.0467,Warrior,75.4645,67.2659,54.3718,0.4895,2.4083,1.8400,200,55.2550,42.9126,32.2108,20.6470,21.7650,180.3919,0.0257,0.0304,Population structure converged. Difference: 0.0444
7,6,55.1620,49.1824,Warrior,76.0090,67.7512,53.3212,0.4930,2.4256,1.8400,200,55.2550,38.0319,35.7745,17.8797,18.5779,99.2407,0.0257,0.0304,Population structure converged. Difference: 0.0444
7,7,55.1620,51.5388,Warrior,76.0090,67.7512,53.3212,0.4930,2.4256,1.8400,200,55.2550,22.1590,31.7630,10.8143,10.6757,40.9326,0.0168,0.0304,Population structure converged. Difference: 0.0444
7,8,55.2550,52.9040,Warrior,79.3997,63.3273,54.4178,0.4933,2.3618,1.8400,200,55.2550,22.5012,30.4130,11.2716,6.8290,35.7803,0.0078,0.0304,Population structure converged. Difference: 0.0444
8,0,43.5156,30.7176,Warrior,73.6854,54.9235,55.6877,9.4797,6.2237,1.7323,200,55.7587,261.5083,541.7649,478.3451,482.5123,400.1923,0.0439,0.0365,Population structure converged. Difference: 0.0374
8,1,43.5156,34.6389,Warrior,73.6854,54.9235,55.6877,9.4797,6.2237,1.7323,200,55.7587,208.2679,506.3850,341.1931,198.0027,330.8381,0.0418,0.0365,Population structure converged. Difference: 0.0374
8,2,51.1114,38.1246,Warrior,63.4732,83.4897,34.9747,9.1343,8.9280,1.8844,200,55.7587,147.3690,287.4714,230.7113,145.7545,259.5044,0.0375,0.0365,Population structure converged. Difference: 0.0374
8,3,51.1114,41.1158,Warrior,63.4732,83.4897,34.9747,9.1343,8.9280,1.8844,200,55.7587,113.1305,161.1988,215.7168,46.4458,152.8164,0.0295,0.0365,Population structure converged. Difference: 0.0374
8,4,53.0311,43.2533,Warrior,70.1057,79.4337,33.2757,8.6906,8.4943,1.8844,200,55.7587,95.6505,136.5863,195.1309,23.9985,89.4910,0.0203,0.0365,Population structure converged. Difference: 0.0374
8,5,53.0311,45.4177,Warrior,70.1057,79.4337,33.2757,8.6906,8.4943,1.8844,200,55.7587,121.1089,147.6635,203.2988,20.7131,67.1275,0.0186,0.0365,Population structure converged. Difference: 0.0374
8,6,54.7458,47.9967,Warrior,75.9996,89.6280,20.6123,5.4305,8.3295,1.8844,200,55.7587,55.5730,129.5619,150.4046,11.3829,25.4118,0.0147,0.0365,Population structure converged. Difference: 0.0374
8,7,55.7587,50.1759,Warrior,85.7749,78.2901,22.1343,4.4551,9.3456,1.8844,200,55.7587,34.9403,123.0423,129.4765,5.5198,10.7801,0.0047,0.0365,Population structure converged. Difference: 0.0374
8,8,55.7587,51.8803,Warrior,85.7749,78.2901,22.1343,4.4551,9.3456,1.8844,200,55.7587,27.9733,113.3273,114.3176,2.1207,1.1219,0.0030,0.0365,Population structure converged. Difference: 0.0374
8,9,55.7587,52.8839,Warrior,85.7749,78.2901,22.1343,4.4551,9.3456,1.8844,200,55.7587,25.0924,95.1526,99.6024,2.5532,0.7125,0.0003,0.0365,Population structure converged. Difference: 0.0374
8,10,55.7587,53.7475,Warrior,85.7749,78.2901,22.1343,4.4551,9.3456,1.8844,200,55.7587,19.7580,63.8271,56.1277,2.6778,0.5011,0.0000,0.0365,Population structure converged. Difference: 0.0374
