Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.3648,28.9627,Warrior,67.0544,63.3929,43.8817,0.9225,24.7485,1.9117,200,60.9692,521.7409,407.6124,350.5998,454.9451,535.1598,0.0443,0.0804,Population structure converged. Difference: 0.0082
1,1,51.7562,33.5874,Warrior,69.9424,83.0014,23.8785,8.6389,14.5388,1.9180,200,60.9692,306.4225,296.4482,288.2271,421.1278,404.2630,0.0471,0.0804,Population structure converged. Difference: 0.0082
1,2,52.3466,37.3321,Warrior,65.1550,61.8227,60.0830,1.1117,11.8276,1.9180,200,60.9692,198.3444,275.9049,225.6348,302.3263,368.4915,0.0382,0.0804,Population structure converged. Difference: 0.0082
1,3,55.1557,40.7549,Warrior,78.8123,78.9580,25.7191,3.5982,12.9125,1.9180,200,60.9692,166.7329,230.1374,211.4485,299.8657,325.6078,0.0362,0.0804,Population structure converged. Difference: 0.0082
1,4,58.7262,42.9618,Warrior,76.1450,71.9872,49.8308,1.0475,0.9895,1.9117,200,60.9692,125.7722,219.0583,191.3455,293.1585,282.2316,0.0324,0.0804,Population structure converged. Difference: 0.0082
1,5,58.7262,44.8461,Warrior,76.1450,71.9872,49.8308,1.0475,0.9895,1.9117,200,60.9692,123.6174,212.1765,197.7961,274.3025,193.9818,0.0248,0.0804,Population structure converged. Difference: 0.0082
1,6,59.0320,47.4669,Warrior,79.8337,66.0797,52.8306,0.3323,0.9237,1.9117,200,60.9692,127.6708,168.0046,175.0001,217.8731,141.9487,0.0165,0.0804,Population structure converged. Difference: 0.0082
1,7,60.5972,49.3555,Warrior,84.9432,88.3137,25.4068,0.3536,0.9828,1.9117,200,60.9692,79.2429,158.2220,181.0882,207.1493,114.4485,0.0202,0.0804,Population structure converged. Difference: 0.0082
1,8,60.5972,50.8233,Warrior,84.9432,88.3137,25.4068,0.3536,0.9828,1.9117,200,60.9692,60.5422,150.1389,157.3722,152.4439,99.0858,0.0156,0.0804,Population structure converged. Difference: 0.0082
1,9,60.5972,52.0534,Warrior,84.9432,88.3137,25.4068,0.3536,0.9828,1.9117,200,60.9692,66.2711,139.1932,160.1855,145.3935,113.1032,0.0091,0.0804,Population structure converged. Difference: 0.0082
1,10,60.5972,53.3021,Warrior,84.9432,88.3137,25.4068,0.3536,0.9828,1.9117,200,60.9692,74.0357,141.8014,154.7958,130.4423,107.4138,0.0104,0.0804,Population structure converged. Difference: 0.0082
1,11,60.5972,54.9841,Warrior,84.9432,88.3137,25.4068,0.3536,0.9828,1.9117,200,60.9692,66.2693,156.3413,137.7552,65.4818,91.6642,0.0104,0.0804,Population structure converged. Difference: 0.0082
1,12,60.7682,56.9481,Warrior,85.9505,85.0077,27.6896,0.3578,0.9944,1.9117,200,60.9692,65.3349,135.2525,110.4051,20.1638,59.6855,0.0090,0.0804,Population structure converged. Difference: 0.0082
1,13,60.7682,58.4981,Warrior,85.9505,85.0077,27.6896,0.3578,0.9944,1.9117,200,60.9692,64.4514,93.2532,87.4812,0.7347,40.4515,0.0031,0.0804,Population structure converged. Difference: 0.0082
