Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,38.4340,29.2737,Warrior,50.7876,70.7021,21.3091,13.3280,43.8731,1.8936,200,57.1599,291.9427,385.7315,468.0511,359.5970,375.5227,0.0457,0.0739,Population structure converged. Difference: 0.0092
1,1,43.6835,32.2948,Warrior,51.8536,72.2976,39.5564,1.9892,34.3032,1.9040,200,57.1599,166.7214,387.2277,394.8799,286.2328,310.1178,0.0417,0.0739,Population structure converged. Difference: 0.0092
1,2,47.0949,34.6076,Warrior,54.9752,89.1493,31.0284,2.3274,22.5197,1.9106,200,57.1599,110.9046,294.1181,418.9123,219.4370,273.1140,0.0407,0.0739,Population structure converged. Difference: 0.0092
1,3,47.0949,36.4038,Warrior,54.9752,89.1493,31.0284,2.3274,22.5197,1.9106,200,57.1599,67.5321,303.5353,370.5356,195.0982,232.2663,0.0325,0.0739,Population structure converged. Difference: 0.0092
1,4,48.2371,38.7000,Warrior,61.9885,88.3059,24.8549,15.5458,9.3049,1.8751,200,57.1599,44.8597,298.1520,346.8668,169.2791,193.8899,0.0187,0.0739,Population structure converged. Difference: 0.0092
1,5,49.6248,40.8331,Warrior,62.0663,86.4033,29.1240,12.9996,9.4069,1.8936,200,57.1599,46.7557,221.3997,301.8369,135.3133,196.3365,0.0164,0.0739,Population structure converged. Difference: 0.0092
1,6,51.0591,42.5919,Warrior,73.9008,80.1699,21.2185,13.2714,11.4394,1.8790,200,57.1599,41.9290,153.2512,266.0840,63.5702,150.7307,0.0149,0.0739,Population structure converged. Difference: 0.0092
1,7,51.0591,44.0803,Warrior,73.9008,80.1699,21.2185,13.2714,11.4394,1.8790,200,57.1599,49.8184,171.1539,322.7161,73.1334,141.1471,0.0110,0.0739,Population structure converged. Difference: 0.0092
1,8,51.8617,45.7012,Warrior,68.9227,59.5619,52.7045,4.2413,14.5696,1.9122,200,57.1599,58.0187,184.9247,302.3149,64.9118,111.6569,0.0071,0.0739,Population structure converged. Difference: 0.0092
1,9,54.4940,47.6097,Warrior,71.7973,62.0460,54.9027,2.5524,8.7017,1.9122,200,57.1599,52.4135,172.6965,224.6507,59.9035,96.0500,0.0018,0.0739,Population structure converged. Difference: 0.0092
1,10,54.4940,48.9539,Warrior,71.7973,62.0460,54.9027,2.5524,8.7017,1.9122,200,57.1599,45.7188,147.1002,145.3065,61.1490,54.9126,0.0018,0.0739,Population structure converged. Difference: 0.0092
1,11,55.1510,50.1363,Warrior,77.4264,71.2044,36.3771,3.2424,11.7497,1.8936,200,57.1599,42.2039,116.1706,140.3406,43.3305,30.1501,0.0003,0.0739,Population structure converged. Difference: 0.0092
1,12,55.5537,51.0345,Warrior,80.7151,69.7527,35.0763,3.1265,11.3295,1.8936,200,57.1599,35.7650,120.1118,131.9962,35.1904,19.7108,0.0003,0.0739,Population structure converged. Difference: 0.0092
1,13,55.8952,51.9636,Warrior,78.6011,81.0684,26.1634,3.2130,10.9541,1.9122,200,57.1599,31.6711,115.7916,111.3688,21.7518,10.3457,0.0003,0.0739,Population structure converged. Difference: 0.0092
1,14,55.8952,52.7895,Warrior,78.6011,81.0684,26.1634,3.2130,10.9541,1.9122,200,57.1599,29.8146,120.3330,103.1872,11.6384,8.0185,0.0003,0.0739,Population structure converged. Difference: 0.0092
1,15,55.9051,53.4215,Warrior,79.4499,86.1897,22.8118,2.6970,8.8516,1.8790,200,57.1599,31.8579,113.0259,106.7600,8.4329,6.2565,0.0003,0.0739,Population structure converged. Difference: 0.0092
1,16,56.9032,54.3022,Warrior,79.7629,82.2666,26.5501,2.5901,8.8303,1.9122,200,57.1599,21.8083,89.8316,111.0532,2.9305,4.0147,0.0003,0.0739,Population structure converged. Difference: 0.0092
1,17,56.9032,54.7477,Warrior,79.7629,82.2666,26.5501,2.5901,8.8303,1.9122,200,57.1599,18.6902,64.8059,80.1317,1.1372,3.0253,0.0002,0.0739,Population structure converged. Difference: 0.0092
1,18,57.0011,55.2449,Warrior,82.1026,70.9517,35.6792,2.5552,8.7113,1.9122,200,57.1599,19.2018,45.9946,42.3230,1.0073,2.0726,0.0002,0.0739,Population structure converged. Difference: 0.0092
1,19,57.1132,55.7076,Warrior,80.1097,81.3420,27.5626,2.1512,8.8346,1.9122,200,57.1599,11.4970,34.0504,33.2854,0.1326,1.8601,0.0001,0.0739,Population structure converged. Difference: 0.0092
1,20,57.1132,56.0690,Warrior,80.1097,81.3420,27.5626,2.1512,8.8346,1.9122,200,57.1599,9.9146,29.5795,32.4558,0.1233,1.6236,0.0001,0.0739,Population structure converged. Difference: 0.0092
1,21,57.1132,56.3545,Warrior,80.1097,81.3420,27.5626,2.1512,8.8346,1.9122,200,57.1599,7.1877,23.7593,19.6070,0.1290,1.2066,0.0001,0.0739,Population structure converged. Difference: 0.0092
1,22,57.1599,56.6370,Warrior,79.5677,78.6440,31.0434,2.4369,8.3080,1.9122,200,57.1599,5.9459,22.6741,18.4362,0.1103,0.8003,0.0000,0.0739,Population structure converged. Difference: 0.0092
2,0,39.7978,28.5481,Warrior,67.5040,78.4319,0.4224,51.3480,2.2937,1.9305,200,58.4004,374.1241,370.6569,313.1252,362.2721,349.3422,0.0464,0.0764,Population structure converged. Difference: 0.0090
2,1,41.2712,31.3496,Warrior,57.4388,78.7374,43.6413,11.5091,8.6733,1.7425,200,58.4004,252.4675,302.4017,219.5761,249.8055,232.5022,0.0450,0.0764,Population structure converged. Difference: 0.0090
2,2,41.2712,33.8712,Warrior,57.4388,78.7374,43.6413,11.5091,8.6733,1.7425,200,58.4004,134.8835,257.2848,314.4447,249.0279,211.3995,0.0472,0.0764,Population structure converged. Difference: 0.0090
2,3,48.7939,35.6563,Warrior,57.4388,78.7374,43.6413,11.5091,8.6733,1.9011,200,58.4004,96.3392,236.9746,373.0147,251.9954,228.9000,0.0511,0.0764,Population structure converged. Difference: 0.0090
2,4,48.7939,38.0276,Warrior,57.4388,78.7374,43.6413,11.5091,8.6733,1.9011,200,58.4004,79.9674,278.3949,458.1063,199.0430,206.1423,0.0452,0.0764,Population structure converged. Difference: 0.0090
2,5,49.7161,39.6912,Warrior,59.7692,77.4504,42.9280,11.3210,8.5315,1.9011,200,58.4004,83.9367,247.4803,427.8071,205.1413,186.4974,0.0428,0.0764,Population structure converged. Difference: 0.0090
2,6,49.7161,41.7680,Warrior,59.7692,77.4504,42.9280,11.3210,8.5315,1.9011,200,58.4004,73.2607,263.7476,371.1091,157.2119,140.0459,0.0362,0.0764,Population structure converged. Difference: 0.0090
2,7,50.4997,43.6382,Warrior,75.4676,57.0623,42.4205,14.2846,10.7649,1.9300,200,58.4004,60.0324,207.8489,265.8805,97.6983,114.1768,0.0289,0.0764,Population structure converged. Difference: 0.0090
2,8,51.4733,45.6150,Warrior,66.1678,56.7640,64.0407,4.1150,8.9125,1.9300,200,58.4004,51.8609,163.8581,188.1846,40.0877,46.3788,0.0180,0.0764,Population structure converged. Difference: 0.0090
2,9,51.4733,46.7600,Warrior,66.1678,56.7640,64.0407,4.1150,8.9125,1.9300,200,58.4004,63.4582,196.7778,161.8215,40.5358,35.2557,0.0087,0.0764,Population structure converged. Difference: 0.0090
2,10,52.2442,47.4438,Warrior,77.4810,58.5847,43.5522,11.6230,8.7591,1.9011,200,58.4004,63.4415,203.6592,201.7402,39.5485,35.5627,0.0084,0.0764,Population structure converged. Difference: 0.0090
2,11,52.2442,48.9553,Warrior,77.4810,58.5847,43.5522,11.6230,8.7591,1.9011,200,58.4004,78.6507,159.2548,196.0466,22.3934,27.3936,0.0008,0.0764,Population structure converged. Difference: 0.0090
2,12,56.9138,49.8835,Warrior,76.5878,88.9861,25.9146,5.9092,2.6023,1.9305,200,58.4004,94.6454,161.8879,181.5592,20.7982,25.8410,0.0007,0.0764,Population structure converged. Difference: 0.0090
2,13,57.7743,50.7362,Warrior,80.1005,73.7880,38.7216,4.7054,2.6845,1.9305,200,58.4004,81.1326,152.7458,181.6582,22.5988,22.8904,0.0004,0.0764,Population structure converged. Difference: 0.0090
2,14,57.7743,51.5912,Warrior,80.1005,73.7880,38.7216,4.7054,2.6845,1.9305,200,58.4004,74.3129,155.9867,158.5665,19.5121,17.4465,0.0003,0.0764,Population structure converged. Difference: 0.0090
2,15,57.7743,52.7607,Warrior,80.1005,73.7880,38.7216,4.7054,2.6845,1.9305,200,58.4004,56.0619,166.1764,142.3780,14.5983,16.3989,0.0001,0.0764,Population structure converged. Difference: 0.0090
2,16,57.7743,53.8532,Warrior,80.1005,73.7880,38.7216,4.7054,2.6845,1.9305,200,58.4004,39.2722,196.0316,160.9470,9.1417,16.9661,0.0002,0.0764,Population structure converged. Difference: 0.0090
2,17,58.2176,54.7934,Warrior,87.4716,69.2517,36.3411,4.4162,2.5194,1.9305,200,58.4004,46.6746,233.4028,184.7382,3.5842,17.8851,0.0001,0.0764,Population structure converged. Difference: 0.0090
