Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.6535,27.0645,Warrior,95.6957,41.6981,29.2069,24.8190,8.5803,1.9634,200,52.0686,383.8817,507.3306,521.4600,482.3228,396.3493,0.0421,0.1113,Population structure converged. Difference: 0.0494
1,1,42.6535,29.7377,Warrior,95.6957,41.6981,29.2069,24.8190,8.5803,1.9634,200,52.0686,302.2681,484.4807,521.1530,389.2759,324.5842,0.0417,0.1113,Population structure converged. Difference: 0.0494
1,2,41.4054,31.5696,Warrior,58.9485,48.9658,42.7123,10.6297,38.7437,1.8816,200,52.0686,200.0775,405.3036,389.4236,290.9854,326.8465,0.0398,0.1113,Population structure converged. Difference: 0.0494
1,3,43.3421,32.4867,Warrior,78.4834,34.1981,59.4141,18.7336,9.1708,1.8498,200,52.0686,193.8600,464.2082,436.6621,271.4521,337.4983,0.0401,0.1113,Population structure converged. Difference: 0.0494
1,4,47.8721,33.6781,Warrior,84.9027,51.5925,39.7819,9.8412,13.8818,1.8269,200,52.0686,174.7889,417.3100,350.4643,133.8332,273.1163,0.0398,0.1113,Population structure converged. Difference: 0.0494
1,5,47.8721,35.0684,Warrior,84.9027,51.5925,39.7819,9.8412,13.8818,1.8269,200,52.0686,162.0491,331.4138,238.4312,93.3867,235.4631,0.0431,0.1113,Population structure converged. Difference: 0.0494
1,6,47.8721,34.9072,Warrior,84.9027,51.5925,39.7819,9.8412,13.8818,1.8269,200,52.0686,187.1623,297.1927,206.8871,121.4763,230.4029,0.0395,0.1113,Population structure converged. Difference: 0.0494
1,7,47.8721,36.2050,Warrior,84.9027,51.5925,39.7819,9.8412,13.8818,1.8269,200,52.0686,197.8216,272.9687,221.9874,62.1309,148.4475,0.0402,0.1113,Population structure converged. Difference: 0.0494
1,8,47.8721,36.7060,Warrior,84.9027,51.5925,39.7819,9.8412,13.8818,1.8269,200,52.0686,202.2903,245.6171,217.4753,40.0639,114.4010,0.0416,0.1113,Population structure converged. Difference: 0.0494
1,9,49.4426,37.5582,Warrior,78.6003,62.6088,36.8288,9.1106,12.8514,1.8269,200,52.0686,171.3361,182.4311,174.4507,35.2056,92.0186,0.0433,0.1113,Population structure converged. Difference: 0.0494
1,10,49.4426,38.3736,Warrior,78.6003,62.6088,36.8288,9.1106,12.8514,1.8269,200,52.0686,153.2656,177.9400,134.4383,37.0659,105.3442,0.0420,0.1113,Population structure converged. Difference: 0.0494
1,11,49.4426,39.2725,Warrior,78.6003,62.6088,36.8288,9.1106,12.8514,1.8269,200,52.0686,153.8443,166.4157,136.2080,40.4948,95.5858,0.0436,0.1113,Population structure converged. Difference: 0.0494
1,12,49.4426,39.9904,Warrior,78.6003,62.6088,36.8288,9.1106,12.8514,1.8269,200,52.0686,139.8077,163.1858,119.3055,39.2078,82.9047,0.0486,0.1113,Population structure converged. Difference: 0.0494
1,13,48.4670,40.9252,Warrior,77.7389,51.9745,41.0705,15.5715,13.6445,1.9455,200,52.0686,113.1563,172.2613,88.3761,36.7005,69.1756,0.0515,0.1113,Population structure converged. Difference: 0.0494
1,14,48.4670,41.8326,Warrior,77.7389,51.9745,41.0705,15.5715,13.6445,1.9455,200,52.0686,97.6847,171.0902,56.6528,26.3413,48.6970,0.0554,0.1113,Population structure converged. Difference: 0.0494
1,15,51.3681,42.5650,Warrior,77.9226,58.9181,39.5654,9.7876,13.8063,1.8872,200,52.0686,99.5371,172.7223,65.2822,24.2162,40.7100,0.0549,0.1113,Population structure converged. Difference: 0.0494
1,16,51.3681,43.0788,Warrior,77.9226,58.9181,39.5654,9.7876,13.8063,1.8872,200,52.0686,83.7786,167.0098,64.8825,20.6445,46.4292,0.0591,0.1113,Population structure converged. Difference: 0.0494
1,17,50.0534,43.7041,Warrior,67.3389,63.3578,45.4527,8.7502,15.1004,1.9455,200,52.0686,83.2608,153.2471,53.1476,18.8006,39.5836,0.0599,0.1113,Population structure converged. Difference: 0.0494
