Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.5732,35.1811,Warrior,63.1710,60.2045,48.9074,2.3080,25.4091,1.9302,200,54.3712,370.9455,419.8703,364.5402,611.8006,335.4348,0.0344,0.0740,Population structure converged. Difference: 0.0082
1,1,48.7170,42.1892,Warrior,65.0470,58.5572,48.0244,2.2077,26.1637,1.9302,200,54.3712,199.0489,235.2808,155.7321,390.6385,119.3051,0.0221,0.0740,Population structure converged. Difference: 0.0082
1,2,51.2553,46.5282,Warrior,66.3789,63.2617,51.3909,7.8227,11.1459,1.9302,200,54.3712,108.0253,73.5697,52.2437,167.6230,88.7792,0.0129,0.0740,Population structure converged. Difference: 0.0082
1,3,51.2553,47.7282,Warrior,66.3789,63.2617,51.3909,7.8227,11.1459,1.9302,200,54.3712,28.4062,18.1272,21.6859,65.7568,16.2475,0.0044,0.0740,Population structure converged. Difference: 0.0082
1,4,53.0981,48.6240,Warrior,68.0221,64.8278,52.6631,2.4852,12.0018,1.9302,200,54.3712,6.4643,5.9603,2.8882,7.2845,22.5369,0.0020,0.0740,Population structure converged. Difference: 0.0082
1,5,53.3969,49.0814,Warrior,68.8526,65.6193,50.9743,2.4055,12.1483,1.9302,200,54.3712,6.0971,2.7155,4.1642,12.4095,32.0729,0.0019,0.0740,Population structure converged. Difference: 0.0082
1,6,53.5789,50.3108,Warrior,69.3866,66.1282,49.8884,2.3543,12.2426,1.9302,200,54.3712,6.1706,4.9678,4.7262,4.8367,44.5333,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,7,53.5789,51.4018,Warrior,69.3866,66.1282,49.8884,2.3543,12.2426,1.9302,200,54.3712,6.5033,4.8390,4.4391,4.2725,35.3155,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,8,53.6042,52.0140,Warrior,70.2628,63.7272,51.7690,2.4430,11.7980,1.9302,200,54.3712,5.4098,4.0823,2.9953,3.2076,24.9297,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,9,54.1740,52.4731,Warrior,73.6212,63.0973,48.6249,2.2946,12.3620,1.9302,200,54.3712,3.9451,3.0349,2.1628,2.3205,15.4345,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,10,54.1740,52.7980,Warrior,73.6212,63.0973,48.6249,2.2946,12.3620,1.9302,200,54.3712,2.2189,1.6687,2.3579,1.2567,8.0842,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,11,54.1740,53.0351,Warrior,73.6212,63.0973,48.6249,2.2946,12.3620,1.9302,200,54.3712,2.1450,1.1442,1.9116,0.6012,2.9835,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,12,54.2326,53.1521,Warrior,72.5221,65.1410,47.8990,2.2604,12.1774,1.9302,200,54.3712,1.7602,1.2787,1.7356,0.2911,1.0175,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,13,54.2891,53.2531,Warrior,72.5859,65.1983,47.9411,2.2624,12.0124,1.9302,200,54.3712,2.3132,1.1955,1.9820,0.0068,0.8246,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,14,54.2891,53.2965,Warrior,72.5859,65.1983,47.9411,2.2624,12.0124,1.9302,200,54.3712,1.6968,1.1072,1.8598,0.0066,0.0846,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,15,54.2891,53.4176,Warrior,72.5859,65.1983,47.9411,2.2624,12.0124,1.9302,200,54.3712,2.0329,1.3420,1.9661,0.0074,0.0651,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,16,54.2981,53.4906,Warrior,72.2499,65.8222,47.7192,2.2519,11.9568,1.9302,200,54.3712,2.6222,1.3998,2.4313,0.0071,0.0430,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,17,54.2981,53.5338,Warrior,72.2499,65.8222,47.7192,2.2519,11.9568,1.9302,200,54.3712,2.9462,1.4231,2.4614,0.0070,0.0507,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,18,54.2981,53.6136,Warrior,72.2499,65.8222,47.7192,2.2519,11.9568,1.9302,200,54.3712,3.2732,1.2926,2.8302,0.0082,0.0583,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,19,54.3712,53.7376,Warrior,73.2507,64.8131,47.6579,2.4494,11.8289,1.9302,200,54.3712,3.4147,1.2735,3.0865,0.0103,0.0668,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,20,54.3712,53.7795,Warrior,73.2507,64.8131,47.6579,2.4494,11.8289,1.9302,200,54.3712,3.2002,1.3451,3.1884,0.0101,0.0721,0.0000,0.0740,Population structure converged. Difference: 0.0082
1,21,54.3712,53.9289,Warrior,73.2507,64.8131,47.6579,2.4494,11.8289,1.9302,200,54.3712,2.7259,1.3738,2.5226,0.0083,0.0635,0.0000,0.0740,Population structure converged. Difference: 0.0082
2,0,47.1197,33.6884,Warrior,79.8237,52.2808,52.2218,10.2370,5.4367,1.9970,200,59.8947,558.6221,817.3355,387.1641,646.2400,499.3930,0.0458,0.0554,Population structure converged. Difference: 0.0089
2,1,52.7160,40.9572,Warrior,88.3776,96.7866,11.6020,0.6257,2.6081,1.9970,200,59.8947,430.3763,785.0890,438.8485,431.4160,305.0305,0.0408,0.0554,Population structure converged. Difference: 0.0089
2,2,52.7160,44.8776,Warrior,88.3776,96.7866,11.6020,0.6257,2.6081,1.9970,200,59.8947,280.5402,633.5241,433.7504,230.2686,141.7124,0.0433,0.0554,Population structure converged. Difference: 0.0089
2,3,52.7160,47.1868,Warrior,88.3776,96.7866,11.6020,0.6257,2.6081,1.9970,200,59.8947,280.0186,426.4146,365.7534,119.1862,75.6290,0.0395,0.0554,Population structure converged. Difference: 0.0089
2,4,57.4964,49.9285,Warrior,86.2223,94.4262,11.3191,0.6104,7.4219,1.9255,200,59.8947,112.0981,295.0808,303.3237,45.0628,32.9833,0.0244,0.0554,Population structure converged. Difference: 0.0089
2,5,57.4964,51.8789,Warrior,86.2223,94.4262,11.3191,0.6104,7.4219,1.9255,200,59.8947,38.8066,190.4224,188.4912,16.5235,28.3164,0.0181,0.0554,Population structure converged. Difference: 0.0089
2,6,59.0451,53.4789,Warrior,87.1209,97.6927,11.8763,0.6405,2.6697,1.9255,200,59.8947,19.3574,86.1305,88.9478,23.2370,7.8889,0.0119,0.0554,Population structure converged. Difference: 0.0089
2,7,59.0451,55.0552,Warrior,87.1209,97.6927,11.8763,0.6405,2.6697,1.9255,200,59.8947,18.3448,58.0019,71.4455,10.4787,6.2101,0.0107,0.0554,Population structure converged. Difference: 0.0089
2,8,59.8058,56.4385,Warrior,93.7646,84.5804,18.0924,0.6893,2.8733,1.9255,200,59.8947,11.8864,46.2943,42.0986,1.5205,5.4873,0.0034,0.0554,Population structure converged. Difference: 0.0089
2,9,59.8058,57.1443,Warrior,93.7646,84.5804,18.0924,0.6893,2.8733,1.9255,200,59.8947,9.1737,49.7258,35.9679,1.1260,5.5781,0.0019,0.0554,Population structure converged. Difference: 0.0089
2,10,59.8058,57.9391,Warrior,93.7646,84.5804,18.0924,0.6893,2.8733,1.9255,200,59.8947,6.0061,11.4434,1.4291,0.4016,5.5686,0.0003,0.0554,Population structure converged. Difference: 0.0089
2,11,59.8058,57.9994,Warrior,93.7646,84.5804,18.0924,0.6893,2.8733,1.9255,200,59.8947,7.3771,12.8010,3.0169,0.3775,4.8530,0.0004,0.0554,Population structure converged. Difference: 0.0089
2,12,59.8058,58.4210,Warrior,93.7646,84.5804,18.0924,0.6893,2.8733,1.9255,200,59.8947,5.4715,14.0909,4.0403,0.0006,4.5525,0.0002,0.0554,Population structure converged. Difference: 0.0089
2,13,59.8594,58.7924,Warrior,90.2321,87.6010,18.7385,0.6633,2.7651,1.9255,200,59.8947,6.9911,16.8971,6.0829,0.0010,3.4839,0.0001,0.0554,Population structure converged. Difference: 0.0089
2,14,59.8836,59.1106,Warrior,93.8684,84.6741,18.1124,0.6513,2.6937,1.9255,200,59.8947,12.3097,27.0603,8.3099,0.0011,2.0750,0.0000,0.0554,Population structure converged. Difference: 0.0089
2,15,59.8947,59.2655,Warrior,93.8831,84.6873,18.1152,0.6413,2.6731,1.9255,200,59.8947,13.4074,30.5963,8.9375,0.0011,1.1956,0.0000,0.0554,Population structure converged. Difference: 0.0089
2,16,59.8947,59.3692,Warrior,93.8831,84.6873,18.1152,0.6413,2.6731,1.9255,200,59.8947,12.6566,28.4436,8.6357,0.0011,0.7123,0.0000,0.0554,Population structure converged. Difference: 0.0089
3,0,44.8881,32.2015,Warrior,57.8843,58.0166,52.5716,10.9549,20.5727,1.8633,200,52.8074,443.8880,566.8592,315.4592,465.7672,564.7377,0.0259,0.0548,Population structure converged. Difference: 0.0099
3,1,45.8195,38.2398,Warrior,75.7018,69.3324,36.5395,8.8481,9.5783,1.5020,200,52.8074,272.2578,381.3441,145.6372,202.7368,376.0582,0.0170,0.0548,Population structure converged. Difference: 0.0099
3,2,49.8017,41.4991,Warrior,63.5454,76.1131,40.1131,9.7134,10.5150,1.8633,200,52.8074,125.7769,233.5814,82.5509,130.4904,180.3510,0.0151,0.0548,Population structure converged. Difference: 0.0099
3,3,49.8017,43.6449,Warrior,63.5454,76.1131,40.1131,9.7134,10.5150,1.8633,200,52.8074,63.4081,153.3229,63.5295,19.4742,78.7762,0.0207,0.0548,Population structure converged. Difference: 0.0099
3,4,52.3118,45.7805,Warrior,75.4633,69.1140,36.4245,8.8202,10.1780,1.8633,200,52.8074,46.1169,67.1251,65.2293,1.9637,56.2948,0.0261,0.0548,Population structure converged. Difference: 0.0099
3,5,52.3151,48.1161,Warrior,75.3810,69.2568,36.3847,8.8106,10.1669,1.8633,200,52.8074,32.2423,34.4578,30.1541,0.6226,4.8177,0.0199,0.0548,Population structure converged. Difference: 0.0099
3,6,52.3151,49.2664,Warrior,75.3810,69.2568,36.3847,8.8106,10.1669,1.8633,200,52.8074,30.8247,28.6598,25.1550,0.2774,3.6832,0.0149,0.0548,Population structure converged. Difference: 0.0099
3,7,52.3172,50.3921,Warrior,72.8825,73.5903,35.1787,8.5185,9.8299,1.8633,200,52.8074,29.2720,20.7171,18.4692,0.3195,1.5593,0.0069,0.0548,Population structure converged. Difference: 0.0099
3,8,52.4147,50.9957,Warrior,74.1889,81.1883,25.9455,8.6712,10.0061,1.8633,200,52.8074,24.5798,17.7902,10.3843,0.3086,0.9638,0.0034,0.0548,Population structure converged. Difference: 0.0099
3,9,52.3222,51.4081,Warrior,75.4323,69.2283,36.3698,8.8069,10.1627,1.8633,200,52.8074,21.7196,13.9680,8.7779,0.2524,0.1351,0.0013,0.0548,Population structure converged. Difference: 0.0099
3,10,52.3222,51.5626,Warrior,75.4323,69.2283,36.3698,8.8069,10.1627,1.8633,200,52.8074,17.8033,12.0887,8.1733,0.2646,0.1433,0.0013,0.0548,Population structure converged. Difference: 0.0099
3,11,52.6091,51.8540,Warrior,79.5891,72.8926,27.8741,9.3158,10.3283,1.8633,200,52.8074,14.3114,8.5557,6.4397,0.1780,0.1100,0.0000,0.0548,Population structure converged. Difference: 0.0099
3,12,52.6091,52.0185,Warrior,79.5891,72.8926,27.8741,9.3158,10.3283,1.8633,200,52.8074,9.0942,6.7872,6.9850,0.1546,0.0976,0.0000,0.0548,Population structure converged. Difference: 0.0099
3,13,52.6091,52.0704,Warrior,79.5891,72.8926,27.8741,9.3158,10.3283,1.8633,200,52.8074,8.3309,10.0413,10.2436,0.1823,0.0796,0.0000,0.0548,Population structure converged. Difference: 0.0099
3,14,52.7010,52.1785,Warrior,76.5632,70.1213,35.0396,8.4849,9.7910,1.8633,200,52.8074,4.1720,9.1679,11.9453,0.1530,0.0648,0.0000,0.0548,Population structure converged. Difference: 0.0099
3,15,52.8074,52.2169,Warrior,79.8232,73.1070,27.9561,8.8738,10.2399,1.8633,200,52.8074,3.6456,6.0941,10.6142,0.1012,0.0731,0.0000,0.0548,Population structure converged. Difference: 0.0099
3,16,52.8074,52.2816,Warrior,79.8232,73.1070,27.9561,8.8738,10.2399,1.8633,200,52.8074,1.9130,4.4404,9.2270,0.0793,0.0469,0.0000,0.0548,Population structure converged. Difference: 0.0099
3,17,52.8074,52.2878,Warrior,79.8232,73.1070,27.9561,8.8738,10.2399,1.8633,200,52.8074,1.5881,2.6906,7.7076,0.0905,0.0418,0.0000,0.0548,Population structure converged. Difference: 0.0099
4,0,49.1223,31.9840,Warrior,64.6854,68.6972,41.3787,14.7673,10.4714,1.8818,200,55.6971,394.8454,640.7214,629.5384,502.0673,429.6154,0.0429,0.0948,Population structure converged. Difference: 0.0096
4,1,49.1223,39.4478,Warrior,64.6854,68.6972,41.3787,14.7673,10.4714,1.8818,200,55.6971,126.0592,381.6590,534.3177,357.9538,245.6643,0.0287,0.0948,Population structure converged. Difference: 0.0096
4,2,52.8216,43.9970,Warrior,66.5681,70.6966,48.7245,3.2346,10.7762,1.8818,200,55.6971,82.7446,164.9126,356.4597,191.3258,54.2561,0.0156,0.0948,Population structure converged. Difference: 0.0096
4,3,53.5028,46.8502,Warrior,68.7458,73.0095,43.9761,3.1398,11.1287,1.8818,200,55.6971,47.6354,126.3086,313.0289,69.6741,36.2954,0.0035,0.0948,Population structure converged. Difference: 0.0096
4,4,53.5713,49.0144,Warrior,68.8096,73.0772,44.0170,2.9571,11.1390,1.8818,200,55.6971,33.1325,75.9973,168.8429,32.8586,15.3321,0.0022,0.0948,Population structure converged. Difference: 0.0096
4,5,54.3513,50.5963,Warrior,76.0623,80.7797,26.9912,3.8537,12.3131,1.8818,200,55.6971,24.1412,45.7594,99.0439,26.7660,11.4654,0.0011,0.0948,Population structure converged. Difference: 0.0096
4,6,54.7283,51.3453,Warrior,79.0285,79.7421,25.3679,4.2127,11.6489,1.8818,200,55.6971,14.7818,44.5631,58.9804,21.3062,8.4695,0.0010,0.0948,Population structure converged. Difference: 0.0096
4,7,54.7283,52.3369,Warrior,79.0285,79.7421,25.3679,4.2127,11.6489,1.8818,200,55.6971,15.0073,23.7547,43.5574,8.2840,4.0804,0.0006,0.0948,Population structure converged. Difference: 0.0096
4,8,54.7283,52.7451,Warrior,79.0285,79.7421,25.3679,4.2127,11.6489,1.8818,200,55.6971,15.5511,24.7279,62.5250,2.4405,2.7139,0.0006,0.0948,Population structure converged. Difference: 0.0096
4,9,55.3608,53.1338,Warrior,79.7667,80.4869,25.6048,3.2648,10.8768,1.8818,200,55.6971,21.8985,29.0087,96.4697,3.1491,2.5576,0.0003,0.0948,Population structure converged. Difference: 0.0096
4,10,55.3608,53.4269,Warrior,79.7667,80.4869,25.6048,3.2648,10.8768,1.8818,200,55.6971,28.2809,26.6483,97.4002,2.9506,1.0039,0.0002,0.0948,Population structure converged. Difference: 0.0096
4,11,55.3608,53.8375,Warrior,79.7667,80.4869,25.6048,3.2648,10.8768,1.8818,200,55.6971,28.0376,25.8005,99.0622,1.8842,0.4314,0.0003,0.0948,Population structure converged. Difference: 0.0096
4,12,55.6971,54.2493,Warrior,80.1655,80.8893,25.7328,3.0106,10.2018,1.8818,200,55.6971,24.2647,19.9757,84.1667,0.2712,0.3547,0.0001,0.0948,Population structure converged. Difference: 0.0096
4,13,55.6971,54.4024,Warrior,80.1655,80.8893,25.7328,3.0106,10.2018,1.8818,200,55.6971,19.6270,20.4586,66.9927,0.2613,0.3584,0.0001,0.0948,Population structure converged. Difference: 0.0096
4,14,55.6971,54.6567,Warrior,80.1655,80.8893,25.7328,3.0106,10.2018,1.8818,200,55.6971,11.1979,15.3091,40.8445,0.2547,0.3528,0.0001,0.0948,Population structure converged. Difference: 0.0096
