Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.1806,27.4942,Warrior,62.9807,54.4704,75.6930,1.4769,5.3789,1.8780,200,58.2008,553.7865,366.0567,390.7329,383.7922,493.8168,0.0424,0.0910,Population structure converged. Difference: 0.0097
1,1,50.1806,30.1444,Warrior,62.9807,54.4704,75.6930,1.4769,5.3789,1.8780,200,58.2008,425.1080,255.4959,257.7441,364.8855,426.4133,0.0455,0.0910,Population structure converged. Difference: 0.0097
1,2,54.8980,32.0589,Warrior,73.0977,63.2202,55.7249,1.7142,6.2430,1.8780,200,58.2008,422.3161,190.7786,373.2238,362.5724,335.6324,0.0452,0.0910,Population structure converged. Difference: 0.0097
1,3,50.2545,34.5000,Warrior,62.1378,56.4183,74.6799,1.4572,5.3069,1.8780,200,58.2008,467.1773,161.0635,267.1854,294.4813,297.9993,0.0415,0.0910,Population structure converged. Difference: 0.0097
1,4,50.2545,37.0234,Warrior,62.1378,56.4183,74.6799,1.4572,5.3069,1.8780,200,58.2008,279.2546,143.7479,270.5880,255.1393,221.7795,0.0323,0.0910,Population structure converged. Difference: 0.0097
1,5,57.0064,38.9850,Warrior,79.5423,78.0330,33.7660,1.8653,6.7934,1.8780,200,58.2008,186.1949,152.1145,261.0502,217.4942,206.3088,0.0300,0.0910,Population structure converged. Difference: 0.0097
1,6,57.7994,41.5407,Warrior,79.5423,78.0330,33.7660,1.8653,6.7934,1.9223,200,58.2008,115.5680,115.8398,258.7592,190.7690,160.1513,0.0240,0.0910,Population structure converged. Difference: 0.0097
1,7,54.6334,43.2681,Warrior,80.3705,50.9777,59.9029,1.8848,6.8641,1.9223,200,58.2008,109.6560,103.0201,235.5814,165.5288,118.0586,0.0110,0.0910,Population structure converged. Difference: 0.0097
1,8,56.7487,44.7137,Warrior,86.3163,67.5006,36.6872,2.1240,7.3719,1.8780,200,58.2008,114.9889,85.2957,282.4979,130.4503,101.0005,0.0066,0.0910,Population structure converged. Difference: 0.0097
1,9,56.7487,46.2449,Warrior,86.3163,67.5006,36.6872,2.1240,7.3719,1.8780,200,58.2008,91.9469,100.6417,312.8221,127.2582,109.1505,0.0068,0.0910,Population structure converged. Difference: 0.0097
1,10,56.7487,47.4761,Warrior,86.3163,67.5006,36.6872,2.1240,7.3719,1.8780,200,58.2008,90.7942,108.8970,267.4168,92.3338,97.2717,0.0023,0.0910,Population structure converged. Difference: 0.0097
1,11,56.7487,49.4616,Warrior,86.3163,67.5006,36.6872,2.1240,7.3719,1.8780,200,58.2008,86.5197,99.1785,292.5031,63.2858,70.5332,0.0004,0.0910,Population structure converged. Difference: 0.0097
1,12,57.1317,50.6212,Warrior,75.9351,80.0946,34.6581,1.8427,7.4695,1.9223,200,58.2008,80.2024,110.0721,260.5527,23.8548,57.3518,0.0004,0.0910,Population structure converged. Difference: 0.0097
1,13,57.1894,51.7461,Warrior,85.6064,68.0856,38.1450,1.7585,6.4044,1.8780,200,58.2008,69.2955,122.2001,267.3447,10.9244,52.0044,0.0004,0.0910,Population structure converged. Difference: 0.0097
1,14,58.3848,52.1373,Warrior,85.7487,74.1618,32.0909,1.7728,6.2258,1.9223,200,58.2008,57.3636,140.5762,245.8575,10.4769,34.2653,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,15,58.3848,53.6524,Warrior,85.7487,74.1618,32.0909,1.7728,6.2258,1.9223,200,58.2008,56.9011,135.4700,204.0104,0.6429,19.6236,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,16,57.6962,54.4330,Warrior,78.3839,73.5949,39.9995,1.7281,6.2936,1.9223,200,58.2008,59.7952,108.1814,144.1928,0.5099,20.2094,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,17,57.6962,55.1763,Warrior,78.3839,73.5949,39.9995,1.7281,6.2936,1.9223,200,58.2008,71.5207,76.8668,95.2721,0.6457,10.8504,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,18,57.5683,55.6630,Warrior,83.2907,65.0068,43.8413,2.4081,5.4530,1.9223,200,58.2008,59.5342,79.6206,66.0186,0.6289,3.2310,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,19,57.4606,56.0059,Warrior,84.8421,67.6330,37.8915,1.7468,7.8866,1.9223,200,58.2008,54.1995,58.1402,44.3887,0.1434,1.6201,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,20,58.0007,56.2438,Warrior,86.9398,67.9881,36.9521,2.5254,5.5947,1.9223,200,58.2008,39.0258,43.5719,33.6204,0.1394,1.2383,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,21,58.0435,56.5730,Warrior,85.6005,68.2376,38.2302,2.1665,5.7652,1.9223,200,58.2008,29.5908,24.4697,20.6127,0.1409,0.5325,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,22,58.1974,56.7646,Warrior,87.1639,68.1634,37.0474,2.1449,5.4805,1.9223,200,58.2008,24.4460,18.6940,16.3214,0.1197,0.5171,0.0005,0.0910,Population structure converged. Difference: 0.0097
1,23,58.1974,56.9857,Warrior,87.1639,68.1634,37.0474,2.1449,5.4805,1.9223,200,58.2008,17.1769,15.3063,13.0011,0.1174,0.4811,0.0004,0.0910,Population structure converged. Difference: 0.0097
1,24,58.1974,57.0594,Warrior,87.1639,68.1634,37.0474,2.1449,5.4805,1.9223,200,58.2008,20.4878,12.6105,10.0908,0.1065,0.5748,0.0004,0.0910,Population structure converged. Difference: 0.0097
1,25,58.1974,57.2642,Warrior,87.1639,68.1634,37.0474,2.1449,5.4805,1.9223,200,58.2008,18.6646,11.9782,8.4613,0.0940,0.5865,0.0003,0.0910,Population structure converged. Difference: 0.0097
1,26,58.2395,57.4328,Warrior,84.2876,71.2975,36.6515,2.0741,5.6893,1.9223,200,58.2008,12.5324,9.8060,7.5225,0.0865,0.5276,0.0002,0.0910,Population structure converged. Difference: 0.0097
1,27,58.2395,57.4872,Warrior,84.2876,71.2975,36.6515,2.0741,5.6893,1.9223,200,58.2008,8.5387,9.0578,6.5051,0.0926,0.4199,0.0002,0.0910,Population structure converged. Difference: 0.0097
1,28,58.2008,57.6413,Warrior,87.1708,68.1688,37.0503,2.1803,5.4299,1.9223,200,58.2008,8.7377,8.7962,4.5869,0.0808,0.3673,0.0001,0.0910,Population structure converged. Difference: 0.0097
2,0,45.5938,28.3185,Warrior,78.4395,63.5251,22.6794,33.0503,2.3057,1.9600,200,59.6697,405.5447,548.6135,509.2051,329.6424,468.3294,0.0410,0.0910,Population structure converged. Difference: 0.0100
2,1,45.5938,30.2828,Warrior,78.4395,63.5251,22.6794,33.0503,2.3057,1.9600,200,59.6697,354.4507,615.6342,559.7729,274.3146,340.4965,0.0396,0.0910,Population structure converged. Difference: 0.0100
2,2,49.9873,33.0540,Warrior,77.7689,81.8791,10.4414,16.3280,13.5826,1.9048,200,59.6697,269.4131,494.8639,441.3052,150.3923,310.3947,0.0432,0.0910,Population structure converged. Difference: 0.0100
2,3,55.3248,35.5847,Warrior,89.5113,72.4918,25.8806,0.2987,11.8175,1.9600,200,59.6697,337.0784,391.9035,409.5248,120.3971,238.8011,0.0442,0.0910,Population structure converged. Difference: 0.0100
2,4,49.9873,37.6227,Warrior,77.7689,81.8791,10.4414,16.3280,13.5826,1.9048,200,59.6697,291.0844,304.1767,411.7960,87.1731,206.7444,0.0439,0.0910,Population structure converged. Difference: 0.0100
2,5,49.9873,39.8292,Warrior,77.7689,81.8791,10.4414,16.3280,13.5826,1.9048,200,59.6697,169.6980,173.3227,402.9482,68.1739,201.3646,0.0376,0.0910,Population structure converged. Difference: 0.0100
2,6,55.0567,41.0438,Warrior,79.2352,83.4229,21.0782,2.4249,13.8387,1.9048,200,59.6697,137.0780,192.7267,312.0515,76.5367,156.0125,0.0310,0.0910,Population structure converged. Difference: 0.0100
2,7,55.0567,42.5030,Warrior,79.2352,83.4229,21.0782,2.4249,13.8387,1.9048,200,59.6697,140.7568,199.1263,268.4188,72.7612,152.6018,0.0243,0.0910,Population structure converged. Difference: 0.0100
2,8,55.7664,44.0117,Warrior,89.5355,76.3076,19.2804,2.2181,12.6584,1.9048,200,59.6697,101.2243,195.0635,254.9052,72.4822,101.7090,0.0160,0.0910,Population structure converged. Difference: 0.0100
2,9,56.7146,45.4922,Warrior,82.6964,88.0489,22.2471,2.5594,4.4482,1.9600,200,59.6697,109.4967,171.0277,277.8050,75.0946,101.5159,0.0189,0.0910,Population structure converged. Difference: 0.0100
2,10,56.7146,46.9574,Warrior,82.6964,88.0489,22.2471,2.5594,4.4482,1.9600,200,59.6697,130.6373,172.0951,263.0439,73.0288,79.6251,0.0077,0.0910,Population structure converged. Difference: 0.0100
2,11,56.6681,48.0641,Warrior,91.4612,76.8470,19.4167,2.2338,10.0414,1.9048,200,59.6697,139.8992,163.5160,222.3723,76.9034,69.3325,0.0074,0.0910,Population structure converged. Difference: 0.0100
2,12,56.8963,49.3702,Warrior,98.9126,80.1055,15.2594,2.8149,2.9075,1.9600,200,59.6697,110.5695,144.7265,218.2310,78.3750,57.8919,0.0096,0.0910,Population structure converged. Difference: 0.0100
2,13,58.1977,50.2080,Warrior,78.0350,91.0612,25.3498,2.7502,2.8038,1.9048,200,59.6697,98.5415,139.3323,200.8752,69.7926,59.1214,0.0046,0.0910,Population structure converged. Difference: 0.0100
2,14,58.1977,51.3742,Warrior,78.0350,91.0612,25.3498,2.7502,2.8038,1.9048,200,59.6697,85.4573,144.7639,148.6757,65.9123,55.2430,0.0009,0.0910,Population structure converged. Difference: 0.0100
2,15,58.3700,52.5158,Warrior,78.3611,94.0404,23.0540,2.6454,1.8991,1.9048,200,59.6697,62.0222,151.5714,100.0609,55.5002,43.7548,0.0010,0.0910,Population structure converged. Difference: 0.0100
2,16,59.0166,53.7493,Warrior,84.9202,77.6634,31.6361,3.6395,2.1408,1.9048,200,59.6697,47.1376,124.5330,99.1594,46.8070,41.9239,0.0005,0.0910,Population structure converged. Difference: 0.0100
2,17,59.6864,54.7723,Warrior,89.1162,76.8033,29.7535,2.5188,1.8082,1.9048,200,59.6697,41.0745,100.6876,71.3583,24.9782,39.5611,0.0004,0.0910,Population structure converged. Difference: 0.0100
2,18,59.0312,55.2190,Warrior,80.2468,82.9466,32.1335,2.7203,1.9528,1.9048,200,59.6697,30.5501,74.8063,50.1442,18.9901,37.0678,0.0004,0.0910,Population structure converged. Difference: 0.0100
2,19,59.3681,55.7211,Warrior,90.0019,86.2876,18.9788,2.7544,1.9773,1.9048,200,59.6697,27.4133,76.4612,52.8354,17.8297,35.0335,0.0003,0.0910,Population structure converged. Difference: 0.0100
2,20,59.5477,56.4147,Warrior,85.6381,82.1040,27.7556,2.6209,1.8814,1.9048,200,59.6697,25.8257,59.5463,38.9702,6.2696,31.9296,0.0003,0.0910,Population structure converged. Difference: 0.0100
