Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.2581,31.1104,Warrior,87.0579,73.0092,25.2945,7.2887,7.3497,1.9444,200,58.1982,418.5636,449.0147,399.3255,415.5834,496.8585,0.0472,0.0278,Population structure converged. Difference: 0.0402
1,1,55.2581,35.7448,Warrior,87.0579,73.0092,25.2945,7.2887,7.3497,1.9444,200,58.1982,355.6735,349.9371,400.4779,367.8583,325.3832,0.0482,0.0278,Population structure converged. Difference: 0.0402
1,2,55.2581,41.7148,Warrior,87.0579,73.0092,25.2945,7.2887,7.3497,1.9444,200,58.1982,297.8676,324.4938,445.9212,220.3978,217.8780,0.0309,0.0278,Population structure converged. Difference: 0.0402
1,3,55.7678,45.7915,Warrior,87.0579,73.0092,25.2945,7.2887,7.3497,1.9286,200,58.1982,189.3784,417.6745,426.2674,89.8545,172.1493,0.0208,0.0278,Population structure converged. Difference: 0.0402
1,4,57.2604,49.8466,Warrior,89.5885,75.1314,26.0298,4.1138,5.1365,1.9444,200,58.1982,154.3424,415.5371,314.0879,38.9706,106.4818,0.0066,0.0278,Population structure converged. Difference: 0.0402
1,5,57.2604,53.1616,Warrior,89.5885,75.1314,26.0298,4.1138,5.1365,1.9444,200,58.1982,80.8863,233.6812,214.9734,20.3428,18.8798,0.0049,0.0278,Population structure converged. Difference: 0.0402
1,6,58.1982,54.9539,Warrior,84.0599,80.1486,27.7681,3.5682,4.4552,1.9286,200,58.1982,33.4831,90.4612,132.2849,11.5481,14.7319,0.0014,0.0278,Population structure converged. Difference: 0.0402
1,7,58.1982,55.9464,Warrior,84.0599,80.1486,27.7681,3.5682,4.4552,1.9286,200,58.1982,19.6901,49.5034,75.1143,1.9920,17.1658,0.0014,0.0278,Population structure converged. Difference: 0.0402
2,0,44.0228,29.2959,Warrior,70.0747,64.7777,41.2047,17.5609,6.3820,1.7699,200,54.7737,274.3416,525.3247,493.8727,490.6962,478.8284,0.0341,0.0580,Population structure converged. Difference: 0.0350
2,1,42.2084,33.3238,Warrior,54.7961,58.8622,71.3375,0.6706,14.3335,1.7801,200,54.7737,172.0717,402.1371,475.0732,298.2922,372.7607,0.0312,0.0580,Population structure converged. Difference: 0.0350
