Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.0831,28.9890,Warrior,83.3070,38.5164,54.3815,0.4342,23.3609,1.4986,200,49.2345,455.1124,427.4233,297.3071,483.6590,427.5667,0.0335,0.0464,Population structure converged. Difference: 0.0421
1,1,44.2556,33.3135,Warrior,82.2163,38.0122,53.6695,0.4285,25.6735,1.8089,200,49.2345,433.8536,292.5606,235.0157,475.1886,276.5786,0.0272,0.0464,Population structure converged. Difference: 0.0421
1,2,44.2556,36.2521,Warrior,82.2163,38.0122,53.6695,0.4285,25.6735,1.8089,200,49.2345,375.4242,242.9520,189.5309,401.3256,190.6352,0.0212,0.0464,Population structure converged. Difference: 0.0421
1,3,44.2556,37.8644,Warrior,82.2163,38.0122,53.6695,0.4285,25.6735,1.8089,200,49.2345,267.9262,204.6838,166.8338,302.2417,116.4199,0.0195,0.0464,Population structure converged. Difference: 0.0421
1,4,45.0990,39.3938,Warrior,76.8817,58.1668,31.6702,8.9243,24.3571,1.8089,200,49.2345,252.1341,147.6923,105.8559,196.4805,58.5030,0.0191,0.0464,Population structure converged. Difference: 0.0421
1,5,47.9623,40.5046,Warrior,68.9270,70.8057,38.3844,0.3592,21.5237,1.8089,200,49.2345,193.6488,116.5825,85.4651,78.3657,45.4905,0.0213,0.0464,Population structure converged. Difference: 0.0421
1,6,47.9623,42.2853,Warrior,68.9270,70.8057,38.3844,0.3592,21.5237,1.8089,200,49.2345,75.9517,148.8662,104.8805,56.7135,23.4143,0.0255,0.0464,Population structure converged. Difference: 0.0421
1,7,49.1765,43.8318,Warrior,77.4607,66.1958,35.8853,0.3358,20.1224,1.8089,200,49.2345,61.9034,219.2139,98.8382,30.8956,15.0441,0.0248,0.0464,Population structure converged. Difference: 0.0421
1,8,49.1765,44.8291,Warrior,77.4607,66.1958,35.8853,0.3358,20.1224,1.8089,200,49.2345,84.0153,242.6118,123.4656,28.0140,13.7927,0.0199,0.0464,Population structure converged. Difference: 0.0421
1,9,49.1765,46.2341,Warrior,77.4607,66.1958,35.8853,0.3358,20.1224,1.8089,200,49.2345,60.3564,206.5982,106.2769,1.5757,8.5394,0.0110,0.0464,Population structure converged. Difference: 0.0421
1,10,49.2345,47.2433,Warrior,74.8019,68.3753,37.0669,0.3243,19.4317,1.8089,200,49.2345,39.0964,116.4546,52.2521,1.5097,6.3455,0.0072,0.0464,Population structure converged. Difference: 0.0421
