Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.1889,33.7900,Warrior,61.6457,53.1570,46.1881,16.1564,22.8528,1.9510,200,54.6209,644.1739,473.2339,677.8318,431.7532,299.1710,0.0363,0.0209,Population structure converged. Difference: 0.0418
1,1,46.4919,39.1771,Warrior,92.5525,79.0639,2.8870,24.2566,1.2400,1.9858,200,54.6209,338.7028,357.4394,617.0060,237.1799,185.9050,0.0230,0.0209,Population structure converged. Difference: 0.0418
1,2,51.2681,41.1958,Warrior,66.1464,62.5139,54.8295,1.0682,15.4419,1.9510,200,54.6209,191.2568,263.5067,637.7243,126.1686,116.5653,0.0112,0.0209,Population structure converged. Difference: 0.0418
1,3,51.7918,45.7035,Warrior,95.7575,81.8018,2.9285,1.2624,18.2498,1.9510,200,54.6209,142.5057,147.0680,584.6369,98.0802,62.2086,0.0042,0.0209,Population structure converged. Difference: 0.0418
1,4,54.6209,49.4287,Warrior,76.9449,65.7309,44.0576,0.8583,12.4082,1.9510,200,54.6209,105.0920,116.2618,529.2858,58.4200,25.1478,0.0006,0.0209,Population structure converged. Difference: 0.0418
1,5,54.6209,51.1797,Warrior,76.9449,65.7309,44.0576,0.8583,12.4082,1.9510,200,54.6209,68.3510,131.2269,338.5417,18.3503,15.3750,0.0000,0.0209,Population structure converged. Difference: 0.0418
1,6,54.6209,52.4307,Warrior,76.9449,65.7309,44.0576,0.8583,12.4082,1.9510,200,54.6209,40.9639,105.3801,196.5423,7.3872,6.8911,0.0000,0.0209,Population structure converged. Difference: 0.0418
2,0,57.5876,41.8952,Warrior,85.6996,89.4476,17.3298,3.4839,4.0390,1.9428,200,57.7588,690.4887,974.2307,301.5839,701.9339,631.2256,0.0419,0.0092,Population structure converged. Difference: 0.0144
2,1,57.5876,54.6790,Warrior,85.6996,89.4476,17.3298,3.4839,4.0390,1.9428,200,57.7588,227.4939,309.7977,49.0433,217.9272,247.0160,0.0120,0.0092,Population structure converged. Difference: 0.0144
2,2,57.7588,56.9368,Warrior,81.1378,84.6862,27.0536,3.2984,3.8240,1.9428,200,57.7588,57.0684,73.8401,2.2603,67.8984,63.3298,0.0032,0.0092,Population structure converged. Difference: 0.0144
