Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.6481,38.4465,Warrior,79.4628,54.7532,45.3850,9.7192,10.6798,1.8055,200,47.6481,495.3951,302.9145,163.3271,517.3674,322.7753,0.0231,0.0108,Population structure converged. Difference: 0.0047
1,1,47.6481,44.6245,Warrior,79.4628,54.7532,45.3850,9.7192,10.6798,1.8055,200,47.6481,239.1096,122.9063,60.8284,188.8880,147.2048,0.0069,0.0108,Population structure converged. Difference: 0.0047
1,2,47.6481,46.2766,Warrior,79.4628,54.7532,45.3850,9.7192,10.6798,1.8055,200,47.6481,149.5470,44.6386,15.1231,89.6613,122.0764,0.0035,0.0108,Population structure converged. Difference: 0.0047
1,3,47.6481,47.4232,Warrior,79.4628,54.7532,45.3850,9.7192,10.6798,1.8055,200,47.6481,6.1818,1.4947,0.7617,11.7198,5.6231,0.0013,0.0108,Population structure converged. Difference: 0.0047
2,0,51.7239,39.1560,Warrior,80.3515,86.4814,20.8522,3.4168,8.8982,1.8113,200,53.3636,412.3364,501.9532,306.8805,273.1588,328.0626,0.0216,0.0424,Population structure converged. Difference: 0.0085
2,1,51.8631,46.2793,Warrior,76.8820,74.3794,37.2859,2.9387,8.5140,1.8113,200,53.3636,120.3889,192.6913,145.8534,123.3500,77.0851,0.0082,0.0424,Population structure converged. Difference: 0.0085
2,2,52.3301,49.8704,Warrior,79.1198,89.7896,21.6499,3.5475,5.8932,1.8113,200,53.3636,19.9323,22.0733,69.0335,36.8205,4.4661,0.0025,0.0424,Population structure converged. Difference: 0.0085
2,3,52.5396,51.0139,Warrior,80.4910,86.6316,23.2384,3.8078,5.8313,1.8113,200,53.3636,11.0456,22.6412,61.6327,18.4467,0.5712,0.0004,0.0424,Population structure converged. Difference: 0.0085
2,4,52.6527,51.4703,Warrior,81.8389,84.7330,23.6275,3.8716,5.9289,1.8113,200,53.3636,9.9962,21.7685,55.0918,4.7730,0.7321,0.0004,0.0424,Population structure converged. Difference: 0.0085
2,5,52.6527,51.6136,Warrior,81.8389,84.7330,23.6275,3.8716,5.9289,1.8113,200,53.3636,11.1522,21.9207,52.5580,3.2371,0.9135,0.0002,0.0424,Population structure converged. Difference: 0.0085
2,6,52.7994,51.8196,Warrior,81.1306,75.2750,33.9503,2.6758,6.9684,1.8113,200,53.3636,10.4901,20.5119,46.5232,0.1388,0.9754,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,7,52.8982,51.8951,Warrior,86.4167,78.6963,24.9492,3.6773,6.2606,1.8113,200,53.3636,8.6452,21.4685,41.8089,0.1398,0.9581,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,8,53.2594,51.9243,Warrior,86.8774,79.1159,25.0822,2.6306,6.2939,1.8113,200,53.3636,8.9336,17.4013,33.2784,0.1480,1.0457,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,9,53.2594,51.9457,Warrior,86.8774,79.1159,25.0822,2.6306,6.2939,1.8113,200,53.3636,10.0231,16.1878,31.6788,0.1871,1.1095,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,10,53.2716,52.0222,Warrior,82.8247,77.0295,31.6510,2.4945,6.0003,1.8113,200,53.3636,9.0497,14.9386,30.3298,0.2012,1.2332,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,11,53.2716,52.1219,Warrior,82.8247,77.0295,31.6510,2.4945,6.0003,1.8113,200,53.3636,7.0349,15.3853,30.2911,0.2228,1.3210,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,12,53.2716,52.3332,Warrior,82.8247,77.0295,31.6510,2.4945,6.0003,1.8113,200,53.3636,5.2056,17.4793,32.1092,0.2483,1.3935,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,13,53.2716,52.4846,Warrior,82.8247,77.0295,31.6510,2.4945,6.0003,1.8113,200,53.3636,5.2649,16.2481,26.6698,0.3004,1.3827,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,14,53.2844,52.6782,Warrior,82.9552,77.1508,31.4087,2.4754,6.0098,1.8113,200,53.3636,4.1711,14.6377,23.7924,0.2744,1.1146,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,15,53.3636,52.8331,Warrior,82.9666,77.1615,31.6707,2.4961,5.7050,1.8113,200,53.3636,5.0474,10.5851,19.0603,0.2330,0.8561,0.0000,0.0424,Population structure converged. Difference: 0.0085
2,16,53.3636,52.9162,Warrior,82.9666,77.1615,31.6707,2.4961,5.7050,1.8113,200,53.3636,5.2130,10.0575,16.7514,0.1987,0.6599,0.0000,0.0424,Population structure converged. Difference: 0.0085
3,0,53.3623,37.9367,Warrior,81.8347,61.7842,48.0075,3.1127,5.2609,1.9790,200,58.1628,525.3694,249.3385,383.1911,423.4099,253.0133,0.0370,0.8567,Population structure converged. Difference: 0.0084
3,1,56.1230,46.2040,Warrior,85.1666,55.9727,50.1188,3.2496,5.4922,1.9192,200,58.1628,146.0276,137.1225,177.5664,152.4273,132.9361,0.0165,0.8567,Population structure converged. Difference: 0.0084
3,2,56.8655,51.1940,Warrior,86.3661,59.2121,46.0089,2.8434,5.5696,1.9192,200,58.1628,55.5890,34.9347,83.3922,54.9895,79.9830,0.0020,0.8567,Population structure converged. Difference: 0.0084
3,3,57.3490,53.7372,Warrior,89.7903,66.1934,34.3829,3.8430,5.7904,1.9192,200,58.1628,24.3883,17.9898,46.0922,23.8267,47.7942,0.0014,0.8567,Population structure converged. Difference: 0.0084
3,4,57.4222,55.2338,Warrior,89.8895,66.2665,34.4209,3.8473,5.5757,1.9192,200,58.1628,8.2440,8.8547,23.9411,6.3151,10.7753,0.0011,0.8567,Population structure converged. Difference: 0.0084
3,5,57.7564,56.0216,Warrior,88.5820,67.4950,35.0590,2.9831,5.8810,1.9192,200,58.1628,9.1095,11.8621,29.3524,3.0965,5.8992,0.0007,0.8567,Population structure converged. Difference: 0.0084
3,6,57.8398,56.4580,Warrior,87.7693,68.1219,35.3847,2.9942,5.7299,1.9192,200,58.1628,6.7167,13.2821,29.1937,1.5833,4.7608,0.0000,0.8567,Population structure converged. Difference: 0.0084
3,7,57.8499,56.6214,Warrior,87.9173,68.2368,35.1181,2.9881,5.7396,1.9192,200,58.1628,8.6033,14.9667,36.1629,1.6113,2.6278,0.0000,0.8567,Population structure converged. Difference: 0.0084
3,8,57.9607,56.8417,Warrior,88.0563,68.3447,35.1736,2.9150,5.5104,1.9192,200,58.1628,8.4624,17.0640,38.6460,0.1543,0.0708,0.0000,0.8567,Population structure converged. Difference: 0.0084
3,9,57.9607,57.0189,Warrior,88.0563,68.3447,35.1736,2.9150,5.5104,1.9192,200,58.1628,7.6460,17.6322,39.9725,0.1898,0.0845,0.0000,0.8567,Population structure converged. Difference: 0.0084
