Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.9764,34.1967,Warrior,63.1940,51.5166,49.7673,5.2227,30.2994,1.9197,200,52.3644,232.0908,286.7621,245.5207,263.0806,260.5305,0.0568,0.0428,Population structure converged. Difference: 0.0082
1,1,47.3626,40.9621,Warrior,75.8249,45.4162,45.9567,4.8228,27.9794,1.9197,200,52.3644,96.3021,103.7832,125.2548,101.6908,57.1556,0.0341,0.0428,Population structure converged. Difference: 0.0082
1,2,48.0474,44.7718,Warrior,73.8472,48.1595,46.5242,4.2195,27.2496,1.9197,200,52.3644,49.9606,30.7095,75.7806,39.7152,16.3299,0.0063,0.0428,Population structure converged. Difference: 0.0082
1,3,48.0474,45.9106,Warrior,73.8472,48.1595,46.5242,4.2195,27.2496,1.9197,200,52.3644,79.9027,28.2308,92.2542,11.8516,5.3220,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,4,48.2053,46.6243,Warrior,73.5805,49.9918,44.5964,4.6801,27.1512,1.9197,200,52.3644,87.8370,30.4407,102.3656,4.1684,3.1914,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,5,48.8304,47.0291,Warrior,79.4285,47.5747,43.6552,4.5813,24.7603,1.9197,200,52.3644,70.3488,38.5095,85.9379,4.2057,3.4505,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,6,49.7015,47.5584,Warrior,82.3692,49.3360,40.8431,4.2862,23.1654,1.9197,200,52.3644,44.7125,43.3655,70.5501,0.2388,3.9806,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,7,50.1524,48.0413,Warrior,68.0057,75.1476,28.6210,4.4071,23.8186,1.9197,200,52.3644,36.8975,77.1193,66.8525,0.2282,3.6917,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,8,51.6901,48.6534,Warrior,76.9175,70.0739,26.6886,4.1095,22.2105,1.9197,200,52.3644,44.1698,112.7709,61.0502,0.2416,4.3253,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,9,51.7309,49.4362,Warrior,76.1395,69.3652,28.4416,4.0680,21.9858,1.9197,200,52.3644,37.2142,90.3828,51.4214,0.3728,3.9250,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,10,51.8401,50.2068,Warrior,72.6500,66.1861,36.8441,3.3416,20.9782,1.9197,200,52.3644,29.6328,72.8706,39.2033,0.3997,2.8416,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,11,51.9444,50.9012,Warrior,74.1907,74.8760,25.9100,3.3852,21.6381,1.9197,200,52.3644,14.0229,47.8688,32.1380,0.2095,1.1632,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,12,52.0945,51.3092,Warrior,74.2703,66.8114,34.7104,3.1481,21.0598,1.9197,200,52.3644,9.4660,19.4984,21.2034,0.2508,0.8182,0.0000,0.0428,Population structure converged. Difference: 0.0082
1,13,52.3490,51.5256,Warrior,77.7073,70.7935,26.9627,3.3714,21.1651,1.9197,200,52.3644,5.9428,15.3402,17.8228,0.2427,0.6313,0.0000,0.0428,Population structure converged. Difference: 0.0082
