Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,56.6336,35.4215,Warrior,77.6748,76.8955,35.0805,7.0988,3.2504,1.9286,200,57.0939,324.7971,304.3159,318.0707,322.6140,323.9144,0.0421,0.0268,Population structure converged. Difference: 0.0096
1,1,57.0156,45.4988,Warrior,80.6487,75.0260,34.2276,6.9262,3.1714,1.9286,200,57.0939,257.7840,196.0415,109.1789,217.0878,274.0659,0.0255,0.0268,Population structure converged. Difference: 0.0096
1,2,57.0156,51.2689,Warrior,80.6487,75.0260,34.2276,6.9262,3.1714,1.9286,200,57.0939,119.5661,97.4070,93.2139,79.7126,199.8790,0.0084,0.0268,Population structure converged. Difference: 0.0096
1,3,57.1867,54.1108,Warrior,81.5833,75.1168,33.4359,6.7660,3.0981,1.9286,200,57.0939,64.6404,62.4488,40.4834,35.0646,118.6054,0.0052,0.0268,Population structure converged. Difference: 0.0096
1,4,57.1671,56.0475,Warrior,84.6085,72.2356,32.9546,6.8591,3.3422,1.9286,200,57.0939,15.5603,12.0752,3.2964,0.2646,41.4759,0.0001,0.0268,Population structure converged. Difference: 0.0096
1,5,57.1671,56.4603,Warrior,84.6085,72.2356,32.9546,6.8591,3.3422,1.9286,200,57.0939,7.8130,8.9637,2.3556,0.1283,16.7561,0.0000,0.0268,Population structure converged. Difference: 0.0096
1,6,57.0939,56.5524,Warrior,80.6718,75.6950,33.6933,6.8181,3.1219,1.9286,200,57.0939,9.0052,6.3047,1.6248,0.1164,8.3242,0.0000,0.0268,Population structure converged. Difference: 0.0096
2,0,49.0288,36.2259,Warrior,68.4980,67.6968,39.6725,17.8405,6.2921,1.8609,200,50.5782,303.8197,476.2250,210.4793,340.1200,444.0233,0.0308,0.0528,Population structure converged. Difference: 0.0097
2,1,49.0699,42.4156,Warrior,68.9309,67.1663,39.7332,17.8678,6.3018,1.8609,200,50.5782,163.4762,313.0092,88.6352,203.5701,353.8222,0.0155,0.0528,Population structure converged. Difference: 0.0097
2,2,49.8428,46.5816,Warrior,72.7446,65.5107,38.3914,17.2644,6.0889,1.8609,200,50.5782,31.3536,219.3454,68.5975,43.6362,188.0132,0.0106,0.0528,Population structure converged. Difference: 0.0097
2,3,49.8428,48.1925,Warrior,72.7446,65.5107,38.3914,17.2644,6.0889,1.8609,200,50.5782,9.7634,92.3876,21.5121,18.0615,90.8734,0.0012,0.0528,Population structure converged. Difference: 0.0097
2,4,50.0139,48.7756,Warrior,66.8909,68.4768,40.1909,18.0737,6.3677,1.9093,200,50.5782,2.3960,44.2656,17.5164,10.9355,8.6333,0.0007,0.0528,Population structure converged. Difference: 0.0097
2,5,50.2674,49.0769,Warrior,68.2159,67.4180,40.0254,17.9992,6.3415,1.9093,200,50.5782,0.4587,0.2201,0.0720,0.1445,0.0185,0.0001,0.0528,Population structure converged. Difference: 0.0097
2,6,50.4072,49.0883,Warrior,68.4980,67.6968,39.6725,17.8405,6.2921,1.9093,200,50.5782,0.3345,0.2220,0.0796,0.2816,0.0350,0.0002,0.0528,Population structure converged. Difference: 0.0097
2,7,50.4072,49.0786,Warrior,68.4980,67.6968,39.6725,17.8405,6.2921,1.9093,200,50.5782,0.3394,0.1844,0.0642,0.1438,0.0179,0.0001,0.0528,Population structure converged. Difference: 0.0097
2,8,50.4072,49.1182,Warrior,68.4980,67.6968,39.6725,17.8405,6.2921,1.9093,200,50.5782,0.1299,0.0977,0.0201,0.0038,0.0006,0.0001,0.0528,Population structure converged. Difference: 0.0097
2,9,50.4512,49.1968,Warrior,68.6919,67.5969,39.6140,17.8142,6.2829,1.9093,200,50.5782,0.1870,0.1504,0.0387,0.0097,0.0014,0.0002,0.0528,Population structure converged. Difference: 0.0097
2,10,50.4086,49.1892,Warrior,68.5056,67.7042,39.6549,17.8425,6.2928,1.9093,200,50.5782,0.1556,0.1014,0.0441,0.0123,0.0018,0.0002,0.0528,Population structure converged. Difference: 0.0097
2,11,50.4851,49.3618,Warrior,68.8924,68.0865,38.7656,17.9271,6.3284,1.9093,200,50.5782,0.1174,0.0928,0.0405,0.0137,0.0019,0.0004,0.0528,Population structure converged. Difference: 0.0097
2,12,50.5782,49.5332,Warrior,68.4725,68.0324,39.8692,17.3500,6.2758,1.9093,200,50.5782,0.1768,0.0939,0.0461,0.0130,0.0021,0.0005,0.0528,Population structure converged. Difference: 0.0097
2,13,50.5782,49.8217,Warrior,68.4725,68.0324,39.8692,17.3500,6.2758,1.9093,200,50.5782,0.0882,0.0746,0.0370,0.0099,0.0007,0.0006,0.0528,Population structure converged. Difference: 0.0097
2,14,50.5782,50.0909,Warrior,68.4725,68.0324,39.8692,17.3500,6.2758,1.9093,200,50.5782,0.0330,0.0319,0.0375,0.0094,0.0005,0.0004,0.0528,Population structure converged. Difference: 0.0097
3,0,48.0628,33.3322,Warrior,76.0057,71.6385,39.5698,6.2533,6.5327,1.4688,200,56.0780,470.3582,423.4856,332.4424,322.1156,559.4565,0.0460,0.0328,Population structure converged. Difference: 0.0084
3,1,55.6100,39.7163,Warrior,76.0057,71.6385,39.5698,6.2533,6.5327,1.9266,200,56.0780,255.3631,326.6687,163.0824,219.3077,334.0415,0.0535,0.0328,Population structure converged. Difference: 0.0084
3,2,55.6100,45.4993,Warrior,76.0057,71.6385,39.5698,6.2533,6.5327,1.9266,200,56.0780,189.5349,232.8202,85.7689,173.9871,213.1701,0.0493,0.0328,Population structure converged. Difference: 0.0084
3,3,56.0671,50.4231,Warrior,76.4517,72.0589,39.8021,5.1162,6.5711,1.9266,200,56.0780,79.7409,67.0254,53.4531,44.5819,79.7407,0.0406,0.0328,Population structure converged. Difference: 0.0084
3,4,56.0671,52.5886,Warrior,76.4517,72.0589,39.8021,5.1162,6.5711,1.9266,200,56.0780,54.2004,44.1486,36.7061,34.3605,50.9459,0.0259,0.0328,Population structure converged. Difference: 0.0084
3,5,56.0671,53.8243,Warrior,76.4517,72.0589,39.8021,5.1162,6.5711,1.9266,200,56.0780,29.5419,23.6975,23.5830,18.7016,30.0779,0.0158,0.0328,Population structure converged. Difference: 0.0084
3,6,56.0429,54.5719,Warrior,76.4255,72.0342,39.7884,5.1445,6.6074,1.9266,200,56.0780,13.5766,15.8295,13.4028,11.5408,15.5179,0.0120,0.0328,Population structure converged. Difference: 0.0084
3,7,56.0429,55.3898,Warrior,76.4255,72.0342,39.7884,5.1445,6.6074,1.9266,200,56.0780,1.0262,4.9700,8.1134,0.1104,0.0410,0.0041,0.0328,Population structure converged. Difference: 0.0084
3,8,56.0780,55.6084,Warrior,76.4670,72.0733,39.8100,5.1473,6.5023,1.9266,200,56.0780,0.2442,2.0562,2.6859,0.1319,0.0012,0.0000,0.0328,Population structure converged. Difference: 0.0084
4,0,43.5897,31.1565,Warrior,68.7116,75.6167,45.9462,1.7792,7.9463,1.6488,200,52.9117,377.9403,400.4395,460.0415,493.1202,318.3019,0.0281,0.0719,Population structure converged. Difference: 0.0092
4,1,50.1860,35.6538,Warrior,68.9849,75.9175,46.1289,1.7862,7.1825,1.7988,200,52.9117,343.7172,339.2770,314.8971,337.3023,297.6565,0.0222,0.0719,Population structure converged. Difference: 0.0092
4,2,51.2021,41.9482,Warrior,84.9289,59.5544,46.4797,1.7998,7.2371,1.7988,200,52.9117,187.5186,234.7869,186.7949,208.6183,184.5453,0.0161,0.0719,Population structure converged. Difference: 0.0092
4,3,51.4236,46.6814,Warrior,78.3478,86.2213,25.2449,2.0287,8.1573,1.7988,200,52.9117,30.3938,121.8596,89.2135,50.3726,38.7153,0.0075,0.0719,Population structure converged. Difference: 0.0092
4,4,51.7874,48.2605,Warrior,78.8276,86.7493,25.3995,1.7972,7.2265,1.7988,200,52.9117,21.3830,79.3041,58.6072,35.6221,22.7941,0.0051,0.0719,Population structure converged. Difference: 0.0092
4,5,51.8217,49.7336,Warrior,78.6334,70.2900,42.7095,1.6664,6.7007,1.7988,200,52.9117,16.5473,31.0403,39.7856,7.8829,7.1368,0.0016,0.0719,Population structure converged. Difference: 0.0092
4,6,51.9892,50.5562,Warrior,80.3657,85.5393,25.1573,1.7800,7.1576,1.7988,200,52.9117,26.4592,31.8010,67.0904,0.0187,1.5162,0.0000,0.0719,Population structure converged. Difference: 0.0092
4,7,52.1347,50.7221,Warrior,83.9432,85.3369,21.6887,1.7987,7.2325,1.7988,200,52.9117,24.9269,30.1343,59.5169,0.0233,1.5838,0.0000,0.0719,Population structure converged. Difference: 0.0092
