Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.9798,41.6844,Warrior,77.3292,68.8987,43.0059,2.2306,8.5356,1.8443,200,54.6550,301.4570,438.5780,247.7995,366.1539,270.4585,0.0332,0.0098,Population structure converged. Difference: 0.0432
1,1,54.4909,49.8075,Warrior,79.0901,70.4676,40.3427,2.0925,8.0070,1.8443,200,54.6550,71.8075,55.4132,216.6081,42.0565,3.2405,0.0098,0.0098,Population structure converged. Difference: 0.0432
1,2,54.6550,52.3939,Warrior,79.6965,71.0079,39.4257,2.0449,7.8250,1.8443,200,54.6550,38.2434,69.9638,188.4200,21.6106,4.6565,0.0037,0.0098,Population structure converged. Difference: 0.0432
2,0,48.0654,35.1306,Warrior,74.5903,65.0674,31.4046,11.5389,17.3988,1.8386,200,58.3823,182.8880,188.4002,240.2317,222.0963,207.4346,0.0331,0.0205,Population structure converged. Difference: 0.0147
2,1,51.2993,42.9660,Warrior,78.5586,68.5291,33.0753,1.5126,18.3244,1.8386,200,58.3823,35.8825,41.3400,51.4160,122.4040,80.8774,0.0218,0.0205,Population structure converged. Difference: 0.0147
2,2,53.5456,48.1283,Warrior,85.7355,65.1124,29.7550,12.7369,6.6602,1.9271,200,58.3823,11.7546,17.2472,35.0708,41.7378,13.3602,0.0008,0.0205,Population structure converged. Difference: 0.0147
2,3,54.2426,49.7149,Warrior,77.6818,72.1844,31.3385,1.4332,17.3621,1.9271,200,58.3823,13.8804,24.8164,62.9197,50.6786,27.6360,0.0017,0.0205,Population structure converged. Difference: 0.0147
2,4,57.9327,52.2676,Warrior,83.4240,72.7733,35.1238,1.6063,7.0727,1.9271,200,58.3823,14.6511,19.0748,46.7930,51.8251,33.1945,0.0018,0.0205,Population structure converged. Difference: 0.0147
2,5,58.3823,55.1492,Warrior,85.2351,74.4679,32.4916,1.4859,6.3195,1.9271,200,58.3823,17.9846,19.2155,9.0513,20.9701,28.9110,0.0004,0.0205,Population structure converged. Difference: 0.0147
2,6,58.3823,57.5352,Warrior,85.2351,74.4679,32.4916,1.4859,6.3195,1.9271,200,58.3823,12.0064,10.1438,2.3865,1.7373,8.3273,0.0001,0.0205,Population structure converged. Difference: 0.0147
