Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.0961,39.0898,Warrior,78.7329,65.6858,35.3944,11.8847,8.3022,1.8140,200,50.4801,362.4933,365.4012,150.6707,245.8935,349.7752,0.0150,0.0262,Population structure converged. Difference: 0.0088
1,1,50.3351,44.8431,Warrior,77.2004,76.5645,29.4427,9.8863,6.9061,1.8140,200,50.4801,45.6946,98.9177,34.0557,24.5780,88.4863,0.0059,0.0262,Population structure converged. Difference: 0.0088
1,2,50.3351,47.7906,Warrior,77.2004,76.5645,29.4427,9.8863,6.9061,1.8140,200,50.4801,15.8846,29.3101,10.2614,1.0493,7.9138,0.0031,0.0262,Population structure converged. Difference: 0.0088
1,3,50.3351,48.9697,Warrior,77.2004,76.5645,29.4427,9.8863,6.9061,1.8140,200,50.4801,9.5351,22.6242,7.7141,0.8473,0.5254,0.0006,0.0262,Population structure converged. Difference: 0.0088
1,4,50.4395,49.4525,Warrior,78.3646,75.7266,29.1205,9.7781,7.0103,1.8140,200,50.4801,8.0974,21.1761,7.6458,0.7471,0.5461,0.0002,0.0262,Population structure converged. Difference: 0.0088
1,5,50.4395,49.5551,Warrior,78.3646,75.7266,29.1205,9.7781,7.0103,1.8140,200,50.4801,6.0096,19.1966,7.3715,0.5826,0.3914,0.0002,0.0262,Population structure converged. Difference: 0.0088
1,6,50.4395,49.8031,Warrior,78.3646,75.7266,29.1205,9.7781,7.0103,1.8140,200,50.4801,5.8494,15.0672,7.1788,0.5066,0.3418,0.0000,0.0262,Population structure converged. Difference: 0.0088
1,7,50.4395,49.9153,Warrior,78.3646,75.7266,29.1205,9.7781,7.0103,1.8140,200,50.4801,5.3951,14.4937,6.6001,0.4952,0.4143,0.0000,0.0262,Population structure converged. Difference: 0.0088
1,8,50.4801,50.0374,Warrior,78.3216,75.4140,29.6224,9.6356,7.0064,1.8140,200,50.4801,5.1662,12.7687,6.4723,0.4231,0.3018,0.0000,0.0262,Population structure converged. Difference: 0.0088
2,0,50.5707,41.4731,Warrior,65.0376,54.5943,70.2881,0.4676,9.6124,1.8721,200,56.8097,237.5497,144.6140,368.2910,449.0140,414.3882,0.0223,0.0341,Population structure converged. Difference: 0.0084
2,1,50.5707,46.1847,Warrior,65.0376,54.5943,70.2881,0.4676,9.6124,1.8721,200,56.8097,50.0205,15.1839,121.0313,109.5254,55.2445,0.0046,0.0341,Population structure converged. Difference: 0.0084
2,2,51.3170,48.1413,Warrior,89.6414,76.6307,19.5792,0.6564,13.4923,1.8093,200,56.8097,31.9950,12.7790,28.2704,27.2070,17.4881,0.0023,0.0341,Population structure converged. Difference: 0.0084
2,3,54.9182,49.6192,Warrior,75.3548,89.8616,22.9597,0.5486,11.2754,1.8721,200,56.8097,18.7295,33.6261,94.8875,0.0017,0.6798,0.0009,0.0341,Population structure converged. Difference: 0.0084
2,4,55.5415,50.9226,Warrior,85.3015,72.0273,29.4505,0.6134,12.6073,1.8721,200,56.8097,46.1540,170.3190,359.7408,0.0072,2.8744,0.0005,0.0341,Population structure converged. Difference: 0.0084
2,5,56.6111,53.4104,Warrior,86.6613,73.1754,29.9200,0.4779,9.7654,1.8721,200,56.8097,63.7699,248.0368,416.3204,0.0093,3.7518,0.0002,0.0341,Population structure converged. Difference: 0.0084
2,6,56.6111,54.7519,Warrior,86.6613,73.1754,29.9200,0.4779,9.7654,1.8721,200,56.8097,40.8295,121.6537,122.6292,0.0047,1.7018,0.0001,0.0341,Population structure converged. Difference: 0.0084
2,7,56.6111,55.2418,Warrior,86.6613,73.1754,29.9200,0.4779,9.7654,1.8721,200,56.8097,39.5542,85.1023,49.2670,0.0031,1.0264,0.0000,0.0341,Population structure converged. Difference: 0.0084
2,8,56.6645,55.7305,Warrior,85.7926,74.4467,29.6201,0.4731,9.6676,1.8721,200,56.8097,34.9284,60.7210,11.8870,0.0031,1.0330,0.0000,0.0341,Population structure converged. Difference: 0.0084
2,9,56.8097,56.1807,Warrior,87.1992,74.5429,28.5005,0.4552,9.3021,1.8721,200,56.8097,23.3667,37.6928,12.7944,0.0031,0.7619,0.0000,0.0341,Population structure converged. Difference: 0.0084
2,10,56.8097,56.3349,Warrior,87.1992,74.5429,28.5005,0.4552,9.3021,1.8721,200,56.8097,13.9887,27.5652,13.0236,0.0020,0.6476,0.0000,0.0341,Population structure converged. Difference: 0.0084
3,0,47.2916,40.8375,Warrior,75.6093,64.9689,53.7226,3.0864,2.6127,1.5221,200,48.1449,511.2985,142.8225,125.9938,445.2816,414.7817,0.0171,0.0614,Population structure converged. Difference: 0.0097
3,1,47.2916,45.1742,Warrior,75.6093,64.9689,53.7226,3.0864,2.6127,1.5221,200,48.1449,128.6340,51.2725,44.1500,116.6150,68.5793,0.0049,0.0614,Population structure converged. Difference: 0.0097
3,2,47.2916,46.5153,Warrior,75.6093,64.9689,53.7226,3.0864,2.6127,1.5221,200,48.1449,6.9005,5.5344,6.4257,0.0280,0.0263,0.0003,0.0614,Population structure converged. Difference: 0.0097
3,3,47.6550,46.6455,Warrior,80.6272,60.1513,54.1950,2.2404,2.7861,1.5221,200,48.1449,17.8964,14.1710,13.4842,0.0523,0.0555,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,4,47.6550,46.6843,Warrior,80.6272,60.1513,54.1950,2.2404,2.7861,1.5221,200,48.1449,23.5678,14.0453,17.2767,0.0429,0.0584,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,5,47.6385,46.7549,Warrior,80.6218,60.1279,54.1740,2.2904,2.7859,1.5221,200,48.1449,23.6727,12.8141,18.7984,0.0363,0.0377,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,6,47.6385,46.8659,Warrior,80.6218,60.1279,54.1740,2.2904,2.7859,1.5221,200,48.1449,21.8835,14.2907,16.9336,0.0377,0.0237,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,7,47.7011,47.0127,Warrior,82.9223,58.8565,53.0284,2.3715,2.8213,1.5221,200,48.1449,22.8358,14.7230,16.3425,0.0144,0.0211,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,8,47.8086,47.1238,Warrior,88.1764,56.3228,50.7457,2.1455,2.6096,1.5221,200,48.1449,21.6267,15.8438,13.6284,0.0150,0.0243,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,9,48.0057,47.3257,Warrior,82.4011,61.4549,50.9556,2.3409,2.8474,1.5221,200,48.1449,20.0058,10.6576,10.5692,0.0134,0.0224,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,10,48.0057,47.4029,Warrior,82.4011,61.4549,50.9556,2.3409,2.8474,1.5221,200,48.1449,14.5339,7.9822,8.9627,0.0112,0.0195,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,11,48.0928,47.4803,Warrior,85.1558,60.0154,49.7620,2.2861,2.7807,1.5221,200,48.1449,10.8413,6.4774,6.6727,0.0133,0.0235,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,12,48.1018,47.5323,Warrior,86.0330,59.5570,49.3820,2.2686,2.7594,1.5221,200,48.1449,10.1486,5.6989,5.7133,0.0149,0.0233,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,13,48.1449,47.6097,Warrior,82.2855,61.8136,51.2531,2.0971,2.5507,1.5221,200,48.1449,7.3422,5.3943,3.2479,0.0129,0.0220,0.0000,0.0614,Population structure converged. Difference: 0.0097
3,14,48.1449,47.6805,Warrior,82.2855,61.8136,51.2531,2.0971,2.5507,1.5221,200,48.1449,8.6724,6.5804,1.5825,0.0156,0.0250,0.0000,0.0614,Population structure converged. Difference: 0.0097
4,0,45.0335,39.8447,Warrior,72.3600,64.4824,33.5138,22.4310,7.2129,1.8077,200,45.5102,370.5016,250.2610,161.5385,160.1005,285.2711,0.0139,0.0353,Population structure converged. Difference: 0.0094
