Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.5946,30.8233,Warrior,83.2789,63.2060,38.2732,1.5296,13.7124,1.7212,200,56.1457,343.5673,390.9835,480.6205,447.8796,382.4920,0.0433,0.0256,Population structure converged. Difference: 0.0324
1,1,50.4416,37.3118,Warrior,87.9373,66.7416,40.4141,1.6151,3.2918,1.4162,200,56.1457,191.9073,366.1624,493.0307,360.9785,333.9780,0.0463,0.0256,Population structure converged. Difference: 0.0324
1,2,50.6677,42.7016,Warrior,84.7844,71.5195,38.9651,1.5572,3.1738,1.4162,200,56.1457,275.5005,205.3362,258.1331,210.2027,218.0213,0.0396,0.0256,Population structure converged. Difference: 0.0324
1,3,50.6677,47.2548,Warrior,84.7844,71.5195,38.9651,1.5572,3.1738,1.4162,200,56.1457,183.3375,98.6908,139.0471,92.1474,86.6463,0.0208,0.0256,Population structure converged. Difference: 0.0324
1,4,55.5709,49.5366,Warrior,82.0731,91.0870,22.2602,1.5074,3.0723,1.8327,200,56.1457,72.1058,37.7248,47.1732,22.8358,23.0265,0.0092,0.0256,Population structure converged. Difference: 0.0324
1,5,55.9397,50.7117,Warrior,85.4324,88.4923,21.6261,1.4645,2.9847,1.8327,200,56.1457,52.2247,57.6919,49.1704,22.7897,16.9622,0.0242,0.0256,Population structure converged. Difference: 0.0324
1,6,56.0030,52.8682,Warrior,85.5178,88.5807,21.6477,1.4659,2.7878,1.8327,200,56.1457,12.1583,95.2168,69.4460,0.0053,0.0496,0.0436,0.0256,Population structure converged. Difference: 0.0324
1,7,56.1457,54.3816,Warrior,90.4142,78.0877,26.7443,1.6697,3.0841,1.8327,200,56.1457,15.5181,99.6730,77.7199,0.0076,0.0811,0.0320,0.0256,Population structure converged. Difference: 0.0324
2,0,49.8541,34.5337,Warrior,61.0764,86.6923,30.2780,6.3255,15.6278,1.9298,200,55.2179,365.1831,789.1736,959.9951,351.1758,375.2059,0.0409,0.0257,Population structure converged. Difference: 0.0331
2,1,50.5964,41.9032,Warrior,62.6050,88.8618,28.1342,5.8776,14.5214,1.9298,200,55.2179,211.6657,642.1778,624.0259,156.2582,186.3237,0.0223,0.0257,Population structure converged. Difference: 0.0331
2,2,53.9444,47.0529,Warrior,72.7079,81.4693,28.4538,5.9444,11.4247,1.9298,200,55.2179,28.3072,227.6584,289.3547,50.0591,35.5993,0.0012,0.0257,Population structure converged. Difference: 0.0331
2,3,53.9444,49.1121,Warrior,72.7079,81.4693,28.4538,5.9444,11.4247,1.9298,200,55.2179,24.5698,81.7755,156.1501,50.7462,16.7655,0.0000,0.0257,Population structure converged. Difference: 0.0331
2,4,53.9444,50.3666,Warrior,72.7079,81.4693,28.4538,5.9444,11.4247,1.9298,200,55.2179,32.6592,46.0347,122.4716,29.4149,5.5226,0.0000,0.0257,Population structure converged. Difference: 0.0331
2,5,55.2179,51.3322,Warrior,76.4011,85.6075,23.5113,4.9118,9.5682,1.9298,200,55.2179,37.8277,59.0392,116.0079,14.3226,5.7537,0.0000,0.0257,Population structure converged. Difference: 0.0331
2,6,55.2179,52.3735,Warrior,76.4011,85.6075,23.5113,4.9118,9.5682,1.9298,200,55.2179,29.8084,60.8012,103.5329,9.4027,4.8188,0.0000,0.0257,Population structure converged. Difference: 0.0331
2,7,55.2179,53.4495,Warrior,76.4011,85.6075,23.5113,4.9118,9.5682,1.9298,200,55.2179,22.7971,41.5257,64.8036,2.8100,4.0568,0.0000,0.0257,Population structure converged. Difference: 0.0331
3,0,45.5472,32.1508,Warrior,76.4261,90.3598,15.8488,17.1427,0.2226,1.4138,200,54.0509,373.5374,417.0402,435.6481,376.8263,393.5033,0.0483,0.0225,Population structure converged. Difference: 0.0382
3,1,47.5156,38.0085,Warrior,69.3831,82.0327,14.3883,15.5629,18.6330,1.9472,200,54.0509,193.4296,354.3689,312.1626,146.8713,294.5003,0.0579,0.0225,Population structure converged. Difference: 0.0382
3,2,52.3789,41.5406,Warrior,72.7704,97.5819,14.1270,15.2803,0.2404,1.9472,200,54.0509,158.8596,262.2890,197.1114,111.2898,211.7065,0.0517,0.0225,Population structure converged. Difference: 0.0382
3,3,53.7467,46.2868,Warrior,78.3328,92.6142,14.3225,14.5024,0.2282,1.9472,200,54.0509,55.5975,172.9750,73.0317,8.4537,218.5125,0.0558,0.0225,Population structure converged. Difference: 0.0382
3,4,53.7467,49.4934,Warrior,78.3328,92.6142,14.3225,14.5024,0.2282,1.9472,200,54.0509,25.8240,124.3327,17.8931,2.8826,150.7222,0.0270,0.0225,Population structure converged. Difference: 0.0382
3,5,54.0509,51.0102,Warrior,82.9891,86.2514,15.1282,15.3571,0.2742,1.9472,200,54.0509,20.7940,94.3835,15.8753,2.1471,104.9919,0.0124,0.0225,Population structure converged. Difference: 0.0382
3,6,54.0509,52.0617,Warrior,82.9891,86.2514,15.1282,15.3571,0.2742,1.9472,200,54.0509,15.4876,43.0496,5.6011,2.0303,56.9237,0.0056,0.0225,Population structure converged. Difference: 0.0382
4,0,50.7822,33.3566,Warrior,81.4964,52.6264,45.5809,4.7488,15.5476,1.8588,200,56.9053,898.3063,487.2965,457.9314,398.0240,447.1365,0.0388,0.0151,Population structure converged. Difference: 0.0368
4,1,55.8724,40.5829,Warrior,87.6486,87.8565,15.8823,8.5026,0.1100,1.8588,200,56.9053,746.7164,339.4979,425.4066,221.0310,366.8499,0.0325,0.0151,Population structure converged. Difference: 0.0368
4,2,56.8875,46.4699,Warrior,88.8852,89.0960,16.1064,5.8009,0.1116,1.8588,200,56.9053,463.6694,293.7182,379.4150,102.5555,285.0504,0.0242,0.0151,Population structure converged. Difference: 0.0368
4,3,56.8989,52.3798,Warrior,88.9014,89.1122,16.1093,5.8019,0.0751,1.8588,200,56.9053,145.5741,278.8334,323.8797,7.3229,115.6775,0.0093,0.0151,Population structure converged. Difference: 0.0368
4,4,56.9053,54.8847,Warrior,89.4395,88.4043,16.2068,5.8370,0.1123,1.8588,200,56.9053,42.9834,180.6805,220.7836,2.0785,44.7677,0.0018,0.0151,Population structure converged. Difference: 0.0368
5,0,51.1572,35.2541,Warrior,77.9934,79.8987,20.3290,0.0349,21.7440,1.8509,200,51.2872,416.9814,615.2852,411.2351,552.2938,311.1814,0.0333,0.0133,Population structure converged. Difference: 0.0269
5,1,51.2783,44.3337,Warrior,77.2582,82.0488,19.6459,0.0337,21.0134,1.8509,200,51.2872,180.2947,488.9837,261.8194,377.1626,110.2353,0.0254,0.0133,Population structure converged. Difference: 0.0269
5,2,51.2783,48.7460,Warrior,77.2582,82.0488,19.6459,0.0337,21.0134,1.8509,200,51.2872,58.9718,244.7161,235.4006,142.4288,45.1121,0.0054,0.0133,Population structure converged. Difference: 0.0269
5,3,51.2872,49.9447,Warrior,77.1860,81.9720,19.8143,0.0340,20.9937,1.8509,200,51.2872,32.5968,109.0486,81.9789,65.8002,24.2799,0.0045,0.0133,Population structure converged. Difference: 0.0269
6,0,41.7896,29.9118,Warrior,59.9088,88.3955,4.4785,32.6327,14.5845,1.9310,200,47.5845,351.1741,362.4462,442.0904,400.0415,417.6184,0.0364,0.0302,Population structure converged. Difference: 0.0400
6,1,43.6135,34.7439,Warrior,62.4987,64.6673,27.9352,29.6838,15.2150,1.9310,200,47.5845,190.8585,387.8602,258.5169,199.2335,278.8876,0.0463,0.0302,Population structure converged. Difference: 0.0400
6,2,43.6173,38.7256,Warrior,70.4702,58.0572,24.4579,30.2876,16.7271,1.9310,200,47.5845,89.9498,256.3711,175.7919,57.0227,134.7884,0.0524,0.0302,Population structure converged. Difference: 0.0400
6,3,44.3954,40.9296,Warrior,64.7212,64.5366,27.8787,29.6238,13.2397,1.9310,200,47.5845,48.5151,236.1638,124.3589,20.8328,62.6880,0.0366,0.0302,Population structure converged. Difference: 0.0400
6,4,46.1219,42.5781,Warrior,73.9458,60.9206,25.6641,27.2781,12.1914,1.9310,200,47.5845,34.4950,133.0355,97.7017,21.5425,48.9795,0.0109,0.0302,Population structure converged. Difference: 0.0400
6,5,46.2250,43.1300,Warrior,69.4372,68.4224,22.9527,27.0834,12.1043,1.9310,200,47.5845,35.5028,118.9902,75.5284,18.8041,41.4367,0.0025,0.0302,Population structure converged. Difference: 0.0400
6,6,46.3402,43.9285,Warrior,65.5342,70.5965,26.3877,24.8334,12.6482,1.9310,200,47.5845,24.7044,67.1502,43.9907,2.4703,3.3336,0.0000,0.0302,Population structure converged. Difference: 0.0400
6,7,47.4432,44.6679,Warrior,70.9613,67.7472,25.3227,23.8311,12.1377,1.9310,200,47.5845,21.2795,25.5919,7.8583,3.2165,3.6454,0.0000,0.0302,Population structure converged. Difference: 0.0400
6,8,47.5845,45.2489,Warrior,71.4216,67.6905,25.3015,23.8111,11.7752,1.9310,200,47.5845,22.3554,24.2009,3.3099,2.6568,3.1099,0.0000,0.0302,Population structure converged. Difference: 0.0400
6,9,47.5845,45.7536,Warrior,71.4216,67.6905,25.3015,23.8111,11.7752,1.9310,200,47.5845,14.5813,18.0092,3.2307,2.5267,1.8687,0.0000,0.0302,Population structure converged. Difference: 0.0400
7,0,43.9337,32.3998,Warrior,66.1674,47.7648,61.9388,12.3355,11.7936,1.8103,200,53.6751,418.2477,385.9086,408.9269,318.8199,423.8164,0.0363,0.0315,Population structure converged. Difference: 0.0298
