Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.5517,31.5796,Warrior,72.3366,89.1369,2.4658,22.0672,13.9935,1.9437,200,59.7077,371.0253,392.5096,455.2254,509.6389,311.3945,0.0448,0.0368,Population structure converged. Difference: 0.0424
1,1,50.7440,36.9917,Warrior,68.3378,51.6513,65.3839,1.4070,13.2200,1.9437,200,59.7077,278.9328,506.6907,571.6977,316.1969,212.7812,0.0432,0.0368,Population structure converged. Difference: 0.0424
1,2,57.6609,42.4367,Warrior,87.4457,107.7552,2.9808,0.5015,1.3168,1.9437,200,59.7077,227.6658,473.5848,755.7512,188.6851,176.7640,0.0252,0.0368,Population structure converged. Difference: 0.0424
1,3,58.4407,47.0458,Warrior,95.2540,100.3740,2.7766,0.4400,1.1554,1.9437,200,59.7077,211.5096,650.2405,762.3610,172.7512,133.0555,0.0183,0.0368,Population structure converged. Difference: 0.0424
1,4,58.4994,51.6169,Warrior,93.1373,100.5066,4.5293,0.5038,1.3230,1.9437,200,59.7077,172.4438,452.7524,624.1374,94.7170,68.5308,0.0095,0.0368,Population structure converged. Difference: 0.0424
1,5,59.7077,55.5262,Warrior,86.8569,71.8016,39.5354,0.4981,1.3080,1.9437,200,59.7077,118.1514,296.5556,397.6933,39.3485,37.4242,0.0019,0.0368,Population structure converged. Difference: 0.0424
1,6,59.7077,57.2817,Warrior,86.8569,71.8016,39.5354,0.4981,1.3080,1.9437,200,59.7077,32.1940,115.0704,141.4916,11.3108,9.5687,0.0002,0.0368,Population structure converged. Difference: 0.0424
2,0,47.5549,32.4029,Warrior,67.5893,63.4636,34.7770,17.2175,16.9526,1.9386,200,48.7099,477.7632,307.8178,308.4721,333.4539,478.0266,0.0465,0.0263,Population structure converged. Difference: 0.0461
2,1,47.5549,39.1450,Warrior,67.5893,63.4636,34.7770,17.2175,16.9526,1.9386,200,48.7099,219.0384,197.6798,161.5349,190.2274,186.9213,0.0402,0.0263,Population structure converged. Difference: 0.0461
2,2,48.4762,42.5849,Warrior,74.8399,56.2012,38.5077,19.0645,11.3867,1.9386,200,48.7099,73.1667,157.4614,93.7684,95.7970,82.9235,0.0275,0.0263,Population structure converged. Difference: 0.0461
2,3,48.4762,44.9183,Warrior,74.8399,56.2012,38.5077,19.0645,11.3867,1.9386,200,48.7099,47.6225,77.5646,51.5898,49.6253,31.7079,0.0133,0.0263,Population structure converged. Difference: 0.0461
2,4,48.7099,46.5642,Warrior,75.0948,56.3926,38.6389,18.4483,11.4255,1.9386,200,48.7099,9.1852,18.0407,19.4119,4.2490,11.1064,0.0039,0.0263,Population structure converged. Difference: 0.0461
3,0,50.9384,31.7859,Warrior,71.5669,64.8697,37.8882,3.8598,21.8155,1.9372,200,55.8120,355.0719,499.9955,278.4323,549.4429,470.0270,0.0488,0.0343,Population structure converged. Difference: 0.0499
